Polling Station No,Candidate_1,AYLASWOK S,AJORAS.E,NASAVINIRS.P,HTASARP NINEL.M,AYITTEVANANG LAMUREPAVIS K. N,M.RAKNASIVAR,MAKCINAMAJAR .T,AJORAS.E,AJORAS.K,AJORAS.P,MAVLES.K,G. MAVLES,AMUKHSENIHD .G R,UGAHZAHTUM .N,NARDNAHCIVAR .M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
239,239,33,150,4,206,0,276,1,0,0,0,2,0,0,1,2,675,0,1,676,0
240,240,23,234,1,103,2,225,1,0,1,0,2,0,1,0,1,594,0,0,594,0
241,241,26,161,3,149,4,226,1,1,0,0,1,1,1,1,0,575,0,3,578,0
242,242,24,258,2,102,2,224,1,0,1,0,2,1,0,2,1,620,0,2,622,0
243,243,41,277,3,145,0,214,0,0,1,0,1,0,0,2,1,685,0,0,685,0
244,244,50,390,2,215,0,332,2,1,1,2,4,0,1,2,0,1002,0,4,1006,0
245,245,31,255,2,191,1,222,1,0,1,0,2,0,1,0,3,710,0,3,713,0
246,246,26,128,0,215,1,178,0,0,0,0,2,2,3,0,1,556,0,1,557,0
247,247,33,186,2,133,1,216,0,1,1,0,3,2,0,0,1,579,0,2,581,0
248,248,18,142,2,150,1,167,2,1,2,1,2,1,1,1,1,492,0,3,495,0
249,249,47,212,2,176,1,328,3,0,1,1,2,2,1,0,2,778,0,1,779,0
250,250,42,249,3,228,4,266,0,1,1,1,5,4,0,2,3,809,0,1,810,0
251,251,30,81,0,72,2,179,1,2,1,2,0,1,1,1,1,374,0,4,378,0
252,252,14,130,0,90,2,127,0,0,0,0,1,0,0,1,2,367,0,1,368,0
253,253,30,165,4,128,3,314,1,1,2,0,1,0,1,4,3,657,0,2,659,0
254,254,14,115,1,70,3,176,2,1,1,0,0,0,0,2,2,387,0,4,391,0
255,255,19,184,3,87,2,176,0,0,0,0,1,1,0,1,2,476,0,1,477,0
256,256,52,229,1,201,1,168,0,1,1,1,3,0,1,0,0,659,0,4,663,0
257,257,83,251,5,206,2,275,1,0,0,1,4,0,4,1,2,835,0,1,836,0
258,258,20,130,1,75,2,158,3,0,0,0,4,2,1,0,0,396,0,4,400,0
259,259,14,147,0,110,1,96,0,0,0,1,1,0,0,0,2,372,0,3,375,0
260,260,25,276,2,182,5,271,2,1,0,0,1,0,1,1,3,770,0,1,771,0
261,261,31,119,2,282,1,189,0,0,0,0,1,1,0,0,1,627,0,0,627,0
262,262,8,127,1,130,2,180,1,3,0,2,0,1,1,1,1,458,0,0,458,0
263,263,32,98,2,134,1,145,0,0,1,0,0,0,0,2,0,415,0,1,416,0
264,264,26,179,3,167,6,308,0,1,0,1,2,0,0,0,0,693,0,3,696,0
265,265,42,159,1,255,2,217,2,1,0,0,1,0,1,0,3,684,0,0,684,0
266,266,21,163,2,277,2,342,0,1,1,0,0,1,0,0,2,812,0,1,813,0
267,267,19,322,1,124,3,318,2,0,1,0,2,2,0,1,4,799,0,2,801,0
268,268,24,236,6,105,2,331,1,2,0,1,6,1,1,0,3,719,0,3,722,0
269,269,11,132,0,49,2,112,2,0,0,0,0,0,0,3,1,312,0,0,312,0
270,270,41,152,1,244,3,323,3,1,0,2,2,1,5,1,3,782,0,0,782,0
271,271,50,223,3,195,4,363,1,3,0,1,2,2,1,1,2,851,0,6,857,0
272,272,19,247,1,172,1,107,2,1,1,0,3,0,1,0,0,555,0,1,556,0
273,273,61,317,8,133,9,465,2,0,1,3,5,2,3,2,2,1013,0,2,1015,0
274,274,27,201,4,128,3,387,2,0,0,2,3,3,3,3,4,770,0,4,774,0
275,275,16,200,2,95,2,162,0,0,0,0,0,0,1,3,2,483,0,0,483,0
276,276,42,229,2,191,2,295,0,1,0,0,0,0,0,1,0,763,0,2,765,0
277,277,33,187,1,238,4,283,0,0,0,1,0,0,0,0,1,748,0,3,751,0
278,278,38,138,1,253,2,300,3,1,0,0,0,1,0,0,1,738,0,4,742,0
279,279,42,129,0,196,1,353,1,0,1,1,0,0,0,0,1,725,0,4,729,0
280,280,27,160,2,125,3,202,0,0,0,1,1,1,1,0,2,525,0,2,527,0
281,281,28,144,1,126,2,201,1,0,0,0,0,0,0,2,0,505,0,3,508,0
282,282,32,199,2,133,2,162,0,1,0,0,3,0,1,1,1,537,0,0,537,0
283,283,44,203,2,173,1,256,0,0,0,1,0,0,0,3,0,683,0,0,683,0
284,284,21,124,1,140,0,160,0,0,1,0,2,0,0,0,0,449,0,1,450,0
285,285,28,229,2,202,1,212,0,0,0,0,1,0,1,0,1,677,0,1,678,0
286,286,16,149,1,96,0,158,1,0,0,0,1,1,0,0,2,425,0,3,428,0
287,287,23,249,6,160,2,254,0,0,0,0,1,1,0,0,0,696,0,4,700,0
288,288,26,300,4,141,1,229,3,0,1,1,4,0,0,1,1,712,0,3,715,0
289,289,40,311,4,209,1,288,0,0,0,1,1,2,3,0,2,862,0,4,866,0
290,290,20,222,0,174,3,158,0,0,0,1,0,0,0,0,1,579,0,3,582,0
291,291,10,151,1,154,2,103,0,0,0,0,0,0,1,0,2,424,0,2,426,0
292,292,30,183,0,213,2,177,0,0,0,0,0,1,2,0,1,609,0,1,610,0
293,293,19,228,0,251,1,255,2,0,0,1,2,0,0,0,0,759,0,0,759,0
294,294,56,275,1,211,4,331,1,1,0,0,0,0,1,1,4,886,0,4,890,0
295,295,31,155,1,184,0,178,0,1,1,0,1,0,2,1,1,556,0,2,558,0
296,296,58,201,2,122,1,197,0,1,0,0,0,0,0,1,0,583,0,4,587,0
297,297,42,360,3,230,3,325,0,0,0,0,0,0,3,3,0,969,0,3,972,0
