Polling Station No,Candidate_1,S .NAVARIHTAK,R .IHZOMNEHT,NAHTARAHB .V.R,)A( NANHSIRKALAB ULAB ROOMA,NANAVARAS.V,RAMUKLIHTNES .K,M .ULAB,S .IHTAVER,C .AYIAREEV,P .NAYEKIHTRAK,V .NANHSIRKALAPOG,T.V .MAGUMNAHS,K .RAMUKSEEHTAS,S .RAMUKANAVARAS,S .HSEVID,V .NAJARAGAN,G .RAMUK HSEMAR,S .NANHSIRKAHDAR,N .DASARPMAR,R .RAHESAJAR,V .UJAR,M .NAMARAYAJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
267,266,226,17,117,0,134,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,1,1,502,0,0,502,0
268,267,234,21,350,1,157,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,766,0,2,768,0
269,268,202,17,312,1,131,0,2,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,671,0,4,675,0
270,269,427,38,246,2,311,1,3,0,0,0,0,0,0,1,1,4,1,0,1,0,0,1,1037,0,0,1037,0
271,270,241,16,197,3,215,0,0,1,0,1,0,0,0,0,0,3,1,2,1,0,0,0,681,0,1,682,0
272,271,297,38,161,0,227,1,2,1,0,0,0,0,1,0,0,0,3,6,3,2,4,0,746,0,10,756,0
273,272,322,29,200,7,197,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,759,0,0,759,0
274,273,305,24,142,0,207,0,0,0,0,0,1,1,0,0,0,1,2,2,1,0,2,0,688,0,0,688,0
275,274,293,21,156,1,258,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,0,0,736,0,2,738,0
276,275,285,33,76,1,269,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,667,0,9,676,0
277,276,142,8,122,0,197,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,475,0,1,476,0
278,277,288,14,49,0,174,0,1,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,532,0,1,533,0
279,278,219,14,188,1,306,2,0,0,0,2,4,1,0,0,1,1,4,0,1,1,0,1,746,0,1,747,0
280,279,342,34,101,3,265,1,2,0,0,0,0,0,0,0,0,4,0,1,1,1,0,1,756,0,5,761,0
281,280,405,21,28,1,252,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,711,0,4,715,0
282,281,222,19,53,1,200,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,499,0,2,501,0
283,282,247,35,66,0,252,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,606,0,3,609,0
284,283,274,27,78,0,201,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,583,0,6,589,0
285,284,296,21,53,0,224,1,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0,1,602,0,6,608,0
286,285,227,18,83,1,221,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,554,0,2,556,0
287,286,241,29,86,1,292,2,1,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,659,0,3,662,0
288,287,249,22,68,1,301,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,647,0,2,649,0
289,288,208,25,82,0,241,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,560,0,5,565,0
290,289,262,28,104,2,271,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,672,0,4,676,0
291,290,228,21,68,1,187,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,509,0,4,513,0
292,291,336,37,72,0,265,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,712,0,5,717,0
293,292,391,39,65,0,228,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,725,0,4,729,0
294,293,241,27,131,0,217,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,619,0,4,623,0
295,294,229,31,95,1,197,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,557,0,3,560,0
296,295,245,15,115,3,213,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,595,0,6,601,0
297,296,257,13,75,0,222,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,569,0,4,573,0
