Polling Station No,Candidate_1,S .NAVARIHTAK,R .IHZOMNEHT,NAHTARAHB .V.R,)A( NANHSIRKALAB ULAB ROOMA,NANAVARAS.V,RAMUKLIHTNES .K,M .ULAB,S .IHTAVER,C .AYIAREEV,P .NAYEKIHTRAK,V .NANHSIRKALAPOG,T.V .MAGUMNAHS,K .RAMUKSEEHTAS,S .RAMUKANAVARAS,S .HSEVID,V .NAJARAGAN,G .RAMUK HSEMAR,S .NANHSIRKAHDAR,N .DASARPMAR,R .RAHESAJAR,V .UJAR,M .NAMARAYAJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
143,143,174,20,103,0,137,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,439,0,2,441,0
144,144,210,28,155,0,185,0,0,0,0,0,0,0,2,0,3,7,0,0,0,0,0,1,591,0,2,593,0
145,145,269,26,135,2,275,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,714,0,2,716,0
146,146,224,16,61,1,150,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,459,0,4,463,0
147,147,257,28,89,1,193,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,573,0,1,574,0
148,148,380,73,82,1,331,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,873,0,1,874,0
149,149,382,65,133,0,383,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,1,1,970,0,0,970,0
150,150,258,40,76,2,264,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,1,1,649,0,0,649,0
151,151,225,27,47,1,235,1,0,1,0,1,0,0,0,0,0,1,4,0,0,0,3,0,546,0,1,547,0
152,152,232,45,189,2,193,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,1,0,671,0,0,671,0
153,153,249,65,122,0,214,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,655,0,1,656,0
154,154,332,31,77,0,277,0,0,0,0,0,1,0,0,1,0,2,2,2,1,0,0,0,726,0,2,728,0
155,155,403,51,112,0,273,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,844,0,1,845,0
156,156,392,36,103,2,328,0,0,0,1,1,0,0,0,0,1,2,2,0,1,0,2,0,871,0,5,876,0
157,157,350,19,53,0,206,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,633,0,0,633,0
158,158,368,40,85,1,315,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,814,0,1,815,0
159,159,308,23,39,2,178,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,555,0,0,555,0
160,160,413,39,172,0,272,0,1,0,0,0,0,1,0,1,0,3,1,0,0,0,1,0,904,0,3,907,0
161,161,336,29,28,1,188,0,1,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,590,0,0,590,0
162,162,253,17,143,1,244,1,1,0,0,0,0,1,0,0,1,1,5,1,0,3,0,0,672,0,1,673,0
163,163,196,13,221,1,218,1,0,1,0,1,0,0,0,0,0,2,1,2,1,0,0,0,658,0,1,659,0
164,164,220,57,229,1,279,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,791,0,1,792,0
165,165,283,50,262,1,306,0,1,0,0,1,0,1,0,0,0,1,2,2,0,1,0,0,911,0,2,913,0
166,166,174,28,216,0,280,1,2,0,0,0,0,0,0,1,0,4,5,1,3,1,0,0,716,0,0,716,0
167,167,237,72,279,3,349,0,2,1,0,2,0,1,0,0,1,2,5,6,1,0,0,1,962,0,2,964,0
168,168,338,59,304,2,319,2,2,1,1,0,0,0,1,0,1,5,1,1,0,2,0,0,1039,0,5,1044,0
169,169,231,34,275,0,221,3,1,0,2,0,0,1,0,1,0,2,1,0,0,1,0,0,773,0,2,775,0
170,170,297,42,184,1,289,3,1,0,1,1,0,0,0,0,0,5,5,2,0,0,0,0,831,0,1,832,0
171,171,292,30,173,2,355,0,0,0,0,2,0,1,0,0,1,3,2,3,0,0,0,0,864,0,4,868,0
172,172,294,41,275,0,294,4,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,915,0,0,915,0
173,173,316,32,363,5,309,1,2,0,0,1,0,1,0,0,0,3,3,1,0,0,0,0,1037,0,1,1038,0
174,174,238,20,205,0,244,0,2,0,0,1,0,0,0,1,0,2,0,0,1,0,0,1,715,0,1,716,0
175,175,361,42,248,1,341,0,1,0,0,0,0,4,1,0,0,3,1,2,0,1,0,0,1006,0,2,1008,0
176,176,197,29,160,1,315,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,706,0,1,707,0
177,177,173,21,127,1,233,1,0,0,0,0,0,1,0,2,1,2,0,1,1,0,1,0,565,0,0,565,0
178,178,328,53,276,2,323,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0,0,0,989,0,3,992,0
179,179,250,32,361,0,333,1,1,0,0,0,0,1,0,0,0,2,3,0,0,0,0,1,985,0,3,988,0
180,180,246,47,413,4,234,3,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,1,957,0,3,960,0
181,181,255,31,325,4,237,2,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,861,0,1,862,0
182,182,178,21,88,0,248,1,0,0,0,0,0,0,1,2,1,1,2,1,0,0,0,0,544,0,4,548,0
183,182A,166,22,127,0,245,0,1,0,1,1,1,0,0,0,0,1,0,0,2,0,1,0,568,0,2,570,0
184,183,179,49,391,3,214,2,2,4,2,0,0,1,3,3,4,0,2,4,3,0,0,0,866,0,5,871,0
185,184,198,35,164,4,228,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,633,0,1,634,0
186,185,317,40,353,0,249,1,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,966,0,4,970,0
187,186,349,32,125,3,328,0,0,0,4,2,1,1,0,0,0,1,1,2,0,0,0,0,849,0,2,851,0
188,187,215,38,58,1,245,2,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,565,0,1,566,0
189,188,284,33,73,1,283,0,2,0,0,0,0,1,1,0,1,2,4,2,0,0,0,0,687,0,3,690,0
190,189,290,39,112,3,383,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,830,0,2,832,0
191,190,344,20,37,1,134,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,540,0,0,540,0
192,191,209,16,30,0,137,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,395,0,2,397,0
193,192,313,12,117,1,293,1,0,0,0,0,0,0,0,1,0,1,7,1,2,3,0,0,752,0,1,753,0
194,193,330,24,81,0,310,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,750,0,2,752,0
195,194,346,28,112,1,338,1,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,831,0,0,831,0
196,195,424,29,83,4,303,0,1,2,0,0,0,0,0,1,1,3,0,2,0,0,0,0,853,0,1,854,0
197,196,381,25,75,0,321,0,0,1,1,0,1,0,0,1,0,1,2,0,1,0,0,0,810,0,1,811,0
198,197,373,38,85,1,360,0,2,0,2,3,0,0,0,0,0,1,1,4,0,0,3,0,873,0,1,874,0
199,198,396,36,68,0,241,2,1,0,1,1,0,1,0,0,0,0,4,1,0,0,4,0,756,0,3,759,0
200,199,363,31,73,1,377,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,848,0,1,849,0
201,200,307,17,99,0,240,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,668,0,1,669,0
202,201,354,36,106,1,327,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,830,0,2,832,0
203,202,344,34,106,1,367,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,857,0,3,860,0
204,203,267,19,78,0,343,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,3,0,716,0,1,717,0
205,204,385,41,90,0,393,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,916,0,1,917,0
206,205,196,21,72,3,271,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,569,0,1,570,0
207,206,280,25,89,0,301,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,699,0,0,699,0
208,207,199,20,42,2,214,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,484,0,2,486,0
209,208,222,28,53,1,251,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,556,0,4,560,0
210,209,223,16,52,0,182,0,0,1,0,0,0,0,0,0,0,1,0,1,5,1,0,0,482,0,1,483,0
211,210,384,16,54,1,298,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,760,0,1,761,0
212,211,388,26,66,0,390,1,16,1,0,0,1,0,0,0,0,1,0,1,5,0,0,0,896,0,3,899,0
213,212,391,14,128,1,367,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,907,0,2,909,0
214,213,327,51,93,1,348,2,1,0,0,0,0,1,0,0,0,3,4,1,0,0,1,0,833,0,5,838,0
215,214,293,32,68,0,265,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,660,0,3,663,0
216,215,406,27,81,1,238,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,757,0,2,759,0
217,216,297,25,74,2,280,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,684,0,1,685,0
