Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
267,267,3,26,229,85,0,0,1,171,0,0,1,1,1,0,0,0,0,0,518,0,0,518,0
268,268,1,25,212,71,1,0,1,154,0,0,0,0,0,0,0,2,1,1,469,0,0,469,0
269,269,4,27,327,150,1,2,3,279,2,0,0,4,1,1,0,2,0,0,803,0,3,806,0
270,270,1,41,280,94,0,1,3,192,0,1,0,0,0,0,0,0,1,0,614,0,0,614,0
271,271,1,34,401,80,0,1,3,260,0,2,0,1,0,2,0,2,0,0,787,0,0,787,0
272,272,4,33,210,100,0,0,2,138,2,0,0,1,0,0,0,0,0,0,490,0,2,492,0
273,273,3,64,335,135,2,1,7,309,0,2,1,1,0,2,0,1,0,0,863,0,1,864,0
274,274,2,21,252,184,0,1,3,256,0,0,1,1,2,0,0,0,0,1,724,0,1,725,0
275,275,1,15,144,224,5,1,1,220,0,0,0,1,1,0,0,0,0,1,614,0,6,620,0
276,276,0,20,134,176,2,0,2,157,1,0,0,0,1,0,0,0,0,0,493,0,0,493,0
277,277,0,16,158,193,3,1,3,149,0,0,0,0,0,0,0,0,0,3,526,0,2,528,0
278,278,4,25,179,360,5,2,1,349,1,0,0,1,5,1,0,0,0,0,933,0,5,938,0
279,279,1,23,206,273,3,1,2,209,1,0,0,1,2,0,0,0,0,0,722,0,3,725,0
280,280,3,31,195,133,2,0,2,313,2,1,0,0,1,0,2,0,0,4,689,0,1,690,0
281,281,0,16,137,108,2,0,1,193,0,0,0,1,0,0,1,2,0,0,461,0,2,463,0
282,282,1,55,376,165,2,1,5,240,0,0,0,0,1,0,0,2,1,0,849,0,2,851,0
283,283,0,40,198,210,3,1,2,159,0,0,0,0,0,0,0,2,0,0,615,0,1,616,0
284,284,1,41,308,158,4,1,1,210,3,0,0,2,0,1,0,0,0,0,730,0,1,731,0
285,285,1,12,193,86,0,0,2,147,1,0,0,1,0,0,1,2,2,0,448,0,1,449,0
286,286,0,13,255,131,1,1,2,131,1,0,0,1,0,0,0,1,1,1,539,0,2,541,0
287,287,0,16,153,144,2,3,1,222,2,0,0,0,0,0,0,1,0,0,544,0,2,546,0
288,288,3,16,168,105,2,0,0,175,2,0,0,1,0,1,1,1,0,1,476,0,1,477,0
289,289,0,26,205,104,3,2,0,165,0,0,0,0,0,0,0,0,1,0,506,0,4,510,0
290,290,1,16,144,95,0,1,1,134,1,0,0,0,0,0,0,0,1,0,394,0,1,395,0
291,291,0,30,258,157,0,0,1,216,1,0,0,0,1,0,0,0,1,1,666,0,0,666,0
292,292,1,36,191,184,1,1,1,217,1,0,0,0,0,0,0,1,1,0,635,0,6,641,0
293,293,0,10,186,113,0,0,3,182,0,1,0,0,0,0,0,1,0,0,496,0,0,496,0
294,294,1,27,145,84,2,1,1,193,0,0,0,0,0,0,0,0,0,0,454,0,0,454,0
295,295,1,45,290,186,0,0,1,279,0,0,0,0,0,0,0,1,0,2,805,0,2,807,0
296,296,3,49,309,170,2,1,9,287,0,0,0,2,1,0,0,1,0,1,835,0,0,835,0
297,297,2,30,161,105,1,0,2,168,0,0,0,0,0,1,0,0,0,0,470,0,2,472,0
298,298,0,13,255,48,1,0,0,159,1,0,0,0,0,0,1,2,0,1,481,0,2,483,0
299,299,2,8,340,155,1,0,1,359,0,0,0,2,5,1,0,2,0,0,876,0,1,877,0
300,300,1,9,254,94,3,0,2,191,1,0,0,0,0,1,0,0,0,0,556,0,6,562,0
301,301,0,14,261,80,1,0,1,142,0,0,0,0,0,0,0,1,0,0,500,0,2,502,0
302,302,0,10,273,85,1,0,2,119,0,0,0,0,0,1,0,0,0,1,492,0,0,492,0
303,303,1,18,344,190,1,1,2,257,0,1,1,1,0,0,0,0,0,1,818,0,0,818,0
304,304,1,19,324,54,0,0,0,131,0,0,0,0,0,0,1,2,0,0,532,0,2,534,0
305,305,1,27,191,196,0,1,1,273,0,0,0,0,1,0,0,1,0,0,692,0,1,693,0
306,306,3,37,322,172,1,0,0,275,0,0,0,1,2,2,0,1,1,0,817,0,6,823,0
307,307,2,30,197,281,1,0,1,237,0,0,0,1,2,1,0,0,0,1,754,0,3,757,0
308,308,2,25,133,138,0,1,1,201,1,0,0,0,0,0,0,1,0,0,503,0,1,504,0
309,309,1,14,155,107,0,1,1,147,0,0,0,0,1,0,1,1,0,0,429,0,5,434,0
310,310,0,13,145,200,1,2,1,184,1,0,0,0,1,0,0,2,0,0,550,0,3,553,0
311,311,2,19,132,185,3,0,0,199,0,1,0,0,1,0,0,1,0,1,544,0,6,550,0
312,312,2,28,240,180,0,1,4,321,1,1,1,1,0,1,0,1,0,0,782,0,5,787,0
313,313,1,39,274,166,3,0,2,305,1,0,0,0,0,2,0,0,0,0,793,0,1,794,0
314,314,2,22,178,216,3,0,2,250,2,0,1,0,4,1,0,0,0,0,681,0,2,683,0
315,315,0,13,187,213,1,1,4,351,1,0,0,1,1,0,2,4,0,1,780,0,4,784,0
316,316,1,17,218,304,3,0,1,327,1,0,2,1,2,1,0,3,3,0,884,0,6,890,0
317,317,3,27,230,180,1,0,4,292,1,0,0,3,0,0,0,0,0,0,741,0,6,747,0
318,318,0,24,191,190,1,4,2,235,1,0,1,0,2,0,0,1,0,1,653,0,8,661,0
319,319,0,41,321,179,3,1,0,333,0,1,0,0,1,0,0,1,0,2,883,0,4,887,0
320,320,0,13,83,135,2,0,2,143,0,0,0,1,1,0,0,0,0,0,380,0,2,382,0
321,321,3,15,110,74,4,3,1,261,0,0,0,1,0,1,0,1,0,0,474,0,2,476,0
322,322,0,30,190,113,2,0,1,234,1,0,0,0,0,0,1,3,0,0,575,0,2,577,0
323,323,7,15,200,181,1,2,2,332,2,1,1,1,0,0,0,1,0,1,747,0,3,750,0
324,324,2,26,167,171,2,3,3,241,1,0,0,1,1,2,0,2,0,2,624,0,3,627,0
325,325,2,25,153,108,1,1,0,241,2,0,1,2,0,2,2,0,1,2,543,0,1,544,0
326,326,2,31,279,184,1,0,3,264,0,0,0,0,0,0,0,0,1,0,765,0,5,770,0
327,327,4,17,135,117,2,1,1,230,1,0,0,0,0,0,1,0,0,0,509,0,6,515,0
328,328,0,27,161,135,4,1,2,179,0,0,0,0,0,0,0,1,0,0,510,0,1,511,0
329,329,2,37,302,141,1,0,1,250,0,0,0,2,0,1,0,0,0,1,738,0,2,740,0
330,330,2,31,223,55,0,0,0,180,0,0,0,0,1,0,0,0,0,1,493,0,2,495,0
331,331,0,24,199,94,0,0,0,247,0,0,0,0,0,0,0,0,0,1,565,0,1,566,0
332,332,1,2,64,38,0,0,1,79,0,0,0,0,0,0,1,0,0,0,186,0,1,187,0
333,333,2,22,318,130,3,0,1,218,1,0,0,0,2,0,1,1,2,2,703,0,6,709,0
334,334,2,35,342,164,1,0,1,248,1,0,0,1,0,0,0,0,0,2,797,0,3,800,0
335,335,1,28,242,112,1,1,2,148,1,0,0,0,0,1,0,0,1,0,538,0,2,540,0
336,336,2,34,169,109,1,0,4,179,0,1,0,1,0,1,1,0,0,0,502,0,3,505,0
337,337,0,11,134,44,0,0,0,44,0,0,1,0,0,0,0,0,1,0,235,0,0,235,0
338,338,0,7,121,59,0,0,0,27,0,0,0,0,1,1,0,0,0,0,216,0,0,216,0
339,339,1,11,181,55,0,2,0,54,0,0,0,0,0,0,0,1,0,0,305,0,2,307,0
340,340,0,11,179,82,0,0,0,60,0,0,0,1,0,0,0,0,0,0,333,0,2,335,0
341,341,0,14,109,77,1,0,0,28,0,0,0,0,0,0,0,0,0,0,229,0,0,229,0
342,342,0,2,97,50,0,0,2,70,0,0,0,0,0,0,0,0,1,0,222,0,0,222,0
343,343,0,5,134,66,0,0,0,30,0,0,0,0,1,0,0,0,0,0,236,0,1,237,0
344,344,0,25,82,94,0,0,0,32,0,0,0,0,0,0,0,0,0,0,233,0,1,234,0
