Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
61,61,0,24,123,110,0,0,1,151,0,0,0,0,1,1,0,0,0,0,411,0,3,414,0
62,62,0,28,143,135,0,1,0,139,0,0,0,0,0,0,0,0,0,0,446,0,6,452,0
63,63,0,28,95,109,0,0,1,157,0,0,0,1,0,0,0,0,1,0,392,0,2,394,0
64,64,2,32,202,278,2,1,1,210,0,0,0,0,0,0,0,0,0,0,728,0,8,736,0
65,65,2,61,181,226,0,0,1,297,2,0,0,1,0,0,0,1,0,0,772,0,4,776,0
66,66,0,38,177,265,0,0,1,191,0,0,0,3,0,0,0,1,0,0,676,0,2,678,0
67,67,1,15,209,261,3,1,1,236,1,1,0,0,0,0,0,0,0,0,729,0,5,734,0
68,68,1,18,147,202,0,0,1,161,0,2,1,0,0,0,0,0,0,0,533,0,6,539,0
69,69,0,17,133,170,1,1,1,150,0,1,0,0,1,0,0,0,0,0,475,0,0,475,0
70,70,2,10,182,221,0,1,1,266,1,0,0,0,1,0,0,0,0,0,685,0,1,686,0
71,71,0,27,140,224,2,0,1,220,0,0,1,0,0,0,0,0,0,1,616,0,4,620,0
72,72,1,7,146,303,1,0,0,100,0,0,0,0,1,0,29,1,1,0,590,0,2,592,0
73,73,2,63,460,248,2,10,0,213,2,0,0,1,0,0,0,0,0,1,1002,0,1,1003,0
74,74,2,16,294,224,2,1,3,289,3,1,2,0,1,3,2,0,0,0,843,0,5,848,0
75,75,1,12,292,257,2,0,4,227,0,0,0,0,2,1,2,3,2,0,805,0,13,818,0
76,76,2,33,215,276,2,0,3,165,0,0,0,1,0,2,0,1,1,0,701,0,2,703,0
77,77,3,33,308,218,2,7,2,199,1,0,0,1,1,1,0,2,2,2,782,0,5,787,0
78,78,1,47,257,293,1,2,1,226,0,1,0,0,0,1,6,1,0,0,837,0,6,843,0
79,79,1,55,303,155,2,0,1,272,0,0,0,0,0,0,1,1,1,0,792,0,2,794,0
80,80,0,43,174,124,0,0,1,259,0,1,0,0,1,1,0,0,3,0,607,0,2,609,0
81,81,1,42,142,328,1,1,11,222,0,0,0,0,0,0,0,0,0,0,748,0,3,751,0
82,82,0,35,187,177,1,4,1,106,0,0,0,0,2,0,0,1,0,0,514,0,1,515,0
83,83,3,24,247,191,3,0,9,238,1,0,0,0,1,2,0,1,2,0,722,0,11,733,0
84,84,3,44,213,195,0,63,1,134,0,1,3,2,1,0,0,0,0,0,660,0,3,663,0
85,85,1,65,277,112,1,77,0,120,0,0,0,3,0,1,0,2,1,0,660,0,6,666,0
86,86,0,36,288,76,5,2,0,105,0,0,0,1,0,0,0,1,0,0,514,0,0,514,0
87,87,2,59,411,97,16,5,0,197,1,0,0,0,0,1,0,0,1,0,790,0,6,796,0
88,88,0,43,352,80,10,1,1,139,0,0,0,0,0,0,0,0,1,0,627,0,4,631,0
89,89,1,9,129,186,3,1,0,118,1,0,0,0,0,0,0,0,0,1,449,0,1,450,0
90,90,0,11,156,149,0,0,0,137,0,0,0,1,1,0,0,0,1,0,456,0,2,458,0
91,91,1,18,141,246,2,1,1,236,0,0,0,0,0,0,0,0,0,0,646,0,6,652,0
92,92,1,13,207,193,1,1,0,220,1,1,0,1,0,1,1,0,0,0,641,0,2,643,0
93,93,0,9,187,225,2,0,1,121,0,0,0,0,0,0,1,0,0,0,546,0,1,547,0
94,94,0,12,161,230,1,0,2,93,0,0,0,0,0,0,0,0,0,0,499,0,1,500,0
95,95,3,14,275,222,6,0,0,318,0,0,1,1,0,1,0,0,1,1,843,0,7,850,0
96,96,6,53,297,65,0,4,0,151,0,1,0,0,0,0,0,0,0,1,578,0,2,580,0
