Polling Station No,Candidate_1,HSEHAM IHZOMAYYOP LIBNA,P .RAMUK,T .HSSEJAR,S .ARHTISIV,T .LEVARAMUK,.UHTUMIAHCTIP A,S .HTIJNAR,)A( .S RAMUKAYAJIV UTTAPLAVAN IJIV,L .HPESOJ,I .JARUSEY,K .RAMUK,P .RAMUK,S .SELRAHC,.IMHSKALUBBUS R,P .KAPEED,D .HSOLUOP,AHTNANAGURUM G .M,ANAHOM P .NAVLEHC .RD,.NARDNAHCAMAR V,A .JARTNECNIV,C .RAMUKAYAJIV,N .RAMUKAYAJIV,LEVIRTEV P .ANNAK,.NARDNAHCAYAJ P,A .NAGAJAHS,H .NAMAHAR BEEBAH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
43,43,177,139,29,0,0,3,1,165,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,517,0,2,519,0
44,44,309,102,26,1,0,1,2,354,0,0,0,0,0,0,1,5,0,1,0,0,0,0,1,0,1,0,804,0,2,806,0
45,45,307,85,20,0,1,1,1,246,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,667,0,0,667,0
46,46,277,92,19,1,0,1,1,198,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,592,0,6,598,0
47,47,245,98,36,0,2,0,0,256,2,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,645,0,3,648,0
48,48,261,83,28,0,1,3,2,246,1,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,631,0,2,633,0
49,49,292,123,24,8,2,6,0,365,1,0,0,0,2,0,0,1,1,0,0,0,0,0,4,1,0,1,831,0,7,838,0
50,50,254,112,29,0,2,1,0,226,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,629,0,1,630,0
51,51,185,71,20,1,1,3,1,223,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,509,0,3,512,0
52,52,192,77,18,0,1,0,1,294,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,1,0,591,0,5,596,0
53,53,234,77,27,1,0,1,0,366,0,0,0,0,1,1,1,0,2,4,2,0,2,0,2,1,1,0,723,0,3,726,0
54,54,225,79,25,1,0,1,3,365,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,704,0,3,707,0
55,55,190,98,29,1,1,0,1,290,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,616,0,1,617,0
56,56,173,57,12,0,7,1,0,229,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,485,0,1,486,0
57,57,183,84,17,0,0,0,1,441,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,732,0,4,736,0
58,58,205,66,30,0,0,1,2,317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,3,625,0
59,59,235,136,46,1,0,1,1,457,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,1,883,0,0,883,0
60,60,266,120,21,1,2,0,1,333,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,750,0,3,753,0
61,61,311,67,29,0,0,4,0,290,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,705,0,2,707,0
62,62,346,70,17,0,1,3,1,282,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,723,0,3,726,0
