Polling Station No,Candidate_1,HSEHAM IHZOMAYYOP LIBNA,P .RAMUK,T .HSSEJAR,S .ARHTISIV,T .LEVARAMUK,.UHTUMIAHCTIP A,S .HTIJNAR,)A( .S RAMUKAYAJIV UTTAPLAVAN IJIV,L .HPESOJ,I .JARUSEY,K .RAMUK,P .RAMUK,S .SELRAHC,.IMHSKALUBBUS R,P .KAPEED,D .HSOLUOP,AHTNANAGURUM G .M,ANAHOM P .NAVLEHC .RD,.NARDNAHCAMAR V,A .JARTNECNIV,C .RAMUKAYAJIV,N .RAMUKAYAJIV,LEVIRTEV P .ANNAK,.NARDNAHCAYAJ P,A .NAGAJAHS,H .NAMAHAR BEEBAH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
171,171,244,96,41,0,0,0,3,302,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,2,0,694,0,0,694,0
172,172,290,118,38,0,0,0,1,371,2,2,0,0,0,1,0,2,0,0,0,0,1,0,3,1,0,0,830,0,1,831,0
173,173,307,62,44,0,0,1,1,328,1,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,750,0,3,753,0
174,174,243,120,40,0,0,2,3,376,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,789,0,3,792,0
175,175,209,68,44,0,0,1,0,226,0,0,0,0,0,0,2,2,2,1,0,1,0,0,1,0,0,0,557,0,0,557,0
176,176,298,105,41,1,1,1,3,428,1,1,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,886,0,3,889,0
177,177,198,142,31,1,2,2,4,319,1,1,0,1,2,2,0,1,1,0,1,0,1,0,1,0,0,0,711,0,0,711,0
178,178,160,59,42,0,0,0,2,234,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,500,0,5,505,0
179,179,316,139,39,1,1,0,0,321,0,0,0,1,0,3,0,2,3,2,0,0,0,0,0,0,2,1,831,0,1,832,0
180,180,324,136,42,2,0,3,0,365,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,1,0,881,0,0,881,0
181,181,277,139,22,2,1,1,1,343,0,0,1,0,0,4,1,3,1,0,0,0,0,0,2,2,0,0,800,0,0,800,0
182,182,278,110,32,2,0,1,2,302,3,1,0,0,0,0,3,0,2,1,0,0,0,0,0,1,1,0,739,0,1,740,0
183,183,283,154,47,0,0,1,0,291,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,784,0,1,785,0
184,184,327,58,29,0,1,0,2,320,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,744,0,5,749,0
185,185,251,75,38,0,0,1,0,270,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,636,0,1,637,0
186,186,210,25,27,0,1,1,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,467,0,0,467,0
187,187,273,77,32,1,0,0,1,338,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,724,0,3,727,0
188,188,246,67,26,0,0,0,4,254,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,602,0,5,607,0
189,189,232,38,26,0,1,0,0,242,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,1,0,546,0,5,551,0
190,190,301,206,35,0,2,1,3,383,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,938,0,0,938,0
191,191,191,48,17,0,0,0,0,245,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,502,0,1,503,0
192,192,350,110,20,0,0,1,0,288,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,771,0,3,774,0
193,193,367,82,57,0,2,0,1,399,0,2,0,0,2,3,1,0,2,2,0,0,0,0,2,0,1,0,923,0,4,927,0
194,194,242,77,39,1,1,1,0,268,1,0,0,1,1,1,1,0,3,0,1,0,0,0,0,1,1,1,641,0,1,642,0
195,195,321,102,33,1,0,0,1,337,0,0,0,0,1,0,0,0,2,2,0,0,1,0,2,1,4,0,808,0,1,809,0
196,196,303,102,39,1,3,1,1,360,0,0,0,1,0,0,2,2,1,3,0,0,0,0,1,1,0,1,822,0,4,826,0
197,197,210,65,19,1,0,0,0,211,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,511,0,1,512,0
198,198,317,121,30,0,0,0,0,359,0,0,1,0,1,3,1,0,0,0,1,0,0,0,0,0,1,0,835,0,5,840,0
199,199,286,203,21,1,1,0,1,340,1,0,0,0,1,0,0,1,3,1,0,0,0,0,1,1,1,0,863,0,7,870,0
200,200,276,125,34,0,0,0,2,350,0,0,2,1,1,0,0,1,2,1,1,0,0,0,0,0,1,0,797,0,1,798,0
201,201,205,56,22,1,0,0,3,363,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,658,0,2,660,0
202,202,220,66,20,1,1,0,1,201,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,515,0,2,517,0
203,203,307,78,34,1,0,0,2,449,1,0,0,0,0,1,0,2,2,0,0,1,1,0,0,2,0,0,881,0,0,881,0
204,204,291,60,23,2,0,0,0,322,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,704,0,8,712,0
205,205,189,53,17,1,1,1,0,199,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,464,0,4,468,0
206,206,247,88,23,1,0,0,0,352,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,716,0,1,717,0
207,207,232,63,25,1,1,2,0,281,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,609,0,1,610,0
208,208,224,74,29,1,1,0,0,291,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,625,0,4,629,0
209,209,243,73,24,1,0,0,2,323,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,669,0,1,670,0
210,210,135,63,13,0,0,0,0,189,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,401,0,2,403,0
211,211,180,49,20,1,0,0,0,176,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,431,0,1,432,0
212,212,230,69,19,0,1,0,1,204,0,0,0,0,0,0,0,0,4,1,1,0,0,0,4,0,2,0,536,0,1,537,0
213,213,219,32,10,0,1,0,1,211,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,480,0,0,480,0
214,214,236,53,20,0,1,0,0,229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,540,0
215,215,245,47,21,0,0,0,1,264,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,580,0,2,582,0
216,216,212,44,15,1,1,0,2,310,0,0,1,1,0,0,2,1,2,0,1,0,0,0,0,1,1,0,595,0,2,597,0
217,217,186,68,23,0,0,0,0,256,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,536,0,5,541,0
218,218,186,81,21,0,1,0,1,288,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,583,0,3,586,0
219,219,198,61,21,0,0,0,0,251,0,0,0,0,1,0,1,1,1,2,3,1,0,2,0,0,3,0,546,0,3,549,0
220,220,284,218,37,0,1,0,2,330,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,878,0,2,880,0
221,221,228,69,31,0,0,0,0,247,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,580,0,2,582,0
222,222,185,56,16,0,1,0,2,204,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,467,0,3,470,0
223,223,404,135,39,0,0,0,0,334,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,918,0,3,921,0
224,224,333,115,40,1,1,0,0,474,1,1,1,0,0,0,2,1,6,0,0,1,0,0,0,3,2,2,984,0,3,987,0
225,225,277,105,63,0,0,3,0,404,2,0,0,1,0,0,0,0,1,2,0,0,1,0,2,0,0,0,861,0,4,865,0
226,226,101,32,18,0,0,1,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,276,0,0,276,0
227,227,309,197,27,0,3,0,0,404,0,0,0,0,1,1,1,9,2,2,0,1,0,0,0,1,0,0,958,0,2,960,0
228,228,282,83,29,0,1,2,0,279,0,0,0,0,0,0,1,0,5,2,0,0,0,1,0,2,0,0,687,0,3,690,0
229,229,197,96,15,0,0,0,0,207,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,520,0,0,520,0
230,230,186,46,18,4,0,1,0,137,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,395,0,1,396,0
231,231,226,95,51,0,0,6,0,305,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,3,0,0,690,0,1,691,0
232,232,246,78,51,1,0,3,1,298,0,3,0,0,1,1,0,2,3,3,0,0,0,0,1,1,1,0,694,0,4,698,0
233,233,252,106,67,0,0,1,1,246,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,679,0,1,680,0
234,234,269,49,29,0,0,1,0,179,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,531,0,1,532,0
235,235,313,91,55,0,0,1,0,289,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,751,0,6,757,0
236,236,324,68,47,1,2,0,1,204,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,651,0,8,659,0
237,237,425,66,67,2,0,0,1,388,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,955,0,4,959,0
238,238,304,82,41,0,0,0,0,294,1,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,728,0,7,735,0
239,239,192,53,21,1,0,0,0,161,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,430,0,5,435,0
240,240,210,49,29,1,1,1,0,248,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,545,0,4,549,0
241,241,229,46,18,1,1,0,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,441,0,2,443,0
242,242,201,66,36,1,0,0,0,225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,532,0,2,534,0
243,243,207,65,24,3,0,0,0,215,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,518,0,1,519,0
244,244,150,39,27,0,0,1,0,144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,363,0,1,364,0
245,245,205,65,24,1,0,2,0,248,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,548,0,3,551,0
246,246,289,117,52,0,1,0,0,326,0,1,1,0,0,0,1,1,1,1,0,0,0,1,2,0,3,1,798,0,1,799,0
247,247,297,58,41,4,0,0,1,237,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,640,0,1,641,0
248,248,361,89,46,0,0,2,2,405,0,0,2,0,0,0,0,1,6,1,0,0,0,1,1,1,2,0,920,0,4,924,0
249,249,303,134,42,0,0,1,2,292,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,779,0,3,782,0
250,250,300,71,56,0,0,0,0,287,0,0,0,0,1,1,1,0,3,0,0,0,0,1,0,1,0,0,722,0,3,725,0
251,251,250,85,46,0,0,2,0,296,0,0,0,0,1,0,0,2,4,2,1,0,0,0,0,0,2,0,691,0,3,694,0
252,252,194,61,41,0,0,0,0,235,0,3,0,0,1,1,0,0,1,2,0,1,0,1,1,0,0,0,542,0,1,543,0
253,253,225,69,42,1,1,0,0,249,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,592,0,3,595,0
254,254,261,99,36,1,0,0,2,303,0,0,0,0,1,1,0,1,1,2,0,0,0,0,1,0,1,0,710,0,1,711,0
255,255,191,116,16,0,0,0,0,247,1,0,1,1,2,0,0,1,0,0,1,0,0,0,1,1,0,0,579,0,2,581,0
256,256,180,66,26,2,1,0,1,143,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,423,0,0,423,0
257,257,210,72,45,1,0,0,0,236,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,566,0,4,570,0
258,258,288,146,36,1,0,2,1,354,1,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,836,0,0,836,0
259,259,202,60,27,0,0,0,0,189,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,481,0,3,484,0
260,260,319,74,31,0,1,0,2,289,0,1,0,0,0,0,1,1,4,0,0,0,0,0,4,0,1,0,728,0,4,732,0
261,261,244,130,38,2,1,0,1,251,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,673,0,4,677,0
262,262,307,82,30,1,2,0,6,281,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,714,0,0,714,0
263,263,227,66,34,0,1,2,0,366,0,1,0,1,0,1,2,1,5,0,0,0,0,0,1,2,2,0,712,0,5,717,0
264,264,234,66,29,2,1,0,1,252,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,591,0,1,592,0
265,265,295,97,41,0,1,0,2,416,2,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,860,0,4,864,0
266,266,315,132,32,1,2,2,1,309,0,1,0,0,0,1,1,2,2,0,0,0,0,1,0,0,1,0,803,0,5,808,0
267,267,343,126,30,1,0,0,0,300,1,0,1,0,2,1,0,1,6,1,0,0,0,0,0,0,1,0,814,0,3,817,0
268,268,232,65,18,1,2,0,0,273,1,0,0,0,0,0,2,0,1,1,2,1,0,0,1,0,1,0,601,0,2,603,0
269,269,188,83,30,1,1,0,0,222,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,529,0,2,531,0
270,270,251,127,15,1,1,0,1,381,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,3,0,786,0,2,788,0
271,271,274,88,54,0,1,0,0,319,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,741,0,0,741,0
272,272,241,57,42,0,0,1,1,207,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,554,0,1,555,0
273,273,119,37,19,2,0,0,1,171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,350,0,2,352,0
274,274,289,75,37,0,4,2,0,316,0,1,0,0,0,0,0,4,4,2,0,0,0,0,0,1,0,0,735,0,2,737,0
275,275,172,50,11,1,1,0,2,209,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,448,0,2,450,0
276,276,179,48,22,0,0,1,0,184,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,439,0,0,439,0
277,277,195,93,32,1,2,1,0,276,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,1,0,0,608,0,3,611,0
278,278,211,47,22,0,2,1,1,265,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,555,0,1,556,0
279,279,315,72,29,0,1,2,0,262,0,0,0,0,0,1,0,2,3,2,1,0,0,0,0,0,0,0,690,0,2,692,0
280,280,229,71,16,0,0,0,0,244,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,564,0,2,566,0
281,281,138,58,14,1,0,0,0,217,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,429,0,2,431,0
282,282,339,183,19,1,0,0,4,455,2,0,0,1,0,0,1,7,4,5,0,0,0,2,0,2,2,2,1029,0,1,1030,0
283,283,269,106,17,0,0,0,1,270,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,669,0,1,670,0
284,284,258,89,20,0,0,1,0,306,1,0,0,1,0,0,0,1,4,1,0,0,0,0,1,1,0,1,685,0,1,686,0
285,285,279,145,35,2,0,0,0,421,2,0,0,0,1,0,1,6,2,2,0,0,1,0,1,0,0,0,898,0,2,900,0
286,286,118,67,25,0,1,5,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,359,0,1,360,0
287,287,183,101,53,1,0,2,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,1,501,0
288,288,124,75,47,0,1,3,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,386,0,0,386,0
289,289,127,70,19,0,0,2,0,132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,352,0,2,354,0
290,290,152,57,30,0,0,0,1,107,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,349,0,2,351,0
291,291,222,96,37,1,0,0,0,262,1,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,2,1,628,0,1,629,0
292,292,252,106,36,0,0,0,1,349,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,748,0,5,753,0
293,293,290,136,38,0,0,2,1,354,0,0,0,0,0,1,1,2,1,2,0,0,0,1,0,2,2,1,834,0,3,837,0
294,294,276,84,38,0,2,0,4,390,1,0,0,0,0,3,1,1,4,0,0,0,0,1,0,1,0,0,806,0,2,808,0
295,295,207,81,14,0,0,0,0,229,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,537,0,5,542,0
296,296,201,121,21,1,0,0,2,318,1,0,0,0,0,1,1,1,3,1,0,0,1,0,0,0,0,0,673,0,0,673,0
297,297,260,100,51,0,0,0,0,353,1,0,0,0,0,0,1,1,1,2,1,0,1,2,1,2,0,0,777,0,0,777,0
298,298,205,155,28,0,1,0,1,289,2,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,1,1,689,0,3,692,0
299,299,281,90,31,1,0,2,0,410,0,0,0,0,2,0,1,3,0,3,0,0,0,0,1,0,0,0,825,0,0,825,0
300,300,148,25,19,0,0,0,0,232,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,428,0,1,429,0
301,301,246,169,39,1,2,0,0,263,0,0,0,0,2,0,0,3,0,4,0,0,1,0,0,0,0,0,730,0,1,731,0
302,302,169,77,1,0,0,0,0,452,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,701,0,0,701,0
303,303,295,195,40,1,0,5,0,282,0,0,0,0,0,0,1,3,4,1,0,0,0,0,0,1,1,0,829,0,0,829,0
304,304,191,149,46,0,0,0,1,301,0,1,0,0,0,0,1,1,0,1,0,0,2,0,1,0,0,0,695,0,2,697,0
305,305,190,131,23,0,0,0,0,208,1,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,559,0,3,562,0
306,306,264,219,36,2,0,0,0,309,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,1,2,0,839,0,1,840,0
307,307,264,153,22,1,1,0,0,136,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,582,0,0,582,0
308,308,254,224,34,1,0,1,1,302,0,0,0,1,1,0,1,0,1,3,0,0,0,0,0,0,0,0,824,0,2,826,0
309,309,185,152,17,0,2,0,0,213,1,0,0,1,0,0,0,1,1,3,1,0,1,1,3,3,5,0,590,0,0,590,0
310,310,170,150,14,0,0,2,3,229,0,0,1,1,0,1,1,4,0,0,0,1,1,0,1,2,0,1,582,0,0,582,0
311,311,308,176,41,0,0,0,0,239,1,0,0,0,1,0,2,4,1,0,0,1,0,0,0,0,1,0,775,0,2,777,0
312,312,240,95,43,0,0,0,0,178,0,1,0,0,0,0,0,4,3,2,0,0,0,0,3,3,1,0,573,0,3,576,0
