Polling Station No,ISAKI PANDIAN,DR.KALAI KATHIRAVAN,S.SELVA MOHANDAS PANDIAN,P. PUSHPALATHA,GOMATHI SANKAR,R. SELVAKUMAR,S.THIRUMALAI KUMAR,M.POOSA DURAI,S.MANOGARAN,A. RAJAPRAKASH,GANESHAN. S,K.M.KALIAPPAN,R.KRISHNAN,SHAHUL HAMEED,S. THANGAPALAM,DURAIRAJ,P.NOBLE KRISHNA,G. POORANA SELVAN,M. PONNUDURAI,A.MARIAPPAN,K.MUTHU,R. RAMKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,0,120,428,18,0,0,0,20,1,95,0,0,1,0,1,2,1,3,7,0,0,0,697,0,1,698,0
2,0,95,373,44,2,0,4,48,0,124,1,0,0,0,0,0,0,1,0,0,0,0,692,0,2,694,0
3,2,433,227,54,0,0,9,38,0,211,0,0,0,1,3,7,1,2,1,0,0,0,989,0,2,991,0
4,2,230,281,114,1,0,0,0,1,208,0,0,4,1,1,0,0,1,0,1,1,2,848,0,1,849,0
5,1,143,275,75,4,0,3,0,0,195,0,0,0,0,1,1,0,0,0,0,0,1,699,0,5,704,0
6,0,152,208,72,1,1,0,0,0,168,0,0,0,1,0,2,0,1,2,2,0,0,610,0,3,613,0
7,4,120,160,40,0,0,1,20,0,133,0,0,1,1,1,0,1,2,0,0,0,0,484,0,1,485,0
8,2,220,137,63,0,0,0,23,0,204,1,0,0,2,0,1,2,1,1,1,0,0,658,0,1,659,0
9,1,158,152,32,1,0,0,2,0,194,0,0,0,0,0,0,0,2,2,0,0,0,544,0,1,545,0
10,1,154,120,41,0,0,4,4,0,161,0,0,0,0,0,1,0,0,0,0,0,1,487,0,3,490,0
11,0,191,98,37,0,0,8,3,1,149,0,0,0,0,0,0,0,1,0,0,0,0,488,0,4,492,0
12,2,179,127,43,0,0,15,15,2,194,0,0,0,2,4,0,3,0,1,0,2,0,589,0,1,590,0
13,4,233,114,34,1,0,5,2,0,158,0,2,0,1,2,2,2,4,1,0,2,1,568,0,2,570,0
14,6,153,331,22,0,1,1,65,4,217,1,0,0,0,0,2,1,1,0,2,0,0,807,0,1,808,0
15,0,105,229,32,0,0,0,10,2,143,0,1,0,1,2,0,0,1,1,0,0,0,527,0,3,530,0
16,1,148,257,36,0,0,1,26,0,244,1,2,1,1,0,1,1,5,1,0,0,0,726,0,3,729,0
