Polling Station No,SEETHALAKSHMI.M.K,NALLASIVAM.N,PRABHU.V.B,RAVIKUMAR.R,SENGOTTAIYAN.K.A,THIRUVENGATESH.M,MALARVIZHI,ANANDHAKUMAR.M,SAKTHIVEL.G,SHANMUGAM.G,SEETHA.R,SUMATHI.G,SELVAKUMAR.R,DHANAPAL.K,PALANISAMYRAAJ.M,BHUVANESHWARI.A,RAMESH.P,VENKATACHALAM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
210,40,251,197,2,361,2,1,2,1,0,2,4,2,1,8,6,1,1,882,0,4,886,0
211,25,165,188,2,192,23,0,0,0,2,0,0,0,0,1,1,0,4,603,0,1,604,0
212,21,127,143,1,248,1,0,0,0,0,0,3,1,0,4,3,0,0,552,0,0,552,0
213,23,173,139,1,156,85,0,0,0,0,1,1,4,1,1,2,1,1,589,0,3,592,0
214,10,127,102,2,126,9,0,1,1,0,0,1,0,0,0,1,0,3,383,0,1,384,0
215,26,243,217,3,253,7,0,0,1,1,0,0,0,5,1,2,0,1,760,0,3,763,0
216,20,282,200,9,438,14,1,0,0,0,0,5,0,1,4,1,0,1,976,0,3,979,0
217,16,215,130,3,185,1,0,0,0,0,1,0,0,0,2,3,0,3,559,0,0,559,0
218,26,122,275,2,178,0,0,0,0,0,1,0,1,2,0,1,0,1,609,0,1,610,0
219,25,194,125,6,441,4,0,0,1,0,1,3,0,0,1,3,1,5,810,0,4,814,0
220,71,386,213,1,374,2,1,1,0,0,1,2,0,2,2,2,1,4,1063,0,3,1066,0
221,46,330,131,0,408,1,0,0,0,0,0,1,0,2,1,1,0,0,921,0,6,927,0
222,51,203,132,0,407,4,0,0,1,1,1,0,3,0,1,6,1,1,812,0,4,816,0
223,20,215,165,0,287,1,0,1,0,0,0,1,1,3,2,1,0,3,700,0,1,701,0
224,43,241,178,1,412,1,1,0,0,0,0,0,0,14,1,4,0,3,899,0,5,904,0
225,42,238,222,4,299,0,0,0,0,0,0,2,0,0,0,1,0,1,809,0,3,812,0
226,27,181,345,6,259,1,0,1,0,2,0,2,3,0,1,1,0,1,830,0,5,835,0
227,32,188,459,7,358,1,0,0,0,1,1,2,1,3,0,2,0,3,1058,0,3,1061,0
228,5,174,81,7,337,0,2,0,0,0,1,4,1,4,1,5,0,3,625,0,2,627,0
229,15,119,299,4,228,0,0,0,1,0,0,2,1,3,3,3,1,0,679,0,2,681,0
230,39,202,319,2,380,1,1,0,0,0,2,4,1,6,0,2,0,3,962,0,5,967,0
231,20,187,70,0,154,2,0,0,0,0,0,0,0,0,1,2,0,4,440,0,1,441,0
232,51,284,233,4,400,2,1,0,1,2,1,3,5,2,5,4,3,3,1004,0,4,1008,0
233,29,138,212,0,197,0,0,1,1,0,0,2,1,1,2,1,1,0,586,0,1,587,0
234,22,150,153,2,246,5,0,1,0,0,0,0,0,1,1,3,1,1,586,0,5,591,0
235,14,137,268,1,255,0,0,2,0,0,0,0,0,2,2,1,1,0,683,0,0,683,0
236,29,109,357,4,312,3,1,0,1,0,2,4,4,4,1,4,1,1,837,0,3,840,0
237,15,111,99,1,205,1,1,0,0,0,0,0,0,0,0,0,1,1,435,0,0,435,0
238,51,219,153,3,427,2,1,0,0,1,1,4,1,1,4,3,2,5,878,0,1,879,0
239,16,87,350,7,148,0,1,0,0,0,0,0,2,2,2,3,0,0,618,0,2,620,0
240,23,152,350,7,281,0,0,1,1,0,1,5,3,4,2,0,1,2,833,0,2,835,0
241,20,116,239,2,159,0,0,0,1,0,0,1,1,3,3,3,2,1,551,0,2,553,0
242,16,168,139,0,302,0,1,0,0,0,0,0,0,0,1,2,0,3,632,0,1,633,0
243,14,98,310,2,150,0,1,0,0,0,0,0,0,2,2,2,0,0,581,0,3,584,0
244,5,135,287,2,151,0,0,1,0,0,0,1,1,4,0,2,1,2,592,0,5,597,0
245,24,150,330,1,222,1,0,0,0,0,0,0,0,0,2,2,0,5,737,0,4,741,0
