Polling Station No,AMMAN K.ARJUNAN,V SENTHILBALAJI,PERARIVALAN. V,GOKULA KRISHNAN.S,V. SENTHILKUMAR,B. DHANDAPANI,G. MAHESHWARAN,N. ABILAZAN,IMTHIYAS,P. KATHIRAVAN,GOPALAKRISHNAN,P. SANGARARAJ,J. SURIYAKUMAR,M. SENTHILKUMAR,V. SENTHILKUMAR,K. DINESH KUMAR,P. PALANIVEL,J. PRAVEENKUMAR,T. MAGIZHAN,P. MANOJ,B. YUVARAJ,S. RANGARAJ,M. RAVICHANDRAN,K.S. RAJAGOPAL,K. RAJAPANDIAN,D. VIGNESHWARAN,K. VIJAYAN,VENKATACHALAM PARAMASIVAM,V. VELMURUGAN,M. JOHN BOSCO,L. HAKKIM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,65,199,27,2,223,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,519,0,0,519,0
2,52,190,28,0,224,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,498,0,2,500,0
3,96,313,37,0,266,0,0,1,0,0,0,1,0,2,2,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,722,0,4,726,0
4,74,263,25,4,190,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,4,562,0
5,57,181,8,0,94,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,345,0,2,347,0
6,25,172,16,0,199,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,2,417,0
7,46,257,25,2,224,1,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,562,0,6,568,0
8,94,254,27,1,209,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,1,591,0
9,80,320,31,1,255,2,0,1,3,0,0,0,1,1,2,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,703,0,0,703,0
10,40,305,36,1,263,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,653,0,2,655,0
11,96,255,29,9,295,0,0,0,3,0,0,0,0,3,1,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,699,0,2,701,0
12,91,211,40,0,206,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,554,0,1,555,0
13,66,271,24,3,256,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,629,0,2,631,0
14,54,290,19,0,301,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,0,669,0
15,72,291,29,0,243,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,639,0,3,642,0
16,40,284,12,1,189,0,0,0,1,0,1,0,1,2,2,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,538,0,1,539,0
17,50,357,19,1,231,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,662,0,2,664,0
18,67,279,23,0,159,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,1,534,0
