Polling Station No,AMMAN K.ARJUNAN,V SENTHILBALAJI,PERARIVALAN. V,GOKULA KRISHNAN.S,V. SENTHILKUMAR,B. DHANDAPANI,G. MAHESHWARAN,N. ABILAZAN,IMTHIYAS,P. KATHIRAVAN,GOPALAKRISHNAN,P. SANGARARAJ,J. SURIYAKUMAR,M. SENTHILKUMAR,V. SENTHILKUMAR,K. DINESH KUMAR,P. PALANIVEL,J. PRAVEENKUMAR,T. MAGIZHAN,P. MANOJ,B. YUVARAJ,S. RANGARAJ,M. RAVICHANDRAN,K.S. RAJAGOPAL,K. RAJAPANDIAN,D. VIGNESHWARAN,K. VIJAYAN,VENKATACHALAM PARAMASIVAM,V. VELMURUGAN,M. JOHN BOSCO,L. HAKKIM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
19,75,255,23,2,215,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,573,0
20,47,326,32,2,243,2,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,657,0,0,657,0
21,54,272,33,0,232,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,595,0,1,596,0
22,106,252,21,0,164,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,551,0,5,556,0
23,75,242,7,1,317,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,1,0,0,652,0,2,654,0
24,100,301,31,0,307,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,745,0,2,747,0
25,54,244,25,4,249,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,583,0,0,583,0
26,73,304,34,1,305,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,723,0,0,723,0
27,69,199,42,1,249,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,1,0,0,0,0,0,0,0,568,0,5,573,0
28,65,132,13,0,180,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,396,0,1,397,0
29,60,229,36,0,235,0,0,0,2,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,1,1,0,3,0,0,0,573,0,2,575,0
30,115,164,26,1,207,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,515,0,3,518,0
31,46,169,14,1,135,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,369,0,3,372,0
32,70,243,26,0,354,1,0,0,1,0,0,1,1,0,2,1,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,706,0,1,707,0
33,56,288,10,0,316,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,676,0,2,678,0
34,58,230,24,0,294,0,1,0,0,0,0,0,0,1,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,615,0,2,617,0
35,28,233,31,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,475,0,2,477,0
36,57,165,25,0,184,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,434,0,2,436,0
37,83,176,32,1,245,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,541,0,4,545,0
38,101,119,16,0,202,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,2,442,0
39,103,151,19,0,202,1,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,484,0,1,485,0
40,59,206,23,1,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,559,0,1,560,0
41,78,202,9,0,227,2,0,1,0,0,0,0,0,2,0,0,2,2,0,1,2,0,0,0,0,0,0,0,1,0,0,529,0,2,531,0
42,113,219,33,0,230,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,603,0,3,606,0
43,76,289,30,5,192,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,2,603,0,2,605,0
44,105,259,15,0,204,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,4,590,0
45,86,171,18,1,261,1,0,0,0,0,0,1,0,4,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,548,0,2,550,0
46,114,200,21,0,287,2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,630,0,2,632,0
47,158,214,31,0,191,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,596,0,4,600,0
48,156,250,27,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,688,0,5,693,0
49,122,201,19,0,172,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,520,0,1,521,0
50,119,216,31,0,194,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,566,0,4,570,0
51,202,142,22,0,131,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,501,0,8,509,0
52,133,151,10,0,202,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,504,0,1,505,0
53,107,186,29,0,195,0,0,0,1,1,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,527,0,4,531,0
54,113,184,26,1,195,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,522,0,4,526,0
55,81,171,24,0,172,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,453,0,5,458,0
56,127,241,19,0,257,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,650,0,1,651,0
57,125,257,18,0,315,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,3,1,0,0,1,1,2,0,0,0,0,729,0,2,731,0
58,82,276,30,1,265,0,1,1,0,0,0,0,1,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,664,0,4,668,0
59,51,280,21,1,228,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,1,1,1,0,0,0,0,590,0,2,592,0
60,86,226,16,0,212,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,2,548,0
61,124,220,31,0,253,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,631,0,2,633,0
62,114,246,28,0,281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,2,672,0
63,96,194,28,3,253,1,0,0,0,0,1,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,584,0,1,585,0
64,82,199,35,1,214,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,2,538,0
65,181,243,24,1,254,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,710,0,2,712,0
66,98,250,31,1,247,3,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,635,0,6,641,0
67,160,104,17,0,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,9,375,0
68,77,272,21,0,245,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,622,0,3,625,0
69,80,125,8,1,145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,1,361,0
70,117,123,10,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,361,0,5,366,0
71,62,357,20,0,240,0,1,0,0,0,0,0,0,0,1,1,1,2,0,1,1,1,0,0,0,0,1,1,0,1,0,691,0,3,694,0
72,63,157,10,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,367,0,2,369,0
73,275,142,10,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,572,0,6,578,0
74,133,98,11,1,87,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,333,0,5,338,0
75,71,131,13,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,7,328,0
76,142,177,23,1,108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,453,0,4,457,0
77,102,257,11,0,152,2,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,529,0
78,24,114,5,0,87,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,233,0,1,234,0
79,74,455,23,1,327,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,890,0,3,893,0
80,92,168,7,0,89,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,361,0,5,366,0
81,140,151,6,0,178,1,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,483,0,6,489,0
82,158,226,9,0,183,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,4,581,0
83,133,191,18,0,132,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,479,0,5,484,0
84,147,158,23,1,139,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,472,0,1,473,0
85,110,190,12,0,131,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,4,449,0
86,39,53,13,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,1,219,0
87,71,302,14,0,148,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,538,0,2,540,0
88,122,217,20,0,177,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,542,0,3,545,0
89,103,211,13,0,132,1,0,0,0,0,0,0,1,0,1,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,1,470,0,3,473,0
90,169,158,14,1,130,3,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,6,486,0
91,161,149,13,1,185,1,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,517,0,4,521,0
92,276,121,21,0,129,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,550,0,7,557,0
93,257,123,10,1,147,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0,1,542,0
94,g2e39,1 207,18,0,147,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,617,0,2,619,0
95,100,129,12,0,99,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,344,0,4,348,0
96,109,185,13,1,157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,468,0,7,475,0
97,54,94,10,0,145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,1,305,0
98,146,161,11,0,149,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,5,473,0
99,118,183,26,0,153,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,485,0,4,489,0
100,105,128,11,0,105,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,2,353,0
101,253,138,13,0,154,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,564,0,5,569,0
102,98,99,3,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,5,279,0
103,49,138,15,1,119,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,3,330,0
104,46,245,24,0,258,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,1,583,0,0,583,0
105,123,241,23,0,236,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,627,0,5,632,0
106,137,249,17,0,229,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,638,0,3,641,0
107,89,183,14,0,169,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,460,0,0,460,0
108,43,104,13,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,2,286,0
109,131,254,33,2,220,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,645,0,3,648,0
110,61,80,18,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,339,0,0,339,0
111,101,200,16,1,370,0,0,1,1,0,0,0,0,1,3,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,702,0,1,703,0
112,85,159,7,0,305,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,563,0,1,564,0
113,66,117,18,0,66,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,2,273,0
114,114,183,15,1,265,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,586,0,6,592,0
115,154,282,26,1,277,2,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,0,0,0,0,0,1,1,0,0,0,751,0,3,754,0
116,74,165,13,0,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,431,0,1,432,0
117,69,151,14,0,180,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,418,0,2,420,0
118,97,262,18,0,191,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,571,0,4,575,0
119,62,148,12,1,130,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,356,0,2,358,0
120,68,163,11,0,91,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,4,342,0
121,97,238,36,2,207,2,0,0,2,0,0,0,0,0,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,591,0,0,591,0
122,88,254,12,0,195,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,2,556,0
123,106,284,32,1,301,4,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,737,0,1,738,0
124,98,232,16,0,144,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,496,0,3,499,0
125,90,282,24,1,249,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,655,0,1,656,0
126,93,143,13,1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,6,385,0
127,162,177,28,0,295,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,667,0,7,674,0
128,81,188,17,1,134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,423,0,0,423,0
129,115,209,25,0,199,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,554,0,2,556,0
130,129,140,12,2,98,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,4,387,0
131,215,120,20,1,156,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,518,0,4,522,0
132,187,181,16,2,199,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,590,0,7,597,0
133,181,149,13,0,133,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,479,0,6,485,0
134,91,257,14,2,363,1,0,0,2,1,0,1,0,0,1,0,1,1,0,0,2,1,1,0,2,0,0,1,0,0,2,744,0,2,746,0
135,125,207,15,1,305,1,1,0,1,0,0,0,1,1,0,1,0,2,0,0,3,0,2,0,0,0,0,0,0,1,2,669,0,2,671,0
136,106,247,10,0,199,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,571,0,7,578,0
137,105,245,23,1,251,1,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,1,1,0,1,0,0,0,2,637,0,2,639,0
138,92,224,28,0,240,0,0,1,0,0,0,0,2,1,1,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,596,0,2,598,0
139,92,329,28,4,359,0,0,1,1,1,0,0,1,0,2,2,0,1,1,0,1,7,1,0,0,0,1,0,1,0,0,833,0,3,836,0
140,187,227,33,1,238,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,693,0,4,697,0
141,69,164,12,0,99,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,2,350,0
142,113,213,16,0,205,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,550,0,1,551,0
143,144,184,11,0,236,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,580,0,5,585,0
144,82,128,8,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,2,289,0
145,159,169,9,0,170,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,511,0,7,518,0
146,136,125,13,0,118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,393,0
147,125,189,34,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,497,0,5,502,0
148,236,135,15,0,106,1,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,4,503,0
149,297,105,16,0,167,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,9,598,0
150,168,100,14,0,104,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,8,399,0
151,185,142,12,0,101,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,443,0,2,445,0
152,120,253,25,2,169,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,2,573,1
153,77,255,20,0,170,1,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,531,0,2,533,0
154,182,173,6,1,130,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,495,0,2,497,0
155,150,121,18,1,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,425,0,4,429,0
156,125,91,8,0,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,317,0,2,319,0
157,99,228,6,0,144,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,481,0,0,481,0
158,103,195,17,1,258,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,583,0,2,585,0
159,75,284,10,0,334,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,711,0,2,713,0
160,46,332,6,0,334,0,0,0,0,0,0,1,0,3,2,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,730,0,1,731,0
161,76,345,4,1,283,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,715,0,2,717,0
162,124,290,15,0,384,1,0,0,0,1,0,1,1,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,823,0,2,825,0
163,136,143,14,0,140,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,437,0,3,440,0
164,201,134,12,0,121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,471,0,6,477,0
165,78,282,9,0,202,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,577,0,2,579,0
166,146,181,24,0,171,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,526,0,4,530,0
167,117,179,10,1,171,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,486,0,1,487,0
168,94,122,9,1,129,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,2,360,0
169,139,150,15,0,237,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,546,0,3,549,0
170,183,181,21,1,244,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,634,0,4,638,0
171,148,196,15,1,252,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,617,0,2,619,0
172,135,224,23,0,248,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,636,0,0,636,0
173,110,106,13,0,171,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,405,0,1,406,0
174,156,142,13,2,139,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,5,463,0
175,138,140,9,0,169,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,459,0,2,461,0
176,77,78,9,1,85,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,253,0,1,254,0
177,19,699,14,0,114,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,849,0,2,851,0
