Polling Station No,Candidate_1,NALAME.J,AMAHTOHSURUP AHTIRAP G.N,PADARP.B.K,NASARAVOOP.T,AHSA.K,UDNIS.K,LAHTIBAHT.K,A.NARAKABUS,IHTAMUS.M,NABURIHTAM HTARAHB,HSEJAR.A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
161,17,47,538,3,0,89,0,3,1,3,0,701,701,0,3,704,0
162,7,24,514,2,1,89,0,0,1,1,0,639,639,0,0,639,0
163,9,264,156,0,2,236,2,2,0,0,0,671,671,0,1,672,0
164,14,215,108,1,1,175,1,0,0,1,0,516,516,0,1,517,0
165,19,281,90,1,2,230,0,2,1,0,1,627,627,0,7,634,0
166,5,15,407,4,2,105,0,0,0,2,1,541,541,0,1,542,0
167,7,13,546,3,0,94,1,4,2,0,0,670,670,0,3,673,0
168,9,101,391,4,1,192,0,1,0,1,0,700,700,0,0,700,0
169,17,254,197,8,0,359,1,3,0,1,1,841,841,0,6,847,0
170,11,140,158,2,0,302,0,3,0,1,0,617,617,0,1,618,0
171,11,74,105,10,0,182,3,1,0,2,1,389,389,0,2,391,0
172,20,210,159,29,2,351,2,0,0,3,0,776,776,0,3,779,0
173,10,186,145,29,1,296,1,0,1,3,0,672,672,0,2,674,0
174,16,98,147,0,0,331,0,0,0,1,0,593,593,0,3,596,0
175,36,189,171,8,1,340,0,2,0,0,0,747,747,0,2,749,0
176,14,189,113,6,1,395,1,0,1,1,1,722,722,0,1,723,0
177,11,226,117,2,1,282,0,1,0,0,0,640,640,0,2,642,0
178,13,188,122,1,1,300,0,1,0,0,0,626,626,0,3,629,0
179,9,165,138,0,1,188,0,0,0,1,0,502,502,0,3,505,0
180,6,61,312,3,0,158,1,2,1,3,1,548,548,0,2,550,0
181,13,9,315,3,0,49,0,0,0,0,0,389,389,0,1,390,0
182,7,13,517,1,2,105,1,1,2,1,1,651,651,0,2,653,0
183,8,23,684,6,0,119,1,0,2,4,1,848,848,0,5,853,0
184,8,54,232,3,1,181,1,1,0,0,0,481,481,0,3,484,0
185,12,61,309,2,5,227,0,3,0,9,0,628,628,0,0,628,0
186,9,10,585,4,1,223,2,3,2,4,0,843,843,0,2,845,0
187,6,11,554,5,1,246,0,5,0,1,1,830,830,0,1,831,0
188,7,20,551,2,1,98,3,4,1,5,0,692,692,0,1,693,0
189,2,40,452,4,1,72,0,1,0,0,0,572,572,0,0,572,0
190,5,11,431,1,0,71,1,1,0,1,0,522,522,0,4,526,0
191,5,23,650,4,1,96,2,3,2,1,0,787,787,0,1,788,0
192,4,18,492,1,0,76,0,1,0,0,0,592,592,0,1,593,0
193,2,16,465,3,0,73,0,0,0,0,0,559,559,0,5,564,0
194,9,30,678,2,0,83,0,2,0,1,0,805,805,0,1,806,0
195,15,132,369,2,0,461,2,1,2,3,1,988,988,0,1,989,0
196,44,356,254,1,1,419,2,2,0,4,0,1083,1083,0,1,1084,0
197,27,254,213,6,0,431,1,6,0,6,1,945,945,0,1,946,0
198,28,266,170,7,3,486,2,4,1,1,1,969,969,0,6,975,0
199,22,202,143,6,1,458,2,3,1,2,3,843,843,0,4,847,0
200,29,196,182,3,1,366,2,2,1,1,1,784,784,0,3,787,0
201,11,381,92,1,0,189,0,0,0,0,0,674,674,0,2,676,0
202,13,392,127,2,0,149,0,0,1,1,1,686,686,0,0,686,0
203,15,415,124,3,1,416,2,0,0,2,1,979,979,0,1,980,0
204,18,321,108,2,1,262,1,2,0,2,2,719,719,0,5,724,0
205,10,246,93,1,2,238,1,0,0,2,2,595,595,0,2,597,0
206,8,320,73,3,1,262,0,1,0,0,1,669,669,0,1,670,0
207,26,391,158,1,1,457,0,3,1,1,3,1042,1042,0,3,1045,0
208,14,438,104,1,1,175,0,0,0,0,0,733,733,0,1,734,0
209,21,238,75,1,1,237,0,0,0,0,0,573,573,0,2,575,0
210,25,299,126,0,0,219,1,1,0,2,2,675,675,0,1,676,0
211,30,286,160,5,3,418,1,4,0,1,0,908,908,0,6,914,0
212,6,230,94,2,0,196,1,0,0,0,0,529,529,0,1,530,0
213,11,325,100,0,1,322,2,5,1,3,2,772,772,0,3,775,0
214,10,22,647,0,2,137,1,1,0,2,0,822,822,0,2,824,0
215,6,11,477,5,2,147,0,2,0,2,0,652,652,0,1,653,0
216,10,28,603,3,0,177,3,6,2,6,0,838,838,0,2,840,0
217,13,43,669,3,1,218,1,5,2,3,3,961,961,0,3,964,0
218,33,196,114,2,0,295,2,2,0,1,0,645,645,0,4,649,0
219,14,279,67,3,1,317,3,3,0,2,2,691,691,0,3,694,0
220,27,296,152,1,1,348,0,1,0,1,0,827,827,0,1,828,0
221,18,330,157,1,0,336,0,2,1,0,0,845,845,0,3,848,0
222,14,386,145,1,1,193,1,2,0,2,1,746,746,0,3,749,0
223,20,318,124,1,0,346,3,2,1,3,1,819,819,0,3,822,0
224,11,206,74,0,0,178,0,3,1,1,1,475,475,0,4,479,0
225,48,324,207,1,1,359,3,4,2,3,5,957,957,0,7,964,0
226,14,297,117,3,1,255,1,2,0,1,3,694,694,0,2,696,0
227,16,248,265,0,0,343,4,2,1,0,0,879,879,0,2,881,0
228,25,335,126,3,0,275,0,1,1,0,0,766,766,0,2,768,0
229,15,290,100,2,2,218,1,1,0,2,4,635,635,0,1,636,0
230,39,207,324,2,4,401,0,4,0,1,2,984,984,0,3,987,0
231,34,79,313,3,1,170,1,1,0,3,1,606,606,0,1,607,0
232,29,160,181,0,2,369,4,2,0,2,1,750,750,0,0,750,0
233,9,76,462,5,1,132,0,0,0,0,1,686,686,0,3,689,0
234,19,154,166,1,2,455,0,2,0,4,0,803,803,0,2,805,0
235,12,129,138,0,2,156,0,0,0,0,0,437,437,0,0,437,0
236,22,108,228,3,1,358,2,1,1,1,1,726,726,0,5,731,0
237,26,355,207,3,1,295,3,0,1,1,1,893,893,0,1,894,0
238,43,213,151,4,1,287,0,1,0,1,0,701,701,0,7,708,0
239,20,115,138,2,0,399,3,1,1,1,0,680,680,0,0,680,0
240,23,164,284,1,2,263,1,0,0,0,0,738,738,0,4,742,0
241,30,163,125,0,2,261,0,3,1,1,0,586,586,0,2,588,0
242,19,194,130,1,2,280,2,1,1,3,2,635,635,0,1,636,0
243,26,225,133,2,1,278,1,2,0,0,0,668,668,0,4,672,0
244,37,298,199,4,3,387,7,3,0,0,0,938,938,0,3,941,0
245,18,250,131,4,1,219,1,1,0,1,1,627,627,0,4,631,0
246,42,90,146,2,3,305,2,1,0,1,0,592,592,0,2,594,0
247,25,264,201,2,3,462,3,2,1,4,2,969,969,0,4,973,0
248,23,165,135,3,1,257,1,0,2,3,0,590,590,0,2,592,0
249,23,164,131,2,2,282,1,0,0,3,2,610,610,0,3,613,0
250,17,237,119,1,1,265,2,3,0,3,2,650,650,0,1,651,0
251,8,231,120,0,0,254,3,1,0,1,2,620,620,0,0,620,0
252,32,167,145,0,0,302,0,0,0,3,0,649,649,0,4,653,0
253,22,654,111,1,0,194,0,2,0,0,1,985,985,0,5,990,0
254,16,204,124,7,0,201,1,2,0,3,0,558,558,0,1,559,0
255,24,272,251,8,2,418,3,2,0,1,0,981,981,0,6,987,0
256,18,290,88,1,0,221,0,0,0,0,1,619,619,0,4,623,0
257,37,156,233,6,3,432,0,1,0,2,1,871,871,0,1,872,0
258,24,254,177,4,2,397,3,4,1,8,0,874,874,0,5,879,0
259,17,269,167,0,1,388,1,1,3,1,0,848,848,0,4,852,0
260,18,255,187,4,1,286,1,0,0,2,0,754,754,0,4,758,0
261,12,144,120,2,1,278,0,1,0,1,0,559,559,0,4,563,0
262,14,218,159,3,1,183,1,3,0,3,2,587,587,0,1,588,0
263,29,347,190,2,1,338,1,1,1,0,1,911,911,0,3,914,0
264,17,138,254,1,3,273,0,2,0,0,2,690,690,0,2,692,0
265,21,105,404,3,0,158,4,0,1,2,0,698,698,0,3,701,0
266,25,385,198,2,3,154,1,3,1,3,1,776,776,0,4,780,0
267,28,285,111,0,1,154,1,0,0,2,1,583,583,0,1,584,0
268,19,275,159,0,0,196,0,2,0,0,0,651,651,0,3,654,0
269,17,180,115,1,0,225,1,2,0,1,0,542,542,0,1,543,0
270,8,105,71,1,2,537,2,1,0,3,2,732,732,0,2,734,0
271,6,139,104,1,1,246,0,1,0,1,0,499,499,0,1,500,0
272,11,196,176,1,2,171,4,0,2,0,0,563,563,0,0,563,0
273,35,254,190,1,0,421,0,3,3,2,0,909,909,0,2,911,0
274,30,357,183,1,0,274,0,3,1,2,2,853,853,0,5,858,0
275,14,100,176,0,1,237,0,1,0,2,0,531,531,0,0,531,0
276,5,16,391,0,1,72,0,0,0,0,0,485,485,0,1,486,0
277,23,101,383,4,0,161,0,2,0,2,3,679,679,0,2,681,0
278,17,55,619,4,0,204,2,2,0,2,0,905,905,0,1,906,0
279,40,279,131,4,0,422,2,0,1,2,4,885,885,0,1,886,0
280,16,151,284,1,0,248,0,0,0,1,1,702,702,0,2,704,0
281,20,156,219,3,1,340,1,4,0,1,0,745,745,0,2,747,0
282,11,180,254,4,0,314,4,3,0,1,1,772,772,0,2,774,0
283,29,411,118,0,2,254,1,1,1,1,1,819,819,0,0,819,0
284,10,57,377,1,1,198,0,0,0,2,1,647,647,0,0,647,0
285,15,58,347,1,1,176,0,2,1,2,1,604,604,0,0,604,0
286,30,135,245,0,2,313,0,2,1,2,1,731,731,0,5,736,0
287,7,12,613,3,0,80,0,0,1,0,0,716,716,0,2,718,0
