Polling Station No,KASI. C,EDAPPADI PALANISWAMI. K,PRIYADHARSHINI. A,GOVINDARAJ.V,SURESH. L,ELUMALAI. P,IYYAPPAN PERUMAL. P,KUMARESAN. M,SAKTHIVEL. S,SUBRAMANI. P,THULASIMANI. P,PREMKUMAR. K,MURUGAN. C,STUDENT'S FRIEND MURUGAN. M,RAJA. K. B.SC. B.TECH. EX.INAS,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,86,588,41,3,1,0,1,0,0,1,2,160,1,0,0,884,0,5,889,0
2,179,440,35,8,2,1,1,0,0,0,2,217,1,3,2,891,0,5,896,0
3,61,309,14,3,0,0,0,0,0,1,0,96,0,0,2,486,0,6,492,0
4,93,374,32,5,1,0,0,0,0,0,0,103,0,0,0,608,0,5,613,0
5,128,449,16,2,0,0,2,0,0,0,2,111,1,0,2,713,0,7,720,0
6,79,445,9,4,1,2,0,1,0,0,1,103,0,1,1,647,0,3,650,0
7,86,411,22,2,1,0,5,0,0,1,2,76,1,0,0,607,0,4,611,0
8,92,341,13,4,1,0,2,1,1,0,0,86,0,1,1,543,0,6,549,0
9,77,287,19,3,0,0,2,1,0,0,3,95,0,2,2,491,0,6,497,0
10,102,410,13,0,0,2,0,1,1,0,1,79,0,0,0,609,0,3,612,0
11,115,562,41,8,2,4,0,0,1,1,0,140,1,3,0,878,0,6,884,0
12,58,348,13,4,0,0,0,0,0,0,1,88,1,0,0,513,0,1,514,0
13,84,226,34,5,0,1,0,0,0,0,1,114,1,0,1,467,0,3,470,0
14,155,330,52,8,0,0,2,0,1,0,1,222,0,0,3,774,0,10,784,0
15,122,587,52,6,1,1,1,0,0,0,4,261,0,1,5,1041,0,8,1049,0
16,170,503,27,4,0,0,0,0,0,0,2,264,0,2,1,973,0,3,976,0
17,166,416,26,10,1,0,0,0,1,0,2,214,0,1,4,841,0,5,846,0
18,201,238,18,7,0,0,2,1,0,0,3,186,0,2,3,661,0,5,666,0
19,126,362,27,5,1,0,0,0,1,0,1,156,1,2,2,684,0,3,687,0
20,145,504,33,9,0,1,3,1,0,0,0,189,0,0,3,888,0,3,891,0
21,158,282,25,7,0,0,1,0,0,0,1,183,0,1,2,660,0,13,673,0
22,79,506,25,5,0,0,0,0,0,0,0,111,0,0,2,728,0,1,729,0
23,116,392,10,2,0,0,1,1,0,0,3,116,1,2,1,645,0,4,649,0
24,182,428,23,7,0,0,0,0,0,0,1,179,2,0,0,822,0,6,828,0
25,165,383,25,1,2,0,1,0,0,0,1,164,0,0,0,742,0,1,743,0
26,94,367,26,1,1,0,0,0,0,0,2,161,0,0,1,653,0,1,654,0
27,85,393,10,5,0,1,0,0,0,1,0,179,0,0,0,674,0,1,675,0
28,116,359,23,5,1,0,1,0,0,0,3,184,0,1,2,695,0,0,695,0
29,99,444,28,7,0,0,2,0,0,0,0,163,1,1,0,745,0,3,748,0
30,116,391,15,2,0,0,1,2,0,0,1,242,1,2,7,780,0,8,788,0
31,156,359,18,2,1,2,0,1,0,0,1,136,0,1,0,677,0,1,678,0
32,122,222,17,1,0,1,0,0,0,0,0,114,0,1,1,479,0,8,487,0
33,68,405,38,3,0,1,1,0,0,0,0,117,0,1,0,634,0,1,635,0
34,70,328,33,3,2,0,0,1,0,0,1,172,0,2,2,614,0,2,616,0
35,31,289,18,4,2,1,0,0,0,0,1,149,0,0,0,495,0,0,495,0
