Polling Station No,oN .SP,NITSUA,R .M IHDNAG,M RAMUKUHTUM,LEAHCIM YNOTNA J,A JARAGANAK ETALAS,T ONID,L NAJARAGAN,G SGNIK NIVREB,P LIYAMILLAV,A RAMUK HTIJA,S NARAKESANUG,A RAMUKAVIS,MAGNILUBMAYUS A,MAGNILUBMAYUS P,HSENID,NAREEM U DEMAHOM ROOGAN REEP,EEGIAF YDUKNAROOS NEEDIHOM EEGIAF sailA,S YNOM ANTER,S IALLIP MARIAV,S NOSRABEJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,330,72,37,0,3,1,3,295,0,0,0,1,2,0,0,0,2,0,0,1,747,0,0,0,747
2,2,238,80,52,0,1,2,0,276,0,0,1,0,0,0,1,2,4,0,0,0,657,0,0,0,657
3,3,300,190,48,0,0,3,1,346,0,0,1,1,3,2,0,3,1,0,0,1,900,4,0,0,904
4,4,283,69,11,0,1,0,0,151,0,0,0,0,0,0,0,1,0,0,0,0,516,1,0,0,517
5,5,149,144,11,0,0,2,1,71,1,0,0,0,0,0,1,0,0,0,1,0,381,0,0,0,381
6,6,269,116,19,0,0,3,2,269,0,0,0,0,0,0,0,1,2,1,0,0,682,4,0,0,686
7,7,365,100,50,0,0,2,0,235,0,1,0,2,0,0,0,1,6,0,0,0,762,0,0,0,762
8,8,200,255,30,1,0,0,2,231,0,0,0,0,0,0,0,1,2,1,0,0,723,2,0,0,725
9,9,216,247,33,0,0,0,0,198,1,0,0,0,1,0,0,0,1,0,0,1,698,4,0,0,702
10,10,228,278,29,0,0,0,2,296,0,1,1,1,2,0,0,3,2,0,0,0,843,0,0,0,843
11,11,145,187,17,0,0,2,0,160,0,0,0,0,0,0,1,0,2,1,0,0,515,0,0,0,515
12,12,88,145,21,0,0,1,1,134,0,0,0,0,1,1,0,0,0,0,1,0,393,1,0,0,394
13,13,165,269,29,1,0,0,1,252,2,0,0,0,0,0,0,2,0,4,0,0,725,4,0,0,729
14,14,536,156,24,0,0,1,1,167,0,0,0,0,0,0,0,2,1,0,0,0,888,1,0,0,889
15,15,116,151,23,0,0,1,1,107,0,0,0,0,0,0,0,0,1,0,0,0,400,2,0,0,402
16,16,241,192,37,1,0,1,1,229,2,0,1,2,0,0,0,0,4,0,0,0,711,0,0,0,711
17,17,259,156,30,1,0,0,1,113,0,0,0,0,0,0,0,3,4,0,0,0,567,2,0,0,569
18,18,168,178,34,0,0,1,0,188,0,1,0,0,0,0,0,2,2,1,0,0,575,1,0,0,576
19,19,291,138,16,0,0,0,2,113,0,0,0,1,0,0,2,0,0,0,0,0,563,3,0,0,566
20,20,215,103,32,0,0,0,2,129,0,0,0,0,1,0,0,1,2,0,0,0,485,1,0,0,486
21,21,269,53,24,1,0,1,1,175,0,0,0,1,0,1,1,2,2,0,0,0,531,0,0,0,531
22,22,323,176,31,0,0,0,1,243,0,1,1,0,0,0,0,1,1,0,0,0,778,3,0,0,781
23,23,322,142,37,1,0,2,0,224,0,0,2,0,0,0,0,0,1,0,0,0,731,1,0,0,732
24,24,347,68,47,1,1,2,1,257,0,1,0,1,2,2,1,2,1,0,0,1,735,0,0,0,735
25,25,75,125,13,0,0,0,1,78,0,0,1,6,0,0,1,0,0,0,0,0,300,1,0,0,301
