Polling Station No,Candidate_1,M .IHTAMOG,V .AYIHTAS,S .AYVIHD .RD,K.C .AJAR,M .AYHTAS,V .NANAVARAS,S .NAIDNAPARDNUOS,B .YMASLAB,M.URUGAJAR,P .IHDNAGARDNI,P .NASENAG,A .LEVIHTKAS,M .RAMUKISAS,M.P .LIHTNES,M .IARUDALLEHC,S .RAMUKAVLES,A.RAMUK HSENID,N .RAMUK HSENID,M .HTNEEVAN,M .NARAWSEMARAP,D .HTNASARP,P .YBAB,S.B .NAVLESROP,A .INUMAHAM,R .LEVAKCINAM,S .NAGURUM,K.P .MAHDNANAGURUM,S .JARLAMIV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,2,13,124,317,211,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,2,0,0,0,678,0,1,679,0
2,2,3,23,96,471,240,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,841,0,1,842,0
3,3,0,7,282,121,83,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,496,0,0,496,0
4,4,0,16,198,137,227,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,0,586,0,2,588,0
5,5,1,23,249,231,186,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,696,0,2,698,0
6,6,0,10,154,102,180,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,452,0,2,454,0
7,7,0,1,129,78,93,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,309,0,0,309,0
8,8,0,33,347,197,183,0,1,0,0,0,0,0,0,2,0,1,3,0,1,1,0,1,0,0,1,0,0,1,772,0,5,777,0
9,9,1,21,218,94,102,1,2,1,0,0,0,1,0,1,0,0,2,1,1,1,0,0,1,0,1,0,0,1,450,0,0,450,0
10,10,2,20,174,231,221,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,653,0,3,656,0
11,11,4,18,334,139,154,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,652,0,0,652,0
12,12,2,28,251,320,323,0,3,0,1,0,0,0,2,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,936,0,1,937,0
13,13,1,28,203,187,128,1,1,0,0,1,1,1,1,0,0,2,0,0,0,2,0,0,0,0,1,0,1,2,561,0,1,562,0
14,14,2,35,261,217,278,1,0,2,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,802,0,2,804,0
15,15,0,11,193,203,159,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,2,0,1,0,1,2,0,0,578,0,2,580,0
