Polling Station No,KIRUTHIGA THANGAPANDI,SATHYADEVI. T.,RAJANCHELLAPPA. V.V.,CHELLADURAI. R,SETHURAMAN. A.,SYED IBRAHIM. M.,THANAPANDIAN. T.,NIRMALKUMAR. R.,MOOKKAYEE. C.,RENGANATHAN DORAISAMY,ARUMUGAM. G.,UKKRA PANDIAN. S.,POUNRAJ. N.,RAJ. P.,VALLARASAN. K.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
115,289,47,139,0,1,1,1,313,0,0,0,1,0,0,0,792,0,4,796,0
116,292,30,119,0,0,0,1,339,0,1,0,0,0,0,0,782,0,4,786,1
117,225,47,137,1,0,0,8,409,1,2,0,0,0,1,1,832,0,3,835,0
118,253,48,105,1,0,1,7,494,0,0,0,0,0,2,0,911,0,2,913,0
119,191,18,114,0,0,1,1,192,0,0,0,0,0,1,0,518,0,2,520,0
120,193,22,123,1,0,0,7,243,0,0,1,1,0,0,0,591,0,1,592,0
121,141,34,139,3,0,0,0,322,0,0,0,0,0,0,1,640,0,2,642,0
122,225,57,133,0,0,1,3,412,0,0,0,0,0,2,0,833,0,3,836,0
123,193,42,108,1,0,0,1,438,0,0,0,0,0,1,1,785,0,2,787,0
124,249,31,154,0,2,1,1,355,0,0,0,1,1,1,0,796,0,2,798,0
125,292,40,106,0,1,1,1,364,0,0,1,0,0,0,1,807,0,3,810,0
126,247,38,168,0,0,0,5,391,1,1,0,0,0,4,0,855,0,2,857,0
127,244,44,118,0,0,0,5,462,1,1,0,0,0,0,1,876,0,2,878,0
128,234,26,116,0,0,0,5,265,0,1,0,0,1,0,1,649,0,5,654,0
129,267,59,125,1,1,2,0,447,0,0,0,0,1,1,0,904,0,5,909,0
130,147,33,103,1,0,0,0,303,0,0,0,0,0,0,0,587,0,2,589,0
131,161,11,126,0,0,1,3,212,1,0,0,0,0,1,0,516,0,3,519,0
132,255,46,128,2,3,2,2,359,1,0,0,0,0,3,0,801,0,7,808,0
133,249,59,136,0,1,3,4,378,0,0,0,0,0,1,0,831,0,4,835,0
134,294,35,137,2,0,0,0,413,1,0,0,0,0,2,0,884,0,1,885,0
135,338,35,110,0,2,0,0,291,1,0,0,0,0,0,0,777,0,3,780,0
136,311,33,134,0,0,1,3,311,0,0,0,1,0,0,0,794,0,6,800,0
137,204,27,181,0,0,0,1,386,1,1,0,1,0,0,0,802,0,3,805,0
138,198,36,132,1,1,0,3,280,1,1,0,0,0,1,0,654,0,11,665,0
139,229,16,109,1,0,0,8,366,1,0,0,0,0,0,0,730,0,7,737,0
140,210,27,117,1,1,1,0,337,0,0,0,1,0,1,1,697,0,1,698,0
141,193,24,127,0,0,0,2,343,0,0,0,0,0,1,1,691,0,3,694,0
142,186,25,149,1,0,0,2,340,0,0,0,0,0,2,1,706,0,4,710,0
143,233,34,125,2,2,0,2,402,1,0,0,0,0,0,0,801,0,4,805,0
144,203,25,210,1,0,0,2,298,0,0,0,0,0,1,0,740,0,5,745,0
145,237,30,237,2,0,1,3,416,0,0,0,1,0,0,1,928,0,1,929,0
146,247,36,163,0,0,0,2,453,2,0,0,0,0,0,0,903,0,5,908,0
147,266,36,185,1,0,0,6,350,3,0,0,0,0,0,0,847,0,5,852,0
148,101,19,161,1,0,1,1,398,2,0,0,0,0,1,1,686,0,1,687,0
149,102,23,105,0,0,0,1,445,1,2,1,1,0,1,0,682,0,3,685,0
150,140,22,171,1,0,1,2,500,2,0,0,0,0,0,1,840,0,2,842,0
151,100,21,150,1,0,0,1,421,2,0,0,2,0,2,1,701,0,1,702,0
152,155,21,182,0,0,0,2,477,2,0,0,0,1,3,0,843,0,8,851,0
153,218,45,222,4,0,0,4,407,2,0,0,0,0,2,0,904,0,2,906,0
154,142,21,172,1,0,0,6,558,1,0,1,1,0,1,1,905,0,4,909,0
155,215,29,167,1,0,0,4,496,1,1,0,0,0,2,1,917,0,4,921,0
156,133,23,140,1,0,1,1,556,0,0,0,1,1,0,0,857,0,6,863,0
157,324,73,230,2,2,1,5,237,0,0,0,0,0,1,2,877,0,6,883,0
158,168,56,83,0,0,0,1,228,0,0,0,1,0,2,1,540,0,1,541,0
159,294,49,203,0,3,0,0,354,1,0,0,0,0,1,0,905,0,1,906,0
160,186,39,127,0,2,0,4,182,1,1,0,1,0,3,0,546,0,1,547,0
161,306,58,128,1,23,0,1,289,0,0,0,1,2,0,1,810,0,1,811,0
162,174,36,115,1,4,0,6,212,0,0,0,0,1,0,0,549,0,5,554,0
163,175,52,83,1,0,1,1,250,2,0,1,0,2,0,2,570,0,2,572,0
164,187,30,97,2,0,0,1,198,2,1,1,2,0,3,1,525,0,3,528,0
165,330,33,135,0,0,0,2,290,2,0,0,0,0,0,0,792,0,2,794,0
166,189,55,95,1,0,0,2,384,0,0,0,1,0,1,0,728,0,3,731,0
167,170,33,106,1,1,0,3,275,0,0,0,1,0,2,0,592,0,3,595,0
168,157,46,120,0,1,1,3,396,0,0,0,1,0,0,0,725,0,6,731,0
169,203,56,121,0,0,1,1,391,0,1,0,0,0,0,0,774,0,3,777,0
170,216,46,92,1,1,0,4,358,1,1,0,0,0,1,0,721,0,4,725,0
171,231,31,58,1,3,1,3,329,2,0,0,0,0,2,1,662,0,4,666,0
172,205,59,181,0,0,3,3,438,0,0,3,0,1,1,0,894,0,2,896,0
173,212,78,129,0,2,2,0,501,0,0,0,0,0,3,0,927,0,5,932,0
174,167,47,206,0,1,1,3,455,2,0,0,0,1,1,0,884,0,2,886,0
175,147,47,126,0,0,0,0,322,0,0,0,0,0,2,0,644,0,3,647,0
176,179,35,123,1,7,1,7,293,0,1,0,0,0,1,0,648,0,5,653,0
177,112,34,104,1,1,0,2,243,0,0,0,0,0,0,1,498,0,4,502,0
178,134,32,127,0,0,0,2,235,1,0,0,0,0,0,0,531,0,0,531,0
179,191,34,120,0,0,1,1,337,0,0,1,0,0,1,1,687,0,4,691,0
180,262,32,101,2,0,0,1,364,0,0,0,0,0,2,0,764,0,2,766,0
181,198,52,91,0,1,0,2,336,0,0,0,0,0,2,1,683,0,2,685,0
182,154,32,86,0,0,0,0,270,2,0,0,0,0,1,0,545,0,2,547,0
183,195,39,147,0,0,1,2,355,0,0,0,0,0,0,2,741,0,3,744,0
184,218,35,120,1,1,2,3,316,0,1,0,1,0,0,0,698,0,2,700,0
185,222,52,126,0,0,0,1,409,0,2,0,0,0,2,0,814,0,2,816,0
186,240,59,103,2,0,0,4,328,1,0,1,0,0,0,0,738,0,3,741,0
187,142,30,68,0,0,0,2,262,1,1,0,0,0,0,0,506,0,2,508,0
188,207,43,107,1,1,0,5,391,0,2,0,1,0,1,0,759,0,6,765,0
189,219,31,126,0,3,1,3,337,3,1,1,0,0,2,1,728,0,2,730,0
190,194,40,90,0,0,0,6,294,1,0,0,0,0,0,0,625,0,3,628,0
191,254,42,147,1,1,0,4,304,0,1,0,0,0,0,0,754,0,4,758,0
192,170,29,94,1,0,0,1,279,1,0,0,0,0,0,0,575,0,1,576,0
193,233,41,122,0,0,0,3,346,0,0,0,1,0,2,0,748,0,4,752,0
194,163,12,93,1,0,2,6,250,0,0,0,0,1,1,0,529,0,3,532,0
195,233,37,165,0,0,0,1,344,0,0,0,0,0,0,0,780,0,6,786,0
196,180,30,103,0,0,0,2,271,0,1,0,0,1,2,0,590,0,5,595,0
197,195,54,143,0,1,1,0,341,0,0,0,0,0,1,0,736,0,5,741,0
198,186,28,143,2,0,1,3,383,0,0,0,0,0,0,0,746,0,1,747,0
199,285,29,102,0,1,0,4,346,1,2,1,0,1,2,1,775,0,1,776,0
200,182,30,96,0,0,1,3,234,0,1,0,0,0,1,0,548,0,1,549,0
201,191,46,129,1,0,0,5,424,1,2,0,2,0,0,0,801,0,2,803,0
202,137,22,145,1,1,0,3,340,3,1,2,1,0,3,1,660,0,7,667,0
203,140,35,129,1,0,0,0,371,0,0,0,1,0,2,0,679,0,2,681,0
204,131,35,172,2,0,0,22,374,0,0,1,0,0,1,0,738,0,5,743,0
205,105,38,151,1,0,0,2,304,0,2,0,0,0,1,0,604,0,6,610,0
206,110,36,217,1,0,1,2,311,0,1,1,0,0,0,0,680,0,2,682,0
207,135,43,135,0,0,1,1,300,0,0,1,1,0,1,1,619,0,3,622,0
208,122,31,130,0,0,3,8,385,2,0,0,0,0,2,0,683,0,3,686,0
209,113,32,203,1,0,0,1,455,2,0,1,0,0,2,0,810,0,5,815,0
