Polling Station No,KIRUTHIGA THANGAPANDI,SATHYADEVI. T.,RAJANCHELLAPPA. V.V.,CHELLADURAI. R,SETHURAMAN. A.,SYED IBRAHIM. M.,THANAPANDIAN. T.,NIRMALKUMAR. R.,MOOKKAYEE. C.,RENGANATHAN DORAISAMY,ARUMUGAM. G.,UKKRA PANDIAN. S.,POUNRAJ. N.,RAJ. P.,VALLARASAN. K.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
300,169,41,192,0,1,0,4,345,0,1,0,0,0,0,0,753,0,3,756,0
301,212,69,217,0,0,0,7,355,1,0,1,1,1,2,0,866,0,6,872,0
302,206,48,138,1,12,1,4,370,1,1,0,0,0,2,0,784,0,7,791,0
303,187,45,117,0,19,2,3,222,1,0,0,0,2,1,0,599,0,3,602,0
304,275,24,49,0,2,0,2,248,1,1,0,1,0,0,0,603,0,4,607,0
305,185,38,148,1,0,2,0,347,1,0,0,2,0,3,1,728,0,2,730,0
306,189,48,131,1,0,0,7,383,0,4,0,1,0,1,0,765,0,2,767,0
307,242,31,172,1,0,0,1,304,1,1,1,0,0,0,0,754,0,4,758,0
308,251,42,155,1,1,1,3,365,1,1,0,1,0,2,0,824,0,4,828,0
309,243,56,109,0,2,0,1,264,1,0,0,0,0,4,1,681,0,1,682,0
310,430,10,53,0,1,0,0,94,0,0,0,0,0,0,1,589,0,1,590,0
311,203,56,128,0,0,1,1,287,1,0,1,0,0,0,0,678,0,4,682,0
312,170,25,66,1,0,0,2,163,1,0,0,0,0,0,1,429,0,0,429,0
313,251,37,180,0,1,1,11,278,1,0,0,0,0,2,1,763,0,0,763,0
314,237,66,231,1,0,0,10,340,0,0,0,0,1,2,0,888,0,2,890,0
315,189,52,319,0,1,1,30,187,0,0,1,0,1,1,0,782,0,1,783,0
316,248,32,211,5,2,0,8,291,0,1,0,0,1,2,1,802,0,2,804,0
317,233,44,182,0,0,0,3,380,0,0,0,1,0,2,1,846,0,7,853,0
318,200,41,139,2,2,1,2,312,0,1,0,0,0,0,0,700,0,5,705,0
319,356,31,117,0,0,1,3,370,1,1,0,1,0,1,1,883,0,3,886,0
320,355,17,107,4,0,0,0,375,3,0,1,0,0,3,0,865,0,0,865,0
321,209,29,64,0,1,0,1,186,0,1,0,0,0,1,0,492,0,1,493,0
322,204,39,91,1,1,2,1,182,1,0,0,1,0,0,0,523,0,2,525,0
323,197,92,125,0,12,1,4,303,1,2,0,1,0,5,3,746,0,0,746,0
324,160,17,165,5,0,0,0,165,0,0,0,0,0,0,0,512,0,1,513,0
325,224,23,93,0,0,0,0,193,0,2,0,0,0,0,0,535,0,2,537,0
326,181,63,190,3,0,0,3,430,1,0,2,0,0,3,3,879,0,5,884,0
327,176,63,146,3,0,2,1,359,2,0,1,0,0,3,0,756,0,6,762,0
328,174,48,163,2,0,0,0,316,0,0,0,0,1,1,1,706,0,3,709,0
329,127,27,204,0,0,0,2,312,1,0,0,0,1,1,0,675,0,0,675,0
330,127,19,167,2,0,0,1,239,1,0,0,0,0,0,1,557,0,2,559,0
331,176,47,229,0,2,0,2,480,3,0,1,0,0,1,0,941,0,3,944,0
332,219,37,205,1,0,2,3,418,5,0,1,0,1,2,1,895,0,9,904,0
333,169,27,141,1,0,0,0,332,3,1,0,1,0,2,0,677,0,7,684,0
334,220,45,136,0,2,0,2,436,2,2,0,0,0,2,0,847,0,2,849,0
335,216,66,142,1,0,3,13,438,1,0,1,0,0,2,1,884,0,8,892,0
336,289,24,165,1,0,0,1,262,0,0,0,0,0,0,0,742,0,2,744,0
337,246,16,106,0,0,0,0,192,3,0,0,1,0,1,2,567,0,2,569,0
338,306,197,166,0,1,0,8,312,4,0,1,0,0,1,2,998,0,3,1001,0
339,209,116,130,3,1,1,4,253,3,1,0,0,1,3,4,729,0,5,734,0
340,146,18,108,0,0,0,1,105,0,0,0,0,2,2,1,383,0,10,393,0
341,317,111,225,1,1,1,7,326,2,1,0,2,1,6,1,1002,0,12,1014,0
342,409,38,241,1,3,2,3,282,2,0,0,0,2,0,0,983,0,3,986,0
343,145,37,204,3,1,0,5,483,12,1,1,2,2,4,1,901,0,1,902,0
344,189,53,154,1,0,1,4,321,1,2,0,2,0,3,2,733,0,5,738,0
