Polling Station No,Candidate_1,. P . K ) .K N M A GD AA LI AA B( N A,. S . R A V M) N UK D KM . RLD D I H ( T N E S,. R . I H) K T T A N P ( O O B,. R ) .K IV P T O ( G,. M . L A M ) MK AM YT I( N A L A P,) K . PL K . HM SM E ML D AA RN (,N . P A M. L) K AA V RM A AUT YR( AE JP,. L . N A) D N N H I S( I R K,. N . Y M ) AD SN A I N( N I H C,. G . R A M ) UD KN LI I( H T N E S,. K . R A M ) UD KN LI I( H T N E S,. M L . AY MM) D UA N S R I U( E PN U M,. P . N A) PD PN AI H( D A M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
253,253,337,74,15,121,2,0,0,0,0,0,2,4,0,2,557,0,3,560
254,254,327,257,23,255,1,2,0,0,0,0,1,1,3,2,872,0,8,880
255,255,331,122,10,198,0,3,0,1,0,1,0,1,1,2,670,0,4,674
256,256,259,168,17,187,2,2,1,1,0,0,0,1,0,1,639,0,2,641
257,257,292,63,18,169,1,0,0,1,0,0,0,1,1,0,546,0,2,548
258,258,358,80,16,247,2,1,1,0,0,0,1,2,1,0,709,0,5,714
259,259,419,141,27,227,1,0,1,1,1,2,0,1,1,1,823,0,3,826
260,260,356,162,14,169,0,1,8,0,0,0,1,0,1,1,713,0,5,718
261,261,242,83,13,201,0,0,1,0,0,1,0,1,1,0,543,0,2,545
262,262,642,58,26,177,0,0,1,0,1,0,0,2,0,0,907,0,0,907
263,263,468,173,39,200,0,0,1,1,0,1,0,1,1,4,889,0,3,892
264,264,360,89,26,236,0,0,0,0,0,0,1,1,1,2,716,0,3,719
265,265,460,112,17,153,0,0,2,0,0,1,1,0,0,1,747,0,3,750
266,266,399,220,26,205,0,1,0,0,1,0,0,0,1,0,853,0,7,860
267,267,327,78,19,209,0,0,0,0,0,0,0,0,0,0,633,0,1,634
268,268,430,121,21,169,0,0,0,0,1,0,0,0,0,0,742,0,4,746
269,269,527,92,20,186,0,0,0,0,0,1,1,0,1,5,833,0,5,838
270,270,358,200,8,144,0,0,0,0,0,0,1,1,0,2,714,0,7,721
271,271,307,69,17,130,0,0,0,0,0,0,0,1,0,0,524,0,2,526
272,272,352,71,13,166,2,0,0,0,0,1,0,1,1,0,607,0,1,608
273,273,457,118,22,206,0,1,0,0,0,0,0,1,1,2,808,0,8,816
274,274,442,110,20,251,1,1,0,1,0,0,0,0,1,1,828,0,5,833
275,275,573,87,25,269,0,0,0,0,2,1,0,0,2,1,960,0,4,964
276,276,512,167,21,191,1,0,1,0,1,1,3,0,2,4,904,0,4,908
277,277,443,137,25,176,2,0,0,1,1,0,0,0,0,2,787,0,0,787
278,278,393,134,20,180,0,0,0,0,0,0,0,0,1,1,729,0,6,735
279,279,362,128,20,156,1,0,0,0,0,0,0,0,0,0,667,0,5,672
280,280,321,248,13,157,1,1,0,0,0,1,0,1,1,0,744,0,3,747
281,281,308,274,32,303,0,1,1,0,0,0,2,1,3,0,925,0,5,930
282,282,360,124,27,193,0,2,0,0,0,1,1,0,0,1,709,0,5,714
283,283,271,244,16,228,0,0,0,1,0,0,0,0,1,0,761,0,3,764
284,284,103,136,3,124,1,0,0,0,0,0,0,0,0,0,367,0,2,369
285,285,389,68,8,180,1,1,0,0,0,0,0,0,0,0,647,0,4,651
286,286,244,91,12,238,0,0,0,0,0,0,1,0,0,0,586,0,3,589
287,287,263,241,21,309,0,0,0,0,0,2,0,0,2,0,838,0,2,840
288,288,335,147,20,501,3,0,4,2,1,0,0,2,4,1,1020,0,12,1032
289,289,329,153,23,296,0,1,0,0,1,0,0,0,2,2,807,0,7,814
290,290,415,151,11,285,0,1,0,0,1,0,0,2,1,2,869,0,6,875
291,291,360,57,13,163,1,0,1,0,1,0,0,0,1,1,598,0,4,602
292,292,288,108,16,180,0,2,2,0,0,1,0,1,1,3,602,0,5,607
293,293,389,186,13,179,0,1,0,0,2,0,0,0,0,0,770,0,8,778
294,294,538,144,18,285,1,0,0,0,0,0,1,1,2,2,992,0,7,999
295,295,338,79,12,205,1,1,0,0,0,0,1,0,1,1,639,0,3,642
296,296,177,166,1,269,0,0,0,0,0,0,1,0,1,0,615,0,1,616
297,297,265,143,13,344,0,1,0,0,0,1,0,2,1,0,770,0,4,774
298,298,324,166,25,210,0,2,0,0,0,1,2,0,0,3,733,0,1,734
299,299,429,147,19,230,0,1,0,1,0,0,1,1,2,1,832,0,6,838
300,300,413,172,19,192,0,1,0,0,0,0,1,0,0,0,798,0,2,800
301,301,141,85,7,128,1,0,0,0,0,0,3,1,0,0,366,0,3,369
302,302,163,318,18,346,1,1,0,0,0,1,0,1,3,0,852,0,4,856
303,303,604,159,39,210,0,1,4,0,0,0,0,1,1,2,1021,0,12,1033
304,304,669,144,25,185,1,2,1,1,0,1,0,0,0,2,1031,0,12,1043
305,305,494,233,32,259,1,4,0,0,1,0,1,1,2,0,1028,0,13,1041
306,306,257,78,8,111,1,0,0,0,0,1,1,2,2,1,462,0,4,466
307,307,438,88,12,215,1,0,0,0,1,0,0,3,0,1,759,0,3,762
308,308,527,150,15,269,0,0,1,0,0,4,1,1,0,1,969,0,7,976
309,309,292,80,17,134,0,0,0,0,0,1,0,0,0,0,524,0,4,528
310,310,390,97,13,178,1,0,0,0,0,1,0,1,0,1,682,0,2,684
311,311,367,121,12,161,0,0,0,0,0,0,0,0,0,2,663,0,4,667
312,312,432,225,25,185,0,0,0,0,0,0,0,1,0,1,869,0,2,871
