Polling Station No,K. S. RAVICHANDRAN,PORKODI ARMSTRONG,JAGADESH CHANDER .M,C. CHRISTY,A. SELVA KUMAR,M. R. PALLAVI,S JAYAKALPANA,R. ANANDAN,M. KANNADASAN,M. KOLANJI,D. SATHISH KUMAR,SATHISH,S. SENTHAMIZHAN,G. J. DHARANIRAJ,S. PARTHIBAN,PRAKASH ARUNACHALAM,PRASANTH. D,PRAVEEN THIYAGARAJAN,R. MURUGAN,M. MOHAN,S. RAJENDRAN,M. LOKESH,C. JAGAN MOHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
23,327,122,18,0,2,404,2,0,0,0,2,0,0,0,0,0,3,0,1,1,0,0,1,883,0,1,884,0
24,135,118,7,2,1,483,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,751,0,0,751,0
25,307,117,8,0,0,359,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,793,0,2,795,0
26,147,72,7,0,0,246,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,476,0,0,476,0
27,170,100,12,0,1,343,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,632,0,1,633,0
28,274,121,11,0,0,312,0,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,724,0,2,726,0
29,205,110,9,1,1,245,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,575,0,2,577,0
30,381,74,10,0,0,379,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,850,0,1,851,0
31,325,99,13,1,0,388,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,828,0,0,828,0
32,202,97,10,0,0,431,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,745,0,1,746,0
33,168,93,9,0,1,249,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,3,0,528,0,0,528,0
34,194,118,16,0,0,304,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,637,0,1,638,0
35,223,99,14,0,0,357,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,698,0,1,699,0
36,210,97,8,1,1,320,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,641,0,0,641,0
37,186,119,23,0,1,321,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,3,655,1
38,309,177,42,5,0,257,3,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,799,0,1,800,0
39,178,129,17,1,1,400,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,732,0,9,741,0
40,108,64,18,0,0,181,1,0,0,2,0,0,0,0,1,1,1,0,1,0,0,1,0,379,0,1,380,0
41,286,165,44,2,0,464,2,1,0,7,1,1,0,0,0,1,2,2,0,0,0,1,0,979,0,2,981,0
