Polling Station No,SUBRAMANI.P,SENDHIL KUMAR.G,MURUGESAN.G,ANBARASU.P,SUNDARAMMAL,SYED FAROOQ BASHA SSB,SYED BHURHANUDEEN,DEVENDRAN.J,ABDUL WAHID.A,SRINIVASAN.A,SELVARAJ.M,NAVEEN.R,MANJUNATH.K,MANOJ.S,RAJESH.T,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
252,2,212,18,2,1,199,352,0,0,1,2,0,1,0,1,791,0,1,792,0
253,6,236,24,1,2,254,222,1,1,1,0,1,1,0,1,751,0,3,754,0
254,2,197,13,3,4,111,211,3,0,0,1,2,0,2,0,549,0,2,551,0
255,6,237,27,2,3,200,323,1,0,0,0,1,0,1,0,801,0,2,803,0
256,5,211,22,3,5,254,332,1,1,3,0,3,1,1,2,844,0,3,847,0
257,3,285,31,1,5,205,338,1,1,0,1,1,0,1,0,873,0,7,880,0
258,2,432,28,1,2,194,258,2,2,1,0,0,1,2,1,926,0,2,928,0
259,6,312,20,0,2,280,258,0,0,1,1,0,2,0,0,882,0,2,884,0
260,0,363,20,0,3,101,176,0,0,1,0,0,0,1,1,666,0,2,668,0
261,1,394,32,1,3,168,237,0,1,3,1,0,0,1,3,845,0,6,851,0
262,3,374,20,1,0,203,168,1,0,1,0,1,1,1,0,774,0,2,776,0
263,1,305,20,0,0,103,182,0,0,0,0,0,0,1,2,614,0,1,615,0
264,2,308,11,0,1,91,209,0,0,0,1,0,0,0,1,624,0,2,626,0
265,3,234,25,2,2,120,182,0,0,1,1,2,0,0,0,572,0,4,576,0
266,3,320,29,2,3,58,309,1,1,0,1,0,0,3,1,731,0,2,733,0
267,2,339,24,0,1,155,232,0,0,0,0,1,0,2,3,759,0,0,759,0
268,3,368,32,0,5,182,268,0,0,3,0,0,0,0,1,862,0,1,863,0
269,3,190,22,0,3,194,123,0,0,0,1,0,2,0,0,538,0,2,540,0
270,4,278,16,0,3,136,258,2,0,0,0,2,0,1,0,700,0,4,704,0
271,2,214,24,0,1,83,163,0,1,0,0,0,0,0,1,489,0,1,490,0
272,3,253,15,0,1,113,137,0,0,0,0,0,0,0,2,524,0,2,526,0
273,3,356,8,0,4,181,205,0,0,0,0,0,0,1,3,761,0,1,762,0
274,3,393,25,1,6,145,212,1,0,0,1,1,0,0,2,790,0,6,796,0
275,5,266,28,0,5,251,425,1,1,0,0,1,0,0,4,987,0,2,989,0
276,0,206,9,0,1,127,248,0,1,0,0,1,0,0,0,593,0,0,593,0
277,2,188,17,0,0,112,236,2,0,0,0,0,0,0,0,557,0,2,559,0
278,2,266,19,0,1,181,259,1,0,0,0,1,1,2,0,733,0,3,736,0
279,2,253,18,1,2,157,258,0,0,1,0,3,2,1,0,698,0,1,699,0
280,2,271,19,0,2,159,307,1,2,2,0,2,0,1,1,769,0,2,771,0
281,1,226,18,0,3,128,299,2,2,0,0,0,1,2,1,683,0,2,685,0
282,3,158,22,2,1,119,227,0,0,2,1,1,0,0,0,536,0,4,540,0
283,4,168,10,0,4,104,238,2,0,0,0,2,1,0,0,533,0,4,537,0
284,2,218,28,3,1,121,424,0,1,0,0,1,1,1,3,804,0,4,808,0
285,2,235,27,0,1,109,315,0,0,0,1,2,1,1,3,697,0,1,698,0
286,1,272,20,1,1,201,272,3,0,2,0,3,0,2,2,780,0,6,786,0
287,2,307,17,0,1,129,251,0,0,0,0,0,0,2,1,710,0,3,713,0
288,11,316,30,3,5,159,323,0,0,0,2,1,1,3,2,856,0,2,858,0
289,3,245,15,0,1,110,246,1,0,0,1,0,0,1,1,624,0,3,627,0
290,4,162,14,2,4,132,252,0,0,1,0,3,0,1,4,579,0,0,579,0
291,1,234,17,0,2,196,331,0,1,1,0,1,2,0,1,787,0,1,788,0
292,5,285,44,1,3,148,379,0,1,0,1,2,1,3,2,875,0,4,879,0
293,0,121,13,1,0,72,182,0,1,1,2,0,2,1,0,396,0,0,396,0
294,2,297,16,1,0,223,327,1,0,2,2,0,0,0,3,874,0,1,875,0
295,4,304,20,1,5,180,305,0,0,2,1,0,0,0,2,824,0,5,829,0
296,2,203,19,2,3,162,396,2,0,0,1,0,0,0,1,791,0,1,792,0
297,1,254,12,4,2,102,226,1,0,0,0,2,2,2,2,610,0,1,611,0
298,2,330,11,2,3,118,281,1,0,1,0,0,0,0,0,749,0,0,749,0
299,2,172,19,0,1,89,204,0,1,0,0,1,0,0,1,490,0,0,490,0
300,3,232,7,0,4,95,238,0,1,2,0,0,1,0,2,585,0,0,585,0
301,1,145,22,0,1,102,310,0,2,0,0,0,0,0,0,583,0,3,586,0
302,0,266,21,1,1,128,180,0,0,1,1,1,0,0,0,600,0,0,600,0
303,2,190,26,0,1,109,232,0,0,0,0,0,0,0,1,561,0,0,561,0
304,3,174,14,0,2,113,217,0,0,2,0,0,1,0,1,527,0,2,529,0
305,0,298,31,2,1,160,342,1,1,0,0,0,0,0,2,838,0,3,841,0
306,1,167,22,0,2,161,323,0,1,0,0,1,0,1,0,679,0,2,681,0
307,1,204,16,1,2,149,274,1,0,0,0,1,2,1,1,653,0,2,655,0
308,2,154,19,0,5,165,309,0,2,0,0,0,0,0,0,656,0,1,657,0
309,3,176,31,0,5,161,266,0,0,0,0,1,0,1,0,644,0,3,647,0
310,5,230,36,2,8,163,415,2,0,1,0,0,0,1,1,864,0,2,866,0
311,9,334,24,0,1,192,218,1,2,0,0,1,0,0,0,782,0,1,783,0
312,4,323,19,1,6,205,319,2,0,0,0,1,1,2,1,884,0,3,887,0
