Polling Station No,R. SATHYA,BALAJI RAMACHANDRAN,MARKANDAYAN G V,P. KASIRAM,R. PERUMAL,C. PONPANDI,P.MADASAMY,K. AJAY KUMAR,V. GANESAN,A. PATTURAJ,A. PRABAHAR,M. PONNUSAMY,G. MUNIYASAMY,P. RAJASEKARAN,P. JEYAKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,347,22,213,221,0,2,0,0,1,0,0,2,1,1,1,811,0,6,817,0
2,255,45,204,172,1,1,2,1,0,0,0,1,0,2,1,685,0,4,689,0
3,289,53,215,179,1,2,0,0,1,0,0,0,0,0,0,740,0,3,743,0
4,71,15,133,121,0,0,4,0,0,0,0,0,0,1,0,345,0,1,346,0
5,183,73,246,219,0,2,8,4,1,0,1,0,0,2,1,740,0,1,741,0
6,165,22,162,158,1,3,7,0,0,0,0,0,0,2,2,522,0,3,525,0
7,115,33,188,142,0,38,0,0,1,0,1,0,2,3,1,524,0,2,526,0
8,205,36,204,234,1,0,2,1,1,0,0,1,1,1,0,687,0,4,691,0
9,137,13,243,112,1,0,6,1,0,1,1,0,2,3,1,521,0,2,523,0
10,125,8,203,141,0,3,0,0,0,0,0,0,0,2,2,484,0,5,489,0
11,157,43,172,164,0,0,5,2,0,1,1,1,0,1,1,548,0,4,552,0
12,162,81,283,224,1,1,6,2,0,0,0,2,2,4,0,768,0,5,773,0
13,148,23,176,114,1,10,6,0,0,2,0,1,0,1,1,483,0,3,486,0
14,101,41,129,143,0,40,0,0,0,0,0,2,0,6,0,462,0,2,464,0
15,258,37,188,137,0,2,0,1,0,0,1,0,1,1,1,627,0,5,632,0
16,315,22,295,219,0,3,0,0,1,0,0,3,4,7,0,869,0,2,871,0
17,361,60,216,189,0,4,0,0,0,0,0,1,1,1,1,834,0,6,840,0
18,90,25,110,101,1,0,0,0,0,0,0,0,2,1,0,330,0,1,331,0
19,266,56,273,191,1,3,7,1,1,0,0,1,1,4,1,806,0,4,810,0
20,207,35,249,190,0,2,2,0,2,0,0,3,1,3,0,694,0,2,696,0
21,215,21,136,204,0,1,0,0,0,0,0,0,0,1,1,579,0,3,582,0
22,49,23,112,68,0,0,4,0,0,0,0,0,0,0,0,256,0,0,256,0
23,121,33,173,181,0,4,3,1,0,0,1,0,0,1,1,519,0,0,519,0
24,148,19,167,202,1,0,10,1,0,0,0,1,1,0,0,550,0,2,552,0
25,145,18,323,203,0,0,0,1,0,0,0,1,1,5,0,697,0,3,700,0
26,68,29,75,108,0,0,0,1,0,0,0,0,0,1,1,283,0,1,284,0
27,79,26,159,185,1,0,0,0,0,0,0,1,1,2,0,454,0,4,458,0
28,190,40,244,95,0,1,5,0,0,0,1,1,0,2,0,579,0,1,580,0
29,125,21,306,140,0,0,4,0,0,0,0,0,0,0,0,596,0,0,596,0
30,209,119,230,217,0,0,0,1,1,0,0,0,1,1,0,779,0,0,779,0
31,176,86,217,227,1,0,0,0,0,0,0,1,0,1,0,709,0,3,712,0
32,225,54,278,261,0,1,3,2,0,0,1,2,3,8,1,839,0,9,848,0
33,258,54,356,158,0,7,6,1,0,0,0,0,0,0,0,840,0,2,842,0
34,171,83,246,162,0,0,7,0,0,0,1,0,0,0,0,670,0,3,673,0
35,255,34,244,206,0,1,3,0,0,0,0,1,0,0,1,745,0,5,750,0
36,150,3,105,58,0,0,1,2,0,0,0,1,0,3,0,323,0,3,326,0
37,239,15,263,177,2,13,0,1,0,0,1,0,0,4,0,715,0,4,719,0
38,103,10,123,83,0,0,0,1,0,0,0,2,0,1,1,324,0,1,325,0
39,116,19,142,111,0,2,1,1,0,0,0,0,0,8,1,401,0,1,402,0
40,63,41,99,85,0,12,2,1,0,0,1,2,0,3,0,309,0,0,309,0
41,113,34,69,60,0,2,0,0,0,0,0,0,0,0,0,278,0,1,279,0
42,202,17,244,169,2,27,0,0,0,0,1,0,0,6,1,669,0,1,670,0
43,209,31,202,124,0,15,24,2,2,0,0,1,0,1,0,611,0,1,612,0
44,185,19,128,111,0,0,0,0,0,0,0,0,0,0,0,443,0,2,445,0
45,1157,8,78,112,0,4,0,1,0,0,0,0,0,12,0,372,0,1,373,0
46,163,37,179,133,1,2,6,1,0,0,1,1,2,7,0,533,0,0,533,0
47,205,32,209,151,0,1,1,0,0,0,0,1,0,17,1,618,0,2,620,0
48,144,16,74,95,1,0,0,0,0,0,0,1,0,10,0,341,0,2,343,0
49,157,42,228,321,0,1,3,0,1,0,0,1,0,2,1,757,0,5,762,0
50,167,26,236,269,0,4,0,0,0,0,1,1,0,1,0,705,0,4,709,0
51,189,31,262,259,0,0,3,0,1,0,0,0,1,2,1,749,0,1,750,0
52,189,67,366,308,0,1,2,3,0,0,0,0,2,1,1,940,0,3,943,0
53,119,53,284,269,1,8,0,2,0,0,0,2,0,3,0,741,0,2,743,0
54,94,27,178,125,1,7,0,0,0,0,0,0,0,1,0,433,0,3,436,0
55,225,40,251,313,1,8,1,1,0,1,0,1,2,2,0,846,0,1,847,0
56,114,51,371,218,1,2,7,1,0,0,0,3,0,3,2,773,0,3,776,0
57,138,39,219,224,1,4,0,1,1,1,0,1,1,4,0,634,0,1,635,0
58,221,82,300,327,1,10,2,0,0,0,2,0,1,8,2,956,0,6,962,0
59,146,32,141,197,1,1,0,1,4,0,0,2,0,0,0,525,0,1,526,0
60,78,31,164,165,0,1,0,0,0,0,0,0,0,1,0,440,0,2,442,0
61,123,43,239,245,5,14,0,0,1,0,1,0,0,3,1,675,0,4,679,0
62,127,29,181,163,0,15,0,1,0,0,2,3,5,4,2,532,0,6,538,0
63,100,25,226,153,1,1,0,0,0,0,0,0,1,2,1,510,0,2,512,0
64,12,9,32,32,0,1,0,1,0,0,0,0,0,0,0,87,0,2,89,0
65,293,74,282,183,0,17,0,2,3,0,1,0,2,5,1,863,0,6,869,0
66,128,73,327,192,0,14,6,0,1,0,1,0,1,2,0,745,0,6,751,0
67,114,59,225,143,1,12,0,0,0,1,0,0,3,4,0,562,0,4,566,0
68,194,77,346,257,1,9,3,2,1,0,0,1,0,0,0,891,0,1,892,0
69,236,35,292,359,1,3,9,1,0,0,0,1,1,5,0,943,0,1,944,0
70,133,55,254,140,1,0,15,0,0,1,0,0,0,0,1,600,0,2,602,0
71,148,20,143,120,1,0,1,0,1,2,1,2,1,3,0,443,0,2,445,0
72,113,39,228,273,1,2,2,2,0,0,1,1,3,1,0,666,0,1,667,0
73,133,36,353,405,0,0,0,1,0,0,0,2,4,2,2,938,0,3,941,0
74,219,10,127,159,1,1,0,0,1,1,1,0,0,2,1,523,0,0,523,0
75,323,21,252,222,1,3,3,0,0,0,2,0,1,0,0,828,0,4,832,0
76,184,24,193,185,0,1,7,0,2,1,0,3,0,2,0,602,0,4,606,0
77,108,53,260,154,3,0,6,0,1,0,0,0,1,1,0,587,0,3,590,0
78,289,21,139,73,0,1,0,0,0,0,0,1,0,0,1,525,0,2,527,0
79,101,40,297,113,0,2,6,0,0,0,0,1,1,1,1,563,0,0,563,0
80,161,21,293,160,0,55,0,1,3,0,1,0,2,0,0,697,0,5,702,0
81,199,66,242,176,0,17,4,1,0,1,0,1,3,3,1,714,0,9,723,0
82,162,74,239,252,0,2,1,0,0,1,0,0,0,2,0,733,0,4,737,0
83,262,62,245,149,0,3,9,0,0,0,0,0,0,0,1,731,0,6,737,0
84,149,5,127,65,2,0,0,0,0,0,0,0,0,0,0,348,0,2,350,0
85,210,61,333,299,1,17,36,2,0,0,0,1,0,0,0,960,0,2,962,0
86,145,45,194,199,1,4,0,0,0,0,0,0,0,2,0,590,0,2,592,0
87,82,37,236,101,0,4,17,1,0,1,0,2,0,1,1,483,0,1,484,0
88,143,69,265,248,0,2,0,1,0,0,0,0,0,0,1,729,0,2,731,0
89,91,47,204,166,0,0,3,0,0,0,0,0,1,2,1,515,0,2,517,0
90,2322,63,256,214,0,15,0,0,1,0,0,1,2,1,0,875,0,4,879,0
91,322,23,173,132,0,4,1,1,0,0,0,0,0,0,0,656,0,1,657,0
92,103,22,124,94,0,2,11,0,0,0,0,0,1,2,0,359,0,0,359,0
93,228,30,337,93,0,4,28,1,0,0,1,2,1,2,1,728,0,3,731,0
94,238,67,309,270,2,12,18,0,1,0,4,1,2,0,1,925,0,8,933,0
95,177,43,285,133,0,3,19,0,0,0,0,0,0,0,0,660,0,0,660,0
96,131,30,158,151,0,1,1,0,0,0,0,0,0,0,0,472,0,2,474,0
97,101,23,150,126,1,0,11,1,0,1,0,1,0,0,1,416,0,0,416,0
98,133,33,167,130,0,7,3,1,0,0,1,1,0,0,1,477,0,3,480,0
99,166,16,130,74,0,0,0,0,0,0,0,0,0,0,0,386,0,2,388,0
100,140,77,241,173,0,2,25,1,1,0,0,1,0,0,0,661,0,2,663,0
101,111,22,126,119,0,1,1,0,1,1,0,0,1,0,0,383,0,0,383,0
102,251,90,312,224,0,4,76,0,1,0,0,1,0,1,0,960,0,2,962,0
103,135,45,259,196,7,1,12,0,1,0,0,0,0,1,1,658,0,2,660,0
104,98,38,212,132,1,0,6,1,0,1,0,1,0,0,0,490,0,1,491,0
105,165,62,237,217,1,0,8,1,0,0,0,0,0,0,0,691,0,4,695,0
106,111,74,101,98,0,0,0,0,0,0,0,0,1,1,0,386,0,0,386,0
107,115,41,289,197,0,0,2,1,0,0,1,1,1,2,2,652,0,2,654,0
108,140,20,136,186,2,0,6,1,0,1,0,0,1,0,1,494,0,2,496,0
