Polling Station No,Candidate_1,DEMAS LUDBA .P,IRIGANURA .M,RAMUKAYAJIV .LP .RD,A. JARAIKCORA,NAVARIHTAK .R,ANEEM .P,R. NAMRAVAJAR,NAMAR .A,M. NAVARIHTAK,NAPPURAK .M,NAIATTUK,NIDUHPRAS,NANNIHC .P,LIHTNES RAMUK .A,AKKAYIREP,M. HSEJAR,RAMUKAYAJIV .P,RAMUK AYAJIV .M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,118,19,233,3,196,0,0,0,1,2,1,2,0,2,1,3,0,0,581,0,3,584,0
2,2,135,16,216,1,137,0,0,0,0,0,0,0,0,0,0,1,2,0,508,0,1,509,0
3,3,348,23,272,1,295,5,0,1,2,2,2,3,1,2,2,9,3,0,971,0,8,979,0
4,4,109,40,118,3,220,1,0,1,1,0,0,1,0,1,0,2,2,0,499,0,0,499,0
5,5,161,28,245,2,210,0,1,0,0,0,0,1,0,3,3,4,3,0,661,0,4,665,0
6,6,210,31,276,2,296,1,0,1,2,1,1,0,0,2,0,4,4,0,831,0,5,836,0
7,7,129,15,357,5,228,1,3,2,0,4,2,0,0,1,3,4,1,3,758,0,3,761,0
8,8,151,27,202,2,206,0,0,0,2,3,0,3,0,0,0,0,1,0,597,0,2,599,0
9,9,194,33,217,0,173,0,0,1,0,1,0,0,0,2,0,1,4,0,626,0,1,627,0
10,10,359,61,339,4,309,1,0,0,0,1,0,3,1,2,0,3,2,2,1087,0,3,1090,0
11,11,209,33,373,4,253,0,0,0,1,1,1,2,1,2,0,2,0,0,882,0,3,885,0
12,12,97,16,201,0,144,1,0,0,0,1,0,0,0,0,0,0,0,0,460,0,2,462,0
13,13,259,33,282,4,255,1,1,0,1,1,3,2,1,3,2,1,2,0,851,0,3,854,0
14,14,182,39,417,3,304,0,0,0,0,0,1,0,0,0,1,0,2,0,949,0,4,953,0
15,15,65,6,259,2,100,0,0,0,0,0,0,0,0,0,1,0,0,0,433,0,1,434,0
16,16,311,25,356,0,265,0,1,1,0,4,0,2,0,4,0,2,3,0,974,0,4,978,0
17,17,304,40,167,1,272,0,3,2,1,1,0,0,0,0,0,3,5,0,799,0,5,804,0
18,18,156,44,178,0,128,0,0,1,0,0,0,2,1,1,0,0,1,2,514,0,4,518,0
19,19,118,50,244,1,266,0,2,0,1,1,1,1,1,0,0,5,0,0,691,0,1,692,0
20,20,268,43,413,2,252,2,3,0,1,4,1,0,0,1,0,1,3,1,995,0,3,998,0
21,21,142,17,511,3,122,1,0,0,0,0,0,0,0,2,3,1,3,0,805,0,7,812,0
22,22,184,34,349,3,320,2,1,1,1,2,0,2,0,1,3,6,5,2,916,0,3,919,0
23,23,211,39,216,2,264,2,2,1,1,0,1,3,0,2,1,4,4,0,753,0,6,759,0
24,24,250,39,379,5,353,4,1,0,2,3,3,0,2,2,5,0,3,0,1051,0,3,1054,0
25,25,276,34,261,0,370,0,0,1,0,1,0,0,3,1,0,0,4,1,952,0,6,958,0
26,26,106,32,279,1,185,0,1,0,1,1,1,0,0,3,1,4,4,0,619,0,1,620,0
27,27,144,20,242,3,181,1,0,0,0,0,0,1,0,1,0,2,0,0,595,0,1,596,0
28,28,141,32,218,3,211,0,0,0,1,0,0,1,1,0,0,0,0,0,608,0,2,610,0
29,29,204,36,133,0,263,0,1,0,0,0,0,0,0,1,1,0,2,0,641,0,2,643,0
30,30,220,41,168,4,293,0,0,0,1,0,0,0,0,0,2,3,4,0,736,0,3,739,0
31,31,112,16,171,1,276,2,0,0,0,2,1,0,1,1,1,1,2,2,589,0,4,593,0
32,32,170,16,251,3,190,1,2,0,0,0,0,1,0,0,1,1,1,1,638,0,4,642,0
33,33,84,8,196,3,142,0,0,0,1,1,0,1,0,1,2,2,2,1,444,0,0,444,0
34,34,84,12,193,1,210,1,0,0,0,1,0,2,1,1,0,2,0,0,508,0,1,509,0
35,35,130,20,212,3,180,0,0,0,0,1,0,1,0,3,1,5,2,1,559,0,1,560,0
36,36,172,36,145,2,233,0,1,0,1,1,0,0,0,1,2,2,1,0,597,0,0,597,0
37,37,292,49,142,6,375,1,0,0,1,1,0,1,0,1,0,2,6,0,877,0,2,879,0
38,38,158,57,317,5,388,4,0,0,1,1,0,5,1,1,1,2,2,0,943,0,4,947,0
39,39,92,17,205,0,270,1,0,0,0,0,1,0,0,2,1,3,0,0,592,0,0,592,0
40,40,280,44,303,3,417,0,1,0,2,0,1,1,0,0,1,4,1,0,1058,0,2,1060,0
41,41,153,42,168,2,283,0,0,0,0,0,0,3,0,0,0,1,3,1,656,0,3,659,0
42,42,58,28,161,1,153,0,1,0,0,0,0,2,0,0,0,0,1,0,405,0,4,409,0
43,43,175,50,169,6,274,2,2,0,0,3,0,1,1,1,0,0,1,1,686,0,1,687,0
44,44,207,45,254,5,339,1,1,1,0,1,0,2,2,1,0,2,2,1,864,0,0,864,0
45,45,187,41,110,2,346,3,1,0,0,0,1,0,0,1,0,1,3,2,698,0,8,706,0
46,46,50,18,91,0,167,0,0,0,0,0,0,1,0,0,0,1,0,0,328,0,0,328,0
47,47,170,24,173,2,241,1,1,0,1,0,1,3,0,2,1,4,1,0,625,0,1,626,0
48,48,178,32,185,0,345,1,0,0,0,1,0,0,1,0,3,0,6,0,752,0,5,757,0
