Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20
2,74,219,69,0,3,152,1,0,0,1,0,1,2,0,522,0,3,525,
3,70,206,97,0,3,186,9,0,0,4,2,2,1,1,581,0,3,584,
4,67,166,156,1,4,249,13,0,1,0,2,3,0,2,664,0,2,666,
5,30,63,30,0,0,57,5,0,0,1,0,1,0,0,187,0,0,187,
6,72,145,137,3,6,193,22,1,0,1,1,2,0,1,584,0,1,585,
7,62,214,111,1,2,188,0,0,0,0,0,2,1,0,581,0,0,581,
8,99,144,196,4,3,332,14,1,0,0,3,4,3,3,806,0,3,809,
9,53,40,24,0,3,138,2,0,0,0,0,0,0,1,261,0,2,263,
10,82,245,168,0,11,329,35,2,4,1,3,4,2,15,901,0,1,902,
11,46,169,38,0,5,147,11,2,1,0,0,2,0,10,431,0,1,432,
12,106,234,123,1,9,423,7,9,1,0,1,1,0,1,916,0,2,918,
13,99,149,130,1,9,377,10,1,2,0,1,5,0,1,785,0,4,789,
14,54,168,80,1,5,292,5,9,1,1,0,0,0,1,617,0,1,618,
15,26,49,69,2,3,127,8,1,1,0,3,3,1,0,293,0,1,294,
16,58,158,131,2,14,279,0,1,0,0,0,0,0,0,643,0,1,644,
17,88,150,199,2,1,333,2,0,2,0,0,1,1,1,780,0,5,785,
18,62,159,181,2,0,284,7,1,1,3,0,1,0,0,701,0,4,705,
19,56,182,117,0,4,168,9,0,1,0,0,0,0,2,539,0,4,543,
20,40,90,50,0,1,179,0,0,0,0,0,0,0,0,360,0,1,361,
21,56,217,144,0,5,343,1,2,1,0,0,1,0,0,770,0,1,771,
22,60,172,72,0,5,259,1,0,1,0,0,0,0,0,570,0,1,571,
23,32,142,45,1,7,299,4,0,0,0,0,1,0,1,532,0,2,534,
24,44,192,109,1,8,340,4,0,0,0,0,0,0,0,698,0,3,701,
25,67,184,195,2,4,284,3,0,0,0,0,2,0,0,741,0,0,741,
26,64,242,150,0,5,336,3,0,1,0,1,3,1,0,806,0,5,811,
27,19,234,65,1,4,170,1,0,0,0,0,1,1,0,496,0,3,499,
28,31,123,23,0,3,133,0,0,0,0,0,1,0,0,314,0,0,314,
29,43,405,61,0,2,230,0,0,0,1,0,0,0,1,743,0,0,743,
30,33,207,132,1,2,259,0,0,0,1,0,0,0,1,636,0,2,638,
31,42,171,154,1,3,197,3,0,0,0,1,1,0,0,573,0,4,577,
32,47,172,135,1,8,333,3,0,2,2,0,1,1,0,705,0,1,706,
33,50,102,127,1,8,246,0,0,0,0,0,0,0,0,534,0,1,535,
34,49,141,99,0,9,333,0,0,0,0,0,1,0,0,632,0,0,632,
35,43,169,114,1,8,279,2,0,2,0,1,1,1,1,622,0,4,626,
36,43,166,51,1,4,255,2,0,1,0,1,1,0,0,525,0,2,527,
37,25,97,65,0,5,196,1,1,0,0,0,3,0,0,393,0,3,396,
38,66,157,144,2,3,275,2,0,1,0,1,0,0,2,653,0,4,657,
39,48,149,108,0,5,285,10,2,1,2,0,0,0,1,611,0,0,611,
40,40,290,111,1,1,203,30,2,0,2,2,1,1,2,686,0,1,687,
41,11,322,19,0,3,125,3,0,0,0,1,1,1,0,486,0,1,487,
42,9,323,31,1,0,157,2,1,1,0,0,1,2,3,531,0,5,536,
43,82,110,146,0,6,239,1,0,0,1,0,0,1,0,586,0,1,587,
44,59,148,213,0,5,257,3,0,0,1,1,2,2,2,693,0,0,693,
45,32,140,136,2,4,193,2,0,1,0,0,3,0,0,513,0,1,514,
46,34,180,90,1,4,210,10,2,1,1,2,1,0,3,539,0,2,541,
47,26,245,109,1,4,236,6,1,1,0,0,4,1,0,634,0,3,637,
48,79,277,224,3,10,347,8,3,0,1,0,1,1,0,954,0,5,959,
49,45,161,167,1,4,356,0,2,0,1,2,0,0,1,740,0,3,743,
50,89,267,87,0,6,247,2,16,0,2,3,1,0,1,721,0,1,722,
51,40,196,109,1,10,242,11,1,0,0,1,1,0,1,613,0,1,614,
52,14,318,34,0,2,181,1,1,1,1,1,3,1,1,559,0,1,560,
53,71,294,225,2,3,219,6,1,0,2,1,1,1,1,827,0,2,829,
54,32,179,73,0,3,179,1,2,0,0,0,0,0,0,469,0,1,470,
55,50,253,168,0,5,285,1,0,0,0,1,0,2,0,765,0,1,766,
56,22,182,69,0,3,152,0,4,0,2,2,1,2,2,441,0,1,442,
57,3,70,65,1,1,83,0,0,0,0,0,0,0,1,224,0,0,224,
58,26,63,75,0,1,129,0,0,0,0,0,0,0,0,294,0,2,296,
59,30,236,95,2,5,196,0,26,1,0,2,1,3,1,598,0,1,599,
60,98,315,121,5,8,239,1,13,1,1,0,4,0,1,807,0,3,810,
61,43,178,100,0,5,109,1,0,0,1,0,1,0,1,439,0,1,440,
62,61,396,178,3,4,254,37,7,3,0,0,5,0,0,948,0,2,950,
63,141,321,96,0,1,190,4,3,1,2,0,0,0,0,759,0,4,763,
64,24,129,68,1,1,216,14,0,0,0,0,0,0,1,454,0,2,456,
65,32,147,173,0,4,198,2,0,3,1,0,0,1,2,563,0,1,564,
66,25,177,90,0,6,294,2,0,0,0,2,1,1,2,600,0,3,603,
67,21,130,213,2,5,212,1,0,1,0,1,1,3,0,590,0,3,593,
68,70,268,217,2,4,309,19,7,0,1,0,4,2,0,903,0,2,905,
69,127,306,188,2,4,239,10,4,0,1,0,3,1,0,885,0,3,888,
70,32,165,195,0,2,198,1,0,0,0,0,1,2,0,596,0,1,597,
71,135,259,203,1,2,140,8,1,0,2,0,1,0,0,752,0,3,755,
72,116,202,174,1,5,115,4,0,0,0,0,2,1,0,620,0,0,620,
73,129,215,205,4,7,196,15,2,1,0,2,0,2,2,780,0,5,785,
74,25,133,93,1,3,227,9,1,0,0,0,0,0,1,493,0,2,495,
75,48,128,111,0,4,245,13,1,0,0,1,0,0,0,551,0,1,552,
76,48,145,104,1,5,191,35,0,1,1,3,2,1,3,540,0,2,542,
77,88,168,196,0,4,274,1,0,2,0,0,1,2,1,737,0,3,740,
78,23,46,79,0,2,110,0,0,0,0,0,0,0,0,260,0,1,261,
79,66,202,190,3,3,298,3,1,2,0,0,0,1,2,771,0,3,774,
80,33,194,151,0,3,172,9,0,0,0,1,3,0,3,569,0,0,569,
81,37,145,133,2,3,110,10,1,1,0,0,0,0,0,442,0,4,446,
82,70,228,188,0,3,234,2,1,2,0,4,5,3,5,745,0,0,745,
83,39,187,127,0,2,206,4,1,1,1,1,3,1,0,573,0,3,576,
84,52,151,152,0,7,172,3,1,2,2,1,3,1,1,548,0,2,550,
85,63,118,238,1,4,163,2,0,1,0,2,1,2,0,595,0,1,596,
86,14,146,31,0,2,81,0,3,0,0,1,0,0,1,279,0,1,280,
87,58,318,104,2,7,239,1,6,0,0,0,2,0,2,739,0,4,743,
88,66,214,133,0,6,319,1,0,1,0,3,2,1,2,748,0,4,752,
89,29,84,123,0,7,166,0,0,0,1,0,1,0,1,412,0,0,412,
90,39,78,122,1,5,144,2,0,0,0,2,3,0,0,396,0,3,399,
91,56,116,155,4,2,320,2,2,1,2,3,5,3,3,674,0,2,676,
92,22,101,94,0,1,112,0,0,2,0,1,0,2,0,335,0,2,337,
93,36,222,179,0,6,217,3,0,0,0,0,3,0,0,666,0,2,668,
94,51,145,136,0,8,202,3,1,1,1,2,0,1,1,552,0,2,554,
95,14,101,95,0,3,95,2,0,0,0,0,1,1,0,312,0,0,312,
96,63,232,161,2,7,349,6,1,2,1,1,1,1,1,828,0,3,831,
97,107,144,84,1,15,267,2,0,1,3,2,1,1,2,630,0,2,632,
98,46,49,98,3,6,167,0,1,1,0,0,2,1,1,375,0,3,378,
99,33,108,87,0,4,134,0,3,0,2,2,0,0,0,373,0,2,375,
100,82,174,185,1,7,254,17,3,4,0,1,4,4,3,739,0,5,744,
101,39,120,56,0,1,130,0,3,0,0,0,0,3,2,354,0,0,354,
102,65,202,153,3,1,226,3,2,1,0,0,0,0,2,658,0,1,659,
103,14,105,114,0,2,99,0,1,0,0,0,2,0,1,338,0,1,339,
104,56,146,177,0,6,139,2,1,0,1,0,1,0,1,530,0,1,531,
105,96,192,254,4,9,278,1,0,2,1,2,4,1,2,846,0,3,849,
106,55,220,207,1,5,227,1,1,3,1,4,7,0,2,734,0,4,738,
