Polling Station No,Candidate_1,artennuM R E magahzaK NARAWSE adivarD,R adivarD magahzaK )A( RAKESARDNAHC RAKES annA artennuM TMRS aidnI llA,ihctaK K IHTAVER ralimaT maaN,G irtteV K magahzaK JARNURA agalimaT,K ihctaK A NANAVARAHS agahzimaT iamiruvhzaaV,K fo IBMAHTANNIHC ytraP )elawahtA( nacilbupeR aidnI,MAYINAMARBUS annA layeS LAPANAHD ayihdnihtianA lakkaM adivarD,ihctaK P NARAMUKKURIHT artennuM lakkaM,T lakkaM A YMASUNUM ihctakalaN ayinamaS,S MASAKARPLURA tnednepednI,K tnednepednI L NANUJRA,M tnednepednI NARAWSE,P RAMUKSEEHTAS tnednepednI,MARADNUSANAVARAS tnednepednI S,NALAKIRAK tnednepednI HSENIHD,V NAJARKAPEED tnednepednI,K YMASINALAP tnednepednI,P NAIHZEHC tnednepednI IJALAB,N RAMUKHSEHAM tnednepednI,S tnednepednI HSEMAR,P RAMUKAJAR tnednepednI,N tnednepednI S HTNAVER,P NAHTANAWSIV tnednepednI,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
84,84,263,256,38,372,1,0,0,0,0,0,1,0,0,5,1,2,1,0,0,0,0,0,0,940,0,0,940,0
85,85,159,80,13,328,0,0,1,0,1,0,0,0,1,2,3,4,1,1,0,3,0,0,0,597,0,0,597,0
86,86,97,123,12,202,0,3,0,0,1,1,1,0,0,2,0,2,0,0,0,0,0,0,0,444,0,5,449,0
87,87,171,311,31,244,0,2,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,765,0,2,767,0
88,88,194,186,24,356,2,2,0,0,0,1,0,0,1,2,0,3,0,1,0,0,0,0,0,772,0,1,773,0
89,89,139,238,21,339,2,0,0,0,0,0,1,0,0,1,3,0,2,1,2,0,0,0,1,750,0,4,754,0
90,90,139,155,10,253,1,2,0,0,0,0,0,0,0,18,0,0,1,2,0,0,0,0,0,581,0,0,581,0
91,91,122,142,21,264,2,1,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,560,0,0,560,0
92,92,221,234,23,469,1,4,2,0,0,0,0,0,1,8,1,1,0,0,0,0,0,0,0,965,0,4,969,0
93,93,120,171,29,321,4,1,1,0,0,1,0,0,3,2,1,4,1,0,0,1,1,0,0,661,0,1,662,0
94,94,185,161,43,241,2,1,0,0,0,0,0,0,1,1,3,1,2,0,0,0,0,0,1,642,0,2,644,0
95,95,163,253,25,532,4,0,0,1,1,1,0,0,4,6,0,4,1,0,1,0,0,0,0,996,0,4,1000,0
96,96,192,112,35,420,1,4,0,1,4,0,0,1,0,0,0,3,0,0,0,1,0,1,0,775,0,0,775,0
97,97,170,290,34,386,1,0,0,1,0,0,0,0,8,0,2,2,1,0,0,0,0,0,0,895,0,2,897,0
