Polling Station No,Candidate_1,artennuM R E magahzaK NARAWSE adivarD,R adivarD magahzaK )A( RAKESARDNAHC RAKES annA artennuM TMRS aidnI llA,ihctaK K IHTAVER ralimaT maaN,G irtteV K magahzaK JARNURA agalimaT,K ihctaK A NANAVARAHS agahzimaT iamiruvhzaaV,K fo IBMAHTANNIHC ytraP )elawahtA( nacilbupeR aidnI,MAYINAMARBUS annA layeS LAPANAHD ayihdnihtianA lakkaM adivarD,ihctaK P NARAMUKKURIHT artennuM lakkaM,T lakkaM A YMASUNUM ihctakalaN ayinamaS,S MASAKARPLURA tnednepednI,K tnednepednI L NANUJRA,M tnednepednI NARAWSE,P RAMUKSEEHTAS tnednepednI,MARADNUSANAVARAS tnednepednI S,NALAKIRAK tnednepednI HSENIHD,V NAJARKAPEED tnednepednI,K YMASINALAP tnednepednI,P NAIHZEHC tnednepednI IJALAB,N RAMUKHSEHAM tnednepednI,S tnednepednI HSEMAR,P RAMUKAJAR tnednepednI,N tnednepednI S HTNAVER,P NAHTANAWSIV tnednepednI,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
214,214,91,81,17,161,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,355,0,1,356,0
215,215,248,277,24,276,0,0,1,2,1,0,0,0,1,3,6,5,2,1,1,5,0,1,1,855,0,3,858,0
216,216,126,184,23,198,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,537,0,4,541,0
217,217,167,102,10,204,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,488,0,4,492,0
218,218,192,124,22,217,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,558,0,3,561,0
219,219,301,125,26,361,1,2,0,1,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,823,0,1,824,0
220,220,164,207,12,267,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,655,0,3,658,0
221,221,107,69,5,162,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,348,0,1,349,0
222,222,264,191,20,355,1,4,1,0,0,0,0,0,0,3,1,1,1,0,0,1,0,1,0,844,0,4,848,0
223,223,180,167,32,386,2,3,0,0,0,0,0,0,0,3,1,5,1,1,0,0,0,0,0,781,0,4,785,0
224,224,113,77,6,105,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,304,0,0,304,0
225,225,104,101,10,119,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,335,0,3,338,0
226,226,119,107,16,269,1,2,0,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,520,0,0,520,0
227,227,170,218,23,314,0,1,1,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,2,736,0,0,736,0
228,228,56,42,4,102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,206,0,0,206,0
229,229,187,98,11,349,0,0,1,0,0,0,0,0,1,2,2,1,0,0,0,1,0,0,1,654,0,3,657,0
230,230,133,121,17,253,0,1,0,0,0,0,0,0,1,0,1,4,2,4,0,0,1,0,1,539,0,1,540,0
231,231,150,197,30,350,2,0,2,0,1,0,0,0,2,3,1,2,1,0,0,2,0,0,0,743,0,2,745,0
232,232,94,170,16,283,0,0,0,0,0,0,0,0,2,5,0,1,1,0,0,4,0,0,0,576,0,2,578,0
233,233,105,135,22,227,0,1,0,0,0,0,0,1,0,9,6,2,0,1,0,1,2,0,1,513,0,2,515,0
234,234,137,218,9,180,0,0,0,0,0,0,1,2,0,0,1,4,1,0,1,0,0,1,0,555,0,1,556,0
235,235,92,180,26,329,0,3,0,0,0,0,0,0,0,8,0,1,1,1,0,0,0,0,1,642,0,2,644,0
236,236,170,153,20,390,1,1,0,0,0,0,0,0,0,5,0,1,0,1,0,4,0,0,0,746,0,1,747,0
237,237,151,135,31,308,1,1,0,0,0,1,0,0,1,9,0,0,2,0,0,1,0,0,2,643,0,0,643,0
238,238,174,87,11,259,0,1,0,0,1,0,0,1,2,18,0,1,2,0,0,0,0,0,0,557,0,0,557,0
239,239,152,87,15,374,0,1,1,0,2,0,0,1,2,5,0,1,1,1,0,3,1,0,0,647,0,3,650,0
240,240,213,297,26,356,4,0,0,0,0,1,0,0,3,0,2,3,1,1,0,3,0,0,0,910,0,1,911,0
241,241,287,241,29,457,3,1,0,0,0,2,0,2,4,3,3,5,1,0,0,2,0,0,0,1040,0,1,1041,0
242,242,127,181,15,223,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,3,4,2,0,562,0,2,564,0
243,243,140,137,19,199,1,0,0,0,0,0,0,0,0,2,1,3,0,2,0,0,0,0,0,504,0,3,507,0
244,244,194,173,22,396,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,4,0,0,0,794,0,2,796,0
245,245,46,84,11,81,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,225,0,1,226,0
246,246,142,85,29,294,1,2,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,560,0,4,564,0
247,247,128,54,12,227,0,1,1,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,430,0,2,432,0
248,248,195,171,17,430,11,1,0,0,0,2,1,3,9,6,3,8,1,2,0,5,0,0,0,865,0,3,868,0
249,249,125,268,39,419,4,2,1,0,0,0,0,0,1,12,1,0,2,0,0,6,0,1,0,881,0,4,885,0
250,250,99,210,43,317,0,1,1,0,0,0,0,1,3,0,1,2,0,1,0,0,0,0,0,679,0,0,679,0
251,251,249,174,37,366,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,829,0,4,833,0
252,252,216,138,15,174,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,549,0,2,551,0
253,252A,164,65,26,283,1,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,545,0,4,549,0
254,253,287,220,36,450,0,2,2,0,0,0,0,0,0,0,0,4,2,1,1,2,0,1,1,1009,0,3,1012,0
255,254,165,221,17,220,0,0,0,0,0,0,0,0,0,1,1,3,2,1,1,0,0,0,1,633,0,1,634,0
256,255,181,207,20,193,1,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,609,0,4,613,0
257,256,199,202,18,359,1,1,0,0,0,0,0,0,0,1,3,5,1,0,0,0,1,0,0,791,0,1,792,0
258,257,214,201,31,353,1,0,0,0,0,0,1,0,4,2,2,3,0,0,1,2,0,0,0,815,0,2,817,0
259,258,214,212,24,315,1,2,0,0,0,0,0,2,1,1,2,1,4,0,0,2,1,0,0,782,0,4,786,0
260,259,166,203,15,276,0,0,0,0,1,0,0,0,1,9,2,2,1,0,0,0,0,0,0,676,0,1,677,0
261,260,168,207,14,227,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,619,0,0,619,0
262,261,211,129,23,253,1,1,0,1,0,0,0,0,0,7,0,2,1,0,0,0,1,0,0,630,0,2,632,0
263,262,282,179,33,501,3,0,0,0,0,1,1,2,3,12,5,5,2,1,0,2,0,0,1,1033,0,2,1035,0
264,263,87,175,17,161,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,443,0,0,443,0
265,264,125,233,49,286,2,2,0,0,1,1,0,1,0,2,0,2,1,0,0,1,0,0,0,706,0,4,710,0
266,265,83,214,16,138,1,0,0,0,0,0,0,0,1,1,2,2,0,4,0,0,0,0,0,462,0,3,465,0
267,266,208,177,25,319,1,0,0,0,1,2,0,5,3,0,2,11,3,0,0,2,1,1,0,761,0,0,761,0
268,267,162,206,21,368,1,0,1,1,0,0,0,1,0,1,0,4,2,1,0,4,0,1,0,774,0,1,775,0
269,268,243,216,17,361,2,0,0,0,0,1,0,2,2,0,3,5,2,0,0,2,2,0,0,858,0,2,860,0
270,269,163,217,24,242,6,2,1,0,0,1,1,0,1,2,0,3,3,1,0,2,0,0,0,669,0,3,672,0
271,270,193,153,22,346,1,2,1,0,2,0,0,2,0,0,3,8,1,0,1,1,1,1,0,738,0,1,739,0
272,271,155,127,34,191,0,3,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,515,0,2,517,0
273,272,182,125,31,268,1,4,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,615,0,0,615,0
274,273,149,278,11,241,2,2,0,0,0,0,0,0,0,0,2,7,1,2,0,2,2,1,0,700,0,2,702,0
275,274,172,161,40,278,2,2,0,0,0,0,1,0,1,0,0,2,4,2,0,0,1,0,0,666,0,2,668,0
276,275,151,199,41,174,5,0,0,0,0,0,0,0,2,0,0,1,2,3,0,1,1,0,0,580,0,1,581,0
277,276,195,141,26,306,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,672,0,2,674,0
278,277,156,141,15,223,1,1,0,0,0,0,0,1,1,0,0,2,3,1,0,1,0,0,0,546,0,2,548,0
279,278,125,171,30,186,4,1,1,0,0,1,0,1,2,0,2,1,0,1,0,0,0,0,1,527,0,2,529,0
280,279,189,129,19,241,0,0,0,0,0,0,0,0,1,0,1,2,2,2,0,1,0,0,0,587,0,1,588,0
281,280,185,163,22,412,9,0,1,0,0,0,1,2,10,1,1,3,4,1,0,4,3,1,1,824,0,3,827,0
282,281,225,109,20,249,4,3,0,0,0,0,0,0,0,1,3,3,3,2,0,1,0,0,1,624,0,0,624,0
283,282,284,116,20,162,8,0,1,1,0,2,0,1,0,1,1,2,3,0,0,2,0,0,0,604,0,1,605,0
284,283,141,162,13,198,5,2,2,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,528,0,1,529,0
285,284,173,261,34,467,6,0,1,0,0,0,0,0,3,1,2,3,1,4,2,0,2,0,1,961,0,3,964,0
286,285,137,133,22,107,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,406,0,3,409,0
287,286,192,176,38,237,10,3,0,1,0,0,0,1,2,0,0,1,3,0,1,3,1,0,0,669,0,1,670,0
288,287,111,125,19,143,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,404,0,1,405,0
289,288,92,139,19,126,6,3,1,0,0,0,0,1,0,1,0,3,2,2,1,0,0,0,0,396,0,4,400,0
290,289,165,162,14,211,5,1,0,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,564,0,0,564,0
