Polling Station No,KARTHIK MOHAN,ROSHINI S,VIJAYAKUMAR S.R,ABDUL SHABEEK A,AJITHKUMAR A,AADHAV ARJUNA,ASHOK KUMAR C.A,ANBAZHAGAN G,KANNAN M,KANDASAMY S,KARTHICK S,KARTHICK P,SHANMUGA D,CHARAVANAN M.P,SOLOMON J.R,SUBRAMANI K,DHAYANIDHI D,DEVARAJAN G,BALAMURALI G,PURUSHOTHAMAN P,MANIMARAN P,MURALI R,MURALI VINODH M,YUVARAJ S,RAJI M,VIJAYAKUMAR G,VIJAYAKUMAR D,JAYA ZEBA C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
167,180,13,83,0,0,196,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,477,0,2,479,0
168,229,13,93,0,0,306,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,648,0,5,653,0
169,243,23,88,0,0,362,0,0,0,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,724,0,3,727,0
170,234,9,70,1,0,274,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,591,0,5,596,0
171,147,18,56,0,0,201,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,425,0
172,228,17,103,1,2,392,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,746,0,2,748,0
173,122,12,39,1,1,199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,376,0,2,378,0
174,149,10,67,0,1,227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,6,461,0
175,168,23,52,2,0,227,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,477,0,1,478,0
176,198,34,69,3,0,291,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,601,0,8,609,0
177,120,16,52,0,0,195,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,385,0,5,390,0
178,180,20,76,0,0,275,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,554,0,2,556,0
179,229,16,71,0,0,269,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,588,0,2,590,0
180,260,17,88,1,4,379,0,0,2,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,758,0,6,764,0
181,260,26,87,2,1,279,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,660,0,0,660,0
182,198,18,49,0,1,313,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,2,585,0
183,192,17,52,0,0,307,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,571,0,3,574,0
184,189,19,46,0,2,337,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,600,0,2,602,0
185,231,17,35,0,0,397,2,0,0,0,0,0,0,1,0,2,2,0,0,0,1,1,0,1,0,0,0,1,691,0,1,692,0
186,167,23,79,0,1,330,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,1,603,0
187,150,16,82,1,0,263,0,1,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,519,0,3,522,0
188,285,15,51,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,1,622,0
189,201,18,40,0,1,274,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,537,0,1,538,0
190,211,16,63,0,0,212,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,506,0,2,508,0
191,261,32,74,1,0,321,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,695,0,2,697,0
192,163,15,65,1,0,193,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,439,0,1,440,0
193,253,25,42,0,0,285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,607,0,0,607,0
194,176,10,25,0,1,205,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,1,419,0
195,268,26,36,0,0,341,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,1,674,0
196,136,7,29,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,1,322,0
197,216,13,58,1,0,211,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,507,0,9,516,0
198,243,28,74,2,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,674,0,1,675,0
199,111,9,26,0,0,125,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,276,0,1,277,0
200,126,26,47,1,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,2,422,0
201,242,14,54,0,2,411,2,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,731,0,0,731,0
202,324,13,108,0,4,372,0,0,0,0,2,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,830,0,4,834,0
203,166,19,67,1,0,335,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,4,0,0,598,0,3,601,0
204,280,14,89,0,1,245,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,632,0,1,633,0
205,125,20,59,1,0,158,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,366,0,4,370,0
206,144,24,64,0,0,309,0,1,0,1,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,549,0,4,553,0
207,157,12,95,0,1,245,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,514,0,2,516,0
208,135,9,39,0,0,180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,2,366,1
209,182,15,90,1,0,278,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,2,1,574,0,0,574,0
210,187,33,102,0,2,407,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,738,0,5,743,0
211,237,19,136,0,0,338,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,736,0,3,739,0
212,159,15,91,0,0,250,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,518,0,1,519,0
213,102,8,93,2,1,187,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,397,0,1,398,0
214,172,14,127,1,0,280,1,0,1,0,0,2,1,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,606,0,3,609,0
215,322,14,84,2,0,359,0,0,1,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,790,0,1,791,0
216,211,13,73,0,1,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,4,641,0
217,248,13,76,1,1,363,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,706,0,3,709,1
218,161,21,76,0,0,153,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,1,415,0
219,154,29,138,0,0,206,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,534,0,7,541,0
220,110,19,93,1,0,184,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,411,0,4,415,0
221,162,14,124,0,0,194,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,498,0,2,500,0
222,ge152 3,22,136,1,1,231,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,548,0,5,553,0
223,155,23,68,1,0,241,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,494,0,2,496,0
224,137,15,49,0,0,123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,326,0,1,327,0
225,187,12,94,0,0,245,0,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,545,0,3,548,0
226,213,17,59,1,1,357,1,0,0,1,0,1,0,1,0,0,3,1,1,0,1,0,0,0,0,0,0,0,658,0,3,661,0
227,229,28,100,0,1,399,0,0,0,0,1,1,0,2,1,1,0,0,1,0,0,0,1,1,0,0,0,0,766,0,4,770,0
228,214,23,86,2,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,3,628,0
229,255,12,63,0,0,349,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,684,0,2,686,1
230,116,14,43,1,1,263,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,445,0,1,446,0
231,192,11,35,0,0,268,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,510,0,1,511,0
232,280,19,113,1,2,291,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,708,0,4,712,0
233,137,11,64,0,0,270,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,1,487,0
234,183,5,53,0,2,202,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,4,450,0
235,248,28,74,2,0,346,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,701,0,3,704,0
236,248,3,18,1,1,282,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,558,0,2,560,0
237,149,5,31,0,1,210,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,401,0,0,401,0
238,364,5,66,0,0,289,1,1,1,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,2,735,0,3,738,0
239,149,3,18,0,0,215,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,391,0,1,392,0
240,240,16,17,0,1,234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,513,0,1,514,0
241,231,11,38,1,0,250,1,0,0,0,0,1,1,0,0,0,2,2,1,0,0,1,0,1,0,0,0,5,546,0,2,548,0
242,256,28,48,0,0,266,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,603,0,0,603,0
243,183,12,51,1,0,239,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,490,0,2,492,0
244,235,8,53,0,0,198,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,501,0,2,503,0
245,156,10,28,1,0,205,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,403,0,1,404,0
246,256,13,37,0,0,320,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,1,629,0
247,237,8,49,0,2,258,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,560,0,1,561,0
248,311,24,55,0,0,382,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,777,0,1,778,0
249,173,16,94,0,2,390,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,683,0,1,684,0
250,187,11,72,0,0,395,0,0,0,0,0,0,2,0,0,0,4,4,0,0,1,0,0,0,0,0,0,2,678,0,2,680,0
251,24,1,5,0,0,18,0,1,0,1,2,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,60,0,1,61,0
252,128,11,30,0,0,272,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,443,0,1,444,0
253,143,6,16,0,0,98,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,266,0,2,268,0
254,195,22,92,1,0,136,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,449,0,6,455,0
255,270,4,67,0,2,400,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,745,0,2,747,0
