Polling Station No,KARTHIK MOHAN,ROSHINI S,VIJAYAKUMAR S.R,ABDUL SHABEEK A,AJITHKUMAR A,AADHAV ARJUNA,ASHOK KUMAR C.A,ANBAZHAGAN G,KANNAN M,KANDASAMY S,KARTHICK S,KARTHICK P,SHANMUGA D,CHARAVANAN M.P,SOLOMON J.R,SUBRAMANI K,DHAYANIDHI D,DEVARAJAN G,BALAMURALI G,PURUSHOTHAMAN P,MANIMARAN P,MURALI R,MURALI VINODH M,YUVARAJ S,RAJI M,VIJAYAKUMAR G,VIJAYAKUMAR D,JAYA ZEBA C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
17,223,12,143,1,1,382,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,1,1,1,0,0,0,0,771,0,3,774,0
18,177,7,157,0,0,310,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,655,0,2,657,0
19,202,17,54,0,0,390,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,670,0,2,672,0
20,155,24,83,0,1,402,1,0,0,0,0,0,2,0,2,0,1,0,2,0,0,1,1,0,0,2,0,1,678,0,3,681,0
21,366,17,71,0,0,331,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,787,0,3,790,1
22,264,18,79,8,1,253,0,0,0,0,1,1,1,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,633,0,3,636,0
23,266,13,41,2,2,291,0,0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,0,1,0,1,625,0,4,629,0
24,244,16,54,2,1,277,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,597,0,4,601,0
25,204,10,167,1,0,269,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,657,0,5,662,0
26,169,8,106,0,0,260,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,546,0,4,550,0
27,188,18,81,2,2,187,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,481,0,5,486,0
28,202,31,107,0,0,281,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,623,0,5,628,0
29,210,23,113,0,1,270,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,621,0,10,631,0
30,213,34,77,2,0,310,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,640,0,2,642,0
31,309,13,70,0,1,418,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,815,0,5,820,0
32,244,11,80,0,1,302,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,643,0,7,650,0
33,166,26,130,1,0,332,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,657,0
34,197,27,112,0,0,292,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,632,0,6,638,0
35,221,25,98,0,1,308,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,659,0,5,664,0
36,339,23,46,0,0,372,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,785,0,6,791,0
37,209,10,31,0,1,202,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,1,456,0
38,191,11,22,0,1,280,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,509,0,0,509,0
39,187,24,43,2,1,276,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,538,0,1,539,0
40,130,22,118,0,0,283,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,5,560,0
41,189,23,86,0,2,324,2,0,1,1,1,1,1,1,0,0,3,0,0,0,0,5,0,0,0,0,0,0,640,0,3,643,0
42,92,9,90,1,1,310,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,512,0,1,513,0
43,136,6,13,2,1,270,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,434,0,3,437,0
44,152,11,51,0,1,316,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,534,0,1,535,0
45,152,22,99,2,1,397,0,1,0,0,1,0,0,0,2,1,3,0,2,1,0,0,0,0,0,0,1,0,685,0,2,687,0
46,130,9,75,0,1,366,1,0,0,0,0,1,1,0,1,1,3,0,2,0,1,1,0,0,1,0,0,0,594,0,0,594,0
47,136,21,52,0,0,368,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,583,0,0,583,0
48,150,16,44,0,1,334,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,553,0,1,554,0
49,164,8,39,2,1,344,1,0,1,0,0,1,2,1,0,1,1,0,0,0,0,2,0,0,0,0,1,0,569,0,2,571,0
50,151,14,44,1,1,307,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,521,0,1,522,0
51,133,11,49,1,0,187,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,383,0,1,384,0
52,202,23,98,1,0,365,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,691,0,5,696,0
