Polling Station No,SIVAJI PERUMAL,NEHRUJI GUNASEKARAN,K.R.JAYARAM,V.SRINIDHI,N.R.APPATHURAI,SARVESWARAN,S.S.SUNDHARAM,MURUGAN.O,K.S.SRI GIRI PRASATH,AKBAR ALI,M.ASHOK KUMAR,AYOOB RIYAS,N.RAJASEKARAN,UMA PARAMASIVAM,KARTHIK,K.KUMAR BABU,S.SATHEESH,SUBARAMANIAN.N,P.TAMILSELVI,THAHIR HUSSAIN,V.BALAMURUGAN,R.MANIKANDABRABHU,A.MOUNAKUMAR,DR.K.RAJKUMAR,RAJKUMAR.M,VASANTHI,VIJAYAKUMAR,JANANI.D,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
185,0,14,184,152,1,0,0,1,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,555,0,3,558,0
186,0,26,164,141,1,0,0,0,210,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,547,0,1,548,0
187,0,18,160,186,1,0,1,2,221,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,593,0,6,599,0
188,0,27,242,142,0,0,1,0,174,0,0,0,0,1,0,1,1,0,1,1,0,0,0,2,0,0,0,1,594,0,6,600,0
189,0,23,128,100,1,0,1,1,170,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,430,0,1,431,0
190,0,25,158,143,0,0,2,0,197,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,530,0,4,534,0
191,5,27,185,134,1,0,0,0,255,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,612,0,2,614,0
192,0,24,180,116,0,0,0,0,160,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,486,0,3,489,0
193,0,12,164,100,3,2,0,0,135,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,420,0,1,421,0
194,2,20,185,169,0,0,0,1,268,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,649,0,2,651,0
195,0,49,184,149,1,0,2,0,231,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,2,626,0,5,631,0
196,0,30,194,198,1,0,1,1,228,0,0,0,1,2,0,0,0,0,2,2,0,0,0,1,1,0,0,1,663,0,10,673,0
197,0,27,182,161,1,0,0,1,145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,518,0,2,520,0
198,1,31,197,201,0,0,1,0,205,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,640,0,5,645,0
199,2,21,131,133,0,0,0,2,175,0,0,1,0,0,1,0,3,0,0,0,1,0,1,0,1,0,1,0,473,0,5,478,0
200,2,36,84,334,2,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,685,0,3,688,0
201,0,28,180,272,3,0,1,1,333,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,821,0,2,823,0
202,2,24,105,146,1,0,1,1,191,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,475,0,1,476,0
203,0,29,147,238,4,0,0,0,225,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,648,0,3,651,0
204,0,27,119,198,1,0,1,1,247,2,0,1,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,603,0,3,606,0
205,2,43,163,279,0,0,1,1,393,0,0,1,3,0,0,1,0,2,1,1,0,0,0,0,2,0,1,0,894,0,3,897,0
206,2,19,211,199,0,0,0,1,201,5,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,642,0,4,646,0
207,3,23,181,136,1,0,1,2,183,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,535,0,4,539,0
208,2,22,128,140,0,0,0,0,161,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,1,460,0,3,463,0
209,0,20,77,162,1,1,1,1,163,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,432,0,2,434,0
210,0,30,206,140,2,0,1,1,211,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,593,0,4,597,0
211,1,28,156,110,0,0,0,0,274,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,574,0,1,575,0
212,1,35,154,99,1,2,1,0,312,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,612,0,5,617,0
213,0,20,133,147,0,1,1,0,354,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,662,0,5,667,0
214,4,33,179,171,1,0,1,0,317,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,713,0,1,714,0
215,0,44,190,216,0,1,0,0,352,0,0,0,0,1,0,0,1,0,0,0,1,0,2,1,2,0,0,2,813,0,1,814,0
216,0,26,225,176,2,0,0,1,264,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,701,0,0,701,0
217,0,16,162,150,2,0,2,0,233,0,1,0,2,1,0,1,0,0,1,2,0,0,1,0,1,0,0,0,575,0,1,576,0
218,0,12,143,133,3,2,0,0,295,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,592,0,2,594,0
219,0,18,138,149,0,1,1,1,293,2,0,0,1,0,0,2,1,0,1,0,1,1,0,0,2,0,0,1,613,0,3,616,0
220,3,33,171,158,1,1,2,1,323,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,699,0,6,705,0
221,0,41,178,238,0,0,1,2,358,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,823,0,3,826,0
222,0,29,156,196,3,0,1,0,282,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,5,675,0
223,4,34,163,104,1,1,0,6,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,653,0,3,656,0
224,1,55,203,294,1,1,1,1,302,1,0,0,1,0,1,1,0,1,1,1,0,3,1,0,0,1,0,0,871,0,9,880,0
225,0,28,136,191,0,0,1,2,322,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,685,0,3,688,0
226,2,31,95,314,2,0,0,0,220,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,668,0,3,671,0
227,2,35,182,184,0,0,0,0,227,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,632,0,5,637,0
228,1,37,163,192,1,0,1,0,304,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,704,0,5,709,0
229,0,29,111,120,0,1,1,0,140,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,407,0,1,408,0
230,1,26,91,135,0,0,0,1,174,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,433,0,4,437,0
231,1,39,136,199,1,1,1,1,301,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,686,0,1,687,0
232,4,39,171,305,1,0,2,2,273,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,804,0,7,811,0
233,3,51,169,229,1,0,0,0,353,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,812,0,4,816,0
234,0,30,142,216,0,0,3,1,270,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,668,0,7,675,0
235,0,49,212,153,2,0,0,1,358,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,779,0,3,782,0
236,1,18,115,122,1,0,0,0,161,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,427,0,4,431,0
237,0,30,145,167,0,0,1,0,290,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,640,0,5,645,0
238,0,29,149,119,1,0,0,0,233,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,536,0,1,537,0
239,1,31,210,215,3,1,1,3,281,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,752,0,3,755,0
240,1,37,182,156,0,0,2,1,297,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,683,0,4,687,0
241,1,23,122,125,1,0,0,0,304,3,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,584,0,2,586,0
242,0,15,225,188,1,0,1,2,291,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,730,0,2,732,0
243,0,28,214,149,0,0,0,2,319,2,0,0,0,1,1,2,1,0,0,3,1,0,0,0,0,0,0,2,725,0,0,725,0
244,1,43,186,163,1,1,0,1,332,0,1,0,1,0,0,0,0,2,3,1,2,0,0,1,0,0,2,2,743,0,1,744,0
245,1,22,191,130,1,0,0,1,319,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,669,0,2,671,0
246,0,29,132,86,0,1,0,2,295,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,549,0,4,553,0
247,2,22,183,154,0,0,0,0,253,1,0,0,0,0,1,0,1,0,1,2,0,0,0,1,2,0,0,3,626,0,1,627,1
248,1,48,139,175,3,1,1,2,297,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,2,676,0,2,678,0
249,3,11,136,142,0,0,2,0,197,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,1,0,0,0,498,0,1,499,0
250,0,18,155,158,4,1,1,1,234,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,575,0,3,578,0
251,1,37,138,133,2,0,0,0,212,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,525,0,0,525,0
252,0,44,200,221,1,0,0,1,297,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,3,773,0,6,779,0
253,0,27,160,154,2,0,0,1,305,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,653,0,6,659,0
254,0,12,156,126,2,1,1,0,259,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,564,0,2,566,0
255,1,23,131,115,0,1,0,0,218,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,492,0,1,493,0
256,1,22,107,117,1,0,0,2,180,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,433,0,2,435,0
257,4,20,130,119,0,1,1,0,211,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,491,0,3,494,0
258,3,38,125,228,2,0,0,0,279,0,1,1,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,682,0,1,683,0
259,0,35,179,193,0,0,2,0,250,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,662,0,1,663,0
260,0,17,171,151,1,0,0,1,210,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,555,0,7,562,0
261,1,34,170,150,0,0,0,1,286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,644,0,3,647,0
262,0,26,176,122,0,0,0,1,199,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,530,0,3,533,0
263,0,50,217,187,1,0,1,0,388,2,2,0,0,0,0,3,2,0,2,0,1,0,0,1,2,0,0,1,860,0,1,861,0
264,1,23,107,133,1,0,1,2,244,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,519,0,0,519,0
265,2,51,188,178,1,1,1,2,448,1,0,0,0,1,1,2,0,1,1,0,0,0,1,1,1,0,0,0,882,0,4,886,0
266,3,36,170,241,1,0,0,0,392,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,849,0,5,854,0
267,1,29,147,236,1,1,0,1,357,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,779,0,5,784,0
268,2,33,189,153,1,1,0,0,252,1,0,0,1,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,639,0,2,641,0
269,4,29,159,206,0,0,0,0,230,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,634,0,3,637,0
270,5,39,182,172,0,1,0,1,301,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,1,709,0,4,713,0
271,1,21,160,146,0,1,0,0,140,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,472,0,5,477,0
272,1,12,190,207,0,0,1,0,182,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,597,0,1,598,0
273,3,14,202,86,1,0,1,0,128,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,439,0,3,442,0
274,0,18,238,91,0,0,1,2,255,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,609,0,4,613,0
275,3,26,179,182,1,0,1,0,304,2,1,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,705,0,4,709,0
276,0,19,157,254,0,0,0,0,227,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,663,0,4,667,0
277,0,26,235,184,0,2,1,0,230,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,0,8,689,0
278,0,30,223,211,3,0,1,1,285,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,761,0,2,763,0
279,4,38,259,174,0,0,0,3,329,1,1,0,2,0,0,0,2,1,0,1,0,0,0,1,2,0,1,0,819,0,7,826,0
280,3,24,182,107,0,0,1,2,155,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,477,0,4,481,0
281,0,18,142,170,0,0,0,0,131,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,463,0,6,469,0
282,1,29,216,173,1,0,1,1,260,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,5,689,0
283,0,23,114,219,1,0,1,1,235,2,0,2,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,1,605,0,4,609,0
284,0,35,157,128,0,0,0,0,322,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,649,0,4,653,0
285,0,29,167,156,1,0,0,1,200,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,558,0,6,564,0
286,0,24,197,163,0,0,1,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,643,0,0,643,0
287,0,22,101,144,0,0,1,1,237,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,512,0,1,513,0
288,1,23,174,184,0,0,0,2,245,0,0,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,0,1,636,0,9,645,0
289,2,21,259,192,0,0,0,1,248,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,725,0,4,729,0
290,1,30,135,134,3,0,0,1,220,1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,530,0,4,534,0
291,1,33,250,213,2,1,1,1,309,2,0,0,1,1,0,1,1,0,1,2,0,1,0,0,0,0,0,1,822,0,4,826,0
292,4,29,184,130,0,2,3,1,359,0,0,0,2,0,0,0,0,1,1,3,1,0,1,1,0,0,0,1,723,0,4,727,0
293,0,26,165,160,0,0,0,0,187,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,543,0,5,548,0
294,3,26,220,186,1,0,1,4,307,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,753,0,6,759,0
295,0,28,237,168,0,0,0,1,217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,1,653,0
296,0,27,242,163,3,2,0,2,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,698,0,7,705,0
297,1,33,196,191,0,0,1,0,200,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,630,0,2,632,0
298,0,32,210,182,1,0,0,1,307,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,739,0,9,748,0
299,0,25,213,196,1,1,1,1,236,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,677,0,10,687,0
300,1,17,160,143,0,0,0,0,148,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,474,0,3,477,0
301,2,34,147,236,0,0,0,3,210,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,636,0,2,638,0
302,1,28,172,128,1,0,0,0,118,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,1,451,0
303,1,25,150,229,1,3,1,1,232,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,649,0,1,650,0
304,2,15,14,660,1,0,0,0,81,1,0,1,0,1,0,0,1,1,0,3,0,0,0,1,0,0,0,0,782,0,1,783,0
305,1,8,19,681,1,0,1,0,109,2,0,1,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0,1,830,0,1,831,0
306,2,13,22,457,0,0,0,0,87,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,588,0,0,588,0
307,0,8,20,517,2,0,0,0,73,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,627,0,3,630,0
308,4,11,14,726,3,0,0,0,111,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,874,0,3,877,0
309,4,9,88,280,1,0,0,1,128,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,516,0,3,519,1
310,0,10,85,487,1,1,0,0,127,4,1,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,722,0,2,724,0
311,6,17,68,458,4,0,0,0,197,1,0,0,2,0,0,2,0,1,0,3,0,0,0,1,0,1,0,0,761,0,2,763,0
312,3,18,25,746,1,0,0,0,116,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,912,0,1,913,0
313,0,12,111,273,1,1,1,0,281,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,687,0,4,691,0
314,0,19,20,423,0,0,0,0,114,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,583,0,2,585,0
315,3,12,30,338,1,1,0,3,134,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,528,0,2,530,0
316,2,18,51,522,2,0,0,1,145,0,0,1,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,751,0,2,753,0
317,2,8,97,371,2,0,0,0,319,1,1,0,0,0,0,2,2,0,0,5,0,0,0,1,1,0,0,0,812,0,4,816,0
318,5,23,30,720,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,908,0,0,908,0
319,3,22,72,530,1,0,1,1,138,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,773,0,8,781,0
320,1,23,43,480,1,0,1,0,137,4,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,698,0,3,701,0
321,5,17,48,479,2,0,2,0,198,2,0,0,1,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,760,0,3,763,0
322,1,16,20,381,2,1,0,0,151,3,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,583,0,2,585,0
323,4,19,17,397,3,1,1,2,136,2,0,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,589,0,1,590,0
324,1,36,139,272,1,0,0,0,222,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,678,0,4,682,0
325,1,43,131,202,2,1,4,2,312,2,0,0,0,0,0,0,0,0,0,3,0,0,1,2,2,2,0,0,710,0,0,710,0
326,0,40,293,240,2,0,1,1,395,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,978,0,3,981,0
327,1,15,186,79,0,1,2,0,129,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,416,0,10,426,0
328,2,23,238,137,0,0,1,0,191,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,600,0,2,602,0
329,2,39,353,269,2,1,2,1,302,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,977,0,0,977,0
330,0,8,52,35,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,136,0
331,2,22,110,176,1,0,1,0,264,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,581,0,5,586,0
332,1,40,168,192,0,0,1,0,350,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,756,0,5,761,0
333,3,29,99,111,1,0,0,1,230,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,477,0,1,478,0
334,1,34,167,167,2,0,1,2,335,1,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,717,0,5,722,0
335,0,15,228,98,0,0,1,0,138,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,486,0,3,489,0
336,5,20,235,159,3,1,1,0,236,0,0,0,2,1,0,1,1,2,0,1,0,0,0,0,0,0,0,1,669,0,5,674,0
337,1,26,263,186,0,0,0,0,227,1,0,0,1,0,0,0,0,1,2,3,1,0,0,0,0,0,1,0,713,0,1,714,0
338,1,11,142,131,3,1,0,0,234,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,530,0,3,533,0
339,2,18,132,147,0,1,0,0,198,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,502,0,4,506,0
340,0,22,175,212,1,0,1,0,192,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,3,608,0
341,0,20,116,187,2,2,0,0,226,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,557,0,4,561,0
342,1,12,114,162,0,0,2,1,116,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,412,0,5,417,0
343,0,6,129,173,0,0,0,1,157,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,469,0,9,478,0
344,2,17,117,172,2,0,0,0,242,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1,0,1,559,0,3,562,0
345,2,16,118,194,1,0,0,1,177,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,517,0,3,520,0
346,1,19,157,146,1,2,1,0,210,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,543,0,9,552,0
347,0,12,162,226,0,1,0,1,151,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,555,0,9,564,0
348,1,35,248,183,0,0,1,1,269,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,742,0,10,752,0
349,2,23,142,162,1,1,0,0,227,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,0,0,1,0,565,0,6,571,0
350,1,31,160,178,0,0,0,0,209,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,585,0,9,594,0
351,1,9,120,148,1,0,0,0,147,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,435,0,6,441,0
352,1,12,184,127,3,0,2,2,208,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0,0,1,1,547,0,4,551,0
353,3,20,170,156,0,0,0,2,257,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,614,0,4,618,0
