Polling Station No,Candidate_1,1,2,3,4,5,6,7,8,9,10,11,12,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,242,250,95,275,2,1,4,7,2,5,883,0,8,883,0,8,891,0
2,253,156,36,234,0,0,2,4,2,5,692,0,7,692,0,7,699,0
3,86,128,23,217,1,0,1,2,0,1,459,0,1,459,0,1,460,0
4,142,171,37,196,0,0,2,3,2,2,555,0,3,555,0,3,558,0
5,80,200,34,178,0,0,2,2,0,0,496,0,1,496,0,1,497,0
6,170,318,31,201,1,1,1,6,1,4,734,0,6,734,0,6,740,0
7,254,324,47,311,1,1,1,2,0,7,948,0,2,948,0,2,950,0
8,170,223,87,237,2,3,0,4,0,3,729,0,1,729,0,1,730,0
9,159,147,107,244,4,2,0,3,3,0,669,0,6,669,0,6,675,0
10,240,322,56,246,1,4,2,1,4,7,883,0,14,883,0,14,897,0
11,281,280,55,257,2,2,0,1,3,3,884,0,5,884,0,5,889,0
12,199,210,20,231,0,0,2,0,1,3,666,0,6,666,0,6,672,0
13,130,88,29,229,2,1,1,3,0,0,483,0,1,483,0,1,484,0
14,157,182,35,193,1,4,4,3,3,6,588,0,7,588,0,7,595,0
15,250,177,55,274,1,3,3,7,2,8,780,0,5,780,0,5,785,0
16,64,88,13,192,0,0,0,1,1,1,360,0,0,360,0,0,360,0
17,315,153,25,357,3,0,2,1,3,2,861,0,1,861,0,1,862,0
18,100,110,20,181,1,1,4,4,1,5,427,0,2,427,0,2,429,0
19,184,143,24,201,0,3,1,3,1,3,563,0,6,563,0,6,569,0
20,334,96,47,239,0,2,1,2,3,1,725,0,9,725,0,9,734,0
21,259,284,48,285,2,2,1,1,2,2,886,0,7,886,0,7,893,0
22,188,171,46,183,2,2,1,2,3,6,604,0,2,604,0,2,606,0
23,267,239,60,284,2,1,2,0,1,4,860,0,3,860,0,3,863,0
24,122,158,108,189,3,2,1,2,2,1,588,0,3,588,0,3,591,0
25,96,98,64,153,2,0,0,3,3,7,426,0,2,426,0,2,428,0
26,344,295,65,250,0,2,2,0,1,0,959,0,4,959,0,4,963,0
27,272,229,77,219,6,5,1,2,4,1,816,0,9,816,0,9,825,0
28,273,131,72,243,6,3,3,4,2,4,741,0,5,741,0,5,746,0
29,186,113,55,223,6,3,4,7,1,1,599,0,5,599,0,5,604,0
30,296,67,16,215,0,1,0,5,6,4,610,0,8,610,0,8,618,0
31,97,177,39,170,0,1,1,1,2,1,489,0,2,489,0,2,491,0
32,121,154,58,320,4,4,0,3,0,5,669,0,4,669,0,4,673,0
33,175,83,47,193,1,2,1,1,2,2,507,0,4,507,0,4,511,0
34,135,181,59,160,2,2,0,1,1,3,544,0,4,544,0,4,548,0
35,220,166,88,242,1,0,1,1,2,1,722,0,5,722,0,5,727,0
36,187,142,68,464,1,3,2,9,1,2,879,0,6,879,0,6,885,0
37,94,239,52,404,2,1,4,3,3,0,802,0,6,802,0,6,808,0
38,143,187,31,342,1,2,0,0,0,1,707,0,4,707,0,4,711,0
39,111,134,53,295,0,0,0,0,1,0,594,0,2,594,0,2,596,0
40,94,183,17,270,1,0,0,1,1,1,568,0,0,568,0,0,568,0
41,210,253,32,409,3,1,2,4,1,3,918,0,7,918,0,7,925,0
42,113,162,31,254,0,0,0,0,0,0,560,0,2,560,0,2,562,0
43,98,187,43,305,2,0,0,5,0,4,644,0,4,644,0,4,648,0
44,137,182,35,338,2,1,0,2,0,2,699,0,5,699,0,5,704,0
45,65,367,28,270,1,1,2,2,1,2,739,0,4,739,0,4,743,0
46,88,231,23,253,1,0,0,0,0,0,596,0,0,596,0,0,596,0
47,60,317,37,317,0,2,0,1,0,2,736,0,1,736,0,1,737,0
48,205,207,52,354,2,0,1,2,2,3,828,0,6,828,0,6,834,0
49,212,200,53,290,1,2,1,3,2,8,772,0,6,772,0,6,778,0
50,272,283,45,241,4,1,0,0,1,6,853,0,10,853,0,10,863,0
51,121,213,32,227,4,0,1,4,4,3,609,0,3,609,0,3,612,0
52,292,164,52,276,3,1,2,3,5,1,799,0,6,799,0,6,805,0
53,159,153,37,204,1,2,1,2,2,1,562,0,2,562,0,2,564,0
54,289,129,42,172,2,6,0,2,7,5,654,0,5,654,0,5,659,0
55,285,132,56,191,2,2,0,0,1,3,672,0,0,672,0,0,672,0
56,211,174,79,219,2,5,1,1,3,6,701,0,6,701,0,6,707,0
57,180,237,48,268,1,0,0,2,2,2,740,0,4,740,0,4,744,0
58,325,129,71,353,2,2,3,3,3,2,893,0,8,893,0,8,901,0
59,43,333,26,108,0,1,0,1,0,0,512,0,2,512,0,2,514,0
60,31,394,29,104,1,1,0,0,0,0,560,0,1,560,0,1,561,0
61,246,224,38,249,1,1,2,4,1,2,768,0,6,768,0,6,774,0
62,295,195,35,308,3,1,1,2,5,4,849,0,9,849,0,9,858,0
63,152,299,68,317,2,1,2,0,2,0,843,0,0,843,0,0,843,0
64,130,85,20,152,2,1,0,0,0,2,392,0,3,392,0,3,395,0
65,262,104,53,251,3,2,1,2,1,1,680,0,4,680,0,4,684,0
66,221,265,38,256,1,1,3,2,2,0,789,0,7,789,0,7,796,0
67,244,323,37,299,0,1,3,5,3,1,916,0,3,916,0,3,919,0
68,201,100,41,236,1,2,2,0,1,1,585,0,4,585,0,4,589,0
69,126,75,23,140,0,0,0,1,1,1,367,0,1,367,0,1,368,0
70,138,102,55,216,1,1,0,1,0,1,515,0,3,515,0,3,518,0
71,191,221,41,205,1,0,2,5,1,3,670,0,8,670,0,8,678,0
72,91,61,28,136,0,1,0,3,1,1,322,0,6,322,0,6,328,0
73,210,201,51,257,4,4,3,4,3,8,745,0,14,745,0,14,759,0
74,252,170,36,386,3,1,3,3,3,7,864,0,5,864,0,5,869,0
75,213,202,45,315,1,2,1,0,0,2,781,0,6,781,0,6,787,0
76,253,184,81,334,5,2,1,2,2,2,866,0,6,866,0,6,872,0
