Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,236,28,62,222,0,0,0,0,0,0,0,0,1,549,0,2,551,0
2,2,178,26,37,213,0,0,0,0,1,0,0,1,0,456,0,2,458,0
3,3,230,23,126,240,0,0,0,2,1,2,1,1,0,626,0,1,627,0
4,4,175,21,103,296,4,1,0,0,0,2,5,1,2,610,0,3,613,0
5,5,100,6,160,282,1,0,1,3,0,5,6,1,3,568,0,5,573,0
6,6,186,22,380,289,1,0,1,1,0,0,0,1,0,881,0,0,881,0
7,7,66,10,68,131,1,0,1,0,0,0,2,2,0,281,0,0,281,0
8,8,196,28,129,309,2,1,2,0,1,1,4,2,0,675,0,5,680,0
9,9,296,20,95,404,1,0,0,0,0,1,1,0,0,818,0,4,822,0
10,10,286,25,52,332,0,2,1,1,0,0,1,2,0,702,0,1,703,1
11,11,143,13,93,271,1,1,1,1,0,0,7,1,0,532,0,1,533,0
12,12,148,24,161,323,1,0,2,0,0,0,0,0,1,660,0,7,667,0
13,13,75,6,69,151,2,1,0,0,0,0,0,0,0,304,0,5,309,0
14,14,337,27,274,120,1,0,1,0,0,0,2,1,0,763,0,3,766,0
15,15,237,19,168,77,0,0,0,0,0,0,0,1,1,503,0,1,504,0
16,16,122,18,105,199,1,1,0,0,1,0,0,1,1,449,0,8,457,0
17,17,257,17,157,274,1,0,1,0,0,1,1,0,2,711,0,3,714,0
18,18,212,7,126,293,1,1,3,0,0,0,2,1,2,648,0,1,649,0
19,19,194,6,108,178,0,0,0,0,1,0,2,0,0,489,0,0,489,0
20,20,144,21,139,229,1,1,0,1,0,0,3,0,1,540,0,4,544,0
21,21,198,41,139,231,24,1,3,0,0,1,1,0,1,640,0,5,645,0
22,22,124,37,82,299,24,0,1,1,1,0,4,1,2,576,0,4,580,0
23,23,370,34,19,336,1,0,2,0,1,2,4,0,0,769,0,3,772,0
24,24,333,18,56,276,1,0,0,0,0,1,6,0,1,692,0,3,695,0
25,25,369,40,132,299,1,0,1,0,2,0,1,0,2,847,0,6,853,0
26,26,99,39,150,338,2,0,5,0,0,3,3,3,3,645,0,4,649,0
27,27,77,31,95,192,1,0,2,0,0,0,2,0,0,400,0,4,404,0
28,28,106,41,220,271,2,0,2,3,2,1,2,2,4,656,0,4,660,0
29,29,79,43,160,340,2,0,0,1,0,0,3,0,0,628,0,9,637,0
30,30,97,66,298,461,3,2,8,1,2,2,6,0,2,948,0,2,950,0
31,31,84,27,129,230,3,0,1,0,1,0,3,1,0,479,0,0,479,0
32,32,322,23,49,142,1,0,1,0,0,0,0,0,0,538,0,4,542,0
33,33,121,25,285,223,1,0,5,0,0,0,0,3,2,665,0,4,669,0
34,34,480,16,53,169,1,0,0,0,0,0,0,0,1,720,0,2,722,0
35,35,85,11,86,261,2,0,1,0,0,3,5,0,0,454,0,2,456,0
36,36,171,11,74,414,0,2,1,1,0,1,3,1,2,681,0,3,684,0
37,37,136,14,109,233,4,0,0,1,2,1,4,0,1,505,0,2,507,0
38,38,174,19,87,249,5,0,2,0,0,2,3,1,2,544,0,7,551,0
39,39,39,15,122,288,4,1,3,0,1,0,1,1,1,476,0,5,481,0
40,40,31,15,109,290,6,1,2,0,1,2,2,3,1,463,0,2,465,0
41,41,585,13,27,142,0,0,0,0,1,1,0,0,0,769,0,4,773,0
42,42,399,7,12,98,1,1,0,0,0,0,2,2,1,523,0,3,526,0
43,43,381,9,36,75,1,1,0,0,0,1,0,1,2,507,0,1,508,0
44,44,566,8,15,145,0,2,0,0,0,1,0,0,0,737,0,3,740,0
45,45,164,75,152,165,4,4,3,1,0,0,1,1,0,570,0,2,572,0
46,46,114,46,108,185,1,1,2,0,0,0,1,0,0,458,0,3,461,0
47,47,127,34,101,169,2,0,0,0,1,0,1,0,0,435,0,7,442,0
48,48,141,22,65,136,0,1,0,0,0,1,1,0,0,367,0,2,369,0
49,49,113,54,107,322,3,1,4,1,4,5,7,4,3,628,0,8,636,0
50,50,111,31,99,216,0,0,1,0,0,5,2,2,2,469,0,2,471,0
51,51,164,63,125,354,4,0,2,1,2,3,5,2,6,731,0,4,735,0
52,52,161,32,114,309,1,0,1,1,1,0,5,0,2,627,0,2,629,0
53,53,164,38,73,342,8,0,0,1,0,3,6,3,1,639,0,8,647,0
54,54,136,34,48,246,4,1,1,0,1,0,1,2,0,474,0,2,476,0
55,55,132,29,84,211,3,0,0,0,1,0,2,0,0,462,0,2,464,0
56,56,97,27,140,246,3,1,4,0,1,3,3,1,2,528,0,5,533,0
57,57,265,21,52,337,2,0,1,0,0,1,1,0,2,682,0,3,685,0
58,58,220,42,112,247,15,0,0,0,0,2,1,2,0,641,0,7,648,0
59,59,110,42,148,217,1,0,0,0,0,1,2,1,2,524,0,4,528,0
60,60,103,27,126,296,0,1,2,0,1,3,2,0,0,561,0,4,565,0
61,61,370,22,60,265,7,3,1,1,0,2,4,0,3,738,0,8,746,0
62,62,185,42,56,310,27,3,1,1,0,1,2,0,2,630,0,9,639,0
63,63,174,40,70,225,33,0,3,0,0,1,1,1,1,549,0,5,554,0
64,64,120,21,154,200,1,0,1,0,0,0,6,0,1,504,0,3,507,0
65,65,152,42,49,157,2,0,3,0,1,0,2,2,0,410,0,3,413,0
66,66,143,71,75,222,11,1,2,1,0,0,3,0,1,530,0,1,531,1
67,67,132,38,111,167,2,0,1,0,0,0,0,2,0,453,0,1,454,0
68,68,232,48,173,352,3,0,0,1,2,2,0,0,0,813,0,4,817,0
69,69,329,72,226,253,0,1,1,0,0,1,3,1,2,889,0,3,892,0
70,70,220,50,261,233,5,0,1,2,0,2,4,1,0,779,0,7,786,0
71,71,176,32,173,228,3,0,4,1,0,0,4,0,0,621,0,5,626,0
72,72,375,17,135,200,0,0,0,1,0,1,1,0,0,730,0,7,737,0
73,73,148,25,190,142,0,0,1,1,0,1,1,2,1,512,0,2,514,0
74,74,196,16,139,254,1,1,1,0,1,0,3,1,1,614,0,2,616,0
75,75,138,5,114,73,0,0,0,0,0,0,1,1,0,332,0,0,332,0
76,76,302,4,97,143,13,0,0,0,0,0,1,1,1,562,0,3,565,0
77,77,298,8,40,124,1,0,0,0,0,0,0,1,0,472,0,1,473,0
78,78,226,21,159,277,5,0,3,0,1,1,1,0,0,694,0,1,695,0
79,79,111,30,131,331,1,0,1,1,0,1,5,4,1,617,0,3,620,0
80,80,174,11,44,138,0,0,0,0,0,0,1,0,0,368,0,2,370,0
81,81,109,20,86,219,1,2,0,0,0,0,0,0,1,438,0,2,440,0
82,82,121,14,147,150,0,0,1,0,0,2,2,1,1,439,0,1,440,0
83,83,293,21,78,267,2,0,0,1,0,1,0,2,0,665,0,3,668,0
