Polling Station No,GANESAN V.G.,LAKSHMANAN,VIJAYAPRABHAKAR,SELVAM P,BALASUBRAMANIAM M,RATHINARAJA S,VIKRAMAN N,AMIRTHA PANDI M.V,AJAY I,GUNASUNDARAM R,GURUSAMY S,SANTHOSH KUMAR R,SUBBURAJ K,MUTHUVEL S,RANJITH S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,106,42,115,150,0,0,0,0,0,0,0,2,0,2,2,419,0,3,422,0
2,146,38,200,229,0,0,0,2,4,0,1,1,0,3,1,625,0,1,626,0
3,145,16,285,149,0,1,0,0,3,2,1,0,0,3,0,605,0,5,610,0
4,94,35,173,159,1,0,0,0,4,2,0,1,0,2,0,471,0,1,472,0
5,209,41,239,235,0,2,0,0,1,0,4,3,1,2,0,737,0,4,741,0
6,140,20,150,151,1,0,0,1,1,0,0,0,0,0,0,464,0,4,468,0
7,148,45,239,146,0,0,0,0,3,0,0,0,1,3,0,585,0,3,588,0
8,193,21,101,130,0,1,1,0,1,0,0,1,0,2,0,451,0,1,452,0
9,182,127,196,127,0,1,0,0,3,0,0,0,2,1,0,639,0,2,641,0
10,93,37,99,71,0,1,0,0,1,0,0,0,0,3,0,305,0,2,307,0
11,201,53,277,143,2,0,0,0,1,0,1,0,0,4,1,683,0,2,685,0
12,137,12,145,68,1,0,0,0,0,0,0,0,1,1,0,365,0,0,365,0
13,204,44,272,126,0,0,0,0,3,1,0,2,0,9,3,664,0,4,668,0
14,149,52,198,171,32,0,0,0,1,0,1,1,1,1,0,607,0,3,610,0
15,155,42,394,195,74,1,2,0,5,3,1,2,1,9,1,885,0,4,889,0
16,162,61,274,351,16,0,0,0,4,0,0,1,2,3,1,875,0,4,879,0
17,159,30,430,190,0,1,0,0,5,0,1,1,1,11,0,829,0,3,832,0
18,134,14,348,47,1,0,0,0,2,0,1,1,1,3,0,552,0,2,554,0
19,81,76,290,142,112,0,0,0,2,1,2,2,3,7,1,719,0,0,719,0
20,286,27,173,136,2,0,0,0,1,0,1,0,0,1,2,629,0,7,636,0
21,160,62,255,260,147,1,1,1,5,0,2,1,3,2,1,901,0,1,902,0
22,139,24,156,167,0,0,0,1,0,0,0,0,2,4,1,494,0,1,495,0
23,200,21,137,124,96,4,1,1,5,2,1,0,1,6,1,600,0,4,604,0
24,67,46,97,79,89,0,1,0,0,0,1,2,0,5,1,388,0,2,390,0
25,152,19,139,48,2,0,0,0,0,1,0,0,0,5,1,367,0,1,368,0
26,271,33,174,117,4,0,0,0,1,0,2,1,2,3,2,610,0,3,613,0
27,161,40,180,135,29,2,0,0,4,2,0,0,3,4,0,560,0,3,563,0
28,207,69,321,203,88,0,1,0,0,0,1,0,6,6,1,903,0,5,908,0
29,167,7,318,105,16,0,0,0,2,0,0,1,3,2,0,621,0,2,623,0
30,132,20,145,275,0,0,0,1,0,0,2,1,0,1,0,577,0,1,578,0
31,150,34,165,339,5,0,0,0,3,1,1,0,2,1,2,703,0,5,708,0
32,100,35,158,272,9,0,0,1,2,0,1,2,1,1,2,584,0,6,590,0
33,189,87,279,272,1,0,0,2,6,0,2,0,1,2,0,841,0,6,847,0
34,127,34,234,137,11,0,2,0,4,0,0,0,0,2,0,551,0,6,557,0
35,92,16,144,127,13,0,1,0,0,0,0,0,1,1,1,396,0,2,398,0
36,119,63,286,304,38,1,1,0,4,1,0,1,3,1,1,823,0,6,829,0
37,58,62,249,214,48,1,0,3,6,0,3,1,2,1,1,649,0,3,652,0
