Polling Station No,ANUSHA V,SATHIYANARAYANAN B,RAJA ANBAZHAGAN,ANAND N,RAVI M L,ABUKITHER M,ARAVIND GOSH Y T,EASAN NATARAJAN T,KUMAR SRI SRI B,SATHISH KUMAR B,GNANASEKARAN G,THENNARASU P,PADMINI NARASIMHAN,BADRI S,BALAJI S,PRASATH D,MANIKANDAN T,MANIKANDAN N,MOORTHY N,MYTHILI C,RAMKUMAR L,RAMACHANDRAN O N,RAJESH E,VETRIVEL K,JAYAVEL,JOTHIRAJ G M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,11,168,163,279,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,1,629,0,1,630,0
2,22,101,110,230,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,471,0,4,475,0
3,14,76,130,208,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,431,0,2,433,0
4,21,196,138,308,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,668,0,11,679,0
5,10,131,109,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,490,0,1,491,1
6,23,209,112,302,2,1,0,0,0,0,0,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,656,0,7,663,0
7,33,150,172,312,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,672,0,2,674,0
8,21,138,144,274,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,582,0,4,586,0
9,22,159,106,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,494,0,3,497,0
10,20,124,124,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,5,468,0
11,19,157,138,256,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,575,0,4,579,0
12,18,135,162,311,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,633,0,2,635,0
13,15,93,135,195,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,442,0,2,444,0
14,7,122,150,244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,526,0,5,531,0
15,11,94,73,146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,326,0,0,326,0
16,15,132,79,199,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,432,0,3,435,0
17,29,139,121,229,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,1,0,0,0,526,0,4,530,0
18,29,111,181,385,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,714,0,2,716,0
19,19,95,156,214,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,487,0,5,492,0
20,9,139,153,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,514,0,1,515,0
21,26,220,218,247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,3,715,0
22,30,116,206,229,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,583,0,3,586,0
23,17,152,169,309,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,655,0,5,660,1
24,15,175,184,270,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,648,0,1,649,0
25,17,97,173,264,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,558,0,0,558,0
26,28,132,136,332,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,632,0,5,637,0
27,32,186,191,308,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,722,0,5,727,0
28,19,165,123,270,0,2,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,1,2,0,2,1,590,0,3,593,0
29,25,172,91,248,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,537,0,6,543,0
30,13,128,269,207,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,621,0,0,621,0
31,21,131,281,342,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,776,0,3,779,0
32,7,90,157,164,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,423,0,1,424,0
33,28,136,157,179,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,507,0,5,512,0
34,13,100,291,228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,634,0,0,634,0
35,24,101,163,245,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,540,0,6,546,0
36,22,154,253,283,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,718,0,7,725,0
37,6,101,115,141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,365,0,1,366,0
38,16,154,262,320,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,755,0,5,760,0
39,12,156,241,311,1,1,0,0,0,1,0,0,2,1,0,1,0,2,2,0,1,0,0,0,0,0,732,0,0,732,0
