Polling Station No,R AJUHDNI,S SAANURAK,RP NAHTANLIHTNES,K UHTUMIRAM,M MAKCINAMAJAR,INAR IAHTNALUK,MAHTNANAGURUM URUG,X HSEJAR,C RAMUKJAR,JARAYADURI,M KIHTRAK,M NARAWSEELAK,MANAHTNAS,UBARPAGAN,YMASLUAP,T.S NARAKABARP,K HSEMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
21,24,48,97,0,1,95,0,0,0,0,0,0,0,0,0,1,0,266,0,1,267,0
22,45,61,92,1,0,112,1,0,0,0,0,0,0,0,2,1,0,315,0,2,317,0
23,51,194,103,1,0,204,3,0,0,0,0,0,0,0,1,1,0,558,0,2,560,0
24,56,134,171,0,2,224,4,0,0,1,1,0,0,0,1,0,1,595,0,1,596,0
25,67,164,126,0,0,245,1,0,1,1,4,1,1,0,0,0,1,612,0,3,615,0
26,47,107,179,0,0,219,2,0,0,0,0,0,0,0,2,0,1,557,0,2,559,0
27,38,92,156,3,1,207,2,0,0,0,1,0,0,1,0,0,0,501,0,2,503,0
28,33,67,119,0,0,89,2,2,0,0,1,0,0,0,2,1,0,316,0,0,316,0
29,114,194,229,0,2,284,11,0,2,0,1,1,2,0,0,1,2,843,0,3,846,0
30,78,154,153,1,0,172,1,0,0,0,0,0,0,2,0,1,0,562,0,1,563,0
31,38,143,155,1,1,149,1,0,1,0,1,0,2,0,2,0,1,495,0,2,497,0
32,45,63,72,2,1,159,1,0,0,0,0,0,0,0,0,2,0,345,0,1,346,0
33,99,157,171,1,2,291,0,0,0,0,1,2,1,0,1,2,1,729,0,4,733,0
34,61,50,190,2,2,140,1,0,0,1,0,0,0,1,0,1,2,451,0,3,454,0
35,86,151,228,4,0,258,5,0,0,1,0,0,0,0,0,0,1,734,0,3,737,0
36,36,82,119,0,0,104,0,1,2,0,0,0,0,2,1,0,0,347,0,4,351,0
37,57,121,183,0,3,298,0,0,0,0,0,1,0,0,1,2,0,666,0,1,667,0
38,37,99,178,1,1,118,3,0,1,1,2,0,0,1,0,0,2,444,0,1,445,0
39,50,104,152,0,0,127,5,0,2,0,2,1,0,1,2,0,0,446,0,4,450,0
40,64,88,189,2,0,162,5,1,1,0,1,0,0,0,0,1,0,514,0,3,517,0
41,60,97,148,0,1,151,5,1,1,0,2,0,0,0,1,1,0,468,0,4,472,0
42,46,113,142,3,0,141,0,0,2,0,2,0,0,2,0,0,0,451,0,0,451,0
43,39,109,167,1,0,134,6,1,1,0,2,1,0,1,1,1,0,464,0,2,466,0
44,44,80,157,1,2,207,0,1,0,0,2,0,3,1,0,1,0,499,0,2,501,0
45,71,210,158,2,2,337,16,4,0,0,2,2,1,0,1,1,0,807,0,3,810,0
46,47,153,129,3,0,207,16,1,2,0,1,0,0,0,0,3,0,562,0,4,566,0
47,53,124,221,1,1,192,7,0,1,0,0,0,0,3,3,2,0,608,0,2,610,0
48,71,152,213,7,2,181,7,3,0,1,3,0,0,2,2,1,1,646,0,2,648,0
49,57,186,188,0,0,208,1,0,1,0,0,0,0,0,1,2,1,645,0,3,648,0
50,27,49,54,2,0,61,0,0,0,1,0,0,0,1,0,0,0,195,0,0,195,0
51,58,133,229,1,1,244,2,0,1,1,3,1,0,0,1,2,3,680,0,3,683,0
52,28,23,61,0,0,82,2,0,0,0,0,0,0,0,0,0,1,197,0,1,198,0
53,54,138,121,1,2,125,4,0,1,1,0,0,1,1,1,0,0,450,0,3,453,0
54,113,111,243,3,2,296,9,0,0,0,2,0,0,2,2,2,1,786,0,1,787,0
55,103,139,168,3,3,292,7,0,5,0,5,0,1,5,3,5,3,742,0,7,749,0
56,38,45,105,1,0,168,1,0,0,0,1,0,0,2,1,0,0,362,0,6,368,0
57,90,108,212,1,5,281,5,1,3,1,2,0,0,0,2,1,1,713,0,1,714,0
58,24,60,86,3,1,108,0,2,1,0,1,0,1,1,0,1,1,290,0,2,292,0
59,30,146,153,0,0,143,4,0,1,0,2,0,0,0,0,0,1,480,0,7,487,0
60,15,95,194,0,0,112,1,1,1,0,0,0,0,0,0,0,0,419,0,4,423,0
61,47,152,115,0,0,199,0,0,3,0,0,0,1,0,0,0,1,518,0,2,520,0
62,42,138,93,1,2,163,4,0,1,1,1,2,1,1,0,0,1,451,0,6,457,0
63,22,106,100,2,2,138,1,0,0,0,1,0,2,1,0,0,5,380,0,5,385,0
64,52,140,162,1,0,185,3,1,0,0,0,0,0,0,2,1,0,547,0,2,549,0
65,53,158,64,1,0,227,2,1,1,0,2,3,0,0,0,1,0,513,0,0,513,0
66,26,93,70,1,0,111,1,0,0,0,0,0,0,0,0,0,1,303,0,0,303,0
67,56,155,110,0,1,205,3,1,0,0,0,1,0,0,0,1,0,533,0,8,541,0
68,68,190,241,1,0,227,3,2,1,0,0,0,1,1,3,2,0,740,0,5,745,0
69,45,101,109,0,1,162,2,2,0,0,0,0,0,1,0,1,0,424,0,0,424,0
70,42,105,113,1,1,236,2,9,0,0,0,0,0,0,0,0,0,509,0,3,512,0
71,64,135,119,0,1,308,1,3,1,0,1,1,0,0,0,0,0,634,0,1,635,0
72,55,136,120,0,0,249,6,2,0,1,0,0,0,0,1,0,1,571,0,3,574,0
73,42,144,126,0,0,207,7,1,0,0,0,1,1,1,0,1,0,531,0,4,535,0
74,40,142,66,1,0,196,4,0,0,1,0,0,0,0,0,3,0,453,0,1,454,0
75,43,129,129,2,1,247,0,0,0,0,0,0,1,0,0,0,0,552,0,0,552,0
76,39,155,114,0,0,129,3,0,0,0,3,0,0,2,0,0,0,445,0,0,445,0
77,82,193,187,3,2,247,4,2,0,0,1,1,0,0,2,1,0,725,0,0,725,0
78,37,87,80,0,0,86,1,0,0,0,0,0,1,0,1,0,0,293,0,0,293,0
79,85,151,253,0,0,207,6,0,2,1,2,0,0,1,3,0,2,713,0,1,714,0
80,109,145,211,1,0,279,8,2,0,0,2,0,0,0,0,1,1,759,0,4,763,0
81,29,106,138,1,1,174,0,1,0,1,0,0,0,0,0,0,0,451,0,5,456,0
82,44,115,198,3,1,421,4,1,1,0,1,1,0,1,0,1,0,792,0,3,795,0
83,41,244,193,0,1,164,0,1,0,0,1,0,0,0,3,2,0,650,0,4,654,0
84,42,152,181,0,0,155,5,0,0,0,0,0,1,1,1,0,1,539,0,2,541,0
85,96,143,328,2,0,131,0,0,0,0,0,1,0,3,0,0,2,706,0,4,710,0
86,31,49,133,2,1,72,3,0,0,0,0,0,1,1,4,1,0,298,0,0,298,0
87,42,104,202,0,0,167,0,0,2,0,0,0,0,0,1,1,0,519,0,1,520,0
88,117,158,266,1,0,148,8,1,1,0,2,0,0,0,1,1,1,705,0,3,708,0
89,105,99,181,0,0,102,10,0,0,0,0,1,0,0,1,0,1,500,0,6,506,0
90,30,79,103,0,0,136,3,0,0,0,1,0,0,1,0,2,1,356,0,1,357,0
91,80,175,257,2,1,174,7,1,2,1,0,2,1,1,2,0,0,706,0,4,710,0
92,40,105,141,1,3,262,2,0,3,0,3,2,1,0,1,2,0,566,0,2,568,0
93,136,161,280,1,2,232,7,1,1,0,4,2,1,1,0,3,1,833,0,1,834,0
94,59,97,207,2,2,161,2,0,2,0,1,0,0,0,4,2,0,539,0,3,542,0
95,50,138,233,1,0,148,21,1,0,0,1,1,0,1,0,0,1,596,0,2,598,0
96,68,182,301,1,1,162,9,0,0,1,2,0,0,0,0,0,0,727,0,10,737,0
97,42,46,77,1,0,94,5,0,0,0,0,0,0,0,0,0,0,265,0,0,265,0
98,48,177,153,0,0,158,4,1,0,0,1,1,0,0,1,0,0,544,0,8,552,0
99,23,121,118,1,1,169,0,1,2,1,3,0,1,0,2,1,1,445,0,1,446,0
100,57,160,149,1,0,286,1,0,0,0,0,0,1,0,1,1,1,658,0,6,664,0
101,26,106,144,2,0,169,0,3,0,1,0,0,0,0,1,1,0,453,0,1,454,0
102,20,117,146,2,0,191,4,2,0,0,0,0,0,1,0,0,0,483,0,2,485,0
103,32,110,137,0,0,169,7,1,0,0,0,0,0,1,1,1,2,461,0,2,463,0
104,42,142,108,0,0,165,5,0,0,0,0,1,0,0,0,1,0,464,0,5,469,0
105,28,112,93,1,2,180,0,0,1,0,0,0,0,0,0,0,0,417,0,1,418,0
106,30,125,85,1,1,170,0,1,0,0,0,1,1,0,0,1,0,416,0,4,420,0
107,20,72,157,1,5,262,2,2,1,1,1,0,1,2,0,1,0,528,0,0,528,0
108,15,49,118,0,0,102,3,2,2,0,0,0,0,0,1,0,0,292,0,2,294,0
109,31,99,67,0,0,150,2,1,0,0,0,1,0,0,0,0,0,351,0,0,351,0
110,39,160,125,0,0,231,0,1,0,0,1,0,0,1,0,1,0,559,0,3,562,0
111,56,198,142,1,1,280,0,1,0,1,0,0,0,1,0,2,0,683,0,6,689,0
112,49,134,116,0,0,211,7,0,0,0,2,1,1,0,0,0,0,521,0,1,522,0
113,21,90,60,0,0,109,0,0,0,0,1,0,0,0,0,0,0,281,0,1,282,0
114,50,112,103,0,1,166,1,0,0,0,0,0,0,0,0,0,0,433,0,2,435,0
115,56,193,135,2,0,291,3,1,0,0,1,0,0,0,0,0,1,683,0,3,686,0
116,38,186,113,1,2,202,0,8,1,0,1,0,0,0,0,0,0,552,0,1,553,0
117,59,172,175,0,1,257,2,1,0,0,1,0,0,0,0,2,0,670,0,1,671,0
118,31,90,86,0,0,125,2,1,0,0,0,0,0,2,1,0,0,338,0,5,343,0
119,35,70,146,1,0,131,1,0,0,0,0,0,0,0,0,0,0,384,0,1,385,0
120,38,366,110,0,1,203,5,0,0,0,1,0,0,0,0,1,1,726,0,3,729,0
121,39,183,148,0,0,191,3,1,0,0,0,0,1,0,2,0,0,568,0,3,571,0
122,39,112,157,0,1,153,0,0,0,0,0,0,0,1,0,0,0,463,0,5,468,0
123,29,102,147,0,0,142,1,0,0,0,0,0,1,0,0,0,0,422,0,1,423,0
124,40,118,113,1,0,175,1,0,0,0,0,0,0,0,0,1,0,449,0,0,449,0
125,27,88,106,0,0,108,0,0,0,0,1,1,1,0,0,0,0,332,0,2,334,0
126,56,153,131,0,0,189,1,3,0,0,1,0,0,0,0,0,0,534,0,3,537,0
127,59,182,252,0,0,142,4,3,0,1,1,0,1,0,1,0,0,646,0,3,649,0
128,71,151,130,0,1,266,1,4,2,0,0,1,0,0,0,0,0,627,0,3,630,0
129,60,112,164,0,1,252,2,12,1,1,0,0,0,0,0,0,0,605,0,3,608,0
130,23,111,85,1,2,130,1,0,0,0,0,0,0,1,0,0,0,354,0,1,355,0
131,29,114,93,0,2,206,1,2,0,0,0,0,0,0,0,2,0,449,0,1,450,0
132,29,198,130,0,2,204,6,2,0,0,0,0,0,0,0,0,1,572,0,2,574,0
133,47,213,190,0,0,207,4,3,1,2,0,0,0,0,1,0,0,668,0,0,668,0
134,26,101,150,1,0,153,2,2,1,0,0,1,1,1,0,0,0,439,0,1,440,0
135,36,134,148,0,0,202,1,1,0,0,0,1,0,0,1,0,1,525,0,0,525,0
136,24,324,128,0,0,218,1,4,1,0,0,0,0,0,0,0,0,700,0,3,703,0
137,9,214,77,1,1,154,1,0,0,0,0,1,0,0,0,1,0,459,0,2,461,0
138,41,267,184,0,0,322,5,2,3,0,1,0,0,0,0,1,0,826,0,5,831,0
139,41,155,155,1,0,223,1,0,0,0,0,0,0,2,0,0,0,578,0,3,581,0
140,43,161,125,1,1,302,0,1,0,0,0,0,0,1,0,1,1,637,0,2,639,0
141,31,241,89,0,0,271,0,2,1,0,2,1,0,0,0,0,0,638,0,1,639,0
142,28,186,74,2,0,198,0,1,0,0,1,0,0,1,3,0,2,496,0,7,503,0
143,30,172,100,1,0,177,1,1,0,0,3,0,0,0,0,0,1,486,0,5,491,0
144,31,199,95,1,0,164,3,0,2,1,1,0,0,1,0,0,0,498,0,3,501,0
145,28,233,86,0,0,208,0,2,0,0,0,0,0,1,0,0,0,558,0,0,558,0
146,42,164,136,2,0,245,0,3,0,0,0,0,0,0,0,1,0,593,0,1,594,0
147,75,201,233,2,0,262,3,1,0,0,2,1,0,0,1,1,0,782,0,0,782,0
148,60,172,111,3,3,239,0,3,2,0,0,1,0,0,1,0,0,595,0,3,598,0
149,47,112,223,1,1,230,1,0,0,0,1,1,0,4,0,0,0,621,0,8,629,0
150,43,121,136,0,1,181,5,4,0,0,2,1,0,0,0,1,0,495,0,3,498,0
151,69,169,290,2,1,177,5,0,0,0,4,1,0,3,0,0,0,721,0,5,726,0
152,24,68,88,0,1,106,0,0,0,0,0,0,0,0,0,1,0,288,0,2,290,0
153,45,237,149,4,2,226,0,1,0,1,0,1,0,1,2,1,1,671,0,4,675,0
154,81,187,223,2,0,203,3,0,1,0,0,0,1,0,0,0,1,702,0,3,705,0
155,24,89,64,1,3,106,8,1,0,0,0,0,1,0,1,0,3,301,0,0,301,0
156,53,153,265,2,4,329,2,0,2,3,3,1,0,3,2,1,1,824,0,4,828,0
157,57,248,213,0,1,192,0,0,0,0,0,0,1,0,1,0,0,713,0,1,714,0
158,30,107,109,0,1,110,1,0,0,0,2,1,0,0,0,0,0,361,0,1,362,0
159,86,200,244,0,2,260,8,0,1,0,0,0,0,1,1,0,0,803,0,1,804,0
160,71,254,230,2,2,272,5,1,2,1,2,0,1,1,1,3,1,849,0,5,854,0
161,43,123,204,2,1,186,1,1,0,0,1,1,1,0,0,1,0,565,0,1,566,0
162,49,162,175,2,1,160,1,0,1,1,2,1,0,1,1,0,1,558,0,1,559,0
163,52,165,176,1,0,188,1,0,1,0,0,0,0,0,0,0,0,584,0,2,586,0
164,51,288,149,0,2,214,2,1,0,0,5,0,0,0,2,1,0,715,0,2,717,0
165,33,129,114,1,2,186,2,0,0,0,1,0,0,0,0,0,0,468,0,0,468,0
166,25,230,122,1,0,112,2,0,1,0,1,1,0,0,1,0,1,497,0,0,497,0
167,46,256,156,1,2,179,3,0,0,0,0,1,3,1,2,0,0,650,0,1,651,0
168,51,160,214,3,1,128,5,0,2,0,1,0,1,0,3,2,0,571,0,3,574,0
169,12,75,76,1,0,122,2,0,0,2,1,0,0,0,0,0,0,291,0,3,294,0
170,27,125,200,0,0,150,0,0,0,0,1,0,0,0,0,0,0,503,0,3,506,0
171,46,321,99,3,0,160,0,0,2,0,1,0,0,1,2,0,0,635,0,1,636,0
172,27,115,125,2,0,123,1,0,1,0,0,0,0,1,1,0,0,396,0,2,398,0
173,60,134,189,3,0,173,3,0,0,0,0,2,0,0,2,2,1,569,0,3,572,0
174,49,107,158,0,0,101,2,1,2,0,0,0,0,0,2,0,0,422,0,2,424,0
175,47,191,211,1,5,188,5,0,0,0,0,0,0,3,0,1,0,652,0,2,654,0
176,53,121,97,2,4,249,4,2,0,0,1,0,0,0,0,1,0,534,0,2,536,0
177,69,142,98,1,1,265,2,2,0,0,0,1,0,0,1,0,0,582,0,3,585,0
178,27,110,295,0,1,150,13,1,0,0,0,0,0,2,1,0,0,600,0,3,603,0
179,28,99,157,3,1,221,0,2,1,0,0,1,0,0,0,0,0,513,0,3,516,0
180,54,99,206,0,1,294,0,0,0,0,0,0,0,0,0,1,1,656,0,10,666,0
181,26,54,104,0,2,109,1,0,0,0,0,0,0,0,0,0,0,296,0,1,297,0
182,85,136,235,1,1,320,3,0,0,0,1,1,0,1,0,0,0,784,0,2,786,0
183,9,251,64,1,0,165,1,0,0,0,1,1,0,1,3,1,1,499,0,4,503,0
184,29,106,108,2,1,224,3,0,1,0,1,0,0,0,2,0,0,477,0,3,480,0
185,48,141,105,0,0,231,2,0,0,3,1,1,1,0,0,1,0,534,0,5,539,0
186,75,175,176,3,1,343,5,0,0,1,2,1,0,0,0,0,0,782,0,3,785,0
187,37,144,190,4,1,122,1,0,0,0,1,6,2,5,2,0,2,517,0,4,521,0
188,29,180,77,1,0,136,1,0,0,0,0,0,0,0,1,1,0,426,0,3,429,0
189,48,146,118,1,2,207,8,1,0,2,0,3,0,1,0,1,0,538,0,1,539,0
190,35,119,109,3,0,202,1,2,0,0,0,2,0,0,0,0,0,473,0,0,473,0
191,47,73,100,1,1,249,1,0,0,0,0,0,1,1,0,0,0,474,0,3,477,0
192,57,107,107,2,1,251,4,2,1,1,1,1,0,0,0,0,0,535,0,0,535,0
193,66,211,122,1,1,248,4,0,2,0,0,1,0,0,0,1,0,657,0,4,661,0
194,57,233,265,4,0,213,5,1,0,1,0,0,0,0,1,1,0,781,0,5,786,0
195,40,89,200,2,3,255,1,0,0,0,0,0,0,0,0,0,2,592,0,8,600,0
196,92,78,196,1,0,179,1,2,0,0,1,1,0,3,2,3,1,560,0,2,562,0
197,42,147,248,3,0,106,2,0,4,0,1,2,0,0,1,0,1,557,0,2,559,0
198,100,96,225,2,0,236,0,1,0,1,1,1,1,1,2,2,1,670,0,6,676,0
199,30,97,43,0,0,79,2,0,1,0,1,0,0,1,0,0,0,254,0,4,258,0
200,50,104,120,0,0,180,3,7,0,0,0,0,0,0,2,0,1,467,0,4,471,0
201,71,116,313,2,0,271,10,0,0,2,2,0,1,2,1,2,1,794,0,2,796,0
202,38,120,146,0,0,91,1,0,1,0,1,1,0,1,0,0,0,400,0,2,402,0
203,29,129,148,0,0,105,0,1,0,0,1,0,0,1,0,0,0,414,0,1,415,0
204,41,118,155,0,1,160,2,0,0,1,2,1,0,0,0,3,0,484,0,2,486,0
205,49,160,184,0,0,336,1,2,2,0,2,1,1,0,2,1,0,741,0,2,743,0
206,33,172,142,1,0,161,0,0,0,1,1,0,0,0,1,0,0,512,0,2,514,0
207,31,138,100,0,0,145,0,0,0,0,0,0,1,0,0,0,0,415,0,2,417,0
208,30,169,95,0,0,156,1,0,0,0,2,0,0,0,0,0,0,453,0,1,454,0
209,41,163,165,1,0,174,0,1,1,1,0,0,0,2,0,1,0,550,0,0,550,0
210,51,122,173,1,0,197,0,0,0,0,2,1,0,0,2,1,2,552,0,2,554,0
211,54,203,98,0,2,247,1,0,0,0,2,1,0,1,2,0,0,611,0,2,613,0
212,98,111,126,1,2,227,0,1,0,0,0,0,1,0,4,2,0,573,0,1,574,0
213,49,223,227,1,2,308,3,0,1,0,2,0,0,1,0,2,0,819,0,6,825,0
214,61,189,71,0,1,215,5,0,3,0,2,0,0,0,0,3,0,550,0,6,556,0
215,39,128,64,0,0,161,4,0,0,0,0,0,0,0,1,1,0,398,0,2,400,0
216,34,70,67,0,0,112,2,0,1,0,0,0,0,0,0,0,1,287,0,0,287,0
217,58,229,127,0,2,332,5,0,0,1,1,0,4,1,1,0,1,762,0,3,765,0
218,48,108,113,1,4,205,0,0,0,0,1,0,1,0,2,0,1,484,0,1,485,0
219,36,187,46,0,0,207,1,0,0,0,1,0,0,1,0,0,1,480,0,4,484,0
220,59,104,106,1,0,268,0,1,0,0,0,0,0,1,0,0,1,541,0,4,545,0
221,43,119,71,1,1,255,1,0,0,0,1,1,0,0,0,0,0,493,0,2,495,0
222,71,187,112,3,3,288,2,0,1,0,2,0,0,0,2,0,0,671,0,4,675,0
223,51,96,37,0,1,185,0,1,0,0,0,0,0,0,0,0,0,371,0,1,372,0
224,30,126,70,0,1,179,0,0,0,0,0,2,0,0,0,0,0,408,0,0,408,0
225,72,213,113,0,1,320,3,0,0,0,1,1,0,0,1,1,0,726,0,1,727,0
226,45,174,155,1,2,291,1,0,3,0,3,1,3,1,0,1,1,682,0,0,682,0
227,49,168,118,1,3,193,2,0,2,0,0,1,2,1,3,0,1,544,0,4,548,0
228,29,101,108,0,0,204,0,0,1,1,0,0,0,1,0,0,0,445,0,4,449,0
229,46,185,108,1,0,184,1,0,0,0,4,0,0,1,0,0,0,530,0,4,534,0
230,50,159,95,1,0,225,5,0,1,0,1,0,0,2,1,2,1,543,0,6,549,0
231,59,272,135,0,1,226,0,1,0,0,0,0,0,0,0,0,1,695,0,0,695,0
232,20,90,89,0,0,111,1,0,0,0,0,0,0,2,0,1,0,314,0,0,314,0
233,42,149,44,0,1,94,0,0,0,0,0,0,0,1,0,0,0,331,0,2,333,0
234,30,129,224,1,0,144,2,0,2,0,1,0,0,0,1,0,1,535,0,0,535,0
235,35,83,135,0,1,165,1,3,1,0,0,0,1,0,2,0,0,427,0,2,429,0
236,37,96,140,2,0,156,1,0,2,0,2,1,1,1,0,1,0,440,0,2,442,0
237,48,104,68,0,0,157,0,0,1,0,1,0,0,0,1,0,1,381,0,5,386,0
238,43,89,73,2,1,176,0,0,1,0,1,0,0,0,0,0,2,388,0,3,391,0
239,42,110,148,1,1,176,12,0,0,0,2,1,0,1,0,0,0,494,0,3,497,0
240,91,157,184,2,0,231,2,0,1,1,1,0,0,5,1,2,1,679,0,6,685,0
241,72,175,84,1,0,209,1,0,0,0,0,0,0,0,1,0,0,543,0,3,546,0
242,42,124,212,1,1,183,1,1,0,0,1,1,0,1,1,0,0,569,0,1,570,0
243,66,181,75,2,1,148,9,0,0,0,1,1,0,0,1,1,1,487,0,6,493,0
244,60,142,91,0,0,189,0,1,0,0,4,0,1,0,0,0,0,488,0,2,490,0
245,51,95,129,2,1,292,0,0,3,0,2,3,3,2,1,1,0,585,0,0,585,0
246,48,174,125,1,0,136,9,0,0,0,1,0,0,2,2,1,1,500,0,6,506,0
247,18,72,63,1,0,100,0,0,0,0,0,0,0,0,0,2,0,256,0,4,260,0
248,61,165,140,2,0,207,0,0,1,1,5,0,1,1,0,1,1,586,0,5,591,0
249,43,211,131,1,1,171,1,0,1,0,2,0,0,0,0,1,0,563,0,2,565,0
250,13,51,48,0,0,31,0,0,0,0,0,0,0,0,0,0,0,143,0,1,144,0
251,33,179,101,1,1,142,3,0,1,1,2,0,0,0,1,0,0,465,0,2,467,0
252,21,144,114,0,1,100,1,0,0,0,0,0,1,0,0,0,0,382,0,2,384,0
253,47,164,146,3,1,158,8,4,0,0,0,0,0,1,1,0,0,533,0,7,540,0
254,44,232,223,3,1,196,4,0,0,0,0,1,0,0,0,0,3,707,0,3,710,0
255,60,147,144,1,2,161,1,1,0,1,2,2,1,3,0,0,0,526,0,4,530,0
256,50,105,147,2,3,176,4,1,0,0,2,0,0,0,0,1,0,491,0,0,491,0
257,42,125,136,0,0,152,6,0,0,0,2,0,1,0,0,0,1,465,0,2,467,0
258,20,92,136,1,0,187,3,0,0,0,2,0,1,3,0,1,0,446,0,3,449,0
259,28,160,190,1,0,197,14,1,0,0,1,0,1,1,0,0,0,594,0,0,594,0
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,15,105,115,0,1,133,5,0,0,0,2,0,0,0,0,0,0,376,0,2,378,0
262,84,212,122,0,1,244,4,0,0,0,0,0,0,0,0,3,1,671,0,1,672,0
263,25,71,112,2,1,209,0,0,1,0,0,0,0,1,1,0,0,423,0,2,425,0
264,33,174,130,0,1,163,5,0,0,0,0,0,0,0,1,1,0,508,0,6,514,0
265,42,185,125,1,0,127,4,0,1,0,1,0,1,0,0,0,0,487,0,3,490,0
266,31,130,136,1,1,117,2,0,0,0,0,0,0,0,1,1,1,421,0,7,428,0
267,56,166,163,0,0,224,4,0,0,0,1,1,0,0,0,0,0,615,0,7,622,0
268,17,55,67,0,0,101,0,1,1,0,0,0,1,1,0,0,0,244,0,2,246,0
269,28,161,153,0,2,169,7,0,0,1,0,1,1,3,0,1,0,527,0,1,528,0
270,60,165,215,3,2,347,1,1,1,1,3,1,1,3,0,4,2,810,0,4,814,0
271,19,62,90,0,0,149,1,0,0,0,2,0,1,1,0,1,0,326,0,0,326,0
272,65,142,130,1,1,215,5,1,0,1,0,0,0,0,0,1,0,562,0,5,567,0
273,54,125,302,2,0,261,10,0,0,0,4,0,1,3,3,0,0,765,0,4,769,0
274,46,71,149,0,0,146,0,1,1,1,2,0,1,0,0,0,0,418,0,2,420,0
275,52,220,138,2,1,344,26,2,0,0,5,1,2,0,2,0,0,795,0,2,797,0
276,62,131,179,2,1,217,3,0,1,1,5,0,2,0,1,1,2,608,0,9,617,0
277,48,169,195,2,2,210,1,0,1,0,2,1,0,0,0,4,0,635,0,6,641,0
278,46,131,147,2,1,197,1,0,0,1,1,2,0,0,1,0,1,531,0,8,539,0
279,16,101,159,1,2,132,0,0,0,1,1,1,0,0,1,0,0,415,0,5,420,0
280,29,102,143,0,0,113,5,1,0,0,1,0,0,1,2,2,1,400,0,2,402,0
281,32,182,58,1,0,169,5,0,0,0,0,1,3,1,2,1,0,455,0,3,458,0
282,30,198,101,0,1,136,3,0,0,0,0,1,0,1,0,0,0,471,0,1,472,0
283,29,148,93,1,1,115,3,0,0,0,0,0,1,3,1,1,0,396,0,1,397,0
284,23,117,163,4,2,122,1,0,1,1,2,0,0,0,0,0,0,436,0,2,438,0
285,41,192,85,1,0,151,1,0,0,0,0,1,0,1,0,0,1,474,0,2,476,0
286,30,149,138,0,1,121,1,0,1,1,0,0,0,0,1,0,1,444,0,0,444,0
287,32,88,160,3,1,237,0,1,1,0,1,1,3,2,2,1,0,533,0,2,535,0
288,36,84,83,1,0,176,1,0,0,0,1,1,1,0,1,2,1,388,0,4,392,0
289,26,200,49,1,0,126,0,0,0,0,0,0,0,0,0,1,0,403,0,0,403,0
290,42,105,127,1,1,139,1,1,2,0,2,0,1,4,0,1,3,430,0,2,432,0
291,31,160,110,0,0,145,1,0,0,0,0,0,0,0,1,0,0,448,0,0,448,0
292,25,106,88,0,1,100,1,0,2,0,1,1,1,1,1,0,0,328,0,3,331,0
293,57,98,174,3,1,161,1,1,0,1,0,0,2,0,2,1,1,503,0,2,505,0
294,39,251,108,1,0,121,0,0,1,0,2,0,0,0,0,0,0,523,0,7,530,0
295,28,72,134,2,0,132,2,0,0,0,2,3,1,3,0,0,2,381,0,1,382,0
