Polling Station No,E.KRITHIKA,S.SUDHARSANAM,MADHAVARAM V.MOORTHY,N.JANAKIRAMAN,R.KARTHIKEYAN,I.RAFFIK,M.L.VIJAYPRABHU,S.SIVAKUMAR,SUDARSANAM,A.NAGARAJAN,R.S.BALAJI,G.PRABU,A.PONNALAGAN,C.MOORTHY,V.MURTHY,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,7,152,165,0,0,1,255,0,0,0,0,0,0,0,1,581,0,1,582,0
2,26,139,145,1,0,1,246,0,1,0,0,0,0,1,0,560,0,0,560,0
3,17,153,271,1,1,5,282,0,0,1,0,0,0,0,0,731,0,1,732,0
4,20,217,221,1,1,0,161,0,0,2,0,0,0,0,0,623,0,0,623,0
5,22,147,119,1,1,1,279,0,1,0,0,0,0,0,0,571,0,1,572,0
6,18,179,102,1,0,3,344,1,0,0,0,0,0,0,1,649,0,1,650,0
7,14,201,132,1,0,3,416,1,1,1,0,1,0,0,1,772,0,1,773,0
8,11,149,169,0,0,0,370,2,1,0,0,0,2,0,1,705,0,2,707,0
9,15,160,82,1,0,1,323,0,1,0,0,0,1,0,1,585,0,2,587,0
10,37,154,99,1,1,1,324,1,0,1,0,1,0,0,0,620,0,0,620,0
11,23,213,93,0,1,3,371,0,0,0,0,0,0,1,0,705,0,3,708,0
12,38,167,110,1,1,3,465,0,1,0,0,0,0,0,2,788,0,5,793,0
13,32,193,111,0,0,1,448,0,0,1,0,0,0,0,0,786,0,0,786,0
14,28,170,125,2,0,3,452,0,0,0,0,1,0,0,0,781,0,2,783,0
15,22,164,86,2,1,2,237,0,0,1,1,0,0,0,2,518,0,1,519,0
16,52,186,118,1,4,0,427,0,0,1,0,0,0,0,0,789,0,1,790,0
17,32,185,164,3,1,0,402,0,0,0,0,0,0,1,0,788,0,7,795,0
18,26,150,90,0,1,4,320,0,0,0,0,0,0,0,0,591,0,3,594,0
19,29,119,83,0,5,1,342,0,1,0,1,0,1,1,0,583,0,5,588,0
20,25,87,91,1,0,0,289,0,0,2,0,0,0,0,1,496,0,3,499,0
21,19,114,111,0,1,2,380,0,0,0,0,0,0,0,0,627,0,4,631,0
22,31,186,79,1,1,2,349,0,0,0,0,0,1,0,0,650,0,4,654,0
23,34,139,115,0,0,3,445,0,0,0,0,0,0,0,0,736,0,4,740,0
24,44,191,94,0,3,1,478,0,0,0,0,2,1,0,0,814,0,0,814,0
25,27,185,160,1,2,4,434,0,0,1,0,1,0,0,1,816,0,2,818,0
26,25,156,132,2,0,0,363,0,0,1,0,0,0,0,0,679,0,3,682,0
27,22,119,108,0,1,1,264,0,1,0,0,0,0,0,0,516,0,2,518,0
28,33,112,110,1,7,1,298,0,0,1,0,0,0,0,0,563,0,3,566,0
29,20,119,71,0,0,0,212,0,0,0,0,0,0,0,1,423,0,5,428,0
30,18,135,59,0,0,0,197,0,0,0,0,0,0,0,0,409,0,1,410,0
31,24,203,106,2,0,1,370,0,1,0,0,0,0,0,1,708,0,5,713,0
32,34,246,113,1,1,2,441,0,1,0,0,0,0,1,0,840,0,4,844,0
33,27,231,92,1,0,0,305,0,0,0,0,0,0,0,0,656,0,3,659,0
34,34,226,150,1,2,1,337,5,0,0,0,0,0,0,0,756,0,4,760,0
35,19,162,123,0,1,1,325,0,0,1,0,0,0,0,0,632,0,0,632,0
36,14,158,105,0,1,2,263,1,0,0,0,0,0,0,0,544,0,2,546,0
37,31,250,150,0,3,2,393,0,0,0,0,1,1,0,0,831,0,3,834,0
38,22,273,168,0,0,1,368,0,1,0,0,1,0,0,0,834,0,1,835,0
39,28,177,218,1,0,0,365,0,0,1,0,0,0,0,1,791,0,4,795,0
40,22,233,195,0,1,2,399,0,0,1,0,0,0,1,0,854,0,0,854,0
41,16,199,237,3,1,2,325,1,0,1,2,0,0,1,0,788,0,2,790,0
42,26,263,301,1,1,1,395,0,2,1,0,0,0,3,0,994,0,6,1000,0
43,46,222,187,1,0,0,349,0,1,0,0,0,0,0,0,806,0,4,810,0
44,36,310,157,0,0,0,375,2,0,0,2,0,0,0,0,882,0,4,886,0
45,28,214,227,2,0,2,323,0,1,0,0,0,0,1,0,798,0,3,801,0
46,27,169,239,0,0,3,260,0,0,0,0,1,0,2,0,701,0,3,704,0
47,32,121,198,1,0,1,306,1,0,0,0,0,0,0,0,660,0,1,661,0
48,34,185,161,1,0,0,357,0,0,0,1,1,1,0,0,741,0,3,744,0
