Polling Station No,PAUL MANOJ PANDIAN,R PAULRAJ,K R P PRABAKARAN,A UDHAYAKUMAR,A SUBASH CHANDRA BOSE,MADASAMY,VIBIN CHAKKARAVARTHY,U ARAVIND,K ARUNKUMAR,R KOTHERIMOHIDEEN,T MARIKUMAR,JEYANTHI,W JAYSON,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,157,14,282,2,0,28,202,1,0,0,0,1,0,687,0,3,690,0
2,160,36,227,0,0,12,179,0,0,0,0,1,0,615,0,3,618,0
3,95,26,134,30,2,4,151,0,0,0,0,0,0,442,0,0,442,0
4,75,3,73,2,0,1,55,0,1,0,2,2,1,215,0,2,217,0
5,301,46,205,97,3,0,152,0,0,1,4,2,1,812,0,2,814,0
6,142,46,223,0,0,11,113,1,0,0,1,2,0,539,0,2,541,0
7,248,111,340,1,2,11,191,1,0,1,0,0,0,906,0,2,908,0
8,144,44,229,0,0,1,195,1,0,0,0,3,1,618,0,2,620,0
9,106,38,293,0,0,0,174,0,0,0,0,0,0,611,0,1,612,0
10,204,57,301,2,1,1,282,0,1,2,0,0,1,852,0,4,856,0
11,129,76,191,0,0,0,95,0,0,0,0,0,2,493,0,5,498,0
12,101,100,218,0,0,2,123,0,0,0,2,0,0,546,0,2,548,0
13,106,55,274,1,0,0,171,0,2,0,1,2,1,613,0,2,615,0
14,138,106,278,2,1,2,145,0,0,0,0,0,0,672,0,2,674,0
15,159,81,255,3,0,0,105,0,1,0,1,0,1,606,0,0,606,0
16,146,88,270,1,0,1,130,0,0,0,1,0,0,637,0,1,638,0
17,133,83,335,0,1,1,149,1,0,0,2,1,1,707,0,0,707,0
18,191,104,348,2,1,1,184,1,0,1,0,3,1,837,0,1,838,0
19,268,71,130,0,0,1,132,0,0,1,0,0,3,606,0,5,611,0
20,307,103,210,1,1,1,170,1,0,0,1,2,0,797,0,1,798,0
21,175,150,304,2,0,0,176,0,0,0,1,5,0,813,0,5,818,0
22,136,186,261,0,1,1,167,1,0,3,1,4,3,764,0,2,766,0
23,336,123,188,0,1,3,211,1,0,0,0,3,0,866,0,3,869,0
24,265,57,195,1,0,27,102,1,0,0,1,1,2,652,0,6,658,0
25,275,30,147,1,0,49,97,1,0,0,1,1,0,602,0,1,603,0
26,258,66,216,0,1,8,124,0,0,1,1,2,0,677,0,1,678,0
27,216,119,237,2,1,6,178,0,0,0,0,2,1,762,0,7,769,0
28,265,132,321,3,0,0,251,1,0,2,0,2,0,977,0,2,979,0
29,213,102,229,3,0,0,129,0,0,0,0,1,2,679,0,2,681,0
30,196,107,200,1,0,3,162,2,0,0,1,0,0,672,0,4,676,0
31,188,35,224,1,0,0,157,0,0,0,1,0,0,606,0,5,611,0
32,187,84,259,1,0,2,145,0,0,1,0,0,1,680,0,0,680,0
33,146,43,147,0,0,1,128,0,0,2,0,0,0,467,0,1,468,0
34,289,145,192,1,0,0,236,0,0,0,0,0,0,863,0,3,866,0
35,250,119,202,2,0,1,268,0,0,3,0,3,1,849,0,1,850,0
36,202,109,236,0,1,2,212,1,0,0,0,4,0,767,0,2,769,0
37,193,144,207,0,0,2,223,0,0,0,2,4,2,777,0,4,781,0
38,190,111,190,1,2,1,180,0,0,0,0,0,1,676,0,2,678,0
39,130,75,192,1,1,0,172,2,0,1,0,2,0,576,0,4,580,0
40,288,115,270,0,1,0,218,0,0,0,0,3,1,896,0,2,898,0
41,274,128,245,2,0,1,174,0,0,1,0,1,9,835,0,2,837,0
42,195,88,124,0,0,0,140,0,0,0,0,1,0,548,0,1,549,0
43,218,86,138,2,0,2,105,0,0,1,0,0,0,552,0,4,556,0
44,295,115,175,0,1,3,224,0,1,0,0,1,0,815,0,5,820,0
45,267,134,265,1,0,0,163,0,0,1,2,1,0,834,0,0,834,0
46,283,101,335,1,1,0,241,1,1,1,0,2,1,968,0,8,976,0
47,308,20,36,0,0,0,92,0,0,0,0,1,0,457,0,0,457,0
48,282,188,260,2,0,2,266,1,0,0,1,3,0,1005,0,5,1010,0
49,155,34,184,14,1,37,155,0,0,0,0,0,1,581,0,3,584,0
50,218,34,222,3,0,104,156,1,2,0,1,1,1,743,0,2,745,0
51,296,33,185,3,0,44,179,2,0,1,0,2,0,745,0,4,749,0
52,223,84,240,1,0,0,124,0,0,0,0,5,1,678,0,2,680,0
53,193,46,148,0,0,0,136,0,0,0,0,0,1,524,0,2,526,0
54,272,122,284,3,0,0,181,1,1,0,0,3,1,868,0,0,868,0
55,278,98,385,1,0,1,216,0,2,0,3,3,0,987,0,3,990,0
56,385,90,208,11,1,37,151,2,1,2,0,5,2,895,0,9,904,0
57,281,25,123,50,0,12,144,0,0,0,2,2,2,641,0,4,645,0
58,251,115,179,0,1,3,218,1,0,1,0,0,3,772,0,0,772,0
59,172,82,170,1,1,5,173,0,0,0,0,2,1,607,0,1,608,0
60,225,140,231,6,0,4,337,0,1,3,0,3,0,950,0,2,952,0
61,272,140,210,2,1,3,374,1,0,0,0,1,3,1007,0,2,1009,0
62,322,119,233,2,0,0,346,1,0,1,2,1,0,1027,0,6,1033,0
63,152,92,232,0,0,0,182,0,1,0,0,1,0,660,0,2,662,0
64,246,75,188,2,1,2,400,1,0,1,1,1,0,918,0,3,921,0
65,174,131,254,1,1,3,337,1,0,0,0,3,0,905,0,6,911,0
66,197,89,192,6,1,5,310,0,1,0,0,2,1,804,0,4,808,0
67,187,97,169,1,0,2,266,1,1,2,1,0,2,729,0,2,731,0
68,109,64,121,0,1,0,169,0,0,0,0,2,0,466,0,1,467,0
69,127,53,88,0,0,1,227,0,1,0,0,0,0,497,0,3,500,0
70,222,78,156,0,0,3,359,1,0,0,1,2,0,822,0,5,827,0
71,145,61,104,0,0,1,217,0,1,1,0,1,1,532,0,2,534,0
72,182,73,115,1,1,3,241,1,0,0,0,2,0,619,0,5,624,0
73,114,74,122,0,0,1,221,1,0,0,0,0,1,534,0,6,540,0
74,181,97,261,1,0,0,298,1,0,1,1,0,1,842,0,5,847,0
75,238,125,123,3,0,9,338,1,0,0,1,0,1,839,0,1,840,0
76,173,105,118,1,0,4,294,0,0,0,0,0,0,695,0,2,697,0
77,254,79,137,1,1,3,221,1,1,0,2,0,0,700,0,5,705,0
78,227,90,167,0,0,3,213,0,0,0,0,2,0,702,0,5,707,0
79,159,120,190,1,0,2,232,0,1,0,0,2,1,708,0,5,713,0
80,146,130,270,1,0,0,219,2,1,0,0,0,0,769,0,1,770,0
81,176,91,85,3,0,1,114,0,0,0,0,0,1,471,0,1,472,0
82,118,49,70,1,0,0,122,1,0,0,0,4,0,365,0,8,373,0
83,134,68,157,2,0,32,130,2,0,1,1,2,0,529,0,2,531,0
84,97,41,70,59,0,9,84,0,1,0,1,2,0,364,0,2,366,0
85,163,66,158,175,2,4,165,0,0,1,0,3,2,739,0,5,744,0
86,193,64,140,0,0,1,166,1,0,0,1,0,0,566,0,1,567,0
87,226,144,197,3,0,2,247,1,0,0,1,1,0,822,0,3,825,0
88,120,61,133,2,0,0,145,0,0,1,0,4,1,467,0,4,471,0
89,229,118,195,0,1,1,282,1,0,0,0,0,1,828,0,3,831,0
90,109,41,124,1,1,1,146,1,0,0,1,1,0,426,0,5,431,0
91,113,22,66,1,0,131,102,3,1,0,0,3,1,443,0,1,444,0
92,153,12,123,2,2,152,86,4,6,2,1,2,0,545,0,3,548,0
93,255,100,213,37,2,8,271,2,1,1,2,5,1,898,0,7,905,0
94,99,119,245,0,1,25,244,0,0,0,0,2,3,738,0,2,740,0
95,344,77,152,26,4,39,202,1,1,1,1,2,1,851,0,5,856,0
96,54,42,68,0,2,6,73,2,1,0,1,1,0,250,0,1,251,0
97,96,57,126,0,1,13,115,1,0,0,2,0,3,414,0,2,416,0
98,181,93,151,1,0,9,190,0,2,0,2,2,2,633,0,4,637,0
99,125,57,142,1,1,29,125,1,1,3,4,1,0,490,0,8,498,0
100,151,26,104,7,0,1,115,2,0,1,1,0,0,408,0,3,411,0
101,152,39,277,4,0,34,71,2,1,0,0,6,2,588,0,4,592,0
102,174,86,255,8,1,55,158,0,0,2,1,4,1,745,0,5,750,0
103,161,53,118,2,0,30,115,2,0,0,1,1,0,483,0,4,487,0
104,189,38,164,3,3,41,173,3,1,1,1,3,3,623,0,12,635,0
105,187,158,229,3,0,2,163,0,0,0,1,3,2,748,0,5,753,0
106,292,209,217,1,0,1,246,1,0,1,0,3,2,973,0,7,980,0
107,110,52,190,1,0,0,109,1,0,0,1,1,0,465,0,2,467,0
108,177,85,189,3,2,6,148,0,0,1,2,3,1,617,0,7,624,0
109,157,97,192,7,0,6,188,0,2,0,0,3,1,653,0,2,655,0
110,145,91,217,3,1,27,153,1,1,2,0,5,1,647,0,0,647,0
111,169,65,211,7,0,0,199,1,0,0,1,2,0,655,0,4,659,0
112,252,44,113,6,0,2,240,1,0,0,1,1,1,661,0,4,665,0
113,165,13,82,8,0,20,114,0,0,0,1,0,0,403,0,1,404,0
114,139,12,191,49,2,127,89,4,4,0,2,1,1,621,0,5,626,0
115,122,34,138,13,0,17,118,0,0,0,1,2,1,446,0,1,447,0
116,113,29,133,1,1,34,205,2,1,0,0,1,1,521,0,2,523,0
117,113,21,26,1,0,3,124,0,0,0,1,0,0,289,0,1,290,0
118,228,124,92,7,1,2,319,2,1,0,1,1,0,778,0,3,781,0
119,126,81,128,2,0,1,137,0,0,1,0,0,0,476,0,1,477,0
120,100,47,77,2,0,1,75,0,0,0,0,0,0,302,0,0,302,0
121,55,18,67,0,0,0,60,1,0,0,0,1,0,202,0,0,202,0
122,107,41,168,0,1,2,201,1,0,1,0,0,1,523,0,6,529,0
123,126,46,211,2,0,2,220,0,1,0,0,1,1,610,0,3,613,0
124,291,86,130,13,1,0,183,0,1,0,0,1,0,706,0,0,706,0
125,186,96,237,4,1,3,205,0,0,0,0,3,1,736,0,3,739,0
126,142,60,155,0,0,1,165,0,0,0,0,3,0,526,0,2,528,0
127,166,95,280,0,0,1,291,0,0,0,1,0,0,834,0,5,839,0
128,290,66,131,0,2,0,251,1,0,0,0,0,1,742,0,4,746,0
129,84,35,87,0,1,0,95,0,0,1,0,1,0,304,0,1,305,0
130,176,109,251,2,0,2,224,0,1,5,0,1,0,771,0,3,774,0
131,159,137,221,1,0,0,216,1,0,0,1,0,1,737,0,4,741,0
132,134,127,169,1,1,0,205,0,0,5,0,1,1,644,0,1,645,0
133,86,53,87,0,1,48,121,2,1,1,1,0,1,402,0,3,405,0
134,125,47,180,1,1,76,102,0,0,1,0,1,1,535,0,5,540,0
135,151,119,211,0,0,4,201,2,0,0,1,2,2,693,0,5,698,0
136,223,80,316,1,1,1,307,0,1,0,0,1,0,931,0,1,932,0
137,206,34,365,3,0,0,228,1,0,1,2,3,1,844,0,5,849,0
138,28,34,58,0,1,15,59,0,0,0,0,0,0,195,0,0,195,0
139,349,152,143,3,0,3,258,0,0,0,0,1,1,910,0,6,916,0
140,298,71,145,3,0,1,252,0,0,0,0,0,1,771,0,3,774,0
141,159,110,217,0,1,4,209,0,0,0,0,4,2,706,0,5,711,0
142,224,134,223,1,0,4,227,1,1,0,0,3,1,819,0,7,826,0
143,168,197,196,5,1,1,265,1,1,0,0,3,0,838,0,1,839,0
144,225,183,202,2,0,0,272,3,0,0,0,1,1,889,0,6,895,0
145,156,116,87,0,1,2,141,1,1,0,0,0,0,505,0,2,507,0
146,411,91,169,2,0,0,235,0,0,1,0,0,1,910,0,4,914,0
147,221,71,111,3,0,1,202,1,0,1,0,2,0,613,0,2,615,0
148,104,91,160,0,0,2,220,0,0,1,1,1,0,580,0,0,580,0
149,140,36,200,3,1,2,86,2,0,0,1,1,0,472,0,3,475,0
150,202,93,268,0,2,2,230,0,0,0,0,1,1,799,0,6,805,0
151,160,74,221,1,1,2,147,0,0,0,1,0,0,607,0,2,609,0
152,232,25,264,1,0,0,66,0,0,0,0,1,0,589,0,5,594,0
153,198,74,178,1,1,4,117,2,0,0,0,0,0,575,0,0,575,0
154,315,115,241,1,2,0,128,0,0,0,0,1,0,803,0,3,806,0
155,225,142,256,1,1,2,220,0,1,0,0,0,0,848,0,3,851,0
156,221,98,193,1,0,0,490,1,1,0,1,1,1,1008,0,3,1011,0
157,152,102,220,0,0,1,142,0,1,0,0,0,0,618,0,1,619,0
158,178,80,207,2,0,4,183,0,0,1,0,0,0,655,0,2,657,0
159,204,74,214,1,0,2,170,0,1,0,1,2,0,669,0,0,669,0
160,158,58,109,0,0,0,117,0,0,0,0,1,0,443,0,4,447,0
161,356,115,152,3,0,0,221,1,0,0,0,3,0,851,0,3,854,0
162,175,156,199,1,1,1,213,0,0,1,0,1,1,749,0,4,753,0
163,218,83,210,3,0,1,187,1,0,0,0,0,0,703,0,1,704,0
164,136,117,130,1,0,53,127,0,1,0,0,0,3,568,0,0,568,0
165,218,85,139,2,0,1,120,0,0,0,0,1,0,566,0,4,570,0
166,96,39,119,23,1,2,163,0,1,1,1,1,0,447,0,1,448,0
167,157,27,197,3,2,29,95,2,0,0,0,1,0,513,0,2,515,0
168,141,56,139,1,0,0,126,0,1,0,0,3,1,468,0,0,468,0
169,220,90,351,2,0,2,212,1,0,0,0,0,0,878,0,1,879,0
170,107,21,98,0,0,0,77,0,0,0,0,0,0,303,0,2,305,0
171,157,15,129,1,0,1,85,0,0,0,0,1,0,389,0,0,389,0
172,246,99,377,2,0,1,222,0,0,0,0,2,0,949,0,1,950,0
173,201,28,201,3,0,0,223,1,0,0,1,1,1,660,0,1,661,0
174,128,21,161,4,0,1,236,0,0,0,2,1,0,554,0,1,555,0
175,109,51,196,1,1,0,135,1,0,0,0,0,1,495,0,0,495,0
176,159,38,137,1,0,0,85,0,0,0,1,1,0,422,0,3,425,0
177,146,35,224,0,0,2,120,0,0,0,0,0,0,527,0,1,528,0
178,94,52,122,0,0,0,99,0,1,1,0,1,2,372,0,4,376,0
