Polling Station No,RAAMA SREENIVASAN,B.M.SUMATHY,M.BOOMINATHAN,S.IRUTHYARAJ,M.M.GOPISON,K.JEYA,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
38,124,42,213,1,319,1,700,0,5,705,0
39,187,37,169,3,296,0,692,0,6,698,0
40,136,24,194,0,293,1,648,0,5,653,0
41,125,34,107,1,267,2,536,0,7,543,0
42,163,29,111,0,237,2,542,0,2,544,0
43,95,20,270,3,225,2,615,0,1,616,0
44,126,23,249,3,290,1,692,0,4,696,0
45,103,18,109,0,201,1,432,0,2,434,0
46,97,17,105,1,169,0,389,0,1,390,0
47,169,29,119,3,357,2,679,0,2,681,0
48,153,21,136,3,305,1,619,0,2,621,0
49,176,13,142,3,200,3,537,0,0,537,0
50,214,17,90,0,301,1,623,0,3,626,0
51,122,29,231,4,349,3,738,0,7,745,0
52,272,24,84,2,283,1,666,0,5,671,0
53,43,7,254,1,131,0,436,0,2,438,0
54,16,13,541,0,155,0,725,0,1,726,0
55,16,10,481,0,202,0,709,0,3,712,0
56,111,13,271,2,319,2,718,0,3,721,0
57,119,15,188,1,207,1,531,0,0,531,0
58,195,22,165,2,308,1,693,0,2,695,0
59,107,15,219,0,254,1,596,0,0,596,0
60,98,3,152,2,130,2,387,0,1,388,0
61,123,33,231,2,363,2,754,0,4,758,0
62,118,20,179,0,258,0,575,0,1,576,0
63,34,9,455,1,140,1,640,0,3,643,0
64,3,8,519,0,150,0,680,0,1,681,0
65,10,4,544,3,159,3,723,0,3,726,0
66,10,10,507,1,198,0,726,0,1,727,0
67,13,16,308,3,108,0,448,0,4,452,0
68,113,24,141,4,235,1,518,0,6,524,0
69,86,23,215,2,190,2,518,0,4,522,0
70,177,28,97,1,227,2,532,0,5,537,0
71,231,19,74,0,227,0,551,0,0,551,0
72,232,27,85,2,253,0,599,0,4,603,0
73,203,22,88,1,241,2,557,0,1,558,0
74,283,28,79,3,309,2,704,0,4,708,0
75,219,16,59,0,228,1,523,0,4,527,0
76,289,20,97,1,249,0,656,0,6,662,0
77,202,22,53,0,186,1,464,0,0,464,0
78,164,16,103,0,200,0,483,0,3,486,0
