Polling Station No,V. SOMASUNDARAM,NITHYA SUGUMAR,VETRISELVI,R.V. RANJITHKUMAR,M. NANDHAKUMAR,V. NARESH,P. VENKATESAN,M. SOMASUNDARAM,V. SOMASUNDARAM,GNANAMOORTHY,C. DILLIBABU,E. DHAKSHNAMOORTHY,G. BABU,M. BALAJI,M. MEGANATHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
171,195,81,7,184,0,0,0,0,0,0,0,0,0,0,0,467,0,1,468,0
172,181,168,13,337,0,0,0,0,0,0,0,0,0,0,0,699,0,4,703,0
173,186,121,19,236,0,2,0,0,0,2,0,0,0,0,1,567,0,4,571,0
174,245,224,13,416,0,0,0,0,0,0,1,0,1,0,1,901,0,1,902,0
175,114,142,14,238,1,1,0,0,0,0,0,0,1,0,0,511,0,0,511,0
176,94,123,15,248,0,0,0,0,0,0,0,0,1,1,0,482,0,0,482,0
177,131,137,29,369,0,0,0,0,1,0,1,1,2,0,0,671,0,3,674,0
178,131,107,18,214,1,0,0,0,0,0,0,0,1,0,0,472,0,0,472,0
179,102,79,17,209,0,0,1,0,1,0,0,0,0,0,0,409,0,2,411,0
180,43,94,12,102,0,0,1,0,0,0,0,0,0,0,0,252,0,2,254,0
181,145,294,18,270,1,0,0,0,0,0,0,1,0,1,0,730,0,1,731,0
182,164,236,15,350,2,0,0,0,0,0,0,1,0,0,0,768,0,2,770,0
183,77,274,10,226,1,0,0,0,0,0,0,1,1,0,0,590,0,1,591,0
184,83,135,12,174,0,0,0,1,0,0,0,0,2,1,0,408,0,1,409,0
185,120,151,14,205,0,0,0,0,0,0,0,0,1,1,0,492,0,2,494,0
186,93,208,6,236,0,0,0,0,0,0,0,1,1,1,0,546,0,1,547,0
187,112,237,14,196,1,0,0,1,0,0,0,0,0,1,0,562,0,4,566,0
188,115,165,19,197,1,0,1,0,0,0,1,0,1,1,1,502,0,1,503,0
189,110,159,20,168,0,0,0,0,0,1,0,0,0,0,0,458,0,5,463,0
190,231,132,14,315,0,0,0,0,0,0,0,0,1,0,1,694,0,5,699,0
191,253,121,10,288,0,0,0,0,0,1,0,2,0,1,0,676,0,0,676,0
192,89,97,18,147,1,1,0,0,0,0,0,0,1,0,2,356,0,3,359,0
193,253,154,14,277,0,1,0,1,0,0,0,1,0,0,1,702,0,3,705,0
194,82,136,11,163,1,0,0,0,0,0,0,0,0,0,0,393,0,6,399,0
195,99,112,17,187,0,0,0,0,0,0,0,1,1,0,0,417,0,3,420,0
196,195,171,23,234,1,0,0,0,0,0,0,0,2,1,1,628,0,3,631,0
197,175,271,22,350,0,1,1,0,0,0,0,0,1,0,1,822,0,6,828,0
198,119,164,24,224,1,0,0,0,0,0,1,2,0,0,1,536,0,6,542,0
199,118,135,17,204,2,0,0,1,0,0,0,0,0,0,0,477,0,3,480,0
200,211,129,31,296,2,0,0,0,0,1,0,0,1,0,0,671,0,12,683,0
201,176,137,21,219,0,0,0,1,0,0,0,0,0,0,1,555,0,7,562,0
202,205,186,15,254,2,2,2,0,1,0,0,0,0,1,2,670,0,2,672,0
203,170,153,11,242,0,0,4,0,0,0,2,0,1,1,0,584,0,3,587,1
204,118,151,9,209,0,0,0,0,0,1,0,1,0,0,0,489,0,3,492,0
205,182,192,19,300,1,0,0,1,0,0,0,0,0,0,1,696,0,5,701,0
206,152,223,20,236,2,1,0,0,0,1,0,0,0,0,2,637,0,4,641,0
207,199,187,30,301,0,0,0,1,0,0,0,0,2,1,1,722,0,1,723,0
208,215,251,27,322,0,1,0,0,1,0,0,0,0,0,0,817,0,5,822,0
209,105,124,9,185,1,1,0,0,0,0,0,0,2,0,1,428,0,1,429,0
210,159,150,17,251,0,0,0,0,1,1,0,0,0,0,0,579,0,7,586,0
211,187,117,11,248,1,2,0,0,0,0,0,0,2,0,0,568,0,3,571,0
212,149,211,22,324,2,1,1,0,1,0,2,0,0,0,0,713,0,1,714,0
213,174,182,29,316,0,0,0,0,0,0,1,0,2,1,2,707,0,1,708,0
214,188,125,21,331,0,2,0,0,0,0,0,3,0,2,0,672,0,1,673,0
215,116,166,8,218,1,0,2,0,0,0,0,0,0,2,0,513,0,2,515,0
216,142,227,23,266,0,0,0,0,1,1,0,1,1,2,0,664,0,3,667,0
217,227,171,14,249,1,0,0,0,0,0,0,0,0,0,1,663,0,6,669,0
218,154,114,17,226,0,1,1,0,0,0,0,1,0,0,1,515,0,5,520,0
219,123,166,16,277,0,0,0,0,0,0,1,0,1,0,0,584,0,4,588,0
220,50,78,12,168,0,0,0,0,0,0,0,0,0,0,0,308,0,1,309,0
