Polling Station No,V. SOMASUNDARAM,NITHYA SUGUMAR,VETRISELVI,R.V. RANJITHKUMAR,M. NANDHAKUMAR,V. NARESH,P. VENKATESAN,M. SOMASUNDARAM,V. SOMASUNDARAM,GNANAMOORTHY,C. DILLIBABU,E. DHAKSHNAMOORTHY,G. BABU,M. BALAJI,M. MEGANATHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
282,238,231,57,403,2,2,0,0,1,0,0,0,8,0,3,945,0,4,949,0
283,205,300,24,370,0,0,1,0,0,0,0,1,5,2,2,910,0,7,917,0
284,533,184,15,228,1,0,0,0,0,0,0,1,1,0,0,963,0,4,967,0
285,249,175,10,255,1,0,2,0,0,0,1,0,3,1,1,698,0,2,700,0
286,172,280,23,332,0,0,0,0,0,0,0,1,2,0,0,810,0,0,810,0
287,185,123,13,99,0,0,0,0,0,0,0,0,0,1,1,422,0,0,422,0
288,203,144,6,132,0,0,0,0,0,0,0,0,1,0,0,486,0,0,486,0
289,495,266,27,225,0,1,0,0,0,0,0,1,0,1,1,1017,0,2,1019,0
290,105,152,18,107,0,0,0,0,0,0,0,0,0,0,1,383,0,0,383,0
291,178,113,7,140,0,0,0,0,0,0,0,0,1,0,2,441,0,0,441,0
292,104,119,13,141,0,0,0,0,0,0,0,0,0,0,0,377,0,4,381,0
293,324,294,22,356,0,0,1,2,0,0,0,0,1,0,0,1000,0,3,1003,0
294,505,121,12,139,0,0,0,0,0,0,0,0,2,0,0,779,0,4,783,0
295,455,197,19,196,1,0,1,0,0,0,0,0,1,2,2,874,0,2,876,0
296,325,95,19,141,0,0,0,0,0,0,0,1,2,1,2,586,0,0,586,0
297,444,127,12,216,2,1,0,0,0,0,1,0,0,0,0,803,0,5,808,0
298,326,204,23,276,0,0,0,0,0,0,0,1,3,0,2,835,0,2,837,0
299,178,229,15,159,1,1,0,0,1,0,0,0,0,0,4,588,0,6,594,0
300,207,135,19,200,0,0,0,0,0,0,0,1,0,0,2,564,0,1,565,0
301,446,243,19,246,0,1,0,0,0,1,0,2,2,0,5,965,0,3,968,0
302,194,128,2,151,0,0,0,0,1,0,0,0,1,0,0,477,0,1,478,0
303,298,252,21,414,1,1,0,0,0,0,0,1,2,1,0,991,0,1,992,0
304,224,182,17,218,1,0,1,0,0,0,0,2,1,1,0,647,0,7,654,0
305,251,77,8,117,0,0,0,0,2,1,0,0,0,1,0,457,0,0,457,0
306,215,201,16,249,2,0,1,1,0,0,0,1,3,0,2,691,0,5,696,0
307,132,199,3,248,1,2,0,0,1,1,0,1,1,1,3,593,0,2,595,0
308,181,240,21,217,0,1,0,0,0,0,0,1,1,0,0,662,0,4,666,0
309,56,145,6,147,0,0,0,1,0,0,0,1,2,0,0,358,0,0,358,0
310,146,166,37,279,0,2,0,0,0,0,0,0,3,0,0,633,0,3,636,0
311,181,183,29,292,0,1,1,0,0,1,0,0,1,0,1,690,0,3,693,0
312,301,311,30,343,1,1,0,0,0,0,0,1,2,1,2,993,0,11,1004,0
313,225,329,31,480,1,0,0,0,0,0,0,0,3,0,2,1071,0,3,1074,1
314,217,250,27,314,0,3,0,1,0,0,0,0,0,0,1,813,0,5,818,0
315,267,166,12,200,0,0,1,0,0,0,0,0,0,0,0,646,0,2,648,0
316,342,221,10,363,0,1,0,1,0,0,0,0,0,0,0,938,0,1,939,0
317,181,156,34,282,0,2,0,0,0,0,0,0,0,1,0,656,0,5,661,0
318,200,222,28,342,1,0,0,0,0,0,1,2,2,1,1,800,0,2,802,0
319,147,161,27,283,1,0,0,0,0,0,0,0,0,1,0,620,0,3,623,0
320,157,173,32,317,0,0,0,0,0,0,0,1,1,0,0,681,0,5,686,1
321,110,108,27,268,0,0,0,0,0,0,0,0,0,0,0,513,0,0,513,0
322,193,215,28,222,0,0,0,0,1,0,0,1,1,1,1,663,0,6,669,0
323,122,115,12,170,0,0,0,1,0,0,0,1,0,1,0,422,0,2,424,0
324,108,343,29,437,0,0,0,0,0,0,0,0,2,0,1,920,0,2,922,0
325,186,257,42,356,4,0,0,0,0,1,0,0,0,0,1,847,0,9,856,0
326,178,197,21,249,0,0,0,0,0,1,0,0,0,0,0,646,0,5,651,0
327,240,226,23,326,1,0,0,0,0,0,0,0,2,2,1,821,0,6,827,0
328,149,185,27,281,0,0,0,1,0,1,0,0,1,0,1,646,0,2,648,0
329,174,204,28,304,1,0,0,0,1,0,0,0,1,1,0,714,0,5,719,0
330,161,164,23,291,1,1,0,0,0,0,0,0,1,0,0,642,0,3,645,0
331,199,191,15,339,0,1,0,0,0,0,0,1,2,1,1,750,0,4,754,0
332,169,155,25,341,1,0,0,2,0,1,0,0,0,1,2,697,0,3,700,0
333,156,175,18,531,2,1,0,1,0,0,0,2,1,0,0,887,0,5,892,0
334,144,168,26,426,0,0,0,0,0,1,0,0,0,0,0,765,0,2,767,0
335,184,215,25,359,1,0,0,0,0,0,0,1,1,0,0,786,0,4,790,0
336,159,217,19,309,1,1,0,0,1,0,0,1,2,0,1,711,0,0,711,0
337,181,163,10,248,0,2,0,0,0,0,0,0,1,0,0,605,0,2,607,0
338,188,225,21,452,3,3,0,0,0,0,0,2,0,0,0,894,0,2,896,0
339,176,237,26,414,0,2,1,0,0,1,0,0,0,1,1,859,0,1,860,0
340,202,201,16,408,1,0,1,1,0,1,0,1,2,0,0,834,0,0,834,0
341,199,157,22,284,1,0,1,0,1,0,0,1,0,0,0,666,0,8,674,0
342,175,161,23,364,0,0,0,0,0,0,0,0,3,0,0,726,0,2,728,0
343,176,189,34,393,1,1,0,1,1,1,0,1,1,0,0,799,0,2,801,0
344,170,149,16,281,1,0,0,0,0,0,0,1,1,0,1,620,0,2,622,0
345,142,199,21,276,0,0,1,1,0,0,0,0,1,0,2,643,0,8,651,0
346,179,245,34,409,0,0,0,1,0,0,0,0,1,1,1,871,0,8,879,0
347,116,111,18,256,1,0,0,0,0,0,0,0,1,0,0,503,0,5,508,0
348,172,213,22,413,1,0,0,0,0,0,1,0,0,0,1,823,0,2,825,0
349,134,135,5,351,0,0,0,0,0,0,0,3,2,1,1,632,0,2,634,0
350,284,159,17,191,0,0,0,0,0,0,1,1,2,0,0,655,0,2,657,0
351,111,149,16,444,1,0,0,0,1,0,0,1,5,0,1,729,0,1,730,0
352,411,177,18,120,0,0,0,0,0,0,0,0,0,1,3,730,0,0,730,0
353,376,141,19,147,1,0,0,0,0,0,0,0,0,0,1,685,0,1,686,0
354,110,265,11,216,0,0,0,0,0,0,0,2,0,0,3,607,0,1,608,0
355,223,220,12,182,1,1,0,0,1,0,0,1,0,0,0,641,0,3,644,0
356,215,102,5,65,1,0,0,0,0,0,0,0,0,0,0,388,0,0,388,0
357,211,166,22,344,1,0,0,0,0,0,0,0,2,0,1,747,0,0,747,0
358,183,233,22,258,1,0,0,0,0,1,0,1,2,0,6,707,0,6,713,0
