Polling Station No,ALAGAAPURAM. R. MOHANRAJ,GUNASEKARAN .R,SURESH KUMAR.R,ARUL RAMADAS,KARTHE.M,PRABU .K,RAJ KUMAR .G,LAKSHMANAN.S,AMIRTHALINGAM.N,ARUL .S,ARUL. T,ARUL.D,ARUL.P,KARTHICK.M,KARTHICK.R,KUMAR.A.P,CHANDRASEKARAN.G,SELVAM.R,DHANAPAL,THIYAGARAJAN.M,BHARATH.S,BHARANITHARAN.D.K,PANNEERSELVAM.P,ER.PRABAKARAN.S,PERUMAL. A,MANOHAR.C,MOHAN RAJ. R,RADHAKRISHNAN. R,VIJAYAKUMAR. S,VELMANIKANDAN. S,SRISABARINATHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
11,227,1,36,31,188,0,4,425,4,0,0,1,2,1,0,2,2,1,0,0,2,0,0,3,0,0,0,0,0,0,2,932,0,6,938,0
12,165,1,24,12,120,0,1,453,1,0,1,0,1,2,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,788,0,2,790,0
13,154,1,21,13,30,0,5,367,0,0,0,3,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,602,0,2,604,0
14,145,2,18,22,91,2,1,377,2,0,0,2,3,0,0,0,1,0,0,1,1,1,0,3,2,0,0,0,0,1,0,675,0,1,676,0
15,189,4,28,14,70,1,0,387,3,0,1,0,2,0,0,5,0,0,0,1,0,1,1,4,0,1,0,0,0,1,3,716,0,0,716,0
16,184,2,22,25,123,1,1,435,0,1,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,1,0,1,0,0,1,805,0,4,809,0
17,183,0,34,32,171,2,3,441,2,0,0,1,1,0,0,1,4,0,0,0,2,0,0,3,3,1,0,2,1,0,3,890,0,3,893,0
18,145,0,34,10,333,1,0,268,1,0,1,0,4,3,1,0,0,0,0,1,2,0,0,5,1,0,0,2,0,0,0,812,0,0,812,0
19,147,0,20,13,214,2,2,442,0,0,0,2,0,0,0,1,1,0,0,1,1,2,0,4,0,0,0,0,0,1,0,853,0,3,856,0
20,76,1,22,97,243,5,2,344,2,1,0,1,2,1,0,3,0,0,0,1,0,0,0,6,1,3,1,1,1,5,2,821,0,7,828,0
21,74,0,15,130,206,3,0,357,1,0,1,3,2,2,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,803,0,2,805,0
22,148,3,24,13,61,1,4,515,3,1,1,4,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,2,0,2,1,789,0,1,790,0
23,114,2,10,14,87,1,2,284,0,1,0,0,0,0,1,2,3,0,0,1,1,0,0,1,0,0,0,1,0,0,1,526,0,2,528,0
24,76,1,3,113,137,1,0,188,0,2,0,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,1,0,1,1,533,0,0,533,0
25,139,4,15,76,143,2,6,442,0,0,0,1,5,1,0,1,4,0,0,1,0,0,0,2,0,2,0,0,1,0,1,846,0,2,848,0
26,110,4,13,146,226,2,2,395,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,1,910,0,2,912,0
27,66,2,17,109,140,0,0,297,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,637,0,4,641,0
28,159,0,57,99,119,1,4,577,2,2,2,2,2,0,1,5,5,1,0,1,4,1,0,4,0,2,0,1,3,0,3,1057,0,2,1059,0
29,74,0,17,74,142,3,3,290,1,0,1,0,0,2,0,0,2,0,1,2,1,0,0,0,0,1,0,0,0,2,2,618,0,2,620,0
30,215,1,36,41,204,4,1,484,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,993,0,5,998,0
31,117,1,23,122,262,0,10,340,0,0,1,0,1,2,1,0,3,2,0,0,0,0,1,3,2,0,1,0,0,1,1,894,0,4,898,0
32,194,1,36,80,314,2,4,432,1,0,0,0,2,0,0,2,0,0,1,2,2,0,1,1,0,0,0,0,0,1,0,1076,0,4,1080,0
33,149,4,27,41,219,0,4,536,4,0,1,2,1,3,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1000,0,3,1003,0
34,124,2,9,44,281,2,3,370,0,0,1,3,0,2,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,1,0,848,0,2,850,0
35,199,2,21,117,276,3,1,375,1,0,2,2,2,1,1,1,2,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1013,0,0,1013,0
36,99,0,28,99,472,4,3,292,2,3,0,2,2,1,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,1,1,1015,0,3,1018,0
37,110,2,12,13,231,1,0,245,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,620,0,3,623,0
38,59,1,14,112,183,4,5,376,2,0,1,5,4,3,1,4,0,0,0,2,1,0,0,5,1,1,0,0,0,1,1,786,0,0,786,0
39,82,0,12,61,511,6,2,350,0,0,0,1,4,0,0,0,0,1,0,1,2,0,1,6,1,0,0,0,0,1,0,1042,0,0,1042,0
40,54,1,11,64,301,2,2,385,3,0,0,2,2,2,0,0,1,0,0,1,1,0,0,5,0,0,0,3,0,1,1,842,0,3,845,0
41,40,0,11,43,175,1,1,155,3,1,0,1,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,1,438,0,0,438,0
42,84,1,12,35,259,3,10,379,0,0,0,1,1,1,1,0,1,0,0,0,2,0,0,5,1,0,0,2,1,2,5,806,0,4,810,0
