Polling Station No,ALAGAAPURAM. R. MOHANRAJ,GUNASEKARAN .R,SURESH KUMAR.R,ARUL RAMADAS,KARTHE.M,PRABU .K,RAJ KUMAR .G,LAKSHMANAN.S,AMIRTHALINGAM.N,ARUL .S,ARUL. T,ARUL.D,ARUL.P,KARTHICK.M,KARTHICK.R,KUMAR.A.P,CHANDRASEKARAN.G,SELVAM.R,DHANAPAL,THIYAGARAJAN.M,BHARATH.S,BHARANITHARAN.D.K,PANNEERSELVAM.P,ER.PRABAKARAN.S,PERUMAL. A,MANOHAR.C,MOHAN RAJ. R,RADHAKRISHNAN. R,VIJAYAKUMAR. S,VELMANIKANDAN. S,SRISABARINATHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
164,110,0,32,32,119,2,1,459,1,0,1,1,1,0,0,2,1,2,1,1,1,1,0,2,2,0,0,0,1,2,4,779,0,3,782,0
165,119,1,25,65,133,0,4,451,1,0,0,0,0,3,2,2,1,0,0,0,4,0,0,3,1,1,0,0,1,5,0,822,0,7,829,0
166,131,0,26,74,112,0,0,227,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,576,0,6,582,0
167,149,1,31,50,129,1,2,292,0,1,0,0,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,663,0,16,679,0
168,120,1,26,64,161,0,3,516,1,1,2,1,3,2,0,1,1,0,0,0,1,0,0,2,1,2,0,0,1,1,1,912,0,2,914,0
169,95,0,15,48,123,0,3,378,1,0,0,0,0,1,0,1,1,0,0,2,2,0,0,1,1,1,2,1,0,2,1,679,0,5,684,0
170,158,0,30,46,106,2,3,452,1,1,0,3,2,0,2,3,1,1,0,1,2,0,1,0,0,1,0,1,0,1,0,818,0,4,822,0
171,101,0,19,24,174,0,0,233,1,0,0,1,0,0,1,1,3,2,0,0,1,0,1,3,0,3,1,0,0,0,1,570,0,6,576,0
172,145,2,20,59,164,1,0,291,1,0,1,0,1,0,0,1,0,1,0,1,1,3,0,2,0,0,0,2,0,1,0,697,0,1,698,0
173,109,2,17,43,92,0,0,306,1,0,0,0,0,1,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,579,0,2,581,0
174,111,0,14,44,144,3,1,324,0,1,0,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,653,0,11,664,0
175,84,0,22,43,153,1,2,190,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,499,0,5,504,0
176,123,0,24,28,117,0,1,338,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,638,0,1,639,0
177,102,1,20,59,136,0,3,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,604,0,4,608,0
178,181,0,26,31,64,0,0,270,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,1,582,0,2,584,0
179,152,3,33,62,105,0,1,332,0,0,0,1,0,1,0,2,3,0,0,0,1,1,0,1,1,0,1,0,1,1,1,703,0,3,706,0
180,100,2,23,98,182,1,2,451,3,0,0,0,2,0,0,2,0,1,0,1,1,1,1,3,1,1,3,0,0,0,2,881,0,3,884,0
181,79,0,28,42,137,3,5,388,0,1,0,2,0,0,1,1,2,0,1,1,0,0,1,4,0,0,0,1,1,1,3,702,0,2,704,0
182,215,3,54,41,134,3,1,409,0,1,0,1,1,3,0,1,6,0,0,0,1,0,0,2,1,0,0,1,0,1,0,879,0,2,881,0
183,92,0,31,54,120,2,1,335,0,0,2,1,2,0,0,1,2,1,0,1,1,0,0,2,0,1,0,1,0,3,0,653,0,4,657,0
184,126,1,39,39,108,0,3,318,0,0,1,0,0,1,1,0,5,0,0,0,1,1,0,1,0,0,3,3,0,0,0,651,0,3,654,0
185,186,1,42,23,204,1,0,312,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,1,1,779,0,6,785,0
186,119,1,18,42,207,1,3,441,1,0,0,2,2,0,0,1,3,2,1,0,1,2,0,0,2,0,1,1,2,0,2,855,0,5,860,0
187,117,2,21,29,118,1,5,358,3,0,1,2,1,3,1,1,2,0,0,0,1,0,0,6,0,3,0,1,0,1,0,677,0,1,678,0
188,134,2,12,72,152,3,3,394,0,0,1,0,0,1,2,0,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,786,0,1,787,0
189,208,3,30,39,135,0,3,433,0,0,0,1,1,2,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,864,0,6,870,0
190,179,2,32,85,148,2,5,518,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,980,0,4,984,0
191,93,2,11,56,97,5,3,369,1,0,0,2,2,0,0,1,0,1,0,1,1,1,0,5,1,1,0,0,0,2,4,659,0,4,663,0
192,ge 2 91,0,14,19,76,1,0,166,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,371,0,3,374,0
193,120,2,12,20,132,1,3,366,1,0,1,1,2,1,0,3,1,1,0,0,2,0,0,0,0,2,0,0,0,0,3,674,0,1,675,0
194,132,2,20,21,197,1,1,337,2,0,0,1,0,0,0,3,4,4,1,0,2,0,0,0,1,0,0,0,0,3,1,733,0,2,735,0
195,141,1,28,21,214,0,2,372,0,0,0,2,1,0,0,1,3,1,0,2,2,0,0,2,0,2,1,0,0,1,5,802,0,4,806,0
196,96,1,26,19,217,1,0,326,1,0,0,0,2,0,1,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,4,700,0,4,704,0
197,128,1,27,22,106,2,1,479,1,0,0,1,0,2,1,1,2,1,1,0,6,0,0,2,1,0,0,1,1,0,2,789,0,2,791,0
198,116,2,34,20,226,1,1,245,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,651,0,16,667,0
199,121,1,38,24,221,2,1,230,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,2,1,1,0,651,0,12,663,0
200,127,2,34,23,130,0,0,239,2,0,0,0,2,3,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,569,0,11,580,0
201,178,1,32,28,152,1,0,302,0,0,2,0,1,0,2,0,2,1,2,0,2,1,1,0,0,2,0,1,0,1,0,712,0,7,719,0
202,126,1,32,10,101,1,2,246,1,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,531,0,1,532,0
203,71,0,12,6,135,2,2,471,2,0,0,2,2,0,3,0,1,1,1,0,3,0,3,3,1,2,0,1,0,0,1,725,0,2,727,0
204,123,0,14,32,105,0,3,192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,476,0,5,481,0
205,126,1,25,40,145,0,0,310,1,0,1,1,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,2,1,2,1,662,0,3,665,0
206,117,0,13,43,148,1,0,250,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,578,0,4,582,0
207,143,0,18,37,122,0,0,371,1,0,0,1,1,0,0,0,2,0,0,2,0,0,0,4,0,0,0,0,1,1,1,705,0,2,707,0
208,143,2,27,17,98,0,1,366,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,659,0,3,662,0
209,112,0,16,87,142,2,2,467,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,836,0,1,837,0
210,139,0,21,63,182,2,1,451,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,2,0,0,1,0,1,871,0,4,875,0
211,115,1,19,48,106,1,5,417,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,1,0,722,0,3,725,0
212,120,0,19,26,101,2,1,364,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,4,0,0,0,0,0,0,0,643,0,2,645,0
213,120,3,24,46,122,2,2,380,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,2,0,1,0,1,0,3,1,713,0,4,717,0
214,323,2,17,28,29,0,0,265,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,672,0,3,675,0
215,457,2,26,53,23,1,2,192,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,764,0,0,764,0
216,332,1,15,54,103,0,0,349,1,1,0,0,3,0,0,1,3,1,0,0,2,2,0,0,0,0,0,0,0,1,0,869,0,6,875,0
217,334,3,33,39,59,0,1,384,1,0,0,0,0,0,0,0,3,2,1,1,1,0,1,2,0,1,0,0,0,2,0,868,0,6,874,0
218,259,0,23,31,101,1,1,269,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,691,0,11,702,0
219,126,0,21,25,152,1,0,267,0,1,0,0,0,1,0,0,1,0,1,2,2,2,0,0,1,1,0,0,0,1,1,606,0,9,615,0
220,149,3,28,78,106,0,4,501,2,1,1,0,2,2,1,0,2,0,0,1,2,0,0,1,2,0,0,1,0,1,2,890,0,3,893,0
221,149,1,24,76,144,2,1,409,0,0,0,0,1,0,0,1,4,0,0,5,7,2,0,5,1,2,2,2,0,1,2,841,0,6,847,0
222,147,2,23,26,82,0,1,372,0,0,1,1,0,0,1,2,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,663,0,1,664,0
223,211,0,38,29,100,1,1,378,0,0,1,2,4,1,0,0,3,1,1,0,1,0,1,2,0,1,0,2,0,0,0,778,0,6,784,0
224,146,2,22,9,70,1,0,342,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,597,0,3,600,0
225,255,1,17,30,70,1,1,441,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,1,1,0,1,1,826,0,2,828,0
226,106,0,11,53,105,0,5,339,1,0,0,2,1,0,1,2,0,0,0,0,2,0,1,2,0,0,0,0,0,2,1,634,0,1,635,0
227,234,1,31,23,65,0,2,566,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,928,0,1,929,0
228,134,3,22,42,120,1,6,368,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,703,0,0,703,0
229,141,2,24,63,133,0,1,415,1,0,1,3,1,1,0,0,3,1,1,2,3,2,0,7,1,0,0,0,3,4,1,814,0,5,819,0
230,100,0,12,27,113,1,1,306,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,3,0,1,1,0,0,1,1,574,0,1,575,0
231,87,2,23,58,118,0,7,527,1,0,0,2,0,1,0,0,6,2,3,2,3,4,0,17,4,3,1,0,3,8,4,886,0,5,891,0
232,105,1,13,39,136,4,3,382,0,1,0,3,2,1,0,1,0,0,0,1,0,0,0,4,2,2,1,0,0,3,2,706,0,0,706,0
233,161,2,24,32,107,1,4,500,0,1,1,0,0,0,0,1,2,0,3,0,0,1,0,1,1,4,0,0,0,0,0,846,0,1,847,0
234,160,2,19,38,122,1,2,469,1,0,1,1,0,2,0,0,3,1,1,0,3,0,0,2,1,1,0,2,0,0,2,834,0,2,836,0
235,137,1,23,43,186,2,2,438,1,1,1,0,1,1,0,2,1,0,0,0,1,1,0,1,0,1,0,0,0,0,2,846,0,1,847,0
236,158,1,21,27,145,1,4,505,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,869,0,2,871,0
237,82,1,27,65,67,2,5,647,2,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,0,2,1,3,1,912,0,0,912,0
238,175,4,54,40,108,1,3,576,3,0,0,1,0,4,1,1,2,1,0,0,3,0,0,3,2,0,0,1,0,0,5,988,0,1,989,0
239,99,3,34,53,91,1,2,344,0,0,2,0,0,0,0,0,3,0,2,0,1,1,0,2,1,0,2,1,0,0,1,643,0,3,646,0
240,89,2,22,57,191,3,3,591,3,0,1,2,0,2,2,0,4,0,0,3,3,0,0,4,1,1,1,1,0,2,1,989,0,4,993,0
241,127,0,15,19,154,1,2,400,2,0,1,0,2,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,2,0,1,733,0,1,734,0
242,87,1,8,50,143,1,8,677,2,0,1,0,2,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,3,990,0,2,992,0
243,161,3,18,31,213,2,2,558,1,0,0,0,2,1,0,0,1,0,0,1,1,0,1,4,0,1,0,0,1,3,2,1007,0,0,1007,0
244,175,1,16,50,157,1,1,511,2,1,0,1,0,2,1,1,0,1,0,0,0,1,0,2,1,1,1,0,0,2,5,934,0,6,940,0
245,133,3,24,30,112,1,1,415,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,2,0,1,0,1,0,2,0,731,0,5,736,0
246,190,1,39,45,178,2,1,499,1,0,0,3,1,0,0,0,1,0,0,0,1,0,2,0,1,2,0,0,0,3,2,972,0,4,976,0
247,119,2,20,30,199,5,8,590,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,982,0,2,984,0
248,129,4,16,31,241,1,5,557,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,2,1,3,0,0,0,2,0,999,0,3,1002,0
249,183,1,17,24,65,1,3,535,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,1,3,1,0,0,0,0,3,843,0,2,845,0
250,98,2,18,33,175,3,2,501,0,0,0,0,1,0,1,2,0,1,0,2,0,0,0,0,1,0,0,2,2,2,1,847,0,1,848,0
251,154,1,11,34,223,5,1,530,2,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,968,0,2,970,0
252,202,0,20,29,51,0,2,478,3,0,1,1,4,0,0,1,2,1,0,1,1,1,1,2,1,1,0,2,0,4,3,812,0,5,817,0
253,145,2,30,12,154,2,4,374,2,1,1,1,2,0,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,2,0,739,0,0,739,0
254,69,0,18,43,107,1,2,433,3,0,0,1,0,1,0,2,1,0,0,1,2,0,0,2,0,0,0,0,0,3,0,689,0,1,690,0
255,75,0,18,84,157,0,1,352,0,0,0,2,0,4,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,699,0,0,699,0
256,102,1,37,23,139,0,0,253,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,559,0,1,560,0
257,168,0,34,27,180,1,4,437,2,0,0,0,0,0,1,0,1,0,2,0,3,0,0,2,0,1,1,0,0,1,3,868,0,3,871,0
258,79,1,14,9,102,0,2,339,3,2,1,0,0,0,0,0,3,1,1,0,2,0,0,1,1,1,0,0,0,2,0,564,0,2,566,0
259,115,1,23,111,226,1,3,488,1,0,0,1,0,1,0,0,0,0,0,1,3,1,0,3,0,0,0,0,0,1,0,980,0,4,984,0
260,64,0,15,45,133,1,0,386,1,0,1,1,2,0,0,0,2,0,0,1,1,1,0,1,2,1,0,0,1,2,1,662,0,2,664,0
261,120,1,17,10,28,1,2,318,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,2,1,2,0,1,0,1,1,511,0,1,512,0
262,112,1,10,7,28,1,2,349,0,0,0,1,2,0,0,2,0,2,0,0,2,0,0,4,0,1,0,0,0,1,2,527,0,1,528,0
263,89,1,16,25,274,3,4,516,1,0,1,2,0,2,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,1,0,941,0,0,941,0
264,130,2,31,30,317,2,2,461,0,0,0,0,3,1,0,2,3,0,0,0,1,0,0,2,1,1,1,0,0,0,0,990,0,1,991,0
265,129,1,25,33,147,1,2,378,2,0,1,0,2,1,0,2,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,730,0,4,734,0
266,129,0,32,19,134,1,0,267,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,0,0,0,0,4,592,0,1,593,0
267,112,4,20,18,100,1,1,321,3,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,1,0,0,0,0,1,2,590,0,2,592,0
268,177,1,21,28,113,0,1,242,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,589,0,7,596,0
269,170,0,12,43,95,0,1,196,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,1,0,525,0,4,529,0
270,123,0,22,31,133,1,1,268,1,0,0,0,1,0,0,1,1,1,1,0,0,0,2,1,1,1,0,0,1,2,1,594,0,0,594,0
271,133,0,22,16,129,0,3,421,1,0,0,0,0,1,0,0,4,0,0,3,2,1,2,10,0,1,0,1,0,7,0,757,0,4,761,0
272,224,0,17,38,87,0,1,253,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,629,0,1,630,0
273,180,4,16,44,161,4,2,366,1,1,0,0,0,0,0,1,3,0,0,0,2,0,0,1,0,0,0,0,3,1,1,791,0,6,797,0
274,150,1,27,42,207,1,1,421,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,857,0,5,862,0
275,110,3,15,39,126,0,1,251,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,550,0,2,552,0
276,171,2,7,61,133,2,2,315,1,0,1,2,1,0,0,2,2,0,0,1,2,0,0,0,2,0,0,1,0,0,0,708,0,2,710,0
277,195,1,17,39,116,5,1,305,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,682,0,3,685,0
278,127,0,19,30,71,0,1,186,2,1,0,0,0,0,0,0,0,0,2,1,2,0,0,2,1,1,1,0,0,2,2,451,0,3,454,0
279,135,2,21,21,155,2,1,440,1,0,0,0,2,0,0,0,3,0,0,1,3,0,1,2,0,0,2,1,0,0,1,794,0,4,798,0
280,146,1,22,20,108,1,1,469,3,0,0,1,0,0,0,1,3,0,0,1,1,0,0,5,0,3,0,0,1,2,3,792,0,3,795,0
281,128,4,31,21,106,1,0,320,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,2,1,0,2,623,0,1,624,0
282,137,1,17,19,112,1,2,361,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,659,0,0,659,0
283,101,0,14,16,112,1,0,345,0,1,0,0,1,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,597,0,1,598,0
284,84,2,19,33,136,3,5,433,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,3,1,0,0,0,0,2,1,727,0,0,727,0
285,138,0,17,11,174,1,4,400,1,0,0,0,0,1,0,1,5,1,0,3,4,2,1,9,1,2,0,1,2,4,4,787,0,2,789,0
286,100,0,12,49,133,3,4,462,3,2,0,0,1,1,0,1,0,0,1,1,5,0,0,0,2,1,0,0,1,1,1,784,0,2,786,0
287,89,0,16,27,178,2,5,385,1,0,0,1,1,0,0,0,1,1,0,1,4,0,0,5,1,1,0,0,0,2,3,724,0,2,726,0
288,ge 3 93,2,28,20,94,2,0,218,0,0,0,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,1,0,2,0,0,467,0,4,471,0
289,95,1,10,16,117,0,0,191,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,437,0,4,441,0
290,150,0,25,24,141,0,2,374,0,1,0,2,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,3,0,729,0,2,731,0
291,116,1,21,24,140,1,0,241,1,0,0,1,2,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,555,0,7,562,0
292,126,3,25,33,122,2,2,418,1,0,0,1,1,0,1,0,1,4,0,1,1,0,0,1,0,0,1,0,0,0,0,744,0,1,745,0
293,91,2,19,19,184,1,2,416,1,0,1,2,2,2,0,2,3,1,0,1,5,1,1,3,1,1,1,1,2,2,2,769,0,1,770,0
294,131,4,31,32,98,0,2,396,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,1,0,0,0,0,2,703,0,4,707,0
295,99,3,18,52,154,0,1,405,0,2,1,4,0,0,0,0,3,3,0,0,12,2,0,6,2,2,1,0,1,5,2,778,0,8,786,0
296,74,1,17,44,132,0,1,381,4,0,2,3,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,665,0,1,666,0
297,128,2,10,35,87,6,4,536,1,1,2,2,2,3,0,1,2,0,0,2,0,0,0,0,1,2,1,0,3,3,2,836,0,9,845,0
298,133,0,21,24,77,1,2,588,0,0,0,1,0,0,2,1,1,1,0,2,2,1,0,9,0,0,1,0,1,0,2,870,0,4,874,0
299,124,0,21,19,163,3,1,359,0,0,0,0,0,0,0,0,6,2,0,1,2,0,0,6,1,0,0,1,0,0,0,709,0,0,709,0
300,139,2,44,29,154,1,2,422,1,1,1,2,1,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,806,0,3,809,0
301,147,1,24,25,144,0,1,344,1,1,0,0,0,3,0,1,0,0,1,3,4,0,0,0,2,0,0,4,0,0,2,708,0,6,714,0
302,135,0,34,20,153,0,0,431,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,2,783,0,4,787,0
303,117,1,25,29,112,1,2,357,0,0,1,0,0,0,1,0,1,0,0,1,2,0,0,1,2,0,0,1,0,1,0,655,0,1,656,0
304,128,3,27,36,156,1,0,387,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,1,0,1,1,1,0,0,3,751,0,2,753,0
305,116,3,9,35,179,2,10,340,2,0,0,0,0,3,1,1,6,4,1,4,3,0,2,4,2,3,0,2,2,5,4,743,0,6,749,0
306,83,3,9,39,109,1,4,391,1,0,0,1,3,1,0,0,2,2,0,1,5,0,0,5,1,2,3,1,1,5,2,675,0,3,678,0
307,113,0,5,13,71,3,6,466,2,0,0,0,1,0,0,1,4,1,0,1,4,1,1,1,2,1,0,0,2,4,1,704,0,2,706,0
308,147,1,18,22,158,1,2,467,0,0,0,0,0,1,0,1,2,0,1,1,3,0,0,8,2,1,0,0,1,4,2,843,0,3,846,0
309,41,0,14,15,106,0,0,369,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,2,0,0,0,2,1,557,0,2,559,0
310,133,1,20,29,92,0,4,392,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,3,0,0,0,1,0,1,0,682,0,1,683,0
