Polling Station No,Candidate_1,AYANIBA.R,NADNANA.M.S.M,NAINAMARBUS.M SAILA IVAR.M,DLONYER SEMAJ.L,YMAWSANHSIRK.T,AMABAYHTAS.V,YHTRUMANIHCTAHD.YP,RAMUKAHDNANA.S,DNANA.K,RAKHSINAG,NANHSIRKALAB.G,YMASAGNAR.M,IVAR.P,YHTROOMUNHSIV.R,YMAWSADAKNEV.K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
254,254,22,79,98,1,1,240,0,0,1,0,0,0,1,0,0,443,0,1,444,0
255,255,24,75,87,1,0,263,2,0,0,0,2,0,0,0,0,454,0,3,457,0
256,256,34,91,131,0,0,252,0,0,0,0,1,0,0,1,0,510,0,2,512,0
257,257,25,106,132,0,1,261,0,0,0,2,0,2,0,0,0,529,0,2,531,0
258,258,12,101,70,1,2,173,1,0,0,0,0,2,0,0,0,362,0,1,363,0
259,259,24,110,100,1,0,210,3,0,1,2,0,2,0,1,0,454,0,1,455,0
260,260,35,193,123,1,0,288,1,1,0,1,0,0,0,0,0,643,0,4,647,0
261,261,45,121,148,0,0,391,0,1,0,0,1,0,1,0,0,708,0,5,713,0
262,262,28,108,153,1,0,284,0,1,0,1,0,1,0,0,0,577,0,3,580,0
263,263,32,96,98,0,0,222,1,0,0,1,0,1,0,0,0,451,0,5,456,0
264,264,31,153,124,0,0,336,1,0,0,0,0,0,0,0,0,645,0,3,648,0
265,265,20,117,100,0,1,164,1,0,0,0,0,0,0,0,0,403,0,1,404,0
266,266,32,162,107,0,1,316,1,0,2,1,1,0,0,0,0,623,0,4,627,0
267,267,16,116,108,2,0,257,1,0,0,0,0,0,1,0,0,501,0,2,503,0
268,268,28,76,94,0,0,224,0,0,1,0,0,0,0,0,3,426,0,2,428,0
269,269,14,133,119,1,0,233,1,0,0,1,0,0,0,0,1,503,0,0,503,0
270,270,18,92,124,0,0,209,1,0,1,1,1,0,1,0,0,448,0,0,448,0
271,271,15,96,110,1,0,289,0,0,0,0,0,0,0,0,1,512,0,1,513,0
272,272,13,75,98,0,1,167,0,0,1,0,0,0,0,0,0,355,0,0,355,0
273,273,21,95,81,0,0,132,1,1,2,0,0,0,0,0,1,334,0,1,335,0
274,274,38,162,140,1,1,392,1,0,1,0,1,0,1,0,0,738,0,1,739,0
275,275,29,110,68,1,2,204,0,1,0,0,1,1,1,0,1,419,0,3,422,0
276,276,17,121,66,2,0,196,0,0,1,0,0,0,0,0,1,404,0,1,405,0
277,277,41,160,126,0,1,286,1,0,1,0,0,0,0,0,0,616,0,6,622,0
278,278,22,123,91,0,0,205,0,0,1,2,0,0,0,0,0,444,0,4,448,0
279,279,42,101,150,1,1,361,1,0,0,0,2,0,1,0,0,660,0,1,661,0
280,280,18,97,103,1,0,234,0,0,0,1,0,0,1,0,0,455,0,1,456,0
281,281,31,155,108,0,0,299,1,0,0,0,1,1,0,0,2,598,0,2,600,0
282,282,41,129,113,0,3,379,0,2,0,0,1,1,0,1,0,670,0,2,672,0
283,283,31,126,89,1,0,355,0,0,1,0,0,1,0,0,0,604,0,2,606,0
284,284,25,109,120,0,2,241,0,0,0,0,3,0,2,0,0,502,0,1,503,0
285,285,19,126,101,0,4,244,1,0,0,0,2,0,3,0,0,500,0,0,500,0
286,286,28,127,119,1,0,259,0,0,0,0,0,0,0,0,0,534,0,2,536,0
287,287,30,124,100,1,2,224,2,0,2,0,1,0,0,1,0,487,0,2,489,0
288,288,22,147,100,0,1,276,0,0,0,3,0,0,0,0,0,549,0,2,551,0
289,289,25,123,117,0,0,266,1,0,1,0,0,0,0,0,1,534,0,5,539,0
290,290,27,119,131,5,1,283,0,0,1,1,0,1,0,0,1,570,0,1,571,1
291,291,25,98,103,0,1,239,0,0,0,0,0,0,0,0,0,466,0,2,468,0
292,292,30,97,62,2,0,266,0,0,0,0,1,2,2,0,0,462,0,3,465,0
293,293,9,63,93,0,1,231,1,0,0,0,0,0,1,0,0,399,0,0,399,0
294,294,52,166,145,1,2,347,0,0,0,2,0,0,0,0,2,717,0,3,720,0
295,295,18,106,76,0,0,173,1,0,0,1,1,0,0,0,0,376,0,0,376,0
296,296,37,168,137,1,1,315,2,0,0,0,1,0,0,0,1,663,0,7,670,0
297,297,33,157,108,1,1,302,0,1,0,4,2,0,1,0,0,610,0,1,611,0
298,298,17,159,115,1,2,220,0,0,0,1,0,0,0,0,0,515,0,3,518,0
299,299,14,95,114,0,0,247,0,0,1,1,0,1,1,0,0,474,0,4,478,0
300,300,19,81,100,1,0,215,0,0,0,0,0,0,0,0,1,417,0,2,419,0
301,301,21,127,111,0,1,224,0,0,0,0,0,0,0,0,0,484,0,1,485,0
302,302,21,107,86,1,0,216,0,0,0,0,1,0,0,1,0,433,0,2,435,0
303,303,21,130,91,0,0,259,1,0,1,0,0,0,0,0,0,503,0,0,503,0
304,304,20,114,80,1,1,212,0,0,1,0,0,0,0,0,0,429,0,0,429,0
