Polling Station No,Candidate_1,AYANIBA.R,NADNANA.M.S.M,NAINAMARBUS.M SAILA IVAR.M,DLONYER SEMAJ.L,YMAWSANHSIRK.T,AMABAYHTAS.V,YHTRUMANIHCTAHD.YP,RAMUKAHDNANA.S,DNANA.K,RAKHSINAG,NANHSIRKALAB.G,YMASAGNAR.M,IVAR.P,YHTROOMUNHSIV.R,YMAWSADAKNEV.K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
50,50,41,193,150,1,1,418,1,0,0,1,1,0,1,0,0,808,0,7,815,0
51,51,54,164,114,2,2,496,0,0,1,0,1,0,2,1,1,838,0,3,841,0
52,52,29,170,130,1,0,377,0,0,0,0,0,1,0,0,0,708,0,1,709,0
53,53,22,159,143,4,1,281,0,1,1,1,0,0,0,3,1,617,0,4,621,0
54,54,40,216,113,0,1,327,0,0,1,0,1,0,0,1,0,700,0,1,701,0
55,55,23,96,116,1,1,362,0,0,1,0,0,0,0,1,1,602,0,1,603,0
56,56,28,70,139,2,1,339,0,0,0,0,0,0,1,0,0,580,0,1,581,0
57,57,29,138,97,3,0,255,0,1,1,0,2,2,1,0,1,530,0,3,533,0
58,58,48,228,132,0,1,375,0,1,0,0,0,2,0,0,0,787,0,3,790,0
59,59,38,305,95,1,3,380,0,0,1,1,1,0,0,0,0,825,0,3,828,1
60,60,37,278,131,1,0,362,0,1,0,0,0,0,0,0,0,810,0,2,812,0
61,61,37,251,127,0,3,406,2,0,1,0,1,0,0,0,1,829,0,4,833,0
62,62,35,325,123,1,0,298,0,0,0,0,0,1,0,0,1,784,0,3,787,0
63,63,39,279,96,2,1,259,1,1,0,0,1,2,0,0,1,682,0,1,683,0
64,64,17,188,112,0,1,289,0,0,0,0,0,1,0,0,0,608,0,1,609,0
65,65,33,237,164,2,0,329,0,0,0,0,0,1,1,0,0,767,0,1,768,0
66,66,35,180,154,3,0,323,0,0,0,0,0,0,0,1,2,698,0,4,702,0
67,67,20,99,81,1,1,321,2,0,1,0,1,1,1,1,0,530,0,1,531,0
68,68,46,97,204,1,1,333,0,0,0,0,0,1,0,0,0,683,0,3,686,0
69,69,38,53,220,1,1,382,1,0,0,0,0,0,2,1,0,699,0,1,700,0
70,70,31,59,212,1,1,307,0,0,1,0,0,1,0,0,0,613,0,4,617,0
71,71,38,171,210,1,4,335,0,1,0,0,1,0,0,1,1,763,0,3,766,0
72,72,50,193,197,2,1,465,1,0,0,1,0,0,1,0,1,912,0,2,914,0
73,73,40,205,158,1,1,496,1,0,2,0,1,0,0,0,1,906,0,2,908,0
74,74,39,108,145,0,1,372,0,0,0,1,1,0,1,1,0,669,0,4,673,0
75,75,23,109,114,0,1,265,0,0,1,0,0,0,0,0,0,513,0,2,515,0
76,76,13,147,120,0,1,348,0,0,0,0,0,1,0,0,1,631,0,2,633,0
77,77,32,150,110,0,2,313,1,0,0,0,0,0,1,0,3,612,0,3,615,0
78,78,22,122,111,1,1,281,0,0,0,0,0,0,0,1,1,540,0,2,542,0
79,79,25,115,122,0,0,270,0,0,0,0,0,0,0,0,0,532,0,1,533,0
80,80,33,143,130,1,1,271,0,0,0,2,1,0,0,2,1,585,0,2,587,0
81,81,36,142,141,0,1,330,0,0,0,2,0,0,0,0,0,652,0,3,655,0
82,82,43,120,105,0,0,257,1,0,0,1,0,1,0,1,0,529,0,1,530,0
83,83,40,163,138,0,0,392,0,0,1,0,1,1,1,0,1,738,0,2,740,0
84,84,45,168,114,2,0,310,0,0,1,0,2,0,0,0,0,642,0,3,645,0
85,85,38,179,100,0,2,281,1,2,1,0,3,0,1,0,0,608,0,2,610,0
86,86,26,80,53,2,3,294,0,0,0,0,0,0,0,0,0,458,0,1,459,0
87,87,41,89,133,1,1,369,0,0,0,0,0,0,0,0,0,634,0,2,636,0
88,88,30,87,117,0,6,435,0,0,2,3,0,0,2,1,0,683,0,1,684,0
89,89,25,67,86,1,6,308,0,0,2,1,2,1,0,1,0,500,0,1,501,0
90,90,39,91,129,2,2,218,0,1,1,1,2,0,0,1,2,489,0,4,493,0
91,91,15,114,116,0,0,148,0,0,0,0,0,0,0,1,0,394,0,2,396,0
92,92,26,118,101,1,0,281,1,1,1,0,0,1,0,1,0,532,0,3,535,0
93,93,37,198,133,0,0,293,2,0,1,0,0,1,1,1,1,668,0,2,670,0
94,94,31,148,88,0,2,298,0,1,1,2,0,0,0,0,0,571,0,3,574,0
95,95,40,144,98,1,1,324,0,0,0,0,0,0,0,1,0,609,0,1,610,0
96,96,25,147,97,0,1,194,0,0,0,0,0,0,0,0,2,466,0,3,469,0
97,97,35,135,126,1,1,224,0,0,0,0,1,0,0,0,1,524,0,2,526,0
98,98,28,173,115,1,1,202,1,1,0,0,1,1,0,2,0,526,0,4,530,0
99,99,25,145,98,0,0,272,1,0,1,0,1,0,0,0,1,544,0,2,546,0
100,100,20,83,59,1,0,161,0,0,0,0,1,0,0,0,0,325,0,1,326,0
101,101,15,76,55,0,0,134,0,0,0,0,1,0,0,0,0,281,0,1,282,0
102,102,27,129,107,0,1,238,0,0,0,0,1,1,0,0,1,505,0,0,505,0
103,103,23,160,89,0,0,261,0,0,0,1,2,0,0,1,0,537,0,2,539,1
104,104,42,104,92,0,1,323,0,0,0,0,0,0,0,0,0,562,0,2,564,0
105,105,34,147,108,0,1,389,0,0,0,0,1,0,1,0,1,682,0,2,684,0
106,106,31,106,92,2,0,246,0,0,1,1,0,1,0,0,1,481,0,0,481,0
107,107,28,137,94,0,0,243,3,0,0,0,2,0,0,0,0,507,0,2,509,0
108,108,30,101,128,0,1,275,1,1,0,1,2,0,1,0,0,541,0,2,543,0
109,109,37,124,95,0,0,402,0,0,2,1,3,0,0,0,0,664,0,1,665,0
110,110,44,153,118,2,0,278,1,0,1,0,0,1,0,1,1,600,0,1,601,0
111,111,22,157,127,4,2,236,1,0,1,0,0,1,0,0,1,552,0,5,557,0
112,112,25,106,131,2,0,264,0,0,1,0,0,0,0,0,0,529,0,1,530,0
113,113,12,75,85,1,1,207,0,0,0,1,1,1,0,0,0,384,0,0,384,0
114,114,26,97,135,3,1,325,0,0,0,1,0,0,0,1,1,590,0,3,593,0
115,115,48,136,101,1,1,420,1,0,0,0,0,0,0,1,0,709,0,2,711,0
116,116,29,147,107,1,0,289,3,2,2,0,1,0,0,1,0,582,0,2,584,0
117,117,18,38,148,1,0,216,1,0,0,0,0,1,0,0,0,423,0,0,423,0
118,118,26,102,80,0,0,278,0,0,0,0,1,1,0,0,1,489,0,2,491,0
119,119,20,94,95,0,0,273,0,0,0,0,0,0,0,1,0,483,0,0,483,0
120,120,22,126,79,1,3,280,0,0,0,0,1,0,0,1,0,513,0,2,515,0
121,121,19,122,159,0,0,287,0,0,0,0,1,0,1,1,0,590,0,4,594,0
122,122,30,174,165,2,1,304,0,0,0,0,1,1,1,0,0,679,0,2,681,0
123,123,20,130,90,1,0,263,1,0,0,1,0,2,1,1,1,511,0,1,512,0
124,124,30,149,123,1,0,407,1,1,0,0,0,0,0,0,0,712,0,1,713,0
125,125,19,126,145,1,0,287,0,0,0,0,1,1,0,0,1,581,0,0,581,0
126,126,38,159,102,0,1,345,1,0,1,0,1,1,0,1,1,651,0,2,653,0
127,127,35,90,114,0,1,337,1,0,1,0,0,0,2,0,2,583,0,2,585,0
128,128,31,91,116,0,1,321,0,1,0,0,1,0,0,1,0,563,0,1,564,0
129,129,26,155,104,0,2,399,0,0,0,0,0,1,0,0,0,687,0,0,687,0
130,130,23,90,110,0,1,225,0,0,0,0,0,0,0,0,0,449,0,0,449,0
131,131,24,140,101,0,0,315,0,0,5,1,0,1,3,2,0,592,0,3,595,0
132,132,24,97,142,1,0,205,1,0,0,0,0,0,1,1,1,473,0,4,477,0
133,133,48,141,149,0,2,386,1,0,0,0,1,3,2,0,1,734,0,4,738,0
134,134,30,131,96,1,0,306,0,0,0,0,0,0,0,0,3,567,0,1,568,0
135,135,29,105,129,0,2,290,0,0,1,0,0,1,0,1,4,562,0,0,562,0
136,136,33,109,105,0,0,349,1,0,0,2,1,0,0,0,2,602,0,1,603,0
137,137,36,161,158,0,1,408,1,0,1,0,0,1,1,0,0,768,0,1,769,0
138,138,22,146,140,0,2,351,0,1,2,0,0,0,0,0,1,665,0,4,669,0
139,139,33,140,140,2,2,341,1,2,1,1,1,2,0,0,1,667,0,3,670,0
140,140,39,112,140,1,0,367,0,1,0,0,0,0,1,0,0,661,0,3,664,0
141,141,28,113,121,1,2,297,0,0,0,0,0,0,0,0,2,564,0,0,564,0
142,142,39,114,97,0,0,374,1,1,0,0,0,1,1,0,1,629,0,1,630,0
143,143,34,201,206,4,0,351,1,0,0,0,0,0,1,1,2,801,0,6,807,1
144,144,47,151,141,1,1,362,1,0,1,0,0,0,1,0,0,706,0,6,712,0
145,145,45,126,144,0,2,423,0,0,0,0,2,0,0,2,0,744,0,1,745,0
146,146,23,193,162,2,1,231,1,0,0,1,2,1,3,1,1,622,0,4,626,0
147,147,35,108,79,1,2,266,1,0,1,0,0,1,0,0,0,494,0,3,497,0
148,148,21,154,111,4,1,294,1,0,0,0,1,0,0,2,2,591,0,1,592,0
149,149,15,342,223,0,0,290,0,1,0,0,4,2,2,2,3,884,0,3,887,0
150,150,24,280,147,1,2,243,0,0,1,0,0,0,1,2,2,703,0,2,705,0
151,151,49,134,99,0,1,443,0,0,0,0,1,1,2,0,2,732,0,3,735,0
152,152,21,99,122,0,1,408,0,0,0,1,2,2,0,1,0,657,0,6,663,0
153,153,29,132,112,0,2,311,0,0,0,0,0,0,1,1,1,589,0,0,589,0
154,154,34,139,237,0,0,352,1,0,0,0,0,0,0,0,0,763,0,2,765,0
155,155,50,205,152,2,0,436,0,1,1,2,0,0,4,0,0,853,0,2,855,0
156,156,50,152,154,1,2,488,0,0,2,0,0,0,0,0,0,849,0,2,851,0
157,157,55,115,127,0,0,420,1,1,0,1,0,0,0,0,0,720,0,1,721,0
158,158,31,186,139,0,0,369,2,0,1,0,0,0,0,2,1,731,0,7,738,0
159,159,59,268,193,2,2,426,0,0,2,1,1,1,1,0,3,959,0,7,966,0
160,160,62,180,165,1,3,541,2,0,1,0,2,2,3,0,0,962,0,8,970,0
161,161,39,185,157,0,3,583,1,0,0,1,2,1,1,1,0,974,0,2,976,0
162,162,53,123,126,0,1,443,1,1,0,0,0,0,0,0,0,748,0,2,750,0
163,163,42,156,183,0,2,504,2,0,0,0,0,0,0,0,1,890,0,4,894,1
164,164,24,85,147,1,1,420,0,0,2,1,1,1,1,1,0,685,0,1,686,0
165,165,26,60,151,1,0,377,0,0,0,0,0,0,2,0,0,617,0,6,623,0
166,166,44,72,168,1,2,475,1,0,1,1,0,0,0,1,0,766,0,2,768,0
167,167,38,101,77,1,2,286,2,0,0,0,1,1,0,1,0,510,0,2,512,0
168,168,42,99,98,0,0,348,0,0,1,1,1,0,0,1,1,592,0,2,594,0
169,169,35,81,67,0,1,378,0,0,0,1,0,0,0,0,0,563,0,2,565,0
170,170,48,156,152,1,1,455,1,0,1,0,0,0,0,0,0,815,0,5,820,1
171,171,16,108,104,1,2,208,0,1,0,0,0,0,0,0,0,440,0,2,442,0
172,172,31,109,67,1,2,251,1,0,0,1,1,0,2,0,0,466,0,1,467,0
173,173,20,136,112,0,0,416,0,0,0,2,0,0,2,0,0,688,0,4,692,0
174,174,39,78,82,1,0,344,1,0,0,0,0,0,0,0,0,545,0,1,546,0
175,175,39,114,114,1,0,427,0,0,1,0,1,1,0,1,2,701,0,1,702,0
176,176,34,108,121,0,1,382,0,0,0,0,1,0,0,0,0,647,0,8,655,0
177,177,38,110,110,1,1,361,0,0,0,0,0,1,1,0,0,623,0,3,626,0
178,178,38,133,110,1,1,289,1,0,0,0,0,0,1,0,0,574,0,4,578,0
179,179,19,93,103,0,2,218,1,0,1,1,1,0,0,0,0,439,0,1,440,0
180,180,41,153,99,1,1,339,1,1,0,0,2,1,0,0,1,640,0,2,642,0
181,181,25,74,73,1,1,252,2,0,1,0,0,0,0,0,0,429,0,2,431,0
182,182,14,47,94,0,1,274,1,0,0,0,0,0,1,0,1,433,0,5,438,0
183,183,17,96,123,2,1,291,1,0,0,0,0,1,1,1,1,535,0,1,536,0
184,184,44,121,184,2,0,418,0,0,1,0,0,0,2,1,0,773,0,2,775,0
185,185,18,97,112,1,0,272,0,0,0,0,0,0,0,0,0,500,0,0,500,0
186,186,25,85,127,1,0,386,0,0,1,0,2,0,0,0,0,627,0,2,629,0
187,187,17,78,91,1,0,211,1,0,0,0,0,0,1,1,0,401,0,2,403,0
188,188,28,63,105,0,0,296,0,1,2,1,1,0,0,0,0,497,0,3,500,0
189,189,27,109,139,3,1,318,0,0,0,0,0,0,0,0,0,597,0,2,599,0
190,190,33,94,127,1,1,354,0,1,0,0,1,0,0,1,0,613,0,1,614,0
191,191,33,87,137,0,2,368,0,1,1,1,0,0,0,0,0,630,0,2,632,0
192,192,43,73,103,0,0,401,0,0,0,0,0,0,1,1,0,622,0,2,624,0
193,193,28,82,152,1,2,398,2,0,0,0,2,0,2,0,1,670,0,1,671,0
194,194,34,106,158,2,0,392,2,0,0,0,0,1,0,1,1,697,0,6,703,0
195,195,31,81,120,0,1,299,0,0,0,0,1,0,1,1,0,535,0,3,538,0
