Polling Station No,SANTHOSH,PRABHAKARA RAJA.A.M.V,VIRUGAI V.N.RAVI,SABARINATHAN.R,SURESHBABU.T.M,BALAMURUGAN.P,MUTHURAJ.T,ROY GEORGE,JAGADISH.S,ALEX PANDIAN.K,ESAKKIMUTHUNADAR.P,EZHILRAJ.D,KARTHICK.M,KUMAR.S,GOPINATH.G,SANKAR.E,CHANDRA SEKAR.K,SABARINATHAN.P,SRINIVASAN.M,DINESHKUMAR.N,RANGARAJ.G,RAVIKUMAR,LUKMANBABU.S,VENKATESAN.C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,18,131,108,184,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,446,0,5,451,0
2,10,125,92,162,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,393,0,3,396,0
3,30,184,172,284,1,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,681,0,3,684,0
4,15,150,95,224,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,8,496,0
5,15,187,48,154,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,408,0,3,411,0
6,21,202,101,148,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,2,0,482,0,2,484,0
7,19,186,70,194,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,474,0,2,476,0
8,15,268,68,269,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,628,0,2,630,0
9,10,120,85,148,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,3,368,0
10,9,71,88,62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,1,233,0
11,8,94,48,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,2,223,0
12,17,115,112,163,1,1,0,0,3,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,418,0,4,422,0
13,11,139,138,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,576,0,5,581,0
14,13,111,113,200,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,2,443,0
15,15,164,134,325,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,643,0,0,643,0
16,9,150,120,301,0,0,2,0,1,0,1,1,1,2,0,0,0,0,1,0,1,1,0,1,592,0,1,593,0
17,17,158,103,239,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,522,0,1,523,0
18,14,139,77,288,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,523,0,0,523,0
19,20,139,144,231,1,1,1,0,1,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,544,0,0,544,1
20,17,171,119,266,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,582,0,2,584,0
21,17,129,120,245,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,516,0,1,517,0
22,15,125,85,269,2,0,0,0,0,0,1,0,0,0,1,0,0,3,2,2,2,2,2,1,512,0,1,513,0
23,19,202,124,362,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,713,0,0,713,0
24,18,173,163,435,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,800,0,8,808,0
25,21,186,85,231,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,526,0,5,531,0
26,12,109,159,256,0,0,2,0,3,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,547,0,2,549,0
27,21,165,156,286,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,632,0,3,635,0
28,20,187,213,299,0,0,5,0,2,0,0,0,0,1,2,3,0,0,2,1,0,0,0,0,735,0,2,737,0
29,30,194,197,231,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,5,667,0
30,14,128,154,197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,496,0,4,500,0
31,20,232,173,255,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,687,0,10,697,0
32,33,171,159,207,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,579,0,9,588,0
33,18,178,152,243,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,2,596,1
34,17,118,191,171,1,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,508,0,5,513,0
35,21,144,299,301,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,771,0,4,775,0
36,25,166,136,328,1,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,664,0,1,665,0
37,22,152,130,216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,6,527,0
38,22,108,76,158,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,368,0,4,372,0
39,40,141,135,230,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,553,0,10,563,0
40,22,167,90,271,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,3,558,0
41,21,163,178,222,1,1,2,1,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,595,0,2,597,0
42,22,148,110,238,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,528,0,3,531,0
43,7,108,144,137,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,401,0,3,404,0
44,16,163,149,203,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,537,0,9,546,0
45,9,81,89,179,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,363,0,3,366,0
46,15,113,92,147,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,372,0,4,376,0
47,30,169,140,258,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,606,0,3,609,0
48,15,139,76,213,0,0,0,0,3,0,0,0,0,0,1,1,2,0,0,1,0,1,1,0,453,0,2,455,0
49,15,152,143,255,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,571,0,10,581,0
50,19,106,79,160,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,369,0,2,371,0
51,19,142,100,185,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,450,0,6,456,0
52,12,135,60,137,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,348,0,5,353,0
53,15,116,142,236,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,515,0,2,517,0
54,22,168,129,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,576,0,5,581,0
55,12,106,121,164,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,410,0,3,413,0
56,20,160,116,199,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,498,0,5,503,0
57,22,117,165,169,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3,0,0,0,480,0,7,487,0
58,19,109,148,192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,472,0,5,477,0
59,7,188,151,286,0,0,0,2,2,0,0,0,1,1,0,1,2,0,0,0,0,1,5,0,647,0,2,649,0
60,15,197,157,223,1,0,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,599,0,2,601,0
61,29,134,151,208,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,533,0,5,538,0
62,31,263,116,299,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,714,0,1,715,0
63,16,120,91,153,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,384,0,4,388,0
64,12,291,154,363,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,826,0,2,828,0
65,14,119,93,169,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,398,0,8,406,0
66,25,204,176,360,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,771,0,1,772,0
67,14,95,68,122,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,304,0,0,304,0
68,14,149,112,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,485,0,5,490,0
69,19,133,227,212,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,599,0,1,600,0
70,23,133,206,196,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,563,0,5,568,0
71,25,113,175,239,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,559,0,3,562,0
72,18,134,192,273,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,621,0,4,625,0
73,22,274,77,278,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,658,0,4,662,0
74,13,178,83,214,1,0,1,0,3,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,497,0,0,497,0
75,6,176,71,237,4,0,0,0,2,0,1,0,0,0,0,2,1,2,1,0,1,0,0,0,504,0,1,505,0
76,21,188,98,303,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,614,0,0,614,0
77,33,163,139,224,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,565,0,6,571,0
78,27,132,174,209,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,550,0,5,555,0
79,36,146,148,206,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,540,0,6,546,0
80,33,157,194,269,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,659,0,2,661,0
81,17,201,204,233,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,660,0,8,668,0
82,29,143,170,290,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,2,0,0,1,642,0,0,642,0
83,16,93,120,211,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,444,0,2,446,0
84,10,163,221,262,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,660,0,4,664,0
85,23,248,201,315,1,0,2,0,3,0,0,0,0,1,0,0,1,3,0,0,1,3,0,1,803,0,6,809,0
86,20,126,180,226,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,558,0,12,570,0
87,13,578,4,139,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,738,0,5,743,0
88,16,184,57,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,413,0,2,415,0
89,8,298,84,178,0,1,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,575,0,2,577,0
90,19,317,80,277,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,695,0,1,696,0
91,26,219,118,307,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,1,677,0,1,678,0
92,20,146,84,249,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,506,0,2,508,0
93,13,161,115,217,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,511,0,1,512,0
94,21,174,146,353,0,0,1,0,4,0,1,0,0,2,0,0,0,0,2,1,0,0,0,0,705,0,1,706,0
95,19,161,140,352,3,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,682,0,0,682,0
96,24,138,115,228,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,1,509,0
97,20,132,77,232,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,465,0,1,466,0
98,17,97,107,144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,369,0,2,371,1
99,15,251,78,235,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,581,0,3,584,0
100,20,117,149,196,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,487,0,6,493,0
101,26,228,126,350,1,2,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,742,0,3,745,0
102,17,166,117,292,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,597,0,11,608,0
103,22,140,156,245,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,570,0,3,573,0
104,37,183,155,320,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,700,0,2,702,0
105,30,178,135,323,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,671,0,9,680,0
106,16,142,131,197,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,490,0,4,494,0
107,13,184,88,247,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,538,0,2,540,0
108,17,175,153,278,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,629,0,4,633,0
109,13,184,125,261,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,5,593,0
110,21,185,128,251,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,590,0,1,591,0
111,28,188,138,302,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,660,0,3,663,0
112,30,170,140,278,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,622,0,0,622,0
113,32,151,83,281,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,3,553,0
114,17,169,97,193,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,479,0,1,480,0
115,15,116,87,238,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,461,0,3,464,0
116,18,113,115,204,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,457,0,5,462,0
117,23,150,243,249,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,668,0,11,679,0
118,17,92,104,156,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,374,0,2,376,1
119,5,121,158,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,480,0,4,484,0
120,26,188,90,260,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,568,0,2,570,0
121,19,102,147,126,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,396,0,7,403,0
122,25,186,91,243,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,548,0,1,549,0
123,21,209,121,313,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,668,0,5,673,0
124,21,106,165,207,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,506,0,6,512,0
125,25,142,151,181,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,503,0,1,504,0
126,15,122,108,175,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,426,0,2,428,0
127,13,170,151,246,0,0,0,1,0,0,0,0,0,0,2,0,2,1,1,1,3,1,0,1,593,0,5,598,0
128,22,178,113,258,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,577,0,3,580,0
129,16,177,137,250,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,587,0,9,596,0
130,17,146,147,202,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,516,0,4,520,0
131,14,166,106,269,0,0,0,0,3,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,564,0,5,569,0
132,26,199,144,284,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,657,0,7,664,0
133,18,200,112,301,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,637,0,6,643,0
134,18,214,46,182,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,462,0,0,462,0
135,18,179,99,285,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,586,0,3,589,0
136,18,143,164,257,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,588,0,6,594,0
137,18,106,164,186,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,476,0,5,481,0
138,2,110,116,97,0,0,1,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,332,0,6,338,0
139,18,104,175,141,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,446,0,8,454,0
140,12,61,188,116,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,379,0,4,383,0
141,16,85,255,148,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,509,0,6,515,0
142,11,63,111,136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,3,325,0
143,22,98,113,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,356,0,4,360,0
144,20,182,67,236,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,508,0,2,510,0
145,17,270,84,324,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,2,0,0,0,702,0,2,704,0
146,20,217,62,298,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,604,0,1,605,0
147,14,134,53,218,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,423,0,6,429,0
148,10,154,71,310,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,549,0,2,551,0
149,12,219,105,260,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,600,0,2,602,0
150,20,149,81,322,0,0,2,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,580,0,1,581,0
151,23,132,56,226,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,442,0,1,443,0
152,12,158,90,258,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,524,0,2,526,0
153,19,161,101,354,0,0,0,0,2,0,0,0,1,0,0,0,1,1,2,2,1,0,1,0,646,0,1,647,0
154,22,157,151,338,0,0,0,0,3,0,0,0,0,2,1,0,0,0,1,1,0,1,1,0,678,0,2,680,0
155,31,112,162,223,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,530,0,1,531,0
156,26,97,217,146,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,489,0,4,493,0
157,19,178,107,257,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,564,0,2,566,0
158,11,109,107,132,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,367,0,2,369,0
159,20,112,80,127,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,344,0,8,352,0
160,19,201,126,227,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,578,0,5,583,0
161,20,167,129,218,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,541,0,4,545,0
162,16,247,133,371,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,779,0,5,784,0
163,21,234,153,359,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,776,0,4,780,0
164,20,186,63,338,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,610,0,2,612,0
165,30,225,114,384,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,758,0,4,762,0
166,11,190,84,224,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,514,0,3,517,0
167,10,109,26,182,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,329,0,3,332,0
168,12,153,51,190,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,408,0,7,415,0
169,35,113,75,208,2,0,0,0,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,441,0,2,443,0
170,22,134,74,265,0,0,0,0,4,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,505,0,0,505,0
171,7,137,82,292,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,525,0,1,526,0
172,24,169,147,342,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,685,0,1,686,0
173,32,204,152,346,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,740,0,2,742,0
174,14,189,110,287,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,606,0,4,610,0
175,18,94,100,188,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,405,0,0,405,1
176,16,136,133,315,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,604,0,0,604,0
177,23,136,130,279,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,574,0,1,575,0
178,30,152,197,358,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,742,0,4,746,0
179,12,142,108,306,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,574,0,3,577,0
180,14,122,77,235,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,454,0,1,455,0
181,27,180,137,343,1,0,1,0,3,0,0,0,0,1,1,2,0,2,2,0,0,0,0,0,700,0,2,702,0
182,20,183,117,354,0,0,1,0,0,0,0,2,1,0,1,0,1,0,1,0,2,1,1,0,685,0,0,685,0
183,16,127,94,256,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,499,0,1,500,0
184,9,115,119,298,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,544,0,2,546,0
185,36,180,142,334,0,2,0,0,4,0,0,0,1,0,1,2,1,2,2,2,0,0,0,0,709,0,4,713,0
186,29,210,143,406,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,798,0,1,799,0
187,27,154,118,333,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,638,0,1,639,0
188,30,187,100,339,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,662,0,2,664,0
189,22,132,139,289,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,586,0,2,588,0
190,23,158,115,287,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,587,0,0,587,0
191,17,154,121,398,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,2,0,0,0,698,0,0,698,0
192,21,165,118,391,3,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,702,0,0,702,0
193,26,202,80,305,1,1,0,0,0,0,0,0,0,0,2,0,1,3,1,2,0,1,0,0,625,0,1,626,0
194,24,227,66,302,0,0,0,0,4,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,627,0,2,629,0
195,18,174,122,317,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,2,636,0
196,35,238,106,401,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,785,0,0,785,0
197,9,191,115,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,541,0,5,546,0
198,11,80,143,111,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,348,0,2,350,0
199,10,81,199,180,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,3,0,1,480,0,9,489,1
200,13,133,222,201,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,573,0,13,586,0
201,22,130,186,203,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,548,0,10,558,0
202,13,81,159,116,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,372,0,15,387,0
203,14,99,174,112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,401,0,1,402,0
204,22,86,193,184,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,487,0,2,489,0
205,26,216,139,192,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,577,0,4,581,0
206,14,170,180,219,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,5,591,0
207,13,158,197,218,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,592,0,4,596,0
208,14,140,100,209,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,471,0,1,472,0
209,28,142,123,242,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,538,0,2,540,1
210,18,106,151,163,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,1,444,0
211,33,187,169,337,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,734,0,8,742,0
212,26,156,146,284,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,615,0,1,616,0
213,20,91,92,128,1,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,338,0,4,342,0
214,16,151,183,304,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,660,0,1,661,0
215,6,94,92,174,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,371,0,3,374,0
216,23,139,171,223,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,563,0,5,568,0
217,25,141,100,231,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,504,0,3,507,0
