Polling Station No,Polling,A LAMMAGALA,K RAMUKAVLES,R NAHTANAWSIV MAHTAN,S XELA,N L HSEMAR,P NARAKESAJAR,S RAMUKAYAJIV,R LAPOG,NIASU MAHTAS M,C RADNUS,K INABADNAHD,C NAVLESLIMAT,V NADNAKINAM,S MAIKCORA AIRAM,K NAGURUM,C NASEGURUM,S NANAHTRANAJ AMAR,K LEVIDAV,S RAMUKAYAJIV,G NASETAKNEV,P HSETAKNEV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
227,227,20,195,244,2,109,0,0,1,0,1,0,2,1,0,0,0,1,0,2,0,0,578,0,1,579,0
228,228,5,188,115,0,49,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,361,0,1,362,0
229,229,17,160,321,0,132,0,0,0,0,1,0,1,1,0,2,0,0,5,0,0,1,641,0,1,642,0
230,230,8,352,252,3,92,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,713,0,4,717,0
231,231,21,135,291,1,134,2,1,2,0,0,0,1,0,1,1,1,0,2,2,0,0,595,0,4,599,0
232,232,21,167,262,1,132,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,586,0,0,586,0
233,233,17,227,179,1,139,1,0,1,0,0,0,0,0,1,1,2,0,2,2,0,2,575,0,0,575,0
234,234,14,201,114,1,168,0,2,3,0,0,1,0,1,0,3,1,0,3,0,0,1,513,0,0,513,0
235,235,28,306,449,6,153,0,0,0,0,0,0,0,0,1,1,0,1,4,6,1,0,956,0,0,956,0
236,236,52,135,361,1,147,1,0,0,0,0,0,1,0,2,2,1,1,3,4,1,2,714,0,1,715,0
237,237,42,230,362,2,201,0,0,0,0,1,0,0,1,0,3,3,0,2,2,2,1,852,0,6,858,0
238,238,40,376,450,2,189,1,0,2,1,0,0,1,2,2,2,1,0,0,1,1,1,1072,0,0,1072,0
239,239,28,316,247,1,202,1,0,3,0,0,0,0,2,1,1,1,0,6,0,0,0,809,0,1,810,0
240,240,17,170,163,3,97,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,453,0,1,454,0
241,241,15,242,129,2,96,1,0,1,0,0,0,0,0,0,0,0,0,5,3,0,1,495,0,1,496,0
242,242,13,264,354,7,142,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,784,0,4,788,0
243,243,32,202,201,0,103,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,543,0,0,543,0
244,244,28,316,383,3,196,2,0,1,0,0,0,0,0,2,0,0,1,1,1,1,0,935,0,0,935,0
245,245,29,197,258,3,147,0,0,1,1,0,0,2,0,0,0,1,1,4,1,0,0,645,0,1,646,0
246,246,25,159,172,1,106,0,1,0,0,0,1,0,0,2,0,2,1,0,0,0,0,470,0,0,470,0
247,247,32,201,199,0,180,0,2,1,1,0,0,1,0,0,0,0,0,3,2,0,0,622,0,2,624,0
248,248,22,121,162,0,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,446,0,3,449,0
249,249,15,236,231,1,130,0,0,1,0,1,1,0,0,0,1,2,1,1,4,0,0,625,0,1,626,0
250,250,14,130,127,2,92,0,0,1,0,0,1,0,0,0,0,0,2,3,2,1,1,376,0,1,377,0
251,251,34,280,284,4,208,0,0,1,2,0,0,0,0,0,0,0,0,2,2,0,0,817,0,1,818,0
252,252,28,199,141,1,182,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,558,0,1,559,0
253,253,12,217,143,5,104,0,0,2,2,0,0,2,1,1,2,3,0,1,0,0,0,495,0,0,495,0
254,254,15,297,236,0,105,0,0,0,0,0,1,0,2,1,3,0,0,2,1,0,1,664,0,0,664,0
255,255,34,421,255,1,202,0,1,3,4,1,0,0,1,1,1,1,0,3,6,2,0,937,0,1,938,0
256,256,23,195,275,4,166,0,1,1,0,0,0,0,0,3,0,1,1,1,0,0,1,672,0,0,672,0
257,257,12,273,116,4,125,0,1,0,0,1,1,0,0,0,4,0,0,3,1,1,0,542,0,0,542,0
258,258,28,219,383,2,184,1,0,3,2,0,0,0,0,0,0,1,2,0,2,0,0,827,0,2,829,0
259,259,10,134,143,0,95,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,388,0,0,388,0
260,260,11,310,290,6,60,0,0,1,1,0,0,0,0,5,1,1,1,6,9,1,0,703,0,2,705,0
261,261,2,136,194,2,34,0,0,0,0,0,0,1,1,0,0,0,1,2,3,0,0,376,0,3,379,0
262,262,2,83,117,2,27,0,1,1,0,0,0,1,0,2,0,0,1,1,2,0,0,240,0,2,242,0
263,263,49,152,491,3,243,1,0,3,3,0,0,0,0,0,3,1,1,0,3,0,0,953,0,1,954,0
264,264,27,255,350,1,184,2,0,2,1,0,1,0,1,2,2,3,2,1,0,0,1,835,0,1,836,0
265,265,39,145,247,4,156,2,2,0,0,0,0,0,0,1,0,1,2,2,2,0,1,604,0,2,606,0
266,266,27,157,362,1,101,0,0,0,2,1,0,0,0,1,2,2,2,1,2,1,0,662,0,2,664,0
267,267,46,172,291,2,235,1,0,1,0,0,1,0,0,0,1,0,4,1,0,0,1,756,0,5,761,0
268,268,23,333,250,7,170,4,0,1,0,0,1,0,1,0,1,0,1,9,7,1,1,810,0,1,811,0
269,269,28,165,109,0,175,1,0,0,1,0,0,0,0,0,0,0,3,2,0,2,1,487,0,2,489,0
270,270,49,323,264,3,161,0,1,2,0,1,0,0,0,1,2,0,0,0,2,0,1,810,0,2,812,0
271,271,37,312,224,0,178,3,0,2,0,1,0,1,0,1,6,2,3,0,0,0,0,770,0,2,772,0
272,272,27,385,315,0,167,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,1,902,0,0,902,0
273,273,46,298,334,0,186,1,0,2,0,0,0,0,0,0,0,2,1,4,0,2,1,877,0,2,879,0
274,274,34,347,332,2,135,0,0,2,1,2,3,3,0,0,1,0,0,1,1,0,0,864,0,3,867,0
275,275,41,319,271,1,138,0,1,0,0,0,0,0,0,0,0,1,1,5,1,2,0,781,0,2,783,0
276,276,8,279,204,2,145,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,641,0,1,642,0
277,277,40,304,316,1,172,0,1,0,1,1,0,0,1,0,0,1,1,0,2,1,0,842,0,3,845,0
278,278,32,194,333,2,169,1,0,2,0,0,1,1,0,0,0,3,3,1,0,0,0,742,0,3,745,0
279,279,41,455,227,2,198,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,928,0,5,933,0
280,280,45,198,325,2,239,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,816,0,0,816,0
281,281,39,74,304,2,168,3,0,1,0,0,0,0,1,1,1,1,1,1,5,1,0,603,0,1,604,0
282,282,19,113,353,2,262,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,756,0,2,758,0
283,283,21,220,321,2,318,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,888,0,3,891,0
284,284,27,122,248,1,234,0,0,0,0,0,0,1,0,1,2,1,4,0,0,0,1,642,0,2,644,0
285,285,52,126,329,6,278,1,0,1,1,0,0,2,1,1,1,2,4,0,2,0,0,807,0,4,811,0
286,286,35,178,268,1,275,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,763,0,3,766,0
287,287,32,184,337,1,216,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,773,0,1,774,0
288,288,24,187,328,4,285,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,834,0,4,838,0
289,289,6,70,125,0,129,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,334,0,3,337,0
290,290,22,171,288,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,713,0,2,715,0
291,291,11,84,134,0,101,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,334,0,1,335,0
292,292,17,381,113,0,128,1,0,0,2,0,0,0,0,0,1,0,1,4,2,0,0,650,0,4,654,0
293,293,9,278,72,0,116,0,0,1,14,0,0,0,0,1,0,0,0,1,0,0,0,492,0,3,495,0
294,294,11,457,121,1,141,1,0,1,11,0,0,0,0,1,0,0,0,4,0,0,0,749,0,2,751,0
295,295,7,56,137,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,289,0
296,296,26,189,260,1,141,0,1,0,0,0,0,0,0,0,1,1,1,3,1,1,0,626,0,3,629,0
297,297,28,208,167,1,184,1,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,595,0,1,596,0
298,298,40,185,390,2,238,2,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,862,0,2,864,0
299,299,22,104,228,0,163,4,0,0,0,0,0,0,0,0,0,1,3,1,1,1,2,530,0,0,530,0
300,300,13,74,304,2,210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,605,0,2,607,0
301,301,14,250,177,1,130,0,3,1,13,0,0,0,0,0,0,0,0,2,1,0,0,592,0,1,593,0
302,302,3,328,88,1,114,0,0,1,10,0,0,1,0,0,0,0,0,2,0,1,1,550,0,1,551,0
303,303,42,222,338,2,232,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,840,0,2,842,0
304,304,27,79,164,3,144,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,421,0,0,421,0
305,305,27,211,181,0,228,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,653,0,1,654,0
306,306,30,117,148,1,126,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,425,0,6,431,0
307,307,26,82,182,0,127,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,422,0,2,424,0
308,308,43,150,301,2,283,4,2,0,2,0,0,0,0,0,0,1,4,2,2,0,1,797,0,3,800,0
309,309,28,143,206,2,243,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,628,0,5,633,0
310,310,47,196,263,1,329,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,840,0,3,843,0
311,311,19,320,180,1,199,0,0,2,0,0,1,1,0,0,2,1,2,3,2,0,0,733,0,1,734,0
312,312,13,238,201,3,97,1,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,560,0,0,560,0
313,313,32,300,290,3,151,1,0,2,0,0,0,0,0,0,2,1,0,2,1,0,0,785,0,1,786,0
314,314,50,148,553,0,148,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,903,0,0,903,0
315,315,46,114,586,2,152,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,906,0,2,908,0
316,316,22,123,219,2,99,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,0,472,0,1,473,0
317,317,36,117,210,2,146,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,515,0,0,515,0
318,318,25,154,362,4,283,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,832,0,3,835,0
319,319,12,108,238,2,141,2,0,0,0,0,0,0,2,2,0,0,0,0,2,1,2,512,0,3,515,0
320,320,13,345,138,0,150,0,1,0,0,0,0,0,0,0,3,1,0,2,0,0,0,653,0,0,653,0
321,321,17,339,169,2,106,0,1,1,0,0,0,0,0,2,1,0,1,6,4,1,1,651,0,2,653,0
322,322,43,319,291,3,219,0,0,2,0,0,1,0,0,1,2,3,0,5,1,1,0,891,0,3,894,0
323,323,37,261,324,1,225,1,0,2,0,0,0,0,0,0,0,3,2,4,0,0,0,860,0,1,861,0
324,324,18,172,114,0,120,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,427,0,0,427,0
325,325,22,493,215,3,238,3,0,3,1,0,1,2,0,3,7,3,3,7,0,1,1,1006,0,3,1009,0
326,326,21,336,242,2,164,0,0,1,1,0,0,0,4,1,2,0,0,1,2,0,1,778,0,1,779,0
327,327,14,169,215,2,142,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,545,0,0,545,0
328,328,25,262,253,2,161,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,709,0,3,712,0
329,329,11,174,308,4,124,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,624,0,1,625,0
330,330,20,276,173,3,107,0,0,1,0,0,0,0,0,0,2,0,1,4,3,0,0,590,0,1,591,0
331,331,23,336,150,2,94,0,1,2,1,0,0,0,0,1,1,0,0,3,1,0,0,615,0,2,617,0
332,332,12,290,101,2,99,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,0,513,0,3,516,0
333,333,25,174,457,1,98,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,761,0,3,764,0
334,334,57,97,318,2,155,1,0,0,1,0,0,0,1,0,0,2,1,1,4,0,0,640,0,0,640,0
335,335,55,327,277,4,155,0,0,2,0,0,0,1,0,2,0,1,1,6,2,0,1,834,0,0,834,0
336,336,30,326,153,2,113,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,629,0,0,629,0
337,337,31,163,494,4,172,3,1,1,0,0,1,1,0,1,0,1,3,4,4,0,1,885,0,1,886,0
338,338,37,168,407,3,151,1,0,0,1,0,0,1,1,2,0,1,1,3,2,1,1,781,0,0,781,0
339,339,28,443,235,2,196,0,1,2,0,0,1,0,1,0,2,3,2,4,6,0,3,929,0,0,929,0
340,340,25,340,168,2,188,0,0,2,0,1,0,0,0,1,2,2,0,1,0,0,0,732,0,2,734,0
341,341,8,299,88,3,97,0,0,2,0,0,0,0,0,0,0,1,1,4,1,1,0,505,0,0,505,0
342,342,13,165,61,1,65,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,310,0,0,310,0
343,343,16,213,181,1,110,0,0,0,2,0,0,1,0,0,1,1,1,4,2,1,0,534,0,2,536,1
344,344,27,498,184,1,142,0,0,1,0,0,0,0,0,0,4,1,2,7,0,0,0,867,0,3,870,0
345,345,19,435,288,1,202,0,0,1,0,0,0,0,1,0,0,0,1,4,2,1,0,955,0,0,955,0
346,346,18,301,237,0,103,0,0,1,0,0,0,0,0,0,1,0,0,5,1,1,0,668,0,1,669,0
347,347,22,333,309,3,254,2,1,3,4,2,0,0,0,1,1,1,1,0,0,0,0,937,0,1,938,0
348,348,44,198,435,0,213,1,0,1,0,0,0,1,1,0,1,1,0,3,1,0,1,901,0,5,906,0
349,349,34,505,235,7,245,0,0,2,1,0,0,0,2,1,3,3,0,3,1,1,0,1043,0,5,1048,0
350,350,11,321,109,1,45,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,491,0,0,491,0
351,351,36,256,451,1,207,1,1,0,1,0,0,0,1,1,0,2,0,0,2,0,0,960,0,0,960,0
352,352,17,205,217,4,162,0,0,3,0,0,0,0,1,2,0,0,2,2,0,0,2,617,0,0,617,0
353,353,30,268,238,2,192,2,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,738,0,0,738,0
354,354,18,204,106,1,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,429,0,2,431,0
355,355,37,306,305,0,256,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,912,0,4,916,0
356,356,35,312,219,3,259,0,0,2,1,1,0,0,1,0,3,2,3,5,4,0,3,853,0,2,855,0
357,357,26,304,196,2,237,0,0,5,2,0,3,0,0,3,1,1,1,5,2,0,0,788,0,2,790,0
358,358,17,126,146,0,173,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,465,0,0,465,0
359,359,19,192,222,1,293,3,0,1,1,0,0,0,0,0,0,1,0,9,0,3,0,745,0,1,746,0
