Polling Station No,Polling,A LAMMAGALA,K RAMUKAVLES,R NAHTANAWSIV MAHTAN,S XELA,N L HSEMAR,P NARAKESAJAR,S RAMUKAYAJIV,R LAPOG,NIASU MAHTAS M,C RADNUS,K INABADNAHD,C NAVLESLIMAT,V NADNAKINAM,S MAIKCORA AIRAM,K NAGURUM,C NASEGURUM,S NANAHTRANAJ AMAR,K LEVIDAV,S RAMUKAYAJIV,G NASETAKNEV,P HSETAKNEV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
27,27,21,160,304,0,136,0,0,3,0,1,0,1,0,2,0,0,3,0,0,1,1,633,0,0,633,0
28,28,28,230,390,7,192,2,1,2,1,2,1,0,2,4,4,1,1,4,2,0,1,875,0,1,876,0
29,29,12,44,99,0,56,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,215,0,1,216,0
30,30,28,273,327,6,271,0,0,1,2,0,0,1,0,0,2,3,0,4,2,0,2,922,0,3,925,0
31,31,15,221,175,0,83,1,0,2,0,0,0,2,1,3,0,0,0,1,1,1,0,506,0,3,509,0
32,32,32,272,367,3,258,2,2,0,0,1,0,0,3,2,2,4,0,4,8,0,0,960,0,8,968,0
33,33,18,277,280,3,219,1,1,1,0,1,0,0,0,0,1,0,2,2,0,0,0,806,0,1,807,0
34,34,23,211,317,0,149,0,0,0,0,0,1,1,1,0,0,2,2,2,1,2,1,713,0,1,714,0
35,35,16,102,208,1,107,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,1,437,0
36,36,25,209,235,2,173,1,0,5,1,0,0,2,2,1,0,1,1,5,1,0,0,664,0,1,665,0
37,37,7,167,188,0,122,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,488,0,1,489,0
38,38,28,247,194,4,200,0,1,3,0,0,0,1,0,0,0,1,4,2,1,1,0,687,0,2,689,0
39,39,75,376,294,3,235,0,6,1,0,0,0,1,0,0,1,0,0,6,3,0,0,1001,0,1,1002,0
40,40,23,186,239,0,134,1,0,2,0,0,0,0,0,1,2,0,1,0,2,0,1,592,0,1,593,0
41,41,12,171,216,3,115,1,0,1,0,0,0,1,0,1,0,2,0,0,1,0,0,524,0,0,524,0
42,42,31,159,303,6,299,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,802,0,3,805,0
43,43,19,72,178,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,2,365,0
44,44,10,95,195,1,81,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,387,0,1,388,0
45,45,39,151,325,1,155,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,2,678,0,0,678,0
46,46,34,194,265,3,253,0,1,3,1,0,1,0,1,1,0,1,1,2,0,2,0,763,0,2,765,0
47,47,38,177,354,1,151,1,0,1,0,0,0,0,0,3,1,1,1,0,1,0,0,730,0,0,730,0
48,48,23,263,248,8,206,0,0,3,0,1,0,0,0,3,8,1,2,1,2,1,1,771,0,2,773,0
49,49,17,219,351,0,222,1,0,2,0,0,1,1,0,2,0,0,0,2,3,0,0,821,0,1,822,0
50,50,58,247,288,3,287,2,0,4,0,2,2,1,1,4,1,4,2,1,1,1,0,909,0,4,913,0
51,51,26,368,250,1,222,2,1,1,0,0,0,0,1,1,2,2,1,1,0,2,1,882,0,2,884,0
52,52,21,187,189,1,182,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,584,0,1,585,0
53,53,29,96,195,2,172,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,499,0,0,499,0
54,54,19,137,296,6,107,0,0,2,0,0,1,0,0,2,0,3,0,2,2,2,0,579,0,2,581,0
55,55,20,226,295,4,227,0,3,2,0,0,1,1,1,1,0,1,2,2,0,0,0,786,0,2,788,0
56,56,15,213,243,3,266,2,0,0,0,0,0,0,1,2,1,1,1,2,4,1,3,758,0,3,761,0
57,57,11,82,109,0,87,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,292,0,0,292,0
58,58,24,94,199,0,219,2,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,545,0,0,545,0
59,59,11,152,289,3,87,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,547,0,0,547,0
60,60,16,128,165,1,105,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,421,0,0,421,0
61,61,19,133,108,0,127,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,389,0,0,389,0
62,62,31,259,219,3,251,2,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,771,0,3,774,0
63,63,13,194,165,2,210,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,588,0,4,592,0
64,64,27,80,141,0,106,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,358,0,0,358,0
65,65,35,93,151,0,265,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,549,0,1,550,0
66,66,32,112,208,1,187,0,0,1,0,0,0,1,1,2,0,1,0,0,1,0,1,548,0,0,548,0
67,67,21,98,232,3,215,1,0,0,0,0,0,0,1,2,0,1,0,0,1,1,1,577,0,2,579,0
68,68,13,106,182,0,160,0,0,3,0,0,1,1,1,0,2,1,2,3,3,2,0,480,0,2,482,0
69,69,53,332,156,2,425,1,0,3,1,0,1,2,2,1,2,1,1,3,2,0,0,988,0,0,988,0
70,70,30,104,62,2,195,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,395,0,1,396,0
71,71,52,326,193,2,379,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,961,0,2,963,0
72,72,39,274,207,1,340,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,862,0,3,865,0
73,73,50,206,161,1,298,5,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,726,0,4,730,0
74,74,25,145,118,0,235,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,527,0,7,534,0
75,75,34,186,144,3,251,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,622,0,7,629,0
76,76,49,171,169,0,261,1,0,1,0,1,0,0,0,1,1,0,0,1,2,1,0,659,0,3,662,0
77,77,33,203,215,3,297,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,756,0,5,761,0
78,78,12,119,72,1,133,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,341,0,0,341,0
79,79,27,205,245,1,239,1,0,0,1,0,0,1,0,1,1,0,0,1,2,0,2,727,0,2,729,0
80,80,18,88,238,1,220,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,569,0,1,570,0
81,81,3,107,127,1,227,1,1,0,0,0,0,1,0,1,2,1,1,1,2,0,1,477,0,1,478,0
82,82,35,188,271,4,327,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,831,0,2,833,0
83,83,20,137,192,5,285,5,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,648,0,3,651,1
84,84,4,55,110,2,102,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,279,0,1,280,0
85,85,23,84,136,3,252,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,499,0,2,501,0
86,86,38,103,243,3,341,1,0,0,1,0,0,2,0,3,0,3,0,3,5,1,3,750,0,1,751,0
87,87,12,76,208,0,208,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,510,0,4,514,0
88,88,19,119,178,1,183,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,508,0,1,509,0
89,89,34,155,440,4,310,8,0,0,1,0,0,0,0,4,2,1,0,1,2,0,1,963,0,2,965,0
90,90,27,90,173,3,304,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,601,0,2,603,0
91,91,15,78,163,1,205,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,465,0,1,466,0
92,92,24,100,347,3,229,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,710,0,2,712,0
93,93,29,113,198,0,255,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,602,0,2,604,0
94,94,29,212,371,4,320,2,0,0,0,0,0,0,0,1,1,3,1,2,2,3,0,951,0,3,954,0
95,95,13,126,253,0,192,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,590,0,1,591,0
96,96,33,89,117,1,238,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,482,0,0,482,0
97,97,26,132,198,0,148,0,0,2,1,1,0,0,1,2,0,0,0,1,1,0,0,513,0,2,515,0
98,98,22,82,196,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,398,0,2,400,0
99,99,7,101,119,1,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,393,0,0,393,0
100,100,60,215,307,2,327,0,2,0,1,0,0,0,0,2,0,1,0,1,1,1,1,921,0,1,922,0
101,101,42,135,146,3,201,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,530,0,3,533,0
102,102,28,175,205,2,134,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,548,0,3,551,0
103,103,68,235,247,5,335,1,1,0,0,0,0,1,0,0,5,4,1,0,1,0,1,905,0,6,911,0
104,104,50,97,122,3,180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,453,0,0,453,0
105,105,37,241,161,3,277,0,0,0,0,0,1,0,1,0,1,0,2,3,1,0,0,728,0,1,729,0
106,106,40,266,194,3,283,1,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,793,0,0,793,0
107,107,35,205,183,1,228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,656,0,0,656,0
