Polling Station No,ELAMATHI SUBRAMANIAN,GOVI.CHEZHIAAN,M.DIVYA BHARATHI,T.M.PURATCHI MANI,KANNAIYAN. T,S.PRABAKARAN,A.VISWANATHAN,ARAVINDARAJ. R,KEERTHIGA. K,SELVARANI. S,M.TAMILMARAN,DHANASEKAR,L.PRABAKARAN,P.MANIKANDAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,327,231,18,2,0,172,1,0,0,0,1,0,0,5,757,0,3,760,0
2,336,178,14,2,0,160,0,0,0,0,0,2,0,3,695,0,5,700,0
3,47,298,13,5,0,103,0,0,0,0,1,0,1,3,471,0,2,473,0
4,214,275,14,3,0,225,2,0,1,2,1,0,1,3,741,0,7,748,0
5,299,196,22,20,3,133,3,0,0,0,1,3,0,4,684,0,2,686,0
6,198,209,17,14,0,209,0,0,1,0,0,1,0,1,650,0,1,651,0
7,316,208,28,3,0,125,3,1,0,0,1,1,1,1,688,0,0,688,0
8,211,175,7,8,0,137,1,0,1,0,0,1,1,2,544,0,1,545,0
9,132,197,8,0,1,111,0,0,0,0,0,2,1,2,454,0,1,455,0
10,146,238,11,0,0,112,0,0,0,0,0,0,1,1,509,0,3,512,0
11,248,181,16,0,0,195,0,0,0,0,0,0,1,8,649,0,3,652,0
12,112,311,30,1,1,214,1,0,3,0,0,1,1,3,678,0,1,679,0
13,154,95,7,0,1,100,0,0,0,0,0,1,0,0,358,0,0,358,0
14,257,151,15,1,3,168,1,0,0,1,3,1,1,4,606,0,5,611,0
15,151,119,17,7,1,231,0,1,0,0,1,2,0,0,530,0,2,532,1
16,339,215,16,6,0,220,0,1,0,1,2,2,3,2,807,0,5,812,0
17,118,122,9,1,0,244,1,0,0,0,0,0,0,0,495,0,0,495,0
18,80,102,8,0,0,98,0,0,0,0,0,0,0,0,288,0,3,291,0
19,290,174,25,1,0,199,0,0,0,0,1,0,0,4,694,0,3,697,0
20,275,202,20,5,2,258,0,1,0,0,0,3,0,3,769,0,1,770,0
21,264,227,16,2,0,157,0,1,0,1,0,0,1,1,670,0,0,670,0
22,236,190,35,4,2,207,2,0,0,1,1,0,0,2,680,0,1,681,0
23,150,194,37,6,0,231,1,0,0,0,0,0,1,3,623,0,3,626,0
24,120,143,26,0,0,187,0,1,0,0,0,0,0,0,477,0,1,478,0
25,229,279,27,4,1,235,1,0,0,1,2,1,0,0,780,0,1,781,0
26,121,252,29,1,0,234,1,0,0,0,0,0,0,3,641,0,2,643,0
27,220,277,19,3,0,216,1,1,0,1,1,0,0,2,741,0,3,744,0
28,132,267,20,2,0,325,2,0,1,1,1,0,0,4,755,0,0,755,0
