Polling Station No,SABARI KARTHIKEYAN K.V.K.S,DAMODARAN S,BANUPRIYA M,MARIYAPPAN R,VIGNESH K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
113,205,135,8,1,246,595,0,2,597,0
114,175,120,26,1,288,610,0,7,617,0
115,220,179,33,3,276,711,0,3,714,0
116,163,122,39,1,309,634,0,3,637,0
117,217,224,34,4,386,865,0,7,872,0
118,199,103,25,4,290,621,0,2,623,0
119,161,141,21,3,227,553,0,5,558,0
120,218,207,30,0,298,753,0,5,758,0
121,203,128,34,2,247,614,0,1,615,0
122,186,159,27,1,271,644,0,5,649,0
123,157,80,16,1,171,425,0,2,427,0
124,242,163,31,0,309,745,0,5,750,0
125,227,102,28,2,276,635,0,4,639,0
126,317,106,18,0,274,715,0,7,722,0
127,299,141,26,0,366,832,0,1,833,0
128,222,132,25,0,253,632,0,4,636,0
129,335,182,47,3,368,935,0,13,948,0
130,191,162,26,3,262,644,0,3,647,0
131,235,126,16,1,333,711,0,4,715,0
132,142,129,31,1,256,559,0,2,561,0
133,575,26,12,0,172,785,0,5,790,0
134,398,20,12,1,124,555,0,1,556,0
135,463,14,6,2,149,634,0,3,637,0
136,492,29,7,2,107,637,0,1,638,0
137,519,23,13,0,135,690,0,5,695,0
138,487,9,11,0,138,645,0,2,647,0
139,605,68,13,0,208,894,0,1,895,0
140,516,13,9,0,114,652,0,5,657,0
141,333,107,14,3,214,671,0,7,678,0
142,359,54,31,0,160,604,0,8,612,0
143,407,92,17,0,139,655,0,0,655,0
144,381,59,18,0,208,666,0,2,668,0
145,425,52,21,0,172,670,0,3,673,0
146,442,63,18,2,223,748,0,5,753,0
147,318,130,15,1,187,651,0,6,657,0
148,542,16,9,0,121,688,0,7,695,0
149,482,23,9,0,100,614,0,1,615,0
150,336,97,16,1,225,675,0,4,679,0
151,308,73,17,0,179,577,0,2,579,0
152,213,82,23,4,276,598,0,2,600,0
153,155,79,24,0,209,467,0,0,467,0
154,182,132,17,1,245,577,0,5,582,0
155,193,132,28,1,269,623,0,8,631,0
156,255,135,19,1,233,643,0,6,649,0
157,230,129,19,1,240,619,0,2,621,0
158,215,85,25,0,209,534,0,4,538,0
159,174,63,31,2,173,443,0,4,447,0
160,227,116,21,0,247,611,0,5,616,0
161,168,126,18,0,294,606,0,5,611,0
162,202,109,10,4,282,607,0,3,610,0
163,222,91,32,0,263,608,0,2,610,0
164,311,80,27,1,244,663,0,1,664,0
165,218,155,30,3,288,694,0,7,701,0
166,229,111,12,2,272,626,0,5,631,0
167,362,58,20,1,214,655,0,3,658,0
168,179,60,25,0,186,450,0,7,457,0
169,500,20,12,3,207,742,0,5,747,0
170,335,95,23,1,244,698,0,3,701,0
171,271,97,10,0,204,582,0,5,587,0
172,199,153,22,0,222,596,0,5,601,0
173,210,151,16,2,269,648,0,8,656,0
174,301,90,30,0,261,682,0,3,685,0
175,221,113,20,0,248,602,0,2,604,0
176,224,80,26,1,218,549,0,4,553,0
177,125,79,13,1,155,373,0,0,373,0
178,237,117,26,3,226,609,0,2,611,0
179,199,152,22,0,292,665,0,4,669,0
180,268,158,17,1,236,680,0,6,686,0
181,259,158,27,2,314,760,0,5,765,0
182,239,108,25,1,336,709,0,4,713,0
183,122,98,17,1,168,406,0,4,410,0
184,215,150,21,0,215,601,0,2,603,0
185,262,113,26,1,387,789,0,6,795,0
186,276,129,25,0,299,729,0,3,732,0
187,260,127,29,2,323,741,0,2,743,0
188,237,153,37,3,322,752,0,3,755,0
189,242,142,25,1,328,738,0,9,747,0
190,173,122,25,1,351,672,0,4,676,0
191,230,164,37,2,351,784,0,2,786,0
192,342,194,27,1,390,954,0,4,958,0
193,311,143,28,1,337,820,0,12,832,0
194,257,119,22,1,252,651,0,3,654,0
195,299,167,21,3,280,770,0,3,773,0
196,175,240,27,1,338,781,0,11,792,0
197,219,322,56,0,251,848,0,8,856,0
