Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,29,103,248,0,0,272,0,0,0,0,0,0,1,1,0,7,7,661,0,661,0
2,51,137,272,1,2,351,1,0,0,0,0,0,0,1,0,4,4,820,0,820,0
3,47,123,271,0,1,434,0,0,0,0,0,0,1,0,0,5,5,882,0,882,0
4,44,133,214,0,2,363,1,0,0,0,0,0,0,1,0,9,9,767,0,767,0
5,19,194,204,1,0,339,1,0,0,0,0,0,0,0,0,5,5,763,0,763,0
6,27,112,248,0,1,321,0,0,0,0,0,0,1,1,0,2,2,713,0,713,0
7,36,148,207,0,3,399,0,0,0,0,0,0,0,1,0,2,2,796,0,796,0
8,50,172,225,1,0,432,1,0,0,0,1,1,1,0,0,4,4,888,0,888,0
9,29,108,196,0,0,286,1,1,0,0,0,1,0,1,0,5,5,628,0,628,0
10,46,155,262,6,0,330,3,0,0,0,0,0,1,0,0,3,3,806,0,806,0
11,44,115,233,0,2,355,1,0,1,0,0,0,0,0,0,1,1,752,0,752,0
12,35,176,205,0,0,369,0,0,0,0,0,1,1,1,0,7,7,795,0,795,0
13,28,69,92,0,0,161,0,0,0,0,0,0,0,0,0,0,0,350,0,350,0
14,43,80,246,0,1,397,1,0,0,1,2,1,0,0,1,3,3,776,0,776,0
15,49,105,238,1,0,470,0,0,1,0,0,0,1,0,0,5,5,870,0,870,0
16,38,145,200,0,3,429,0,0,0,0,0,0,0,0,0,2,2,817,0,817,0
17,25,85,161,1,0,304,0,1,2,0,0,0,0,0,1,3,3,583,0,583,0
18,16,99,174,1,0,252,1,0,0,0,0,1,0,1,0,1,1,546,0,546,0
19,13,99,140,2,0,189,0,0,0,0,0,0,0,0,0,7,7,450,0,450,0
20,26,141,163,0,0,270,0,2,0,0,1,0,0,1,0,8,8,612,0,612,0
21,15,132,124,0,1,230,0,0,0,0,0,0,0,0,0,3,3,505,0,505,0
22,26,168,157,0,1,260,1,0,0,0,0,1,0,1,0,6,6,621,0,621,0
23,19,168,366,1,0,296,1,0,0,1,1,0,0,2,1,2,2,858,0,858,0
24,37,160,187,0,3,258,0,0,0,0,0,0,1,0,0,6,6,652,0,652,0
25,26,59,94,1,2,147,0,0,0,0,0,0,0,1,0,1,1,331,0,331,0
26,14,142,117,0,0,189,0,0,0,0,0,0,0,0,0,4,4,466,0,466,0
27,23,146,165,1,0,310,1,1,0,0,1,0,0,1,0,4,4,653,0,653,0
28,10,109,170,0,1,228,0,0,0,0,0,0,0,0,0,5,5,523,0,523,0
29,22,103,163,1,0,262,1,0,0,0,0,0,1,0,0,2,2,555,0,555,0
30,18,186,188,0,0,246,0,0,0,0,0,0,1,0,0,4,4,643,0,643,0
31,20,51,108,0,0,144,0,0,0,0,0,0,0,0,0,2,2,325,0,325,0
32,20,87,142,0,2,135,0,0,0,0,0,0,0,0,0,3,3,389,0,389,0
33,16,102,142,1,0,215,0,0,0,1,0,0,0,1,0,3,3,481,0,481,0
34,18,113,229,1,1,219,1,0,0,0,0,0,0,1,0,5,5,588,0,588,0
35,25,162,186,0,2,287,0,0,0,0,0,0,1,1,1,4,4,669,0,669,0
36,26,109,168,2,0,260,0,1,0,0,0,0,1,0,0,1,1,568,0,568,0
37,18,102,143,0,0,210,0,0,1,0,0,0,0,0,0,4,4,478,0,478,0
38,20,120,142,0,3,224,1,0,0,0,0,0,0,0,0,2,2,512,0,512,0
39,30,92,191,1,0,300,0,0,0,0,0,0,0,0,0,2,2,616,0,616,0
40,39,163,209,2,1,371,0,0,1,0,0,0,0,0,1,3,3,790,0,790,0
41,26,164,205,0,0,420,1,0,1,0,0,0,0,1,1,7,7,826,0,826,0
42,30,129,238,3,1,250,0,0,0,0,0,1,1,0,0,3,3,656,0,656,0
43,13,173,243,3,0,279,1,0,0,0,0,0,0,0,0,1,1,713,0,713,0
44,29,107,203,0,0,296,1,0,1,0,0,2,0,0,0,5,5,644,0,644,0
45,36,219,230,0,0,313,1,1,0,0,1,0,1,1,1,0,0,804,0,804,0
46,35,102,208,1,1,384,0,0,0,1,0,0,0,2,1,4,4,739,0,739,0
47,37,111,266,0,0,282,0,0,0,0,2,0,2,1,0,1,1,702,0,702,0
48,37,96,183,0,1,236,0,1,0,0,0,0,1,0,0,7,7,562,0,562,0
49,45,158,254,0,1,437,0,0,0,0,0,0,1,0,0,4,4,900,0,900,0
50,36,178,303,0,1,329,1,0,0,0,0,0,1,0,0,4,4,853,0,853,0
51,48,145,270,0,0,434,0,0,0,0,0,0,0,2,0,1,1,900,0,900,0
52,16,107,132,1,1,227,0,0,2,0,0,0,1,0,0,5,5,492,0,492,0
53,40,125,203,1,0,358,1,0,0,0,0,0,0,0,2,5,5,735,0,735,0
54,43,155,224,0,2,340,1,1,0,0,0,0,0,2,1,3,3,772,0,772,0
55,36,180,166,1,0,299,1,1,0,1,1,0,0,0,2,3,3,691,0,691,0
56,23,163,161,2,0,252,1,0,0,0,0,0,1,0,0,6,6,609,0,609,0
57,29,150,197,1,0,317,1,0,0,0,0,1,1,0,0,5,5,702,0,702,0
58,30,114,148,3,0,308,0,0,2,0,1,0,0,0,0,1,1,607,0,607,0
59,25,215,189,1,0,336,2,0,0,0,0,0,1,2,0,2,2,773,0,773,0
60,54,240,174,2,0,395,1,0,0,0,0,0,0,1,0,8,8,875,0,875,0
61,28,233,171,1,0,381,1,1,0,0,0,0,0,0,0,4,4,820,0,820,0
62,30,114,236,0,2,404,0,1,0,0,0,0,2,1,0,5,5,795,0,795,0
63,27,133,256,0,1,449,1,0,0,0,0,1,0,0,0,8,8,876,0,876,0
64,25,245,202,1,0,270,0,0,0,0,0,0,0,1,0,1,1,745,0,745,0
65,27,294,126,1,0,178,1,1,1,0,0,0,0,0,1,5,5,635,0,635,0
66,20,232,171,1,0,266,0,0,0,0,0,1,1,1,1,3,3,697,0,697,0
67,44,149,214,2,0,373,1,1,0,0,0,0,0,0,0,1,1,785,0,785,0
68,37,185,212,2,0,334,2,0,0,1,1,0,1,1,0,5,5,781,0,781,0
69,40,233,190,0,2,299,0,1,0,0,1,0,0,0,1,2,2,769,0,769,0
70,63,127,223,0,3,403,0,0,0,0,0,0,0,1,0,2,2,822,0,822,0
71,59,165,203,0,2,469,2,1,0,0,1,0,0,0,0,2,2,904,0,904,0
72,50,111,153,1,2,350,1,0,0,0,0,0,1,1,0,2,2,672,0,672,0
73,23,178,204,0,1,280,1,0,0,0,2,0,0,0,1,1,1,691,0,691,0
74,39,147,164,0,0,349,0,0,1,1,0,0,0,0,0,2,2,703,0,703,0
75,20,219,131,0,0,251,1,0,0,0,0,0,0,0,0,1,1,623,0,623,0
76,17,226,137,0,0,305,1,0,0,0,0,0,0,0,0,1,1,687,0,687,0
77,28,212,247,0,1,364,3,1,1,0,1,1,1,0,0,6,6,866,0,866,0
78,28,192,136,1,1,243,0,0,0,0,0,0,0,0,0,1,1,602,0,602,0
79,34,138,151,0,0,299,1,0,0,0,1,1,0,1,1,1,1,628,0,628,0
80,18,225,201,0,0,233,1,0,0,0,0,0,0,1,1,4,4,684,0,684,0
81,23,292,196,0,3,344,3,0,0,0,0,0,0,1,1,2,2,865,0,865,0
82,22,144,151,1,1,221,1,0,0,0,0,0,0,0,1,0,0,542,0,542,0
83,11,77,86,1,0,177,0,1,0,0,0,0,1,0,0,0,0,354,0,354,0
84,24,58,226,0,1,320,1,0,1,0,0,0,1,0,0,1,1,633,0,633,0
85,18,79,242,0,1,227,0,0,0,0,0,0,0,1,1,1,1,570,0,570,0
86,14,173,161,1,0,298,0,0,1,0,1,0,0,1,0,2,2,652,0,652,0
87,25,209,143,0,0,449,1,0,2,0,2,2,0,1,2,4,4,840,0,840,0
88,26,242,229,1,0,397,0,0,0,1,0,1,0,0,0,5,5,902,0,902,0
89,24,114,290,1,1,393,1,0,0,0,0,0,0,1,0,2,2,827,0,827,0
90,26,103,268,1,0,306,2,0,0,0,0,0,1,2,0,1,1,710,0,710,0
91,37,111,351,3,0,472,1,0,0,1,0,0,0,1,0,1,1,978,0,978,0
92,15,135,164,0,0,237,1,0,0,0,0,0,0,1,1,1,1,555,0,555,0
93,23,93,121,1,0,228,0,0,0,0,0,0,0,2,0,2,2,470,0,470,0
94,46,151,319,1,0,441,0,0,1,1,0,0,1,0,0,5,5,966,0,966,0
95,24,67,218,2,0,202,2,0,0,0,0,0,0,0,1,2,2,518,0,518,0
96,16,78,142,1,0,232,0,0,0,0,0,0,0,0,0,1,1,470,0,470,0
97,42,115,280,1,2,462,1,0,0,0,0,0,0,0,1,2,2,906,0,906,0
98,39,163,190,1,0,385,0,0,0,0,0,0,0,0,1,2,2,781,0,781,0
99,31,107,172,0,1,362,1,0,0,0,0,0,1,1,0,3,3,679,0,679,0
100,30,223,178,1,0,356,0,0,1,1,0,0,0,1,0,1,1,792,0,792,0
101,21,114,131,1,0,333,2,0,0,0,0,0,0,1,0,2,2,605,0,605,0
102,27,69,131,0,0,195,0,0,0,0,1,0,2,0,0,4,4,429,0,429,0
