Polling Station No,P. SANTHANA KRISHNAN,SUBASHINI,SOUNDARA PANDIAN LUDER SETH,M. K. STALIN,AATHITHYA,E. RAAMADASAN,OORMILA,K. ELUMALAI,SIVAGNANASAM,S.Y. SYED YUSUF,V. S. BABU,ARUL DOSS. A.,KAJA MAIDEEN,V. A. SUDHAKAR,M. SURESH,J. SURIYA MUTHU,R. SENTHIL KUMAR,SELVI STEFFI. V. M,NANDA KUMAR,A. L. NARESH KUMAR,V. NARESH BABU,K. PANNEER SELVAM,S. BALACHANDAR,R. BALAJI,M. POORNIMA,R. MAHESH,P. MILANY,R. RAVIKUMAR,R. RAJ GURU,RAJA. G.,A. RAJI,M. RAJESHKUMAR,VIGIRDHAN,FARMER JAYARAMAN. S K J.,S. SHARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,88,2,34,190,0,0,0,1,0,2,471,0,0,0,2,1,2,0,2,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,801,0,3,804,0
2,84,0,29,207,1,0,0,0,0,2,255,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,579,0,4,583,0
3,96,0,29,323,0,0,0,0,0,1,312,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,763,0,3,766,1
4,84,0,23,87,0,0,0,0,0,4,409,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,612,0,1,613,0
5,81,1,19,204,0,0,0,0,0,2,268,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,1,579,0
6,89,0,22,316,0,0,0,0,0,4,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,727,0,5,732,0
7,89,1,28,279,0,0,0,0,0,2,298,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,5,707,0
8,109,0,18,211,1,1,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,582,0,7,589,0
9,85,0,15,248,0,0,0,0,0,4,198,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,556,0,4,560,0
10,85,0,19,256,0,0,0,0,0,3,248,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,615,0,3,618,1
11,103,0,17,207,1,0,0,0,0,2,186,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,4,521,0
12,53,1,15,259,3,0,0,0,2,1,335,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,675,0,1,676,0
13,58,0,21,204,0,0,1,0,0,1,275,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,565,0,3,568,0
14,96,1,30,253,0,0,0,0,0,1,340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,724,0,7,731,0
15,83,0,20,267,0,1,0,0,0,3,298,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,677,0,6,683,0
16,76,0,22,250,0,0,0,0,0,4,328,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,686,0,0,686,0
17,66,1,29,265,2,2,0,0,0,2,434,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,808,0,2,810,0
18,46,1,26,265,2,1,1,0,0,1,274,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,620,0,4,624,0
19,93,0,35,259,1,0,1,0,1,2,292,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,688,0,3,691,0
20,83,1,30,341,0,0,1,0,0,5,287,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,750,0,7,757,0
21,67,1,27,293,1,2,0,0,0,1,243,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,637,0,2,639,0
22,63,0,17,301,0,1,2,0,0,1,285,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,676,0,6,682,0
23,46,0,27,220,0,0,0,0,0,0,230,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,6,532,0
24,66,0,18,277,0,0,0,0,0,2,284,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,650,0,4,654,0
25,74,0,23,296,0,0,0,0,1,1,287,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,687,0,3,690,0
26,71,0,14,276,0,0,1,0,0,0,270,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,639,0,5,644,0
27,66,0,18,331,0,0,0,0,0,0,251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,668,0,3,671,0
28,126,1,31,274,1,0,0,0,0,1,500,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,944,0,4,948,0
29,66,0,13,190,1,0,0,0,0,2,226,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,502,0,3,505,0
30,122,0,16,252,0,0,0,0,0,3,312,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,710,0,7,717,0
31,101,1,11,279,2,0,0,0,0,2,304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,702,0,5,707,0
32,63,0,30,209,0,0,1,0,0,3,351,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,2,664,0
33,72,0,18,237,0,0,0,0,0,1,287,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,618,0,4,622,0
34,106,0,26,259,1,0,0,0,0,4,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,4,671,0
35,71,0,21,235,1,0,1,1,0,2,320,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,656,0,5,661,0
36,79,1,21,256,1,1,0,0,0,1,306,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,3,672,0
37,47,0,18,252,0,0,0,0,1,2,387,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,710,0,2,712,0
38,68,1,34,345,6,0,1,0,0,1,440,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,902,0,2,904,0
39,45,0,16,158,0,1,0,0,0,1,250,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,477,0,0,477,0
40,58,1,33,275,1,0,1,0,0,4,337,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,717,0,2,719,0
41,53,0,19,240,0,0,0,0,0,4,364,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,685,0,5,690,0
42,69,0,23,293,1,0,1,0,0,2,368,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,763,0,3,766,0
43,47,0,21,219,0,1,0,0,0,2,277,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,569,0,2,571,0
44,75,1,20,336,0,0,0,0,0,1,342,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,782,0,5,787,0
45,39,0,14,357,1,0,1,0,0,2,358,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,6,781,0
46,41,0,14,203,2,0,0,0,0,1,248,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,513,0,0,513,0
47,29,1,14,233,0,0,0,0,0,1,334,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,616,0,2,618,0
48,51,1,27,246,1,0,0,0,0,1,300,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,633,0,4,637,0
49,71,2,22,288,0,0,0,0,0,1,271,0,0,0,0,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,662,0,4,666,0
50,53,6,24,294,2,0,0,0,0,1,247,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,631,0,3,634,0
51,63,0,18,210,1,0,0,0,1,2,216,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,4,517,0
52,79,0,20,228,0,0,0,1,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,574,0,1,575,0
53,43,0,16,234,0,0,0,0,0,1,208,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,5,509,0
