Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,0,779,147,0,27,340,0,0,0,0,0,161,0,0,0,0,0,0,688,0,688,0
2,2,0,892,388,0,20,174,2,0,10,0,0,182,0,0,0,0,0,0,783,0,783,0
3,3,0,727,112,0,13,363,2,0,0,0,0,156,0,2,0,0,0,2,658,0,658,0
4,0,0,922,131,0,13,504,0,0,9,0,0,173,0,0,0,0,0,3,837,0,837,0
5,0,0,576,64,0,0,318,0,0,0,0,0,116,0,2,0,0,0,0,508,0,508,0
6,0,0,580,47,0,0,365,0,0,3,0,0,86,0,0,0,0,0,2,511,0,511,0
7,0,0,399,113,0,0,157,0,0,3,0,0,83,0,0,0,0,0,2,367,0,367,0
8,8,0,739,204,0,17,249,0,0,0,0,0,184,0,3,0,0,0,10,671,0,671,0
9,9,0,711,368,0,0,100,0,0,0,0,0,178,0,0,0,0,0,0,661,0,661,0
10,10,0,621,325,0,8,102,0,0,0,0,0,131,0,0,0,0,0,0,574,0,574,0
11,11,0,1071,223,0,27,559,0,0,0,0,0,129,0,2,0,0,0,3,953,0,953,0
12,12,0,698,305,0,0,186,0,0,0,0,0,157,0,2,0,0,0,0,662,0,662,0
13,13,0,1037,156,0,17,542,0,0,0,0,0,193,0,0,0,0,0,0,918,0,918,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0,1190,163,0,29,716,0,0,6,0,0,206,0,0,0,0,0,3,1131,0,1131,0
17,17,0,774,85,0,11,404,0,0,4,0,0,160,0,0,0,0,0,2,669,0,669,0
18,18,0,639,76,0,0,302,0,0,0,0,0,149,0,0,0,0,0,3,542,0,542,0
19,19,0,1047,241,0,46,425,3,0,3,0,0,210,0,0,0,0,0,4,935,0,935,0
20,20,0,818,227,0,15,330,0,0,0,0,0,121,0,2,0,0,0,2,700,0,700,0
21,21,0,730,309,0,0,245,0,0,0,0,0,93,0,2,0,0,0,2,659,0,659,0
22,22,0,1117,222,0,28,49,0,0,0,0,0,210,0,3,0,0,0,0,960,0,960,0
23,23,0,942,219,0,12,440,0,0,3,0,0,146,0,0,0,0,0,2,828,0,828,0
24,24,0,1045,103,0,23,604,0,0,0,0,0,146,0,4,0,0,0,5,891,0,891,0
25,25,0,890,212,0,11,475,2,0,0,0,0,124,0,2,0,0,0,0,831,0,831,0
26,26,0,691,168,0,12,317,2,0,0,0,0,139,0,3,0,0,0,0,648,0,648,0
27,27,0,916,237,0,28,246,0,0,0,0,0,278,0,0,0,0,0,0,800,0,800,0
28,28,0,713,79,0,0,322,0,0,0,0,0,189,0,0,0,0,0,0,603,0,603,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,0,1007,306,0,35,225,0,0,2,2,0,309,0,0,0,0,0,5,887,0,883,0
32,32,0,915,410,0,21,81,0,0,6,2,0,281,0,2,0,0,0,4,809,0,809,0
33,33,0,848,219,0,13,262,0,0,0,1,0,267,0,1,0,0,0,4,775,0,775,0
34,34,0,814,43,0,0,532,6,0,0,2,0,144,0,2,0,0,0,2,741,0,741,0
35,35,0,752,76,0,0,425,0,0,0,0,0,111,0,1,0,0,0,3,628,0,628,0
36,36,0,935,385,0,0,287,0,0,0,0,0,189,0,1,0,0,0,0,872,0,872,0
37,37,0,1117,510,0,15,337,0,0,0,0,0,138,0,3,0,0,0,0,1020,0,1020,0
38,38,0,644,170,0,12,282,0,0,0,0,0,97,0,0,0,0,0,0,566,0,566,0
39,39,0,632,83,0,15,366,0,0,0,0,0,73,0,0,0,0,0,2,548,0,548,0
40,40,0,609,102,0,11,270,0,0,0,0,0,98,0,0,0,0,0,0,483,0,483,0
41,41,0,867,300,0,19,150,0,0,2,5,0,325,0,5,0,0,0,0,814,0,814,0
42,42,0,839,237,0,15,297,0,0,0,3,0,191,0,2,0,0,0,0,749,0,749,0
43,43,0,558,73,0,10,321,0,0,0,0,0,74,0,0,0,0,0,0,489,0,489,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,0,526,295,0,0,56,0,0,0,2,0,127,0,0,0,0,0,3,490,0,490,0
47,47,0,574,89,0,0,265,0,0,0,0,0,133,0,0,0,0,0,0,500,0,500,0
48,48,0,1080,218,0,33,419,0,0,3,2,0,246,0,0,0,0,0,0,925,0,925,0
49,49,0,661,224,0,11,100,0,0,0,0,0,213,0,0,0,0,0,0,550,0,550,0
50,50,0,705,173,0,15,212,0,0,2,0,0,165,0,0,0,0,0,0,571,0,571,0
51,51,0,1014,199,0,17,305,2,0,6,2,0,187,0,0,0,0,0,0,723,0,723,0
52,52,0,922,413,0,15,155,1,0,3,1,0,153,0,0,0,0,0,0,742,0,742,0
53,53,0,890,74,0,21,485,0,0,3,2,0,175,0,0,0,0,0,0,764,0,764,0
54,0,0,722,190,0,11,191,0,0,2,0,0,134,0,0,0,0,0,5,535,0,535,0
55,0,0,864,59,0,24,522,0,0,0,2,0,184,0,0,0,0,0,5,804,0,804,0
56,56,0,688,265,0,22,127,0,0,0,3,0,154,0,0,0,0,0,2,581,0,581,0
57,57,0,723,241,0,48,161,0,0,12,0,0,183,0,0,0,0,0,2,652,0,652,0
58,58,0,906,344,0,14,149,0,0,0,0,0,315,0,0,0,0,0,0,836,0,836,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,0,771,328,0,17,124,2,0,0,0,0,172,0,0,0,0,0,0,647,0,647,0
62,62,0,704,408,0,11,53,0,0,0,0,0,185,0,0,0,0,0,2,661,0,661,0
63,63,0,721,406,0,10,38,0,0,0,0,0,225,0,0,0,0,0,0,683,0,683,0
64,64,0,548,260,0,0,79,0,0,0,0,0,107,0,0,0,0,0,0,458,0,458,0
65,65,0,590,258,0,0,108,0,0,0,0,0,118,0,0,0,0,0,0,500,0,500,0
66,66,0,610,345,0,0,20,0,0,0,0,0,105,0,0,0,0,0,0,482,0,482,0
67,67,0,603,331,0,0,32,0,0,0,0,0,79,0,0,0,0,0,0,447,0,447,0
68,68,0,564,128,0,35,143,0,0,0,0,0,180,0,0,0,0,0,2,494,0,494,0
69,0,0,787,158,0,20,244,0,0,0,0,0,280,0,0,0,0,0,0,705,0,705,0
70,0,0,710,150,0,20,180,0,0,0,0,0,234,0,0,0,0,0,0,593,0,593,0
71,0,0,723,167,0,25,183,0,0,0,0,0,209,0,0,0,0,0,0,598,0,598,0
72,72,0,588,134,0,16,153,0,0,0,0,0,145,0,0,0,0,0,0,452,0,452,0
73,73,0,618,200,0,17,109,0,0,0,0,0,160,0,0,0,0,0,0,492,0,492,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,0,588,311,0,12,81,0,0,0,0,0,145,0,0,0,0,0,0,557,0,557,0
77,77,0,1069,109,0,26,475,0,0,0,1,0,262,0,0,0,0,0,0,883,0,883,0
78,78,0,1019,173,0,19,412,0,0,0,3,0,259,0,2,0,0,0,0,882,0,882,0
79,79,0,1020,512,0,10,128,0,0,0,2,0,243,0,0,0,0,0,2,899,0,899,0
80,80,0,824,529,0,0,52,0,0,0,2,0,169,0,0,0,0,0,3,761,0,761,0
81,81,0,1001,190,0,27,373,0,0,0,2,0,260,0,3,0,0,0,2,866,0,866,0
82,82,0,815,256,0,24,195,0,0,0,5,0,216,0,0,0,0,0,3,701,0,701,0
83,83,0,773,149,0,24,253,0,0,0,0,0,144,0,0,0,0,0,0,572,0,572,0
84,84,0,628,64,0,11,344,0,0,0,2,0,135,0,0,0,0,0,2,567,0,567,0
85,85,0,522,249,0,0,74,0,0,0,0,0,76,0,0,0,0,0,0,413,0,413,0
86,86,0,841,131,0,25,262,0,0,0,0,0,217,0,0,0,0,0,0,642,0,642,0
87,87,0,571,291,0,0,31,0,0,0,0,0,105,0,0,0,0,0,2,437,0,437,0
88,88,0,641,320,0,0,28,0,0,0,0,0,109,0,0,0,0,0,0,468,0,468,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,0,737,473,0,5,18,0,0,0,0,0,99,0,0,0,0,0,0,597,0,597,0
92,92,0,1012,516,0,9,117,0,0,0,0,0,240,0,0,0,0,0,0,889,0,889,0
93,93,0,760,255,0,0,166,2,0,0,0,0,121,0,0,0,0,0,0,558,0,558,0
94,94,0,804,375,0,14,76,0,0,0,0,0,110,0,0,0,0,0,0,580,0,580,0
95,95,0,1116,598,0,15,96,2,0,0,3,0,265,0,0,0,0,0,0,984,0,984,0
96,96,0,917,362,0,11,107,2,0,0,3,0,339,0,0,0,0,0,0,831,0,831,0
97,97,0,1089,484,0,19,161,0,0,0,2,0,299,0,0,0,0,0,3,969,0,969,0
98,98,0,794,448,0,21,29,0,0,0,0,0,211,0,0,0,0,0,0,717,0,717,0
99,99,0,534,173,0,20,155,2,0,0,2,0,112,0,0,0,0,0,0,468,0,468,0
100,100,0,632,381,0,11,83,0,0,0,0,0,103,0,0,0,0,0,0,580,0,580,0
101,101,0,708,449,0,0,64,0,0,0,0,0,140,0,0,0,0,0,2,661,0,661,0
102,102,0,896,192,0,12,389,0,0,15,0,0,169,0,0,0,0,0,0,786,0,786,0
103,103,0,814,415,0,0,82,0,0,0,0,0,227,0,0,0,0,0,0,741,0,741,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,106,0,631,230,0,10,50,0,0,0,0,0,179,0,0,0,0,0,0,472,0,472,0
107,107,0,558,265,0,0,43,2,0,0,0,0,126,0,0,0,0,0,5,453,0,453,0
108,108,0,637,297,0,0,63,0,0,0,0,0,150,0,0,0,0,0,0,522,0,522,0
109,109,0,641,332,0,8,34,0,0,0,0,0,159,0,0,0,0,0,0,538,0,538,0
110,110,0,988,406,0,22,192,0,0,5,0,0,256,0,0,0,0,0,0,892,0,892,0
111,111,0,554,265,0,10,73,2,0,1,0,0,117,0,0,0,0,0,0,473,0,473,0
112,112,0,602,302,0,16,68,7,0,2,0,0,131,0,0,0,0,0,0,528,0,528,0
113,113,0,1034,458,0,17,227,2,0,0,0,0,227,0,0,0,0,0,0,937,0,937,0
114,114,0,910,140,0,16,435,0,0,3,0,0,156,0,0,0,0,0,0,756,0,756,0
115,115,0,910,458,0,21,128,0,0,0,0,0,212,0,0,0,0,0,0,831,0,831,0
116,116,0,621,38,0,11,419,1,0,0,0,0,113,0,0,0,0,0,0,587,0,587,0
117,117,0,560,206,0,10,114,0,0,0,0,0,93,0,0,0,0,0,0,427,0,427,0
118,118,0,678,339,0,0,45,0,0,14,0,0,170,0,0,0,0,0,0,588,0,588,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,0,1180,208,0,10,463,4,0,0,0,0,306,0,0,0,0,0,5,997,0,997,0
122,122,0,1008,299,0,11,265,0,0,3,0,0,302,0,0,0,0,0,0,894,0,894,0
123,123,0,957,294,0,23,309,2,0,0,0,0,215,0,0,0,0,0,7,854,0,854,0
124,124,0,625,87,0,32,309,2,0,8,0,0,126,0,2,0,0,0,0,570,0,570,0
125,125,0,805,86,0,14,427,0,0,6,0,0,144,0,3,0,0,0,0,681,0,681,0
126,126,0,965,119,0,15,409,1,0,13,0,0,169,0,0,0,0,0,0,729,0,729,0
127,127,0,595,112,0,19,221,2,0,2,0,0,150,0,1,0,0,0,2,511,0,511,0
128,128,0,652,66,0,15,294,0,0,0,0,0,190,0,2,0,0,0,0,567,0,567,0
129,129,0,603,152,0,24,165,0,0,0,0,0,182,0,0,0,0,0,3,532,0,532,0
130,130,0,719,227,0,91,81,0,0,0,0,0,259,0,0,0,5,0,0,689,0,689,0
131,131,0,858,179,0,21,329,0,0,0,0,0,220,0,0,0,0,0,3,757,0,757,0
132,132,0,781,354,0,21,122,0,0,2,0,0,188,0,0,0,0,0,0,692,0,692,0
133,133,0,1106,155,0,23,604,0,0,0,0,0,219,0,0,0,0,0,0,1021,0,1021,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,136,0,684,325,0,0,143,5,0,0,0,0,135,0,0,0,0,0,2,620,0,620,0
137,137,0,646,180,0,0,116,0,0,0,0,0,138,0,0,0,0,0,5,453,0,453,0
138,138,0,710,105,0,18,245,1,0,3,0,0,178,0,0,0,0,0,0,553,0,553,0
139,139,0,691,126,0,15,241,2,0,0,0,0,204,0,0,0,0,0,2,597,0,597,0
140,140,0,685,262,0,0,103,3,0,0,0,0,209,0,0,0,0,0,4,599,0,599,0
141,141,0,991,109,0,20,441,2,0,0,0,0,245,0,2,0,0,0,4,831,0,831,0
142,142,0,857,152,0,19,276,0,0,0,0,0,254,0,2,0,0,0,4,709,0,709,0
143,143,0,881,123,0,13,302,0,0,0,0,0,309,0,1,0,0,0,3,753,0,753,0
144,144,0,914,18,0,11,245,0,0,0,0,0,239,0,0,0,0,0,4,691,0,691,0
145,145,0,754,85,0,21,388,0,0,0,0,0,164,0,0,0,0,0,0,667,0,667,0
146,146,0,1020,342,0,24,204,0,0,0,0,0,248,0,2,0,0,0,9,838,0,838,0
147,147,0,1033,170,0,26,495,0,0,0,0,0,216,0,0,0,0,0,0,927,0,927,0
148,148,0,921,198,0,21,254,0,0,0,0,0,282,0,0,0,0,0,0,773,0,773,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,151,0,951,91,0,11,415,0,0,13,0,0,217,0,2,0,0,0,0,756,0,756,0
152,152,0,764,195,0,20,234,0,0,29,0,0,189,0,0,0,0,0,0,678,0,678,0
153,153,0,592,110,0,14,242,0,0,3,0,0,155,0,0,0,0,0,0,527,0,527,0
154,154,0,607,89,0,18,279,2,0,4,0,0,137,0,0,0,0,0,2,533,0,533,0
155,155,0,586,53,0,10,377,1,0,0,0,0,99,0,0,0,0,0,0,543,0,543,0
156,156,0,885,120,0,14,448,3,0,0,0,0,164,0,0,0,0,0,5,763,0,763,0
157,157,0,1079,136,0,21,554,3,0,5,0,0,182,0,3,0,0,0,3,909,0,909,0
158,158,0,700,122,0,25,316,0,0,0,0,0,154,0,0,0,0,0,2,620,0,620,0
159,159,0,651,139,0,10,286,2,0,5,0,0,143,0,0,0,0,0,3,589,0,589,0
160,160,0,680,376,0,12,97,0,0,0,0,0,138,0,2,0,0,0,6,632,0,632,0
161,161,0,549,327,0,12,25,0,0,0,0,0,128,0,0,0,0,0,0,494,0,494,0
162,162,0,940,231,0,17,401,0,0,0,0,0,192,0,0,0,0,0,5,856,0,856,0
163,163,0,758,49,0,11,460,0,0,10,0,0,159,0,0,0,0,0,2,695,0,695,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,166,0,1164,353,0,32,450,0,0,13,0,0,213,0,0,0,0,0,0,1081,0,1081,0
167,167,0,1034,154,0,28,334,0,0,9,0,0,290,0,0,0,0,0,0,819,0,819,0
168,168,0,751,263,0,18,120,0,0,0,0,0,239,0,0,0,0,0,0,641,0,641,0
169,169,0,583,70,0,0,260,3,0,4,0,0,134,0,3,0,0,0,0,482,0,482,0
170,170,0,759,265,0,22,108,1,0,0,0,0,224,0,0,0,0,0,0,628,0,628,0
171,171,0,581,245,0,0,73,1,0,0,2,0,171,0,0,0,0,0,0,503,0,503,0
172,172,0,661,205,0,20,69,3,0,2,5,0,274,0,2,0,0,0,0,584,0,584,0
173,173,0,860,122,0,13,441,3,0,5,0,0,156,0,2,0,0,0,0,747,0,747,0
174,174,0,789,273,0,11,246,3,0,0,0,0,169,0,0,0,0,0,0,708,0,708,0
175,175,0,762,71,0,0,491,0,0,10,0,0,103,0,0,0,0,0,0,691,0,691,0
