Polling Station No,S. SELVAM,RUBY.R.MANOHARAN,R. JANARTHANAN,R. ESAKKIMUTHU,S. SHUNMUGA SUNDARAM,CHITHIRAI SELVAN,TAMILSELVI,THULASI SUDALAI,REDDIARPATTI V. NARAYANAN,KRISH.MARIAPPAN,DR.S.VELLAI DURAI,M. ARUNA,R.ANANTHI,N.KALABERUMAL,M. KUMAR,T. SANKAR,SHANMUGAM,THANITHANGAM,NALLAKKANNU ALIAS KARTHIC.K,A.RANI NADAR ALIAS PUSHPARANI,S.MARIYAPPAN,SUDAROLI S.MURUGAN YADHAV B.COM,T. RAJKUMAR,T. LINGADURAI,DEV.P.JEGADEESAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,62,202,2,150,2,3,37,0,271,0,3,2,0,0,3,2,1,0,0,1,13,2,1,0,1,758,0,0,758,0
2,62,302,4,118,1,2,151,0,233,0,0,0,1,5,2,0,0,1,1,1,0,0,0,0,1,885,0,1,886,0
3,42,163,3,59,0,0,42,2,262,0,1,1,0,2,7,3,0,1,0,1,1,2,0,0,0,592,0,1,593,0
4,37,159,1,45,0,1,101,2,184,1,2,0,0,0,3,0,0,0,2,2,0,0,1,0,1,542,0,2,544,0
5,32,205,2,51,0,2,81,2,212,1,1,0,0,1,4,0,4,3,0,4,2,1,0,0,3,611,0,2,613,0
6,68,164,2,139,2,1,85,2,265,1,1,1,0,1,11,2,3,1,0,2,1,1,1,1,0,755,0,5,760,0
7,56,252,1,171,0,4,7,3,279,0,6,4,1,1,26,1,1,3,0,1,3,0,1,1,0,822,0,2,824,0
8,73,99,2,206,1,4,93,2,311,1,10,0,0,2,30,5,3,0,1,1,2,3,1,2,0,852,0,5,857,0
9,88,188,2,77,1,2,107,1,450,1,0,3,0,3,3,1,2,1,1,3,2,3,0,0,2,941,0,2,943,0
10,128,166,1,95,1,2,43,2,312,0,1,2,0,3,1,1,4,5,0,5,4,1,0,0,2,779,0,2,781,0
11,44,77,3,187,1,2,4,2,280,1,4,0,1,4,17,0,0,0,1,3,2,2,1,1,1,638,0,1,639,0
12,60,96,2,130,0,1,166,3,248,1,4,1,0,2,3,0,0,1,0,2,1,0,0,0,0,721,0,1,722,0
13,39,60,0,242,1,0,1,1,236,1,7,0,1,3,7,0,0,1,0,2,2,0,1,0,1,606,0,0,606,0
