Polling Station No,Candidate_1,NARAKANURAK.S,NARDNAHC .A .RUNAYIRUS,NARAAMNAN.AVLES,INAMARBUSALAB.G,NAGURUM.P,RAMUKNURA.M,RAMUKNURA.R,NAHKNARMI.S,MAGNILAHTAK.O,IRIHTAYAG.M,NEEDIHOMHAJAK.B,P.RAKESARDNAHC,RAMUK HSOHTNAS.J,RAMUKHTAPMAS.B,NANAVARAS.D,YMASANNIHC.V,RAMUKLIHTNES.S,RAMUKAVLES.P,JARAVLES.T,NEEDRAWNAKIEHS.K,NAVLESLIMAT.M,PAHDARP.J,NANAGAVLIYAM.M,NAVAHDAM.J,MAHTNANAGURUM.T,NANHSIRKAMAR.N,NALEVIDAV.M,IALAMAREEV.K,MIKKAH.K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
155,155,217,253,29,209,3,2,0,0,1,0,0,0,0,0,1,3,2,0,1,0,0,0,0,1,0,0,1,1,0,724,0,2,726,0
156,156,213,225,28,220,3,1,0,1,2,0,0,2,1,0,2,1,2,0,1,3,0,0,0,0,0,0,0,0,0,705,0,1,706,0
157,157,168,125,47,251,1,2,0,1,1,0,0,1,4,0,4,3,3,1,1,2,0,0,0,0,1,1,1,0,1,619,0,2,621,0
158,158,143,150,23,223,6,1,1,0,0,0,1,1,3,2,5,2,5,2,1,3,2,1,0,1,1,1,2,0,0,580,0,5,585,0
159,159,208,245,42,319,2,0,0,1,0,3,1,0,6,1,3,4,3,2,1,3,0,1,0,0,0,0,2,1,0,848,0,6,854,0
160,160,199,266,29,278,3,1,0,1,1,0,2,1,2,4,3,7,4,2,2,1,1,0,0,0,0,0,1,2,2,812,0,3,815,0
161,161,167,180,18,185,2,0,0,0,0,0,0,1,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,560,0,0,560,0
162,162,209,203,21,275,2,2,0,1,1,0,1,1,0,1,4,0,5,2,1,2,1,0,0,0,0,0,0,0,1,733,0,2,735,0
163,163,226,311,41,370,3,0,0,0,1,0,2,0,1,0,2,3,4,4,2,1,0,0,0,0,0,0,0,0,1,972,0,3,975,0
164,164,241,149,51,226,1,1,1,2,0,1,1,0,2,2,4,1,2,3,3,0,0,0,0,0,1,0,2,0,0,694,0,3,697,0
165,165,196,189,31,186,0,1,0,0,0,0,0,1,0,2,1,0,6,7,0,1,1,0,0,0,0,1,1,0,1,625,0,1,626,0
166,166,285,302,42,368,4,2,2,1,1,0,0,4,3,1,7,2,1,4,1,1,0,0,0,0,0,0,0,0,1,1032,0,2,1034,0
167,167,157,290,38,250,1,1,0,0,0,0,0,0,0,1,3,3,1,4,1,0,1,0,0,0,0,0,0,1,0,752,0,2,754,0
168,168,137,94,8,140,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,388,0,1,389,0
169,169,289,284,44,370,4,3,0,0,0,0,2,0,1,2,3,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1011,0,1,1012,0
170,170,167,215,24,269,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,1,1,1,2,0,2,688,0,2,690,0
171,171,253,361,27,300,4,0,0,0,0,0,0,0,1,0,0,4,2,2,1,1,0,0,0,0,0,0,1,2,1,960,0,5,965,0
172,172,169,334,24,319,2,0,0,0,1,1,0,1,1,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,858,0,1,859,0
173,173,149,213,18,306,0,1,0,0,0,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,694,0,1,695,0
174,174,249,174,20,268,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,1,5,1,0,725,0,2,727,0
175,175,256,194,35,307,1,1,0,0,0,0,1,1,3,1,4,0,1,3,0,2,0,0,0,0,2,0,1,0,0,813,0,0,813,0
176,176,156,117,17,221,4,1,0,1,0,1,0,0,1,0,2,3,2,2,0,2,0,0,0,0,0,1,0,0,0,531,0,1,532,0
177,177,117,118,8,147,1,0,0,0,0,0,0,1,0,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,1,401,0,0,401,0
178,178,126,130,18,120,0,0,0,0,0,0,0,0,0,1,0,3,7,0,1,0,2,0,0,1,0,2,1,0,2,414,0,3,417,0
179,179,203,309,16,260,0,0,1,0,0,0,0,0,0,1,0,1,2,2,1,1,0,1,2,0,0,0,0,0,1,801,0,2,803,0
180,180,224,186,37,129,1,0,0,0,0,0,0,0,1,1,0,0,6,6,2,1,1,0,0,0,0,0,1,0,0,596,0,2,598,0
181,181,185,301,18,253,1,0,0,0,1,0,0,1,0,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,768,0,0,768,0
182,182,196,140,18,186,2,0,0,0,0,0,0,0,0,0,2,3,1,2,1,3,2,0,0,0,0,0,0,1,2,559,0,3,562,0
183,183,182,181,8,245,2,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,1,0,0,1,0,0,1,0,1,630,0,3,633,0
184,184,151,139,9,214,1,0,0,0,0,0,0,0,0,1,3,1,2,1,0,2,0,0,1,1,0,0,0,1,2,529,0,0,529,0
185,185,193,138,31,229,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,596,0,1,597,0
186,186,229,175,34,245,3,0,1,1,1,0,0,0,0,0,2,3,4,1,1,0,0,0,0,0,0,0,0,0,1,701,0,2,703,0
187,187,231,135,29,241,1,3,0,0,2,0,0,0,1,2,1,5,1,1,0,1,0,1,0,0,0,0,1,0,0,656,0,1,657,0
188,188,167,119,19,165,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,474,0,0,474,0
189,189,221,225,55,211,0,0,1,0,0,0,0,1,1,0,0,1,3,1,1,0,0,0,0,0,1,1,0,0,0,723,0,3,726,0
190,190,152,154,21,139,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,1,0,0,0,1,1,2,1,1,480,0,3,483,0
191,191,288,215,18,233,2,0,0,0,0,0,0,0,0,0,0,2,2,3,0,3,1,0,0,0,1,0,0,2,0,770,0,1,771,0
192,192,185,212,53,185,2,0,1,0,0,2,0,3,2,1,3,2,6,5,4,4,0,1,0,0,0,0,2,1,1,675,0,1,676,0
193,193,153,224,37,202,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,622,0,4,626,0
194,194,188,224,32,142,1,0,1,0,0,1,0,1,1,1,1,0,3,2,1,1,0,0,0,0,0,0,0,0,1,601,0,0,601,0
195,195,175,183,18,228,3,1,0,0,1,2,0,2,0,0,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,621,0,1,622,0
196,196,172,205,19,281,1,0,0,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,686,0,0,686,0
197,197,287,227,42,265,1,0,0,0,0,1,0,1,1,2,0,5,1,0,0,0,0,0,0,0,1,0,1,0,0,835,0,1,836,0
198,198,233,213,12,187,1,2,0,0,0,0,0,0,1,1,1,2,0,1,1,0,0,0,0,0,2,0,1,0,0,658,0,2,660,0
199,199,187,146,10,95,0,0,1,0,1,0,0,0,0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,448,0,1,449,0
200,200,249,274,16,212,2,0,0,0,0,0,2,1,0,0,3,3,2,2,0,2,1,0,0,0,0,1,1,0,1,772,0,4,776,0
201,201,192,143,21,149,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,0,1,1,0,1,0,1,0,517,0,2,519,0
202,202,103,197,27,187,2,0,0,1,0,0,1,0,0,2,2,7,1,1,1,2,0,0,0,0,0,0,2,0,0,536,0,3,539,0
203,203,155,259,41,239,0,0,0,0,0,0,0,0,1,0,0,1,5,4,0,0,0,0,0,0,0,0,1,1,0,707,0,2,709,0
204,204,270,121,12,185,2,0,0,0,0,1,1,2,0,1,4,0,3,3,1,2,0,0,0,0,0,0,0,0,0,608,0,0,608,0
205,205,380,121,43,244,3,0,0,1,0,0,0,1,0,1,2,7,1,1,1,2,1,0,1,0,0,0,2,1,1,814,0,0,814,0
206,206,357,249,40,338,1,0,0,0,0,0,0,1,0,1,2,2,1,1,1,2,0,0,0,0,2,0,1,0,0,999,0,3,1002,0
207,207,394,300,20,260,0,0,0,0,0,3,1,0,1,1,4,2,7,5,3,1,0,0,0,0,0,1,0,1,3,1007,0,7,1014,0
208,208,279,382,38,301,2,0,0,1,1,0,1,1,4,2,5,3,3,0,0,0,1,1,1,0,0,0,0,1,0,1027,0,2,1029,1
209,209,170,199,29,175,2,0,0,0,0,0,0,1,0,0,3,1,3,1,1,0,0,0,0,0,0,1,0,1,0,587,0,2,589,0
210,210,231,251,21,196,2,0,0,2,0,0,1,0,0,0,1,5,2,1,2,0,0,0,0,0,0,0,0,1,0,716,0,1,717,0
211,211,275,226,18,177,0,1,0,0,1,1,0,1,1,0,0,4,2,0,0,1,0,0,0,0,0,0,1,1,1,711,0,2,713,0
212,212,270,151,11,127,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,567,0,7,574,0
213,213,264,193,19,198,1,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,2,0,0,684,0,1,685,0
214,214,245,314,32,146,0,1,0,0,0,0,0,1,0,0,3,3,3,5,0,0,0,0,0,0,1,0,0,0,4,758,0,4,762,0
215,215,107,276,14,146,0,0,0,0,0,0,1,0,2,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,554,0,1,555,0
216,216,257,242,8,205,2,0,0,0,1,0,0,0,1,1,3,4,4,2,3,3,0,0,0,1,0,0,0,0,1,738,0,2,740,0
217,217,302,306,21,148,1,2,0,0,0,0,0,0,0,1,2,3,5,6,0,0,0,0,0,0,0,0,0,0,1,798,0,0,798,0
218,218,234,202,14,192,1,0,0,0,0,0,1,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,653,0,2,655,0
219,219,257,163,19,234,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,0,0,1,0,0,0,0,0,0,682,0,4,686,0
220,220,180,249,32,246,2,0,0,0,1,1,0,0,1,3,1,3,1,1,6,1,0,0,0,0,3,0,0,0,4,735,0,0,735,0
221,221,193,359,31,321,1,0,0,0,0,0,0,0,0,1,1,4,1,2,0,0,0,0,0,0,0,0,0,0,1,915,0,3,918,0
222,222,91,137,5,96,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,334,0,0,334,0
223,223,222,245,25,316,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,816,0,0,816,0
224,224,294,288,26,340,0,0,0,0,0,0,0,0,1,2,3,3,5,6,3,5,1,0,0,0,1,0,0,0,3,981,0,6,987,0
225,225,302,311,20,258,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,894,0,4,898,0
226,226,168,168,11,206,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,556,0
227,227,222,427,32,277,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,967,0,1,968,0
228,228,272,308,14,265,1,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,867,0,2,869,0
229,229,121,219,41,205,1,0,0,0,0,0,0,0,0,1,0,2,2,3,1,3,0,0,1,0,0,0,0,0,0,600,0,4,604,0
230,230,97,205,16,149,0,0,0,0,0,0,0,0,0,1,2,0,2,2,1,0,0,0,0,1,0,0,0,0,0,476,0,2,478,0
231,231,274,359,47,253,2,0,0,0,0,1,0,0,1,0,1,2,3,3,1,2,1,0,0,0,0,1,0,2,2,955,0,1,956,0
232,232,221,292,24,308,0,0,0,0,1,0,0,0,2,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,854,0,0,854,0
233,233,310,365,47,282,2,2,0,2,2,0,0,1,2,2,0,3,4,1,0,1,1,0,0,0,0,0,0,1,0,1028,0,2,1030,0
234,234,150,267,19,258,2,1,0,0,0,0,0,0,0,3,3,1,2,1,0,2,2,0,0,0,1,0,0,1,0,713,0,3,716,0
235,235,158,254,31,258,3,0,0,0,0,0,1,0,1,1,2,0,0,2,1,1,0,0,0,0,0,1,0,0,1,715,0,3,718,0
236,236,250,311,21,333,3,0,0,1,0,1,0,0,0,0,3,4,2,4,3,0,0,1,0,0,1,1,0,0,1,940,0,3,943,0
237,237,180,163,24,223,0,1,0,0,0,0,1,0,0,2,2,5,4,3,0,1,0,0,0,0,0,0,1,0,1,611,0,2,613,0
238,238,263,191,23,135,0,0,0,1,1,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,623,0,3,626,0
239,239,307,231,17,365,3,0,0,0,0,0,0,0,0,0,3,2,5,4,4,8,2,0,1,0,0,1,2,2,1,958,0,6,964,0
240,240,89,329,14,187,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,627,0,3,630,0
241,241,148,276,11,171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,1,608,0
242,242,182,333,34,204,1,0,0,1,0,1,0,0,0,2,2,2,2,4,0,0,0,0,0,0,1,0,0,0,0,769,0,2,771,0
243,243,133,287,33,279,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,742,0,4,746,0
244,244,146,296,30,174,0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,654,0,1,655,0
245,245,246,347,38,260,1,0,1,0,0,0,0,0,2,0,0,1,1,3,0,0,0,1,0,1,0,0,1,0,0,903,0,1,904,0
246,246,171,276,26,231,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,0,713,0,2,715,0
247,247,180,289,28,245,3,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,2,1,0,1,1,0,0,755,0,3,758,0
248,248,185,394,48,362,1,0,0,0,1,0,0,1,1,1,2,2,3,0,2,1,2,0,0,1,0,0,0,0,1,1008,0,1,1009,0
249,249,180,213,32,194,2,0,0,0,0,0,0,0,1,0,1,1,5,1,0,1,0,0,0,0,0,0,0,1,0,632,0,0,632,0
250,250,195,175,9,276,2,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,1,1,0,0,0,665,0,1,666,0
251,251,216,390,21,241,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,874,0,0,874,0
252,252,141,403,19,274,0,0,0,0,3,1,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,850,0,4,854,0
253,253,170,378,29,225,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,809,0,3,812,0
254,254,202,345,30,319,1,0,0,2,2,0,1,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,908,0,5,913,0
255,255,182,234,14,197,0,1,0,0,0,0,1,1,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,637,0,1,638,0
256,256,271,151,17,153,1,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,601,0,3,604,0
257,257,208,158,15,154,1,0,0,0,0,1,0,1,1,0,1,6,2,0,0,2,0,0,0,0,0,0,0,0,0,550,0,1,551,0
258,258,329,260,29,342,1,0,0,1,3,0,0,0,1,0,2,1,2,1,0,4,0,0,0,1,0,0,0,1,1,979,0,5,984,0
259,259,263,321,56,325,3,1,1,0,1,0,0,0,3,1,1,2,2,2,1,0,0,0,0,0,0,0,1,0,0,984,0,2,986,0
260,260,266,176,26,277,5,1,0,2,2,1,0,2,2,0,1,4,4,3,0,3,0,0,0,0,1,0,1,0,0,777,0,3,780,0
261,261,287,226,36,274,2,0,0,1,2,0,0,2,0,0,0,3,0,1,1,1,0,0,0,0,1,0,0,0,2,839,0,0,839,0
262,262,375,224,32,328,2,2,0,0,0,0,0,2,1,0,4,3,1,4,2,2,0,1,1,0,1,1,1,0,1,988,0,3,991,0
263,263,327,301,30,259,2,1,0,0,0,0,0,0,0,2,0,2,8,4,1,2,0,0,0,0,0,1,0,0,0,940,0,0,940,0
264,264,331,265,32,322,1,0,1,1,0,0,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,962,0,3,965,0
265,265,86,269,15,175,0,0,0,0,0,0,1,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,554,0,0,554,0
266,266,171,214,22,190,2,1,2,0,0,0,0,0,1,0,0,0,4,3,1,1,0,0,0,0,1,0,0,0,0,613,0,1,614,0
267,267,250,185,14,168,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,620,0,2,622,0
268,268,245,159,19,178,0,1,0,0,0,1,0,0,2,0,1,3,6,1,0,3,0,0,0,0,0,0,1,0,0,620,0,1,621,0
269,269,223,226,14,315,2,0,0,0,0,0,0,3,4,0,2,6,5,0,0,1,0,1,0,0,0,0,0,0,1,803,0,2,805,0
270,270,225,217,31,296,3,0,0,0,3,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,782,0,0,782,0
271,271,512,223,8,180,1,0,0,0,0,0,0,1,1,0,1,1,2,2,5,1,0,0,0,0,0,0,0,0,0,938,0,0,938,0
272,272,360,215,22,239,2,2,0,0,1,0,0,2,2,0,1,5,5,1,0,1,0,0,0,0,0,1,0,1,0,860,0,3,863,0
273,273,208,260,21,188,1,0,0,0,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,686,0,2,688,0
274,274,204,279,14,195,1,0,0,1,1,0,0,2,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,704,0,2,706,0
275,275,269,194,15,147,1,0,1,1,0,0,0,0,1,1,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,639,0,2,641,0
276,276,319,314,54,240,1,2,1,0,0,0,0,1,4,1,1,3,2,0,1,1,1,0,0,0,0,0,0,1,3,950,0,2,952,0
277,277,242,251,47,224,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,771,0,0,771,0
278,278,197,242,35,181,2,0,0,0,0,0,0,1,3,0,0,6,7,6,3,3,0,0,0,0,1,0,0,0,1,688,0,1,689,0
279,279,236,222,26,205,1,0,0,0,0,0,0,0,3,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,1,700,0,0,700,0
280,280,262,220,12,195,1,0,0,1,1,0,0,2,0,0,1,3,2,3,0,2,0,0,0,1,0,0,0,0,0,706,0,0,706,0
281,281,178,381,40,231,0,2,0,1,0,0,0,2,0,0,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1,843,0,2,845,0
282,282,281,342,56,229,2,1,0,1,0,1,1,1,0,1,3,4,6,4,0,2,1,0,1,2,1,0,0,0,1,941,0,3,944,0
283,283,313,277,44,227,1,0,0,2,0,0,0,0,2,1,2,3,3,0,4,0,0,0,0,0,1,0,0,1,1,882,0,3,885,0
284,284,227,178,24,196,0,0,0,0,0,0,1,0,1,1,1,1,5,1,0,0,0,1,0,0,2,2,1,0,1,643,0,2,645,0
285,285,361,241,37,227,0,3,0,1,0,0,0,1,0,1,0,2,2,0,2,0,0,1,0,0,0,0,2,1,0,882,0,5,887,0
286,286,370,302,53,265,0,0,0,0,1,1,0,2,4,0,2,3,1,0,0,3,0,0,0,0,1,0,1,0,0,1009,0,6,1015,0
