Polling Station No,Candidate_1,NARAKANURAK.S,NARDNAHC .A .RUNAYIRUS,NARAAMNAN.AVLES,INAMARBUSALAB.G,NAGURUM.P,RAMUKNURA.M,RAMUKNURA.R,NAHKNARMI.S,MAGNILAHTAK.O,IRIHTAYAG.M,NEEDIHOMHAJAK.B,P.RAKESARDNAHC,RAMUK HSOHTNAS.J,RAMUKHTAPMAS.B,NANAVARAS.D,YMASANNIHC.V,RAMUKLIHTNES.S,RAMUKAVLES.P,JARAVLES.T,NEEDRAWNAKIEHS.K,NAVLESLIMAT.M,PAHDARP.J,NANAGAVLIYAM.M,NAVAHDAM.J,MAHTNANAGURUM.T,NANHSIRKAMAR.N,NALEVIDAV.M,IALAMAREEV.K,MIKKAH.K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
28,28,269,255,30,216,3,1,0,0,1,0,1,1,1,0,3,2,2,1,2,0,1,0,2,1,0,1,0,0,1,794,0,1,795,0
29,29,273,351,47,356,1,0,2,0,1,0,0,0,2,0,1,1,3,1,2,1,0,0,2,0,0,0,0,0,1,1045,0,4,1049,0
30,30,171,202,17,181,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,578,0,1,579,0
31,31,195,350,32,261,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,844,0,0,844,0
32,32,112,219,23,218,0,0,0,0,0,0,0,1,0,0,2,1,0,4,1,1,0,0,0,0,0,0,0,0,0,582,0,3,585,0
33,33,218,190,39,163,1,0,0,0,1,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,619,0,3,622,0
34,34,163,354,23,229,0,0,0,0,0,0,0,0,0,1,6,0,0,2,1,0,0,0,0,0,0,0,0,0,1,780,0,1,781,0
35,35,271,240,31,258,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,809,0,2,811,0
36,36,237,185,23,197,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,648,0,0,648,0
37,37,44,147,8,102,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,306,0,0,306,0
38,38,114,303,23,273,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,720,0,0,720,0
39,39,117,258,14,276,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,670,0,1,671,0
40,40,197,341,12,294,2,0,0,0,0,1,1,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,854,0,2,856,0
41,41,225,243,36,308,3,1,0,0,0,0,1,1,1,1,0,1,5,0,1,4,0,0,0,1,0,0,0,1,1,834,0,2,836,0
42,42,172,281,36,308,0,0,0,0,0,1,0,0,0,0,0,2,2,2,1,1,0,1,0,0,0,0,0,0,0,807,0,2,809,0
43,43,114,185,16,225,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,546,0,1,547,0
44,44,140,239,30,271,0,1,0,0,0,0,0,1,0,1,0,0,3,2,0,1,0,0,4,0,0,0,0,0,0,693,0,3,696,0
45,45,172,156,21,283,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,1,641,0,1,642,0
46,46,105,255,24,208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,594,0,3,597,0
47,47,134,436,42,342,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,1,1,0,0,0,962,0,3,965,0
48,48,127,247,28,254,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,661,0,4,665,0
49,49,71,232,20,204,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,529,0,2,531,0
50,50,125,296,28,243,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,695,0,3,698,0
51,51,109,143,26,178,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,460,0,2,462,0
52,52,82,191,20,219,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,518,0,5,523,0
53,53,97,189,17,229,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,540,0,2,542,0
54,54,95,169,32,196,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,498,0,2,500,0
55,55,101,176,25,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,538,0,2,540,0
56,56,112,182,34,268,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,604,0,3,607,0
57,57,119,219,26,144,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,514,0,1,515,0
58,58,164,301,22,337,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,832,0,2,834,0
59,59,180,311,33,389,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,0,0,0,0,0,1,0,0,0,0,922,0,5,927,0
60,60,132,161,22,312,0,0,0,0,0,0,0,0,0,1,0,1,3,2,2,2,0,0,0,0,0,0,0,0,0,638,0,1,639,0
61,61,131,294,39,371,1,2,0,0,0,0,0,2,2,0,1,2,0,2,1,1,0,0,1,0,2,0,0,0,2,854,0,4,858,0
62,62,112,308,26,333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,784,0,3,787,0
63,63,147,288,52,450,0,0,1,0,1,0,0,0,1,0,1,1,7,1,0,4,0,0,0,0,0,0,0,0,1,955,0,3,958,0
64,64,185,213,23,284,3,1,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,1,0,1,0,0,1,718,0,0,718,0
65,65,138,235,27,249,0,0,0,0,1,0,0,0,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,657,0,1,658,0
