Polling Station No,ABUBACKER SIDDHEEQ,RAJENDRAN. T. M,C. KRISHNAMURALI,T. MAHESHKUMAR,ABDUL JALEEL. R. K,KAVITHA. R,SHAHIN FATHIMA. A,SURESHKUMAR. S,RAJAN. B. S,LAKSHMI. A,M. ARUMUGASAMY,ESAKKI. K,ESAKKI PANDI. K,GANESAN. M,SEENIVASAN. S,NAGARAJAN. L,PARTHIPAN. V,BARISHA BANU. M,MURUGAN. P,S. MURUGANANTHAM,RAJAMARAVAN. S,VENKATESH. P,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,44,256,294,6,238,16,0,0,0,0,1,3,5,3,6,1,3,3,1,0,1,0,881,0,3,884,0
2,31,131,202,2,171,12,1,0,1,1,0,0,2,1,1,0,0,1,1,0,1,1,560,0,4,564,0
3,21,91,163,1,120,0,1,1,1,2,0,1,3,0,1,2,0,0,0,0,0,0,408,0,2,410,0
4,33,164,323,0,178,3,1,0,2,1,0,1,1,0,1,2,0,1,3,0,1,1,716,0,1,717,0
5,33,229,220,1,232,6,0,0,0,2,0,0,1,4,1,2,1,0,2,0,0,1,735,0,7,742,0
6,31,158,198,0,149,0,0,0,1,1,0,0,2,0,0,0,1,2,1,1,0,2,547,0,1,548,0
7,31,193,302,1,204,5,0,0,0,2,0,0,2,1,1,0,1,2,0,0,1,0,746,0,1,747,0
8,30,219,248,2,114,7,1,0,3,1,0,0,1,1,3,0,0,0,0,0,0,0,630,0,1,631,0
9,26,148,362,7,136,1,0,1,1,0,0,0,5,2,3,5,0,1,0,0,0,0,698,0,0,698,0
10,18,403,21,0,78,0,2,0,0,1,0,0,0,0,1,0,0,3,1,0,0,1,529,0,0,529,0
11,28,460,191,2,172,0,1,0,0,1,0,0,2,2,1,0,0,2,2,0,0,2,866,0,3,869,0
12,29,352,97,1,134,0,2,0,0,1,0,0,3,1,0,0,1,1,0,0,0,1,623,0,4,627,0
13,33,240,128,0,120,2,4,0,0,1,0,0,1,0,0,1,0,2,2,1,0,1,536,0,1,537,0
