Polling Station No,EZHILAN NAGANATHAN,KALANCHIYAM.MU,VALARMATHI.B,PRABHAKAR.J.C.D,MOHAMED GHOUSE.H,KARTHIKEYAN.S,SHANKAR.V,SATHYA.A,SUNDARA RAJU.A,DHANASEKARAN.V,PACHAIYAPPAN.E,PRABHAKARAN.T,PRABHAKARAN.B,PRABHAKARAN.V,MUNIYAN.E,VALARMATHI.E,VALARMATHY.D,VIJAY.D,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,90,4,25,139,1,0,0,0,0,0,0,0,1,0,0,0,0,0,260,0,1,261,0
2,89,14,50,220,0,0,0,0,0,0,0,0,1,0,0,0,1,0,375,0,0,375,0
3,149,18,58,232,2,0,1,1,0,1,0,0,1,1,1,1,0,0,466,0,2,468,0
4,129,11,53,272,0,0,0,0,0,0,0,0,0,0,0,1,0,0,466,0,1,467,0
5,163,14,91,201,0,0,0,1,0,0,0,0,0,0,0,0,0,1,471,0,4,475,1
6,180,4,80,307,0,1,0,0,0,0,0,1,0,0,0,0,0,1,574,0,2,576,0
7,231,11,71,327,0,0,1,0,0,0,0,0,1,1,0,0,0,0,643,0,2,645,0
8,242,14,104,336,0,0,0,2,2,0,0,0,0,0,0,1,0,0,701,0,1,702,0
9,195,19,84,305,2,0,1,2,1,0,1,0,0,0,0,1,0,0,611,0,1,612,0
10,220,19,113,240,3,0,0,0,0,0,0,0,1,0,0,0,1,0,597,0,4,601,0
11,104,10,92,158,1,0,0,1,0,0,0,0,0,0,0,2,0,0,368,0,1,369,0
12,154,8,71,223,1,0,0,1,1,0,0,0,0,0,0,1,0,0,460,0,4,464,0
13,191,17,69,343,3,0,0,0,0,1,0,0,0,0,0,0,1,0,625,0,1,626,0
14,180,11,74,267,1,0,0,0,0,0,0,0,0,0,0,1,0,0,534,0,2,536,0
15,108,7,54,165,0,1,0,0,0,0,0,0,0,0,0,0,1,0,336,0,2,338,0
16,170,14,89,294,1,0,0,1,0,0,0,0,0,0,0,2,0,0,571,0,4,575,0
17,152,13,68,226,1,1,0,1,0,0,0,0,0,0,0,0,0,0,462,0,2,464,0
18,202,24,93,274,1,2,1,1,1,0,1,0,1,1,1,0,1,0,604,0,6,610,0
19,158,16,49,153,0,0,0,1,0,0,0,0,1,0,0,0,0,0,378,0,4,382,0
20,201,21,71,208,2,1,0,0,0,1,0,0,1,0,1,1,0,0,508,0,4,512,0
21,189,17,69,183,0,2,0,1,0,0,0,0,1,1,1,0,0,2,466,0,5,471,0
22,173,20,84,180,1,1,0,0,0,0,0,1,0,0,0,3,0,0,463,0,1,464,0
23,205,26,113,186,0,1,0,0,0,0,0,1,0,0,0,1,1,0,534,0,4,538,0
24,293,16,43,246,1,0,0,1,0,0,0,0,0,0,0,0,0,0,600,0,5,605,0
25,250,18,101,307,0,0,0,1,0,0,0,0,1,0,1,0,0,0,679,0,5,684,0
26,188,21,113,286,0,0,0,0,0,1,0,1,2,1,0,1,0,0,614,0,4,618,0
27,190,16,112,242,0,0,1,0,1,0,0,0,0,1,0,1,0,0,564,0,6,570,0
28,199,20,120,245,0,0,1,0,0,0,0,0,0,0,2,0,0,0,587,0,7,594,1
29,230,14,59,294,1,0,0,1,1,0,0,0,1,1,1,1,0,2,606,0,4,610,0
30,170,16,87,275,0,0,0,0,0,0,0,0,1,0,0,0,1,0,550,0,3,553,1
31,148,20,92,188,0,1,0,0,0,0,0,0,0,0,0,0,0,1,450,0,5,455,1
32,148,18,75,308,0,0,0,2,0,0,0,0,1,0,0,0,1,0,553,0,4,557,0
