Polling Station No,AFSHIA NASRIN. S,WAZEER AHMED. J,VILWANATHAN. A.C.,VENKATESAN. R,ASADULLAH. B,IMTHIYAZ PANDARATTUDU ABDU,KAREEM BASHA. A,GOVINDHAN. A,SASI REKA. Y,HAROON RASHEED BADU,KUMARAVEL. P,FIRDOSE AHMED. M,MUSHTAQ AHMED KUTLAPPAI,VISWANATHAN. J,VENKATESAN. M,SRINATH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
55,16,0,187,158,0,271,0,0,1,0,1,0,0,3,1,1,639,0,1,640,0
56,8,1,156,223,2,159,0,0,0,1,4,0,1,0,0,0,555,0,2,557,0
57,18,3,213,406,6,373,1,2,0,1,1,0,0,2,3,2,1031,0,3,1034,0
58,17,1,117,437,2,206,0,0,0,0,0,1,1,0,1,0,783,0,3,786,0
59,26,0,113,290,4,271,1,0,2,0,0,1,1,1,1,2,713,0,2,715,0
60,24,0,169,328,1,177,0,0,0,2,0,1,0,0,0,0,702,0,2,704,0
61,22,6,191,363,2,340,0,2,2,0,2,1,1,3,1,2,938,0,2,940,0
62,14,0,234,165,2,271,0,0,0,0,0,2,0,0,0,0,688,0,2,690,0
63,8,0,180,131,0,303,0,0,1,0,1,0,0,1,0,1,626,0,1,627,0
64,21,0,225,430,1,359,0,0,0,0,1,2,1,4,0,0,1044,0,3,1047,0
65,1,1,251,217,1,115,0,1,0,1,1,0,0,2,0,0,591,0,1,592,0
66,9,0,120,158,2,202,0,0,0,0,0,0,0,1,0,1,493,0,0,493,0
67,29,0,204,129,4,322,0,0,2,0,0,0,0,1,0,0,691,0,2,693,0
68,12,0,260,316,1,96,0,0,0,0,1,0,0,5,1,0,692,0,1,693,0
69,33,0,231,194,0,232,0,2,1,1,0,1,0,1,0,0,696,0,1,697,0
70,18,0,178,134,0,156,0,0,0,1,0,0,0,4,2,2,495,0,1,496,0
71,10,2,189,288,0,223,0,0,0,1,1,0,1,2,2,0,719,0,3,722,0
72,14,2,239,153,2,340,0,0,0,0,0,0,0,0,0,1,751,0,0,751,0
73,14,2,363,67,0,218,0,0,1,0,0,0,0,3,0,1,669,0,3,672,0
74,17,0,230,95,4,352,2,0,2,0,0,0,0,0,1,0,703,0,0,703,0
75,8,1,169,87,2,298,0,0,0,0,0,0,0,2,0,0,567,0,1,568,0
76,12,1,272,113,1,367,1,1,2,0,2,0,0,1,0,0,773,0,1,774,0
77,18,2,282,153,1,288,1,0,1,0,1,1,1,1,1,1,752,0,3,755,0
78,16,0,135,114,3,282,1,0,2,0,0,0,0,0,1,0,554,0,0,554,0
79,16,2,140,206,2,256,1,0,2,1,1,0,0,0,0,1,628,0,1,629,0
80,36,1,251,150,1,293,1,0,1,1,1,0,0,3,1,0,740,0,8,748,0
81,22,2,149,112,2,241,0,0,1,0,1,0,0,0,1,0,531,0,4,535,0
82,18,3,119,127,0,227,0,0,0,0,1,1,1,1,0,0,498,0,4,502,0
83,10,1,180,205,0,272,0,0,0,0,0,1,0,2,1,1,673,0,3,676,0
84,23,2,138,172,2,302,2,0,3,1,1,0,1,0,4,2,653,0,1,654,0
85,24,3,155,231,3,327,0,0,0,1,4,1,1,2,0,2,754,0,4,758,0
86,17,1,163,450,5,277,1,1,1,0,0,2,1,4,3,0,926,0,3,929,0
87,18,1,162,143,1,237,1,0,0,1,1,0,1,2,2,0,570,0,0,570,0
88,9,3,159,154,2,216,0,0,0,0,0,0,0,3,0,2,548,0,0,548,0
89,36,2,179,272,3,323,0,0,0,0,1,0,0,0,2,0,818,0,3,821,0
90,22,1,180,198,1,296,1,0,0,0,0,0,0,0,0,1,700,0,3,703,0
91,10,0,121,195,1,303,0,0,1,1,0,0,0,0,1,1,634,0,1,635,0
92,9,1,134,297,3,145,1,1,1,0,4,0,0,2,1,0,599,0,3,602,0
93,10,1,114,269,1,226,1,0,2,3,0,0,0,2,1,0,630,0,2,632,0
94,e 217,0,310,202,1,283,1,0,0,0,0,0,0,0,0,0,814,0,0,814,0
95,7,0,399,38,1,139,1,1,0,0,1,0,0,5,1,1,594,0,0,594,0
96,15,0,117,314,1,200,0,0,0,0,1,0,2,1,1,1,653,0,3,656,0
97,21,1,282,176,2,420,1,0,1,1,2,1,0,1,2,0,911,0,0,911,0
98,16,2,245,163,2,301,0,0,2,1,17,1,3,6,0,1,760,0,0,760,0
99,34,2,270,106,1,351,0,0,0,0,2,0,1,3,0,2,772,0,2,774,0
100,27,0,260,147,2,372,1,0,1,0,1,0,1,1,1,1,815,0,3,818,0
101,9,2,198,140,2,335,0,0,2,3,0,0,1,2,1,0,695,0,2,697,0
102,12,0,262,78,0,312,0,0,0,1,0,0,0,0,0,0,665,0,1,666,0
103,12,0,231,94,0,251,0,0,0,0,0,0,0,0,0,0,588,0,1,589,0
104,14,2,120,52,0,235,0,0,1,0,0,0,0,0,2,1,427,0,1,428,0
105,9,3,155,160,1,210,0,0,0,1,0,0,2,0,0,0,541,0,1,542,0
106,11,0,100,63,0,223,1,0,0,0,0,0,0,2,0,1,401,0,1,402,0
107,20,1,99,149,2,251,3,2,2,0,0,0,0,1,1,3,534,0,0,534,0
108,19,1,93,196,5,245,0,0,2,0,1,0,0,3,0,1,566,0,0,566,0
109,6,1,145,125,0,292,1,0,1,1,0,0,0,1,0,2,575,0,7,582,0
110,14,0,156,200,1,269,1,0,0,0,0,0,0,0,0,3,644,0,5,649,0
111,20,1,185,141,0,198,0,0,0,0,0,1,0,1,0,0,547,0,3,550,0
112,16,3,137,187,1,383,0,4,0,0,0,1,0,1,0,0,733,0,6,739,0
113,15,0,108,153,0,289,0,3,0,0,1,0,0,1,0,0,570,0,3,573,0
