Polling Station No,USHARANI. P,PALANISAMY. K,PALANISAMY. M,REVATHI. T.M,GOPI. C,LAKSHMI JANARTHANAN. J,VENGATESHSAN. T,KARTHIK. N,KALIYAPPAN. A,THANGADURAI. N,PAZHANIVEL. K,VIJAYAKUMAR. N,VENKATESAN. S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
183,234,3,19,213,0,236,0,1,0,0,2,0,2,710,0,4,714,0
184,241,2,17,119,0,227,0,0,0,0,1,0,1,608,0,3,611,0
185,269,2,16,210,0,286,1,0,0,0,0,0,1,785,0,3,788,0
186,314,2,25,247,2,303,0,0,1,2,1,0,0,897,0,3,900,0
187,293,1,23,211,2,276,0,0,0,0,0,1,0,807,0,6,813,0
188,190,0,7,132,2,126,0,0,0,1,1,1,0,460,0,3,463,0
189,279,5,7,155,1,169,0,0,1,0,0,0,1,618,0,5,623,0
190,228,2,19,127,1,167,1,0,0,0,0,0,1,546,0,2,548,0
191,248,4,55,268,2,412,4,0,2,0,1,0,1,997,0,5,1002,0
192,148,2,34,171,4,159,1,0,0,1,0,0,0,520,0,1,521,0
193,362,4,31,190,3,291,0,0,0,0,1,0,1,883,0,5,888,0
194,334,4,33,241,1,378,1,0,0,0,1,0,2,995,0,4,999,0
195,343,2,17,173,3,274,2,1,0,2,2,0,1,820,0,5,825,0
196,383,3,17,149,5,272,2,0,2,0,3,0,1,837,0,3,840,0
197,370,6,30,268,1,341,0,0,2,2,0,1,2,1023,0,4,1027,0
198,348,2,41,188,4,251,0,0,0,1,0,0,0,835,0,5,840,0
199,241,1,33,249,0,272,0,0,0,0,0,0,2,798,0,5,803,0
200,261,3,33,246,2,344,1,2,1,0,0,1,2,896,0,1,897,0
201,238,1,39,223,2,322,0,0,0,0,0,0,1,826,0,1,827,0
202,235,2,18,243,0,339,0,0,0,2,0,1,1,841,0,6,847,0
203,205,3,14,109,1,172,1,0,0,1,2,0,0,508,0,3,511,0
204,310,2,21,190,1,303,0,0,0,1,0,0,0,828,0,5,833,0
205,275,4,22,202,1,281,0,0,0,0,0,2,0,787,0,6,793,0
206,236,4,23,265,0,368,2,1,0,0,0,1,0,900,0,4,904,0
207,229,6,18,243,2,450,1,2,0,2,2,0,2,957,0,4,961,0
208,282,2,20,220,2,362,0,0,0,1,0,1,0,890,0,1,891,0
209,142,3,20,250,3,296,1,0,0,0,0,1,2,718,0,2,720,0
210,171,1,17,161,0,188,0,1,0,0,2,0,1,542,0,2,544,0
211,298,1,25,159,2,235,0,2,0,1,0,1,3,727,0,3,730,0
212,322,4,22,201,0,266,1,0,0,0,0,1,0,817,0,8,825,0
213,379,0,45,201,0,316,1,0,0,1,0,0,2,945,0,1,946,0
214,291,4,42,325,1,378,1,1,0,0,0,0,1,1044,0,3,1047,0
215,402,1,26,207,0,195,1,0,0,0,0,0,1,833,0,1,834,0
216,480,4,23,186,0,198,1,0,1,2,0,0,1,896,0,1,897,0
217,390,2,32,205,1,270,0,0,0,0,0,0,0,900,0,1,901,0
218,373,2,45,215,1,335,0,0,1,1,0,0,2,975,0,5,980,0
219,337,6,31,271,2,318,2,0,0,2,0,0,1,970,0,3,973,0
220,482,1,24,174,1,244,1,0,0,0,0,1,4,932,0,1,933,0
221,362,2,34,152,3,292,0,0,0,0,2,0,2,849,0,1,850,0
222,258,1,22,326,1,283,1,0,0,0,1,0,0,893,0,5,898,0
223,428,1,23,182,2,263,0,0,0,1,1,0,3,904,0,4,908,0
224,262,2,35,223,3,435,1,0,0,1,0,0,0,962,0,3,965,0
225,140,0,12,132,2,166,1,0,0,0,0,0,0,453,0,2,455,0
226,327,1,29,228,2,309,0,0,0,1,0,0,2,899,0,5,904,0
227,288,2,41,313,1,301,0,0,0,1,0,1,0,948,0,6,954,0
228,269,0,12,83,0,115,0,0,0,0,0,0,0,479,0,1,480,0
229,259,2,19,131,1,202,0,0,0,0,0,0,2,616,0,2,618,0
230,130,2,38,195,1,245,0,0,0,0,0,0,1,612,0,1,613,0
231,135,1,22,128,0,164,1,0,0,0,0,0,0,451,0,1,452,0
232,275,6,117,320,1,314,0,0,0,2,4,0,1,1040,0,1,1041,0
233,228,2,26,231,0,288,0,0,0,0,0,0,0,775,0,4,779,0
234,317,1,32,244,3,436,1,0,1,0,1,2,5,1043,0,0,1043,0
235,137,1,16,133,0,135,1,0,0,0,0,0,0,423,0,2,425,0
236,168,0,10,173,1,221,0,0,1,0,0,0,1,575,0,1,576,0
237,219,0,38,291,2,323,0,0,0,0,0,0,0,873,0,6,879,0
238,325,4,41,197,1,318,1,0,1,0,0,0,0,888,0,5,893,0
239,250,2,33,282,3,444,0,1,0,2,0,0,2,1019,0,4,1023,0
240,226,3,29,283,2,419,0,2,0,0,0,0,0,964,0,2,966,0
241,271,1,41,222,0,272,1,0,0,2,0,0,1,811,0,1,812,0
242,184,4,40,254,3,370,8,0,1,0,0,1,1,866,0,4,870,0
243,354,1,22,237,2,313,1,1,0,1,2,0,4,938,0,3,941,0
244,215,1,26,267,3,449,2,1,0,0,1,0,2,967,0,2,969,0
245,228,2,28,284,3,407,0,0,0,0,0,0,0,952,0,3,955,0
246,240,4,37,218,1,406,1,0,1,0,0,0,2,910,0,2,912,0
