Polling Station No,ELANGOVAN. A.R,SIVASAKTHI. M,MANI. R,ADHIYAMAAN. R.V,KRISHNAMOORTHY. D,SURESHKUMAR. S,ARUL PRAKASH. T,GOBINATHAN. R,SANTHALINGAM. C,PERUMAL. S,MANI. V,MANOKARAN. A,MAYAKKANNAN. R,MOHANRAJ. P.M,JEGANATHAN. A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
298,88,15,419,272,0,0,0,6,1,0,0,1,2,3,0,807,0,1,808,0
299,75,38,330,265,3,2,1,1,0,0,0,0,0,0,0,715,0,1,716,0
300,168,39,525,300,2,3,0,2,1,1,1,1,0,4,1,1048,0,7,1055,0
301,148,22,394,274,5,1,0,2,1,0,0,1,0,0,0,848,0,4,852,0
302,182,26,349,331,2,0,0,1,0,0,0,0,0,0,0,891,0,8,899,0
303,165,32,321,316,1,0,0,1,0,2,0,0,2,1,0,841,0,2,843,0
304,212,24,222,367,1,1,0,6,0,1,0,0,0,1,0,835,0,4,839,0
305,205,18,233,281,1,0,0,1,0,0,0,0,1,3,0,743,0,7,750,0
306,133,15,213,389,2,0,2,7,0,0,1,0,0,1,0,763,0,6,769,0
307,246,30,291,349,0,0,0,3,3,0,0,1,3,1,0,927,0,9,936,0
308,219,28,229,342,1,1,0,5,0,0,0,1,1,0,0,827,0,8,835,0
309,125,23,262,345,2,2,0,5,0,1,0,1,1,0,0,767,0,3,770,0
310,193,26,158,366,1,0,0,3,0,0,0,0,0,0,1,748,0,5,753,0
311,131,19,214,365,2,1,0,4,0,0,1,0,1,0,1,739,0,5,744,0
312,130,9,231,284,1,3,1,2,0,1,0,1,1,1,0,665,0,2,667,0
313,286,14,158,267,0,1,2,3,0,0,0,0,1,0,2,734,0,5,739,0
314,147,8,187,230,2,1,1,6,0,0,1,1,0,0,0,584,0,3,587,0
315,93,25,263,203,0,0,0,4,0,1,0,0,0,0,0,589,0,1,590,0
316,86,21,429,208,1,0,2,5,0,0,0,0,1,1,0,754,0,3,757,0
317,42,18,224,174,0,1,1,1,0,0,0,0,0,1,1,463,0,0,463,0
318,116,26,363,243,2,0,0,7,1,0,0,0,2,0,0,760,0,3,763,0
319,140,32,279,236,0,1,0,6,1,0,0,0,1,1,1,698,0,4,702,0
320,101,30,433,470,2,4,1,7,0,0,2,1,1,0,0,1052,0,3,1055,0
321,80,18,215,260,0,0,0,2,1,0,0,0,0,0,0,576,0,3,579,0
322,61,13,244,251,3,2,0,2,1,0,0,0,1,0,0,578,0,2,580,0
323,86,18,283,260,0,2,1,2,0,0,1,0,0,0,0,653,0,4,657,0
324,203,28,173,379,0,1,1,5,0,0,0,1,20,2,0,813,0,3,816,0
325,252,34,116,376,0,0,0,1,1,0,1,0,19,0,1,801,0,4,805,0
326,57,11,148,177,0,0,0,1,0,0,0,0,1,0,0,395,0,2,397,0
327,141,27,259,385,1,3,0,2,1,1,0,1,2,1,1,825,0,5,830,0
328,53,22,310,181,10,1,1,4,0,0,0,0,1,1,2,586,0,4,590,0
329,141,33,283,306,1,0,1,2,1,0,0,1,0,1,0,770,0,4,774,0
330,82,19,371,229,1,4,0,3,0,0,0,1,0,3,0,713,0,3,716,0
331,108,13,115,181,1,0,1,1,0,0,0,0,1,0,0,421,0,4,425,0
332,87,13,287,248,0,1,1,4,0,0,1,0,0,0,0,642,0,3,645,0
333,68,21,256,287,0,0,0,4,0,0,1,0,1,0,0,638,0,4,642,0
334,77,16,338,263,4,0,0,1,0,1,1,1,1,1,1,705,0,2,707,0
335,87,6,278,224,3,0,0,5,0,0,0,0,1,0,0,604,0,3,607,0
336,125,12,473,397,2,3,1,10,0,0,1,0,4,1,3,1032,0,11,1043,0
337,149,20,388,440,4,0,2,6,4,0,0,0,0,0,1,1014,0,4,1018,0
338,269,14,133,249,3,3,0,4,0,0,1,0,0,2,0,678,0,15,693,0
339,149,20,292,340,3,0,3,2,0,1,0,1,0,2,0,813,0,3,816,0
340,124,26,290,276,1,2,1,12,0,0,0,0,0,2,2,736,0,3,739,0
341,177,42,320,374,3,0,0,6,1,0,0,0,2,1,0,926,0,8,934,0
342,108,21,292,222,3,0,1,4,0,0,0,0,3,3,0,657,0,3,660,0
343,248,27,338,448,10,1,0,9,1,1,1,1,4,3,1,1093,0,2,1095,0
344,109,12,255,270,1,0,1,4,0,0,1,0,1,2,1,657,0,0,657,0
345,153,18,395,404,3,0,0,10,0,0,2,2,3,1,1,992,0,7,999,0
346,136,50,178,247,0,2,0,0,1,0,0,0,0,1,1,616,0,3,619,0
347,106,55,303,328,4,4,2,12,1,1,0,0,1,0,0,817,0,7,824,0
348,202,26,406,354,1,1,1,8,1,1,0,0,5,3,1,1010,0,3,1013,0
349,136,34,283,352,3,2,0,6,0,1,0,0,1,3,0,821,0,8,829,0
350,95,15,267,231,3,1,0,6,0,0,0,0,0,5,0,623,0,5,628,0
351,114,16,291,333,0,0,0,0,0,0,0,0,1,2,2,759,0,5,764,0
352,152,34,401,397,3,2,1,8,0,0,1,1,3,0,2,1005,0,1,1006,0
353,205,33,300,323,4,0,1,7,0,1,0,0,1,4,1,880,0,10,890,0
354,169,39,265,377,6,1,0,6,0,0,0,0,0,1,0,864,0,3,867,0
355,250,38,240,457,4,0,1,8,0,0,0,0,2,4,1,1005,0,5,1010,0
356,122,9,224,182,0,0,1,3,0,0,0,0,2,1,0,544,0,3,547,0
357,180,21,336,389,6,2,1,7,1,0,0,0,3,0,0,946,0,6,952,0
358,160,27,283,435,1,0,1,5,2,0,0,1,4,1,1,921,0,4,925,0
359,112,33,182,267,3,0,0,2,1,0,1,2,1,1,1,606,0,9,615,0
360,63,22,255,186,2,0,0,7,0,1,0,1,2,1,0,540,0,2,542,0
361,196,39,210,346,2,1,1,2,0,0,1,1,0,1,0,800,0,8,808,0
362,103,20,112,265,2,1,0,4,0,0,1,2,0,1,0,511,0,1,512,0
