Polling Station No,ELANGOVAN. A.R,SIVASAKTHI. M,MANI. R,ADHIYAMAAN. R.V,KRISHNAMOORTHY. D,SURESHKUMAR. S,ARUL PRAKASH. T,GOBINATHAN. R,SANTHALINGAM. C,PERUMAL. S,MANI. V,MANOKARAN. A,MAYAKKANNAN. R,MOHANRAJ. P.M,JEGANATHAN. A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
45,175,20,299,347,2,0,0,2,0,1,2,1,1,4,2,856,0,7,863,0
46,250,35,196,420,4,7,2,11,1,0,0,0,2,0,0,928,0,4,932,0
47,175,24,271,307,1,2,0,4,1,0,1,1,3,2,1,793,0,6,799,0
48,115,17,228,202,0,0,0,4,1,0,0,0,0,0,0,567,0,3,570,0
49,126,20,207,218,1,2,0,6,0,0,0,0,0,0,1,581,0,1,582,0
50,95,15,209,225,2,0,0,5,0,0,0,0,4,0,0,555,0,1,556,0
51,115,18,209,202,3,1,0,4,0,0,0,0,2,1,1,556,0,6,562,0
52,131,16,306,357,0,0,0,7,2,1,0,3,5,2,1,831,0,6,837,0
53,77,10,147,198,0,0,0,4,2,0,0,1,1,0,0,440,0,2,442,0
54,74,7,270,216,2,2,1,4,1,2,0,0,3,2,0,584,0,3,587,0
55,78,9,231,85,0,1,0,1,0,2,1,1,2,1,1,413,0,0,413,0
56,86,10,186,252,1,2,0,2,0,0,0,0,0,1,0,540,0,2,542,0
57,72,15,315,243,0,0,0,5,0,0,0,0,0,0,0,650,0,0,650,0
58,77,8,248,178,3,1,0,3,0,0,0,0,1,0,0,519,0,4,523,1
59,113,30,299,254,1,2,0,2,0,1,1,0,3,0,2,708,0,3,711,0
60,117,17,247,231,0,1,2,4,0,0,0,1,1,2,0,623,0,3,626,0
61,137,21,293,468,2,5,0,12,1,4,0,2,6,4,0,955,0,3,958,0
62,119,38,273,427,1,0,0,3,1,0,2,2,3,1,1,871,0,4,875,0
63,112,32,369,265,1,1,0,5,3,0,0,1,0,0,1,790,0,8,798,0
64,77,27,299,235,1,5,0,7,1,1,0,2,4,2,1,662,0,8,670,0
65,103,15,388,239,4,0,0,5,0,1,0,0,3,0,0,758,0,2,760,0
66,111,17,270,237,2,0,0,3,0,0,0,1,3,0,0,644,0,4,648,0
67,51,6,222,239,0,0,0,5,2,1,0,0,3,3,0,532,0,4,536,0
68,113,12,206,287,2,0,0,9,1,3,0,3,4,4,1,645,0,4,649,0
69,95,16,197,262,0,0,0,2,1,0,0,2,1,0,0,576,0,6,582,0
70,92,11,177,137,1,0,0,2,1,0,0,1,2,0,0,424,0,5,429,0
71,103,12,300,87,0,1,0,3,1,0,0,0,2,0,2,511,0,4,515,0
72,70,18,312,211,2,1,1,7,0,0,1,1,3,3,1,631,0,2,633,0
73,121,20,228,199,0,0,1,3,0,1,0,0,1,0,1,575,0,6,581,0
74,128,20,241,132,3,1,0,1,0,0,1,0,1,2,0,530,0,3,533,0
75,202,19,532,325,1,3,1,9,0,0,0,0,3,1,0,1096,0,2,1098,0
76,181,35,227,286,3,1,1,7,0,0,2,1,1,1,1,747,0,2,749,0
77,101,12,340,287,1,0,0,4,1,0,0,2,4,1,1,754,0,4,758,0
78,111,12,184,183,2,0,0,5,0,0,0,1,1,1,1,501,0,9,510,0
79,63,18,276,248,5,0,0,7,1,0,0,1,2,0,0,621,0,2,623,0
80,81,16,295,215,0,4,0,6,1,1,0,0,3,0,1,623,0,3,626,0
81,107,21,210,159,0,0,0,3,0,0,0,0,0,0,0,500,0,3,503,0
82,176,56,122,279,0,1,0,2,0,0,0,0,2,1,1,640,0,2,642,0
83,79,28,287,288,0,2,0,16,0,0,1,0,3,0,0,704,0,2,706,0
84,101,24,199,205,1,0,0,4,1,1,2,0,1,0,0,539,0,10,549,0
85,94,5,257,298,1,4,0,5,0,0,0,1,4,1,1,671,0,6,677,0
86,63,33,521,345,3,1,1,7,0,0,0,5,4,0,2,985,0,4,989,0
87,185,25,295,287,2,2,0,2,2,0,0,0,0,1,1,802,0,5,807,0
88,80,12,58,273,2,1,1,3,0,0,1,1,1,0,0,433,0,3,436,0
89,126,24,338,287,1,9,1,3,0,0,1,1,0,3,1,795,0,3,798,0
90,93,30,359,338,5,1,0,6,0,0,0,0,2,1,2,837,0,4,841,0
91,100,27,481,393,0,2,0,7,2,1,2,0,1,1,0,1017,0,6,1023,0
92,65,32,247,234,0,2,0,6,0,1,1,1,1,1,2,593,0,4,597,0
93,95,19,246,193,1,0,0,3,1,0,0,0,0,0,0,558,0,3,561,0
94,183,29,240,339,4,2,2,8,0,0,0,0,1,0,2,810,0,9,819,0
95,106,16,361,249,1,8,0,5,0,0,0,0,1,1,0,748,0,3,751,0
96,86,11,149,129,1,0,0,5,0,0,0,1,1,0,0,383,0,4,387,0
97,128,29,363,422,2,3,1,6,1,1,2,0,3,0,1,962,0,7,969,0
98,192,23,239,265,1,1,0,0,2,0,0,1,1,1,0,726,0,2,728,0
99,160,36,305,346,1,0,0,1,2,0,0,0,0,2,0,853,0,3,856,0
100,164,25,281,343,0,2,0,6,2,0,0,0,2,3,1,829,0,1,830,0
101,199,27,299,410,1,0,0,5,0,0,0,0,3,0,0,944,0,3,947,0
102,160,20,335,321,1,1,1,6,0,0,0,0,0,1,0,846,0,5,851,0
103,121,10,353,314,0,1,3,7,0,1,0,0,1,1,1,813,0,6,819,0
104,121,15,312,223,2,0,0,3,0,0,0,2,1,2,0,681,0,2,683,0
105,68,13,192,119,1,1,0,1,0,0,1,0,1,1,0,398,0,0,398,0
106,141,29,453,378,1,2,0,7,0,0,2,2,2,1,2,1020,0,2,1022,0
107,105,31,374,393,2,1,0,10,0,1,0,0,6,1,3,927,0,4,931,0
108,189,33,365,383,0,3,0,0,0,0,0,0,0,0,2,975,0,9,984,0
109,83,8,334,283,1,0,1,3,0,0,1,0,1,2,0,717,0,3,720,0
110,121,11,131,242,1,1,0,3,0,0,0,0,0,0,0,510,0,2,512,0
111,73,26,319,228,1,0,0,4,2,0,0,0,2,0,1,656,0,4,660,0
112,111,19,315,251,0,0,0,5,1,0,1,0,1,2,2,708,0,5,713,0
113,103,17,264,162,0,0,0,5,0,0,1,0,1,0,0,553,0,1,554,0
114,130,16,385,252,0,0,0,2,1,2,0,0,1,1,0,790,0,4,794,0
115,95,16,327,282,1,0,0,5,0,1,0,0,5,0,1,733,0,5,738,0
116,71,9,182,160,2,0,0,3,0,0,0,0,0,0,1,428,0,0,428,0
117,100,13,239,223,1,0,0,5,0,2,1,1,0,1,1,587,0,1,588,0
118,65,10,256,148,0,0,0,0,0,0,0,0,1,0,0,480,0,2,482,0
119,120,18,257,328,4,0,0,2,0,0,0,1,2,0,0,732,0,3,735,0
120,121,36,407,339,1,1,1,6,0,0,0,0,3,0,0,915,0,7,922,0
121,77,8,221,253,0,0,2,5,0,0,0,0,1,1,0,568,0,0,568,0
122,97,14,274,272,3,4,0,3,0,0,0,0,3,0,0,670,0,4,674,0
123,292,23,190,366,3,2,1,3,0,0,0,0,5,0,1,886,0,1,887,0
124,211,15,338,327,1,1,2,7,1,0,1,1,1,0,1,907,0,7,914,0
125,55,6,168,259,8,0,0,3,1,1,0,0,7,0,0,508,0,2,510,0
126,140,35,243,349,3,0,2,4,1,0,0,1,10,4,2,794,0,6,800,0
127,195,21,408,215,3,0,1,5,0,0,0,0,4,2,1,855,0,3,858,0
128,53,10,207,190,2,0,0,2,1,0,1,0,2,2,0,470,0,3,473,0
129,116,21,358,444,0,0,0,9,3,1,1,2,7,6,0,968,0,6,974,0
130,103,29,213,191,0,1,0,2,0,1,0,1,1,2,0,544,0,3,547,0
