Polling Station No,T.J.GOVINDARAJAN,SUDHAKAR.V,M.JAGADEESAN,"R.SRIDAR. B.L.,",SDK SANKAR,K. CHANDRA SEKAR,S.VIJAYAKUMAR,M.KUMARAN,GOPAL.K,T.GOVINDAN,A.H. SIVA GANESH,D.SUDHAKAR,V.SUDHAKAR,D.DINESH,G.RANJITH B.SC.L.L.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,170,185,1,14,0,0,279,2,0,0,0,1,0,0,1,653,0,0,653,0
2,75,136,2,8,0,0,263,1,1,0,0,1,0,1,0,488,0,0,488,0
3,170,232,2,15,1,0,318,1,1,0,1,1,2,0,0,744,0,1,745,0
4,299,204,2,17,4,0,229,2,0,2,0,0,0,1,0,760,0,3,763,0
5,177,161,0,24,0,2,468,1,3,3,2,0,0,3,0,844,0,1,845,0
6,196,64,1,14,0,2,233,1,1,1,0,0,0,0,2,515,0,0,515,0
7,143,119,2,25,0,0,320,1,0,0,0,0,1,0,1,612,0,0,612,0
8,172,139,1,8,0,1,134,1,0,1,1,0,0,1,1,460,0,1,461,0
9,244,203,1,18,0,0,314,1,2,1,0,1,0,0,1,786,0,3,789,0
10,263,221,0,18,8,1,308,1,1,0,0,1,1,0,3,826,0,1,827,0
11,141,138,1,10,5,0,155,0,0,0,0,1,0,0,0,451,0,2,453,0
12,229,207,2,18,1,3,352,3,2,1,1,1,0,0,1,821,0,2,823,0
13,148,129,1,14,3,2,361,0,0,0,0,1,1,0,0,660,0,1,661,0
14,121,96,3,10,2,1,305,3,2,0,2,1,0,0,1,547,0,2,549,0
15,198,85,0,9,1,0,357,0,1,4,1,0,2,1,1,660,0,3,663,0
16,255,190,8,14,0,0,290,2,0,1,0,0,0,1,2,763,0,4,767,0
17,168,197,3,16,0,1,260,1,0,1,0,1,0,1,1,650,0,0,650,0
18,154,128,1,6,0,1,266,1,0,0,1,2,1,0,2,563,0,6,569,0
19,153,115,1,8,0,2,202,0,0,0,0,0,0,0,0,481,0,2,483,0
20,291,109,5,4,0,0,252,0,1,0,0,1,0,0,0,663,0,1,664,0
21,268,113,1,19,0,0,392,1,1,2,1,0,0,1,2,801,0,4,805,0
22,123,71,1,10,0,1,296,1,0,0,0,1,2,0,1,507,0,4,511,0
23,229,248,3,8,0,0,280,0,0,0,0,3,1,1,1,774,0,2,776,0
24,137,57,3,16,0,2,209,0,0,0,0,0,0,0,0,424,0,0,424,0
25,216,153,5,22,1,4,349,2,3,1,0,1,1,1,1,760,0,1,761,0
26,88,300,0,17,29,0,139,0,0,0,0,3,0,0,1,577,0,0,577,0
27,107,278,2,5,6,1,74,1,0,0,0,0,1,0,2,477,0,2,479,0
28,155,261,2,17,1,1,284,2,0,1,0,3,1,1,5,734,0,6,740,0
29,135,89,0,13,0,0,312,0,1,2,2,1,2,0,0,557,0,6,563,0
30,195,462,0,21,11,1,237,3,0,1,0,4,1,0,3,939,0,1,940,0
31,93,358,3,6,7,2,229,1,1,1,0,1,0,1,2,705,0,2,707,0
32,125,399,0,11,12,0,246,2,3,0,0,1,1,0,0,800,0,2,802,0
33,114,293,1,7,9,1,159,0,1,1,0,3,1,0,3,593,0,3,596,0
34,110,165,5,18,62,0,222,1,1,4,0,0,1,1,5,595,0,8,603,0
35,162,262,2,20,2,1,203,1,1,0,1,1,1,0,0,657,0,2,659,0
36,160,379,1,14,2,1,267,2,1,1,0,3,2,1,1,835,0,0,835,0
37,146,282,5,27,5,2,292,3,0,0,0,3,1,0,1,767,0,3,770,0
38,101,145,2,7,1,0,200,1,2,0,0,5,0,1,3,468,0,1,469,0
39,132,435,0,17,5,3,250,0,0,5,0,3,1,3,1,855,0,2,857,0
40,140,376,2,24,1,0,256,0,2,0,0,4,1,0,0,806,0,3,809,0
41,167,385,3,21,1,0,220,0,2,1,0,0,0,0,1,801,0,3,804,0
42,114,537,3,18,3,0,235,0,0,0,0,1,0,0,0,911,0,2,913,0
43,155,506,1,20,7,1,307,1,2,0,4,2,1,1,5,1013,0,4,1017,0
44,168,245,6,13,3,0,271,0,0,0,0,3,1,1,1,712,0,2,714,0
45,163,347,2,20,7,2,274,2,1,1,1,2,2,1,1,826,0,6,832,0
46,64,382,3,15,14,2,257,2,1,1,1,3,2,1,2,750,0,4,754,0
47,253,200,1,33,4,2,324,0,1,0,0,0,1,0,1,820,0,3,823,0
48,117,288,1,20,14,2,269,2,0,0,1,0,0,1,2,717,0,0,717,0
49,83,241,0,23,32,0,261,0,0,3,0,2,1,0,0,646,0,1,647,0
50,234,206,2,13,1,1,378,0,1,2,1,2,1,0,3,845,0,5,850,0
51,184,296,3,20,6,1,339,1,1,2,1,2,2,1,2,861,0,2,863,0
52,107,160,0,7,3,1,148,0,0,0,1,0,1,0,0,428,0,2,430,0
53,182,514,2,23,24,0,214,2,2,1,0,4,0,3,3,974,0,4,978,0
54,178,108,0,25,5,6,350,0,1,1,0,0,0,1,1,676,0,1,677,0
55,119,245,0,16,2,0,128,7,0,0,0,2,0,0,0,519,0,3,522,0
56,228,257,2,23,0,2,429,0,0,0,0,4,0,2,1,948,0,1,949,0
57,142,132,1,20,1,0,323,0,0,2,1,0,1,0,3,626,0,6,632,0
58,207,232,4,14,0,4,328,1,0,1,0,1,0,2,0,794,0,0,794,0
59,220,200,3,5,1,3,367,1,1,3,0,2,0,2,2,810,0,8,818,0
60,276,209,5,33,1,5,524,3,1,0,0,2,0,3,1,1063,0,4,1067,0
61,239,84,5,6,1,0,165,0,1,0,0,0,0,0,2,503,0,4,507,0
62,280,98,3,13,0,1,299,2,0,0,0,1,0,1,0,698,0,4,702,0
63,212,92,4,26,0,3,437,1,0,0,0,1,1,0,1,778,0,2,780,0
64,165,54,1,15,0,1,193,2,0,1,0,0,1,0,1,434,0,2,436,0
65,262,66,0,22,0,1,293,3,1,0,1,0,5,2,3,659,0,5,664,0
66,167,156,0,3,0,0,274,0,0,2,0,1,0,1,1,605,0,1,606,0
67,139,103,0,6,0,0,184,0,0,0,0,1,0,1,2,436,0,2,438,0
68,202,91,0,7,0,1,237,0,0,0,0,0,0,0,1,539,0,3,542,0
69,275,192,0,8,0,0,291,0,0,1,0,0,0,1,1,769,0,2,771,0
70,254,104,0,13,1,0,327,0,0,0,0,0,0,1,0,700,0,2,702,0
71,206,121,3,17,1,2,433,0,0,2,0,4,1,1,4,795,0,6,801,0
72,194,82,0,4,0,0,188,0,0,1,0,0,1,0,0,470,0,1,471,0
73,154,48,1,7,1,1,262,0,1,0,0,1,0,0,0,476,0,1,477,0
74,152,48,2,15,0,0,340,0,0,0,0,0,0,0,1,558,0,5,563,0
75,148,60,2,10,1,0,206,1,1,0,0,1,1,0,0,431,0,2,433,0
76,211,166,4,4,0,2,256,0,0,1,2,2,0,1,0,649,0,1,650,0
77,268,91,0,16,1,0,442,0,1,0,0,0,0,0,3,822,0,0,822,0
78,189,118,0,8,2,0,245,0,0,0,1,0,0,1,1,565,0,2,567,0
79,198,172,3,18,1,1,390,0,0,0,1,0,3,0,0,787,0,4,791,0
80,193,155,1,17,2,1,295,3,1,0,2,1,0,0,1,672,0,4,676,0
81,243,119,7,19,0,0,352,5,1,1,1,1,0,2,1,752,0,6,758,0
82,79,49,1,4,1,2,234,0,1,0,0,1,0,1,2,375,0,0,375,0
83,96,82,0,3,1,0,186,1,1,0,0,1,0,0,2,373,0,1,374,0
84,178,103,3,6,0,2,375,1,1,1,1,1,0,2,2,676,0,8,684,0
85,317,190,5,8,0,1,466,0,0,0,0,3,2,2,8,1002,0,7,1009,0
86,108,82,0,3,0,0,249,1,0,1,0,1,2,0,0,447,0,1,448,0
87,103,112,0,12,0,0,191,0,3,0,0,1,2,1,4,429,0,2,431,0
88,162,302,1,15,9,0,229,2,1,0,0,1,3,3,3,731,0,1,732,0
89,176,147,0,19,2,2,257,1,0,1,0,0,0,0,1,606,0,2,608,0
90,132,199,2,7,1,1,292,0,0,1,0,1,0,0,2,638,0,1,639,0
91,214,298,1,9,2,1,378,1,0,1,1,4,0,0,0,910,0,1,911,0
92,173,172,5,22,0,0,361,0,0,1,0,0,0,1,1,736,0,5,741,0
93,156,180,1,28,1,3,329,1,1,0,0,1,1,2,4,708,0,6,714,0
94,110,244,0,13,0,0,217,0,0,0,0,1,1,0,0,586,0,2,588,0
95,158,174,14,33,1,5,423,0,0,2,0,0,1,1,2,814,0,3,817,0
96,170,259,2,28,4,0,329,1,1,0,0,1,2,1,1,799,0,1,800,0
97,156,176,3,40,1,0,376,0,0,1,1,0,1,0,2,757,0,0,757,0
98,222,182,4,51,1,1,469,1,0,0,0,0,2,0,0,933,0,3,936,0
99,90,25,19,11,0,0,120,0,0,1,0,0,1,1,0,268,0,1,269,0
100,257,75,4,27,0,0,220,1,0,0,0,0,0,0,0,584,0,2,586,0
101,194,62,2,13,0,0,169,0,0,0,0,0,0,0,0,440,0,0,440,0
102,74,227,1,16,3,1,199,0,1,0,0,0,0,0,3,525,0,0,525,0
103,119,161,0,18,6,1,181,1,0,0,0,0,1,0,0,488,0,2,490,0
104,151,138,0,24,0,0,248,0,0,0,1,0,0,0,0,562,0,0,562,0
105,106,343,4,19,4,1,208,3,0,0,0,1,2,3,5,699,0,3,702,0
106,181,509,2,22,16,2,258,2,1,0,2,2,3,1,3,1004,0,7,1011,0
107,126,474,2,14,4,0,257,3,2,1,1,2,2,0,2,890,0,3,893,0
108,143,435,35,20,6,0,299,0,0,1,1,5,0,0,5,950,0,5,955,0
109,125,541,2,26,10,1,288,2,0,1,0,1,2,1,0,1000,0,1,1001,0
110,143,56,8,6,0,1,258,0,0,2,0,0,0,0,0,474,0,4,478,0
111,199,111,6,13,0,1,352,2,3,0,0,0,1,0,0,688,0,3,691,0
112,120,68,6,24,0,1,297,3,0,0,0,0,0,2,3,524,0,2,526,0
113,250,112,3,5,0,2,359,0,0,4,0,0,1,0,4,740,0,5,745,0
114,193,264,7,16,0,2,294,1,1,1,0,0,1,1,1,782,0,1,783,0
115,204,124,4,13,0,0,241,0,1,0,0,0,0,0,0,587,0,1,588,0
116,212,226,15,6,2,2,237,0,1,0,1,1,0,0,1,704,0,2,706,0
117,178,206,0,20,1,0,286,2,0,1,0,1,0,1,0,696,0,4,700,0
118,185,168,3,13,2,1,315,1,0,1,1,0,0,0,1,691,0,3,694,0
119,228,131,3,29,0,1,309,1,1,0,1,0,1,0,0,705,0,3,708,0
120,148,242,1,14,0,1,197,1,1,0,0,3,1,0,0,609,0,2,611,0
121,164,215,2,16,0,1,225,0,0,0,0,1,0,1,2,627,0,4,631,0
122,207,283,1,19,0,0,268,1,1,0,0,1,1,0,1,783,0,4,787,0
123,162,33,1,4,1,0,194,1,1,1,0,0,0,1,1,400,0,1,401,0
124,193,68,2,5,1,1,387,0,1,0,0,1,0,1,0,660,0,1,661,0
125,184,135,4,23,0,0,290,0,0,1,0,1,0,1,2,641,0,2,643,0
126,133,103,1,14,0,1,206,0,1,0,0,0,0,0,2,461,0,2,463,0
127,120,82,1,17,3,0,181,0,0,1,0,0,0,0,0,405,0,0,405,0
128,75,108,1,8,1,1,166,0,1,0,0,0,0,0,0,361,0,0,361,0
129,147,170,1,13,0,3,326,0,0,0,0,0,0,1,0,661,0,1,662,0
130,143,114,1,10,1,1,168,0,0,0,0,1,0,0,0,439,0,1,440,0
131,177,146,5,17,1,0,303,2,0,0,0,0,1,0,0,652,0,1,653,0
132,215,164,2,22,3,0,291,1,0,0,1,0,0,0,1,700,0,4,704,0
133,97,102,0,12,1,0,184,0,0,0,0,1,1,0,0,398,0,0,398,0
134,163,72,0,6,1,0,170,0,0,1,0,0,0,1,0,414,0,1,415,0
135,122,81,0,5,0,0,172,0,0,1,0,1,0,0,1,383,0,0,383,0
136,171,99,0,19,1,0,180,1,0,0,0,1,0,1,0,473,0,0,473,0
137,291,166,2,28,0,0,264,1,0,1,0,0,0,0,2,755,0,6,761,0
138,112,146,0,20,1,0,296,1,1,0,0,0,0,0,2,579,0,1,580,0
139,85,138,0,15,0,4,169,0,1,0,2,0,0,0,0,414,0,2,416,0
140,90,116,1,21,0,2,180,0,1,1,0,0,0,0,1,413,0,0,413,0
141,112,151,2,15,1,0,250,1,0,0,0,0,1,1,0,534,0,1,535,0
142,102,161,3,5,2,1,194,1,1,0,0,1,0,0,1,472,0,0,472,0
143,195,181,5,29,0,1,334,1,0,0,0,0,0,0,1,747,0,3,750,0
144,115,134,0,19,2,0,271,0,0,1,0,1,0,0,0,543,0,1,544,0
145,120,108,1,11,1,0,141,1,0,0,0,0,1,0,0,384,0,1,385,0
146,150,171,1,31,3,2,425,0,1,2,0,3,1,2,1,793,0,7,800,0
147,99,90,1,16,1,1,350,0,0,2,0,1,3,0,2,566,0,4,570,0
148,99,100,1,5,2,2,286,0,1,0,0,1,0,0,1,498,0,0,498,0
149,70,65,2,11,0,0,230,0,0,0,1,0,0,1,2,382,0,3,385,0
150,124,83,0,10,1,0,241,1,0,0,0,0,0,0,1,461,0,0,461,0
151,203,202,2,19,0,0,312,2,0,0,0,0,0,0,3,743,0,1,744,0
152,249,161,1,24,6,2,374,0,0,2,0,0,1,2,1,823,0,6,829,0
153,247,179,3,20,1,1,230,1,0,0,0,0,0,1,2,685,0,1,686,0
154,81,316,0,13,6,0,204,0,1,0,0,2,0,0,3,626,0,3,629,0
155,172,199,2,12,0,1,288,2,0,1,0,0,0,1,0,678,0,2,680,0
156,65,390,0,15,0,0,169,0,0,1,0,2,1,2,0,645,0,0,645,0
157,83,249,0,23,1,1,162,0,1,1,0,3,1,0,5,530,0,2,532,0
158,126,196,1,11,0,0,186,2,0,1,0,0,0,0,1,524,0,2,526,0
159,114,102,0,2,0,0,159,0,0,0,0,1,0,0,1,379,0,2,381,0
160,265,307,4,11,0,1,428,3,0,0,0,3,2,3,1,1028,0,5,1033,0
161,148,114,0,14,0,1,314,0,0,0,2,0,0,0,1,594,0,3,597,0
162,272,264,3,16,0,1,277,1,1,1,0,0,1,1,1,839,0,1,840,0
163,201,114,1,7,0,0,239,0,0,0,0,1,0,0,2,565,0,1,566,0
164,187,125,1,5,1,0,242,0,0,1,0,1,0,0,0,563,0,1,564,0
