Polling Station No,Candidate_1,LALLAVIRAP .T,ABEEHTARP,NAHDAM .N,NITRAM ESORAMEEL,YRAM ETALUCAMMI .K,NAYIHZEHCNALE .P,SSODUSEY .E,NANHSIRK AP UK,NANAVARAS .P,NIHPESOJ,UHTUMIRAVAS NALAMA .A,NANHSIRK .M,RAMUKLIHTNES .K,NASARALIMAT .R,JARAMRAHD .K,R. YHTROOMANAHD,RAMUKHSENID .R,UBMALISNOP .R,NAHKILA ROOSNAM,YMASUHTUM .V,QIDDIS RAKKABUBA DEMAHOM,RAMUKHSEMAR .M,NIASSUH REEKAJ HANNIJ,SSODNOMALAS NAGEJ .A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
132,132,241,1,25,263,1,0,0,263,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,800,0,6,806,0
133,133,178,0,22,201,3,0,3,232,0,0,1,0,0,0,0,0,2,0,1,2,0,1,0,1,647,0,1,648,0
134,134,124,1,20,169,3,0,0,188,0,0,0,0,3,0,1,2,2,4,0,0,0,0,0,0,517,0,0,517,0
135,135,269,2,34,147,2,1,1,272,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,733,0,1,734,0
136,136,109,1,9,103,1,0,1,107,0,1,1,0,0,0,0,0,2,1,0,0,0,0,2,0,338,0,2,340,0
137,137,157,0,11,106,0,1,0,131,0,5,0,0,0,0,1,1,2,1,1,1,0,1,0,0,419,0,2,421,0
138,138,239,3,26,131,0,0,0,312,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,716,0,1,717,0
139,139,195,1,42,233,2,0,3,336,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,817,0,3,820,0
140,140,332,1,22,144,0,4,1,229,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,738,0,0,738,0
141,141,260,0,32,168,1,0,1,215,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,681,0,3,684,0
142,142,185,1,38,186,2,0,0,261,1,1,1,0,0,0,0,0,3,3,3,0,1,2,0,2,690,0,0,690,0
143,143,282,2,24,152,0,1,0,282,1,0,0,0,0,0,0,3,2,2,1,0,0,0,0,1,753,0,0,753,0
144,144,173,0,25,113,0,0,1,204,0,0,0,0,0,0,1,4,1,2,0,0,0,1,1,0,526,0,1,527,0
145,145,220,1,17,274,1,0,0,257,2,0,0,0,0,0,1,0,2,2,0,2,0,2,1,0,782,0,3,785,0
146,146,219,0,28,211,1,0,0,201,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,665,0,2,667,0
147,147,199,1,25,265,2,0,0,182,0,0,0,0,0,0,0,1,3,1,0,2,0,2,0,0,683,0,0,683,0
148,148,159,1,14,285,2,0,0,183,0,0,0,0,2,1,0,0,5,1,1,1,0,0,0,0,655,0,1,656,0
149,149,174,0,27,94,0,0,1,178,0,0,0,1,1,0,0,1,3,1,1,0,1,0,0,1,484,0,1,485,0
150,150,174,2,14,141,0,0,0,161,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,498,0,1,499,0
151,151,198,2,22,110,0,0,0,160,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,497,0,0,497,0
152,152,176,1,14,341,4,0,0,218,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,760,0,0,760,0
153,153,268,1,32,231,0,3,0,284,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,0,825,0,2,827,0
154,154,215,1,9,206,0,0,0,295,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,729,0,1,730,0
155,155,142,0,21,114,0,1,0,253,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,535,0,1,536,0
156,156,185,0,18,253,2,1,0,343,0,5,1,0,0,0,1,0,0,1,0,0,0,1,3,0,814,0,5,819,0
157,157,290,0,20,218,0,2,1,254,1,1,0,1,1,0,3,0,2,0,1,1,0,0,1,0,797,0,1,798,0
158,158,261,2,24,151,0,1,1,295,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,742,0,3,745,0
159,159,283,0,37,140,1,0,1,242,0,0,0,1,0,2,0,0,2,2,0,0,0,0,0,0,711,0,2,713,0
160,160,213,0,37,163,2,0,1,284,2,0,1,0,1,0,0,3,3,0,1,0,0,0,1,0,712,0,4,716,0
161,161,225,1,37,322,0,0,1,294,1,1,0,1,0,0,0,1,0,2,0,1,0,1,0,0,888,0,4,892,0
162,162,96,0,17,224,0,0,1,169,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,512,0,0,512,0
163,163,229,0,15,129,0,0,1,242,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,621,0,1,622,0
164,164,254,1,24,164,2,1,0,244,1,3,0,0,1,0,0,1,0,2,0,0,0,1,1,0,700,0,2,702,0
165,165,272,0,36,306,2,1,0,365,0,9,0,0,1,0,1,0,4,1,0,0,0,0,1,1,1000,0,2,1002,0
166,166,318,0,22,252,2,1,0,290,0,0,1,0,1,0,1,0,1,1,0,0,1,1,2,1,895,0,1,896,0
167,167,219,1,12,218,3,0,0,233,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,689,0,1,690,0
168,168,288,3,48,236,3,1,0,221,1,0,0,0,0,0,1,1,2,3,0,0,2,2,0,0,812,0,3,815,0
169,169,194,1,18,288,0,0,1,192,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,698,0,0,698,0
170,170,201,1,15,140,1,0,1,264,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,627,0,1,628,0
171,171,221,1,11,154,1,0,0,197,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,0,592,0,1,593,0
172,172,203,2,14,244,0,0,1,255,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,725,0,3,728,0
173,173,324,1,15,63,0,0,0,157,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,566,0,1,567,0
174,174,132,0,12,129,0,0,2,177,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,454,0,1,455,0
175,175,113,1,12,151,1,0,0,170,0,0,0,0,0,0,0,1,1,0,0,1,0,1,3,0,455,0,1,456,0
176,176,143,1,20,128,2,0,3,252,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,554,0,3,557,0
177,177,196,1,19,130,0,0,0,222,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,572,0,2,574,0
178,178,272,2,27,221,0,0,1,262,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,790,0,4,794,0
179,179,264,3,2,74,0,0,0,193,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,541,0,2,543,0
180,180,160,0,16,146,1,1,0,169,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,496,0,0,496,0
181,181,163,1,22,192,1,0,2,218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,3,603,0
182,182,207,2,17,170,0,0,2,191,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,595,0,2,597,0
183,183,214,1,22,150,1,0,1,174,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,567,0,3,570,0
184,184,296,0,11,132,1,0,0,223,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,665,0,0,665,0
185,185,183,1,21,85,0,0,1,178,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,477,0,1,478,0
186,186,161,1,22,146,0,0,1,123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,457,0,0,457,0
187,187,109,1,12,198,1,0,0,143,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,470,0,0,470,0
188,188,109,2,8,185,2,0,1,118,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,428,0,3,431,0
189,189,124,3,15,183,0,1,0,140,0,0,0,0,0,0,0,0,2,6,0,1,0,1,2,1,479,0,0,479,0
190,190,156,1,13,139,0,0,0,137,1,0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,455,0,0,455,0
191,191,216,2,11,254,3,0,0,181,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,671,0,1,672,0
192,192,226,2,19,293,2,1,2,182,1,0,0,1,0,0,0,0,1,0,1,2,0,1,1,0,735,0,0,735,0
193,193,304,1,25,168,0,3,0,239,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,1,747,0,0,747,0
194,194,229,0,22,196,1,0,1,197,0,0,0,0,1,0,0,1,2,2,0,1,0,0,0,0,653,0,2,655,0
195,195,270,2,34,329,0,0,1,266,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,907,0,3,910,0
196,196,95,0,14,123,1,0,0,80,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,318,0,0,318,0
197,197,252,2,22,289,1,0,0,259,1,0,1,0,1,0,0,0,1,2,0,3,0,1,0,0,835,0,1,836,0
198,198,264,0,26,143,2,0,0,247,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,686,0,1,687,0
199,199,217,1,22,235,1,0,2,242,0,1,0,0,0,0,1,1,3,4,0,0,0,1,2,0,733,0,1,734,0
200,200,152,2,13,216,0,1,1,213,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,604,0,3,607,0
201,201,175,1,25,339,4,0,0,345,0,0,0,2,0,1,1,0,3,1,0,2,0,0,0,1,900,0,1,901,0
202,202,181,1,25,355,1,0,0,288,0,0,0,0,0,0,0,0,1,4,0,4,0,0,4,1,865,0,1,866,0
203,203,164,0,10,168,1,1,0,195,0,4,0,0,0,0,1,0,1,3,1,0,0,0,2,0,551,0,0,551,0
204,204,107,0,19,138,1,0,0,140,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,410,0,4,414,0
205,205,119,0,13,76,0,0,1,104,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,317,0,0,317,0
206,206,255,1,12,139,1,0,3,194,3,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,616,0,1,617,0
207,207,112,0,6,140,1,0,0,141,1,0,0,0,0,0,1,1,3,2,0,0,0,2,0,0,410,0,0,410,0
208,208,143,3,23,325,3,0,0,228,0,1,0,0,2,0,0,0,3,0,1,2,0,1,0,1,736,0,2,738,0
209,209,162,2,9,135,0,0,0,145,2,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,462,0,2,464,0
210,210,169,0,20,237,2,0,0,187,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,1,622,0,0,622,0
211,211,230,0,24,326,1,0,1,277,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,861,0,5,866,0
212,212,196,0,21,221,0,0,1,214,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,654,0,0,654,0
213,213,176,0,34,178,1,0,2,234,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,629,0,1,630,0
214,214,146,0,7,169,1,1,0,156,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,482,0,1,483,0
215,215,285,0,10,198,0,0,0,135,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,634,0,1,635,0
216,216,286,1,41,287,3,0,1,251,2,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,878,0,2,880,0
