Polling Station No,Candidate_1,LALLAVIRAP .T,ABEEHTARP,NAHDAM .N,NITRAM ESORAMEEL,YRAM ETALUCAMMI .K,NAYIHZEHCNALE .P,SSODUSEY .E,NANHSIRK AP UK,NANAVARAS .P,NIHPESOJ,UHTUMIRAVAS NALAMA .A,NANHSIRK .M,RAMUKLIHTNES .K,NASARALIMAT .R,JARAMRAHD .K,R. YHTROOMANAHD,RAMUKHSENID .R,UBMALISNOP .R,NAHKILA ROOSNAM,YMASUHTUM .V,QIDDIS RAKKABUBA DEMAHOM,RAMUKHSEMAR .M,NIASSUH REEKAJ HANNIJ,SSODNOMALAS NAGEJ .A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
262,262,181,1,25,246,2,0,0,177,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,638,0,1,639,0
263,263,219,0,10,138,0,0,0,108,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,479,0,0,479,0
264,264,238,0,23,265,3,3,0,163,0,0,2,0,0,2,0,0,3,3,0,2,3,0,0,1,711,0,0,711,0
265,265,173,3,67,444,4,0,0,191,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,889,0,1,890,0
266,266,185,1,52,255,1,0,0,211,1,2,0,1,0,1,0,3,2,1,0,1,0,0,0,0,717,0,2,719,0
267,267,128,1,32,184,0,0,0,133,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,483,0,1,484,0
268,268,147,0,43,201,3,1,0,151,1,2,1,0,1,0,2,2,5,0,1,1,0,1,0,0,563,0,0,563,0
269,269,173,1,24,231,1,0,1,173,1,0,0,0,1,0,0,1,1,4,1,2,0,0,0,0,615,0,3,618,0
270,270,299,0,49,354,0,0,1,177,0,2,0,0,0,0,0,0,3,3,0,2,0,0,0,1,891,0,0,891,0
271,271,89,0,18,111,0,0,0,76,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,299,0,2,301,0
272,272,248,1,37,252,2,0,1,220,3,0,1,0,3,0,0,0,1,0,0,1,0,1,0,0,771,0,1,772,0
273,273,123,0,23,205,1,0,1,158,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,516,0,2,518,0
274,274,221,1,23,139,0,1,1,144,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,533,0,0,533,0
275,275,174,0,9,235,2,0,0,128,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,553,0,1,554,0
276,276,152,2,35,278,0,1,0,185,0,0,0,0,0,0,1,2,1,0,3,3,0,0,1,0,664,0,0,664,0
