Polling Station No,Candidate_1,NAVOGNALE .R,JARAYADURI OGINI .S,V. YMASANHSIRK.RD,NARAKESAJAR .G,JARAVLES DNANA,HTANIBOG .N,S. RAMUKUS,RAMUK ADNAN .C,RAMUKUHTUM .R,AJAR LAYOR,K. YAJIV,AM. IJAANAHOM AIAJIV,YAJIV HPESOJ .C,NAHTANAGALU IAGNAG .T,S. NANNAK,JARAYAGAS SELRAHC .P,DNANA NAITSABES .G,MAVLES REENNAP .S,YTSIRHC TREBOR .J,NARDNEJAR .P,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
274,274,0,209,31,60,1,0,0,0,0,0,0,1,302,0,0,1,0,1,0,0,606,0,4,610,0
275,275,0,178,30,70,0,0,0,2,0,0,1,2,291,1,0,7,0,0,0,1,583,0,0,583,0
276,276,0,250,19,60,0,0,0,1,0,0,1,1,377,1,1,4,0,0,0,0,715,0,0,715,0
277,277,0,280,33,96,0,1,1,0,0,0,0,0,443,2,1,2,0,0,0,0,859,0,5,864,0
278,278,2,256,29,75,0,0,0,0,0,1,0,1,303,0,0,1,0,0,0,0,668,0,2,670,0
279,279,2,241,27,81,0,1,0,0,0,0,0,0,337,1,0,1,0,0,0,0,691,0,2,693,0
280,280,0,209,20,58,0,0,1,0,0,0,1,2,252,1,0,1,0,0,0,0,545,0,3,548,0
281,281,1,131,20,55,0,0,0,2,0,0,0,1,254,0,1,4,0,0,0,1,470,0,3,473,0
282,282,0,193,22,68,0,0,0,2,0,0,0,1,315,0,0,0,0,0,0,1,602,0,3,605,0
283,283,0,183,33,51,0,0,0,0,0,0,1,1,264,0,0,0,0,0,1,0,534,0,8,542,0
284,284,0,213,17,83,0,0,0,0,1,0,0,0,237,0,0,2,0,0,0,0,553,0,3,556,0
285,285,3,213,23,64,1,0,0,0,0,0,1,1,176,1,1,0,0,0,0,1,485,0,4,489,0
286,286,0,191,8,63,0,0,0,1,0,0,0,0,216,0,0,1,0,0,0,0,480,0,6,486,0
287,287,0,187,23,103,0,1,0,1,0,1,1,3,244,0,0,0,0,1,0,0,565,0,5,570,0
288,288,3,195,23,92,0,0,1,0,0,0,2,0,277,0,0,0,1,0,0,1,595,0,1,596,0
289,289,2,114,25,27,1,0,0,7,1,0,0,0,236,0,2,1,1,0,0,0,417,0,2,419,0
290,290,0,178,6,59,0,0,0,0,0,0,0,1,232,0,0,0,0,3,0,0,479,0,2,481,0
291,291,2,223,21,57,0,0,0,2,0,0,0,0,256,0,0,0,0,0,0,0,561,0,3,564,0
292,292,2,245,25,52,1,0,0,0,0,0,0,1,304,1,0,2,0,1,0,0,634,0,2,636,0
293,293,1,269,18,53,0,0,0,0,0,0,1,0,218,0,2,0,0,0,0,0,562,0,0,562,0
294,294,3,213,10,48,0,0,0,0,0,0,0,0,258,1,0,0,0,0,0,1,534,0,2,536,0
295,295,1,217,23,51,0,0,0,1,0,0,0,0,217,1,0,0,0,0,0,0,511,0,0,511,0
296,296,0,180,18,45,1,0,1,1,0,1,1,1,222,0,1,1,2,0,0,1,476,0,1,477,0
297,297,0,145,7,43,1,0,0,0,0,1,2,0,219,0,0,1,0,0,0,1,420,0,1,421,0
298,298,1,236,17,47,1,0,0,0,0,0,1,1,244,0,1,2,1,0,0,0,552,0,1,553,0
299,299,0,223,12,32,0,0,1,1,0,0,0,0,205,1,0,2,1,0,0,1,479,0,2,481,0
300,300,2,248,18,60,0,0,0,0,0,1,2,0,371,0,0,0,3,0,0,0,705,0,0,705,0
301,301,0,225,30,46,0,0,0,0,0,1,0,0,248,0,0,1,0,1,0,0,552,0,1,553,0
302,302,1,287,15,44,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,566,0,4,570,0
303,303,2,200,40,124,0,1,0,0,0,1,2,1,446,0,4,5,1,2,0,0,829,0,2,831,0
304,304,1,172,22,96,1,0,1,8,0,1,1,2,416,0,1,1,2,0,0,0,725,0,2,727,0
