Polling Station No,Candidate_1,NAVOGNALE .R,JARAYADURI OGINI .S,V. YMASANHSIRK.RD,NARAKESAJAR .G,JARAVLES DNANA,HTANIBOG .N,S. RAMUKUS,RAMUK ADNAN .C,RAMUKUHTUM .R,AJAR LAYOR,K. YAJIV,AM. IJAANAHOM AIAJIV,YAJIV HPESOJ .C,NAHTANAGALU IAGNAG .T,S. NANNAK,JARAYAGAS SELRAHC .P,DNANA NAITSABES .G,MAVLES REENNAP .S,YTSIRHC TREBOR .J,NARDNEJAR .P,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
148,148,1,105,13,82,0,0,0,1,0,0,0,0,306,0,2,0,0,0,0,1,511,0,1,512,0
149,149,0,216,6,47,0,0,0,0,0,1,1,0,196,0,1,2,1,0,0,0,471,0,3,474,0
150,150,1,262,15,37,0,2,0,0,0,1,0,2,341,1,1,1,0,0,0,0,664,0,2,666,0
151,151,0,246,14,23,0,0,1,0,0,0,2,0,295,0,0,0,0,0,0,0,581,0,0,581,0
152,152,0,301,11,28,0,0,0,0,0,0,0,1,265,0,1,0,0,0,0,0,607,0,2,609,0
153,153,2,264,10,51,0,0,0,0,0,0,0,1,341,0,0,2,0,0,0,0,671,0,2,673,0
154,154,1,117,6,37,0,0,0,0,0,0,0,0,180,0,0,1,0,0,0,0,342,0,0,342,0
155,155,2,139,18,27,0,0,0,0,0,0,0,0,239,0,1,1,1,0,0,0,428,0,2,430,0
156,156,0,259,19,80,1,0,1,1,0,0,0,0,355,1,1,0,1,0,0,0,719,0,2,721,0
157,157,0,142,14,49,0,0,0,0,0,1,1,2,364,1,0,0,0,0,0,2,576,0,1,577,0
158,158,1,148,9,55,0,0,0,0,0,0,0,1,220,0,0,0,0,1,0,0,435,0,1,436,0
159,159,1,230,20,145,0,1,0,1,0,0,0,3,376,3,0,0,1,1,0,0,782,0,2,784,0
160,160,1,254,19,49,0,0,0,0,0,0,0,0,379,1,0,1,1,0,0,0,705,0,2,707,0
161,161,1,180,12,61,1,0,2,0,0,0,0,0,355,0,0,5,0,0,0,0,617,0,1,618,0
162,162,0,133,13,38,0,0,1,0,0,0,1,0,297,0,0,0,0,0,0,0,483,0,3,486,0
163,163,0,218,16,60,0,1,1,0,1,1,0,1,326,0,1,1,0,0,0,0,627,0,3,630,0
164,164,2,263,12,46,0,0,0,0,0,2,1,1,406,1,0,1,0,0,0,1,736,0,2,738,0
165,165,1,251,12,33,0,0,0,0,0,0,1,2,401,0,0,1,0,0,0,0,702,0,2,704,0
166,166,2,240,20,64,0,0,0,0,0,0,1,0,319,0,0,2,0,0,0,0,648,0,3,651,0
167,167,0,181,16,68,0,1,0,0,0,1,2,4,423,0,0,2,0,0,0,0,698,0,1,699,0
168,168,1,236,4,17,0,0,0,0,0,1,2,4,350,0,2,2,3,0,0,0,622,0,0,622,0
169,169,0,119,11,33,0,0,0,0,0,0,1,2,327,0,0,2,0,1,0,0,496,0,3,499,0
170,170,1,208,17,48,0,0,0,0,0,0,2,2,407,1,1,2,1,0,1,0,691,0,0,691,0
171,171,1,270,12,25,1,1,0,0,0,0,0,1,412,0,0,0,5,0,0,0,728,0,0,728,0
172,172,1,132,2,21,3,0,0,0,0,0,0,1,171,0,0,1,0,2,0,0,334,0,0,334,0
173,173,0,176,13,98,0,1,0,0,0,0,1,2,329,0,0,1,0,0,1,0,622,0,2,624,0
174,174,1,160,12,51,2,0,1,0,0,0,2,0,284,1,0,1,1,0,0,0,516,0,2,518,0
175,175,0,230,22,76,0,0,0,0,0,1,2,0,316,0,0,1,0,0,0,0,648,0,3,651,0
176,176,0,201,11,98,0,0,0,0,1,0,0,1,358,1,0,3,0,1,0,0,675,0,2,677,0
177,177,0,207,17,95,0,1,0,0,0,0,2,1,317,0,0,5,0,0,0,0,645,0,1,646,0
178,178,0,215,22,144,0,0,0,0,0,0,0,1,315,1,0,0,1,1,0,0,700,0,6,706,0
179,179,2,102,14,90,1,0,2,0,0,0,0,2,295,0,1,12,1,0,0,1,523,0,1,524,0
180,180,0,120,10,45,1,0,0,0,0,0,0,0,244,1,0,0,0,0,0,0,421,0,0,421,0
181,181,4,241,13,62,0,0,1,0,0,0,0,3,476,0,0,1,3,2,0,0,806,0,5,811,0
182,182,1,192,11,63,1,0,0,0,0,1,0,1,348,0,1,1,0,3,0,2,625,0,0,625,0
183,183,1,248,17,43,0,0,0,0,0,2,0,1,391,0,0,0,0,1,0,1,705,0,2,707,0
184,184,0,120,7,20,0,0,0,0,0,0,1,0,190,0,1,1,0,0,0,0,340,0,2,342,0
185,185,1,262,19,63,0,0,0,0,0,0,0,0,375,0,1,0,0,3,0,0,724,0,1,725,0
186,186,1,233,16,45,1,1,0,0,0,0,1,0,404,1,1,0,0,0,0,0,704,0,2,706,0
187,187,2,122,11,70,0,0,0,0,0,0,1,1,237,1,1,1,0,0,0,0,447,0,4,451,0
188,188,1,136,16,48,0,1,0,0,0,0,0,1,205,1,0,0,2,0,0,0,411,0,2,413,0
189,189,0,251,19,114,2,1,2,0,0,1,2,2,419,1,1,3,1,0,0,1,820,0,2,822,0
190,190,0,199,12,31,0,0,0,0,1,0,0,1,295,0,0,2,5,1,0,0,547,0,0,547,0
191,191,0,186,18,18,0,0,1,1,1,0,0,2,243,1,0,0,11,0,0,0,482,0,2,484,0
192,192,2,230,21,71,0,1,0,2,0,0,0,1,360,0,0,1,0,1,0,0,690,0,0,690,0
193,193,3,185,20,55,2,0,1,0,0,0,1,0,276,0,0,1,1,0,0,0,545,0,2,547,0
194,194,0,187,14,58,2,0,0,1,0,1,0,2,261,0,0,1,1,1,0,0,529,0,3,532,0
195,195,0,330,8,59,0,0,1,0,0,0,1,0,358,0,0,1,1,0,0,0,759,0,2,761,0
196,196,1,152,20,35,1,1,0,0,0,0,0,1,247,0,0,3,0,0,1,0,462,0,0,462,0
197,197,0,68,7,13,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,200,0,1,201,0
198,198,0,193,27,46,1,1,0,0,0,0,0,3,338,0,0,1,1,0,0,1,612,0,1,613,0
199,199,0,146,7,39,1,1,0,0,0,0,0,1,323,0,1,0,3,1,0,0,523,0,1,524,0
200,200,2,126,7,26,1,1,1,0,0,0,0,0,174,0,0,0,0,0,0,0,338,0,0,338,0
201,201,2,194,11,61,0,0,0,0,0,0,0,0,286,1,0,2,0,0,0,0,557,0,1,558,0
202,202,1,174,11,31,1,0,0,0,0,0,1,1,251,0,0,1,0,1,0,0,473,0,0,473,0
203,203,1,279,21,43,0,0,0,1,0,1,0,1,427,0,0,1,1,0,0,0,776,0,6,782,0
204,204,3,118,15,47,0,0,0,1,0,1,0,1,209,0,0,0,1,0,0,0,396,0,0,396,0
205,205,1,347,19,49,0,0,1,0,0,1,0,2,347,0,1,0,1,5,0,0,774,0,3,777,0
206,206,0,179,14,32,0,0,0,0,0,0,0,0,268,0,2,2,1,1,0,0,499,0,2,501,0
207,207,0,191,19,50,1,0,0,0,0,0,0,0,252,0,0,5,0,0,0,1,519,0,2,521,0
208,208,4,105,10,38,2,0,1,1,1,1,0,1,208,2,1,0,1,0,0,0,376,0,2,378,0
209,209,1,154,19,48,0,0,0,2,0,0,0,1,229,0,0,0,1,0,0,0,455,0,5,460,0
210,210,0,220,15,50,0,0,0,0,0,0,0,0,311,0,1,1,1,0,0,0,599,0,3,602,0
211,211,0,249,15,71,1,0,0,0,0,0,0,0,345,0,0,1,0,1,0,0,683,0,1,684,0
212,212,1,332,17,33,0,0,0,0,0,0,0,1,238,0,0,3,0,1,0,0,626,0,4,630,0
213,213,0,139,10,61,0,0,0,2,0,0,0,1,219,0,1,3,0,2,0,0,438,0,0,438,0
214,214,1,209,6,27,1,0,0,0,0,0,0,0,177,0,0,1,0,0,0,1,423,0,1,424,0
215,215,0,182,8,42,0,1,1,1,0,0,0,0,201,0,0,0,0,0,0,0,436,0,3,439,0
216,216,1,258,11,34,0,0,1,0,1,0,1,0,216,0,0,1,1,0,0,0,525,0,2,527,0
217,217,2,221,15,29,0,0,0,0,0,0,0,0,229,0,0,1,0,1,1,1,500,0,0,500,0
218,218,0,222,26,33,0,0,0,0,0,0,0,1,317,0,0,1,0,0,0,0,600,0,0,600,0
219,219,1,182,19,40,0,0,2,1,0,0,0,0,241,0,0,2,0,0,1,0,489,0,0,489,0
220,220,0,194,13,32,1,0,0,0,0,0,1,0,192,0,0,1,0,1,0,0,435,0,1,436,0
